,workclass,fnlwgt,education,education-num,hours-per-week,marital-status,occupation,relationship,race,sex,native-country,capital-gain,capital-loss,target,xy,ground_truth,prob
0,1,0,1,1,1,1,0,0,1,0,1,1,0,0,"(1, 0, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1, 0, 0)",0,0.2
1,0,0,1,1,0,0,1,1,1,0,1,0,0,0,"(0, 0, 1, 1, 0, 0, 1, 1, 1, 0, 1, 0, 0, 0)",0,0.045454545454545456
2,1,1,0,0,1,1,0,0,1,0,1,0,0,0,"(1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0, 0)",0,0.002857142857142857
3,1,1,0,0,1,0,0,1,0,0,1,0,0,0,"(1, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0)",0,0.03787878787878788
4,1,1,1,1,1,0,1,1,0,1,0,0,0,0,"(1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 0, 0, 0)",0,0.3333333333333333
5,1,1,1,1,1,0,1,1,1,1,1,0,0,0,"(1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 0, 0)",0,0.06666666666666667
6,1,0,0,0,0,0,0,0,0,1,0,0,0,0,"(1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0)",0,0.16666666666666666
7,0,1,0,0,1,0,1,1,1,0,1,0,0,1,"(0, 1, 0, 0, 1, 0, 1, 1, 1, 0, 1, 0, 0, 1)",1,1.0
8,1,0,1,1,1,1,1,0,1,1,1,1,0,1,"(1, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1)",1,0.9310344827586207
9,1,0,1,1,1,0,1,1,1,0,1,1,0,1,"(1, 0, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 0, 1)",1,1.0
10,1,1,1,0,1,0,1,1,0,0,1,0,0,1,"(1, 1, 1, 0, 1, 0, 1, 1, 0, 0, 1, 0, 0, 1)",1,1.0
11,1,0,1,1,1,0,1,1,0,0,0,0,0,1,"(1, 0, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1)",1,1.0
12,1,0,1,1,0,1,0,0,1,1,1,0,0,0,"(1, 0, 1, 1, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0)",0,0.010869565217391304
13,1,1,1,1,1,1,1,0,0,0,1,0,0,0,"(1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0)",0,0.023809523809523808
14,1,0,1,1,1,0,0,1,0,0,0,0,0,1,"(1, 0, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1)",1,1.0
15,1,1,0,0,1,0,0,1,0,0,0,0,0,0,"(1, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0)",0,0.043478260869565216
16,0,0,0,0,0,1,0,0,1,0,1,0,0,0,"(0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0)",0,0.03225806451612903
17,1,0,0,0,1,1,0,0,1,0,1,0,0,0,"(1, 0, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0, 0)",0,0.001215066828675577
18,1,0,0,0,1,0,1,1,1,0,1,0,0,0,"(1, 0, 0, 0, 1, 0, 1, 1, 1, 0, 1, 0, 0, 0)",0,0.07392996108949416
19,0,1,1,1,1,1,1,0,1,1,1,0,0,1,"(0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 0, 1)",1,0.8333333333333334
20,1,1,1,1,1,0,1,1,1,0,1,0,0,1,"(1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 0, 0, 1)",1,1.0
21,1,1,0,0,0,1,0,0,0,1,1,0,0,0,"(1, 1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0)",0,0.010752688172043012
22,1,0,0,0,1,0,0,1,0,0,1,0,0,0,"(1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0)",0,0.02586206896551724
23,1,0,0,0,1,0,0,1,1,0,1,0,1,0,"(1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0)",0,0.02564102564102564
24,1,0,0,0,1,1,1,0,1,1,1,0,0,0,"(1, 0, 0, 0, 1, 1, 1, 0, 1, 1, 1, 0, 0, 0)",0,0.00546448087431694
25,1,1,1,1,1,0,1,1,1,0,1,0,0,1,"(1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 0, 0, 1)",1,1.0
26,1,0,0,0,1,1,0,0,1,0,1,0,0,0,"(1, 0, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0, 0)",0,0.001215066828675577
27,1,0,1,0,1,0,0,1,0,0,0,0,0,1,"(1, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1)",1,1.0
28,1,1,0,0,1,1,1,0,1,0,1,0,0,0,"(1, 1, 0, 0, 1, 1, 1, 0, 1, 0, 1, 0, 0, 0)",0,0.016666666666666666
29,1,1,0,0,1,0,0,1,1,0,1,0,0,0,"(1, 1, 0, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0)",0,0.03383458646616541
30,1,1,1,1,1,1,1,0,1,0,1,0,0,0,"(1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 0, 0, 0)",0,0.028268551236749116
31,1,1,1,0,1,1,1,0,0,0,1,0,0,0,"(1, 1, 1, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0)",0,0.045454545454545456
32,1,1,1,1,1,1,1,0,1,0,1,0,1,0,"(1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 0, 1, 0)",0,0.21052631578947367
33,1,0,1,0,1,0,0,0,1,0,1,0,0,0,"(1, 0, 1, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0)",0,0.125
34,1,1,1,0,0,0,0,1,0,0,1,0,0,0,"(1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0)",0,0.1
35,1,1,0,0,1,1,0,0,1,0,0,0,0,0,"(1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0)",0,0.007042253521126761
36,1,1,1,0,1,1,0,0,1,0,1,0,0,0,"(1, 1, 1, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0, 0)",0,0.0038910505836575876
37,1,1,0,0,0,0,0,1,1,1,1,0,0,0,"(1, 1, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0)",0,0.037037037037037035
38,1,0,1,0,0,0,1,1,1,0,0,0,0,1,"(1, 0, 1, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1)",1,1.0
39,0,1,1,1,1,0,1,1,1,0,1,0,0,0,"(0, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 0, 0, 0)",0,0.18867924528301888
40,1,1,0,0,1,0,0,1,1,0,1,0,0,0,"(1, 1, 0, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0)",0,0.03383458646616541
41,0,0,1,1,1,0,1,1,1,0,1,0,0,0,"(0, 0, 1, 1, 1, 0, 1, 1, 1, 0, 1, 0, 0, 0)",0,0.13580246913580246
42,1,0,1,1,1,0,1,1,1,0,1,0,0,0,"(1, 0, 1, 1, 1, 0, 1, 1, 1, 0, 1, 0, 0, 0)",0,0.23195876288659795
43,1,0,0,0,1,1,0,0,1,1,1,0,0,0,"(1, 0, 0, 0, 1, 1, 0, 0, 1, 1, 1, 0, 0, 0)",0,0.0017889087656529517
44,1,1,0,0,0,1,0,0,1,0,1,0,0,0,"(1, 1, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0)",0,0.0034129692832764505
45,1,1,1,1,1,0,1,1,0,0,1,0,0,1,"(1, 1, 1, 1, 1, 0, 1, 1, 0, 0, 1, 0, 0, 1)",1,1.0
46,1,0,0,0,0,0,0,1,1,0,1,0,0,0,"(1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0)",0,0.024691358024691357
47,1,0,1,1,1,1,1,0,1,1,1,0,0,0,"(1, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 0, 0)",0,0.0025188916876574307
48,1,0,1,1,1,0,0,1,1,0,1,0,0,0,"(1, 0, 1, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0)",0,0.045
49,1,1,1,1,1,1,1,0,1,0,1,0,0,0,"(1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 0, 0, 0)",0,0.028268551236749116
50,1,0,1,0,1,0,1,1,0,1,1,0,0,0,"(1, 0, 1, 0, 1, 0, 1, 1, 0, 1, 1, 0, 0, 0)",0,0.25
51,1,1,0,0,0,1,0,0,1,1,0,0,0,0,"(1, 1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0)",0,0.02631578947368421
52,1,0,1,1,1,0,1,1,1,1,0,0,1,1,"(1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 0, 0, 1, 1)",1,1.0
53,1,1,1,1,1,1,1,0,1,0,1,0,0,1,"(1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 0, 0, 1)",1,1.0
54,0,0,0,0,1,1,1,0,1,0,1,0,0,0,"(0, 0, 0, 0, 1, 1, 1, 0, 1, 0, 1, 0, 0, 0)",0,0.038461538461538464
55,1,1,1,0,1,0,1,1,1,0,1,0,0,1,"(1, 1, 1, 0, 1, 0, 1, 1, 1, 0, 1, 0, 0, 1)",1,1.0
56,1,1,0,0,1,0,0,1,1,0,0,0,0,0,"(1, 1, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0)",0,0.011299435028248588
57,1,0,1,1,1,0,0,1,1,0,0,0,0,0,"(1, 0, 1, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0)",0,0.1111111111111111
58,1,0,0,0,1,0,0,1,1,0,1,0,0,0,"(1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0)",0,0.0365093499554764
59,1,0,0,0,1,0,0,1,1,0,1,1,0,0,"(1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 1, 0, 0)",0,0.16393442622950818
60,1,0,1,1,1,0,1,1,1,0,1,1,0,0,"(1, 0, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 0, 0)",0,0.5217391304347826
61,1,1,0,0,1,0,0,0,1,0,0,0,0,0,"(1, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0)",0,0.02857142857142857
62,1,0,0,0,1,0,0,1,1,0,1,0,0,0,"(1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0)",0,0.0365093499554764
63,1,0,1,1,1,0,1,1,1,0,1,0,0,1,"(1, 0, 1, 1, 1, 0, 1, 1, 1, 0, 1, 0, 0, 1)",1,1.0
64,1,0,1,0,1,1,1,0,1,0,1,0,0,0,"(1, 0, 1, 0, 1, 1, 1, 0, 1, 0, 1, 0, 0, 0)",0,0.02962962962962963
