iter,time,total_time,circuit_size,cross_entropy_D,cross_entropy_Df,train_discrimination,valid_discrimination,test_discrimination,train_mll,valid_mll,test_mll,struct?,stop?,P(D),P(Df),P(S),"P(D|Df,S)","P(D|Df,notS)","P(D|notDf,S)","P(D|notDf,notS)"
0,1.2806e-5,1.2806e-5,1684,0.3689184761315762,0.3689184761315762,-0.08517627246782061,-0.08017715387739457,-0.09125170935036767,-5.986705,-5.9727435,-5.9423084,false,,0.2408151658767773,0.2408151658767773,0.33230331753554504,1.0,1.0,0.0,0.0
1,2.309613524,2.30962633,1684,0.3688944212202356,0.36891848300565433,-0.08517626249593976,-0.08017714019962616,-0.09125170063362634,-5.986681,-5.972722,-5.9422855,false,,0.24079479600180978,0.2408151487705496,0.33230332208039537,0.9994703389609785,0.9999075614711935,6.392226485607203e-5,4.0973527816342684e-5
2,1.12275308,3.4323794100000002,1684,0.3688124998329836,0.368930404190615,-0.08517949080185827,-0.08017947605507436,-0.09125641321569097,-5.986587,-5.9726434,-5.9422016,false,,0.24073569049524451,0.24084660095822297,0.33230331148117653,0.998027086481131,0.9998401412650362,8.569216410835988e-5,0.00010077198281593862
3,1.121052058,4.553431468,1684,0.3686064926113607,0.36897346506767587,-0.08512610692825959,-0.08012535493120201,-0.09120374908425108,-5.986338,-5.9724336,-5.941974,false,,0.24057104731185422,0.2409537769962272,0.33230331248290745,0.9941602979806227,0.9997909138502757,9.318962560690461e-5,0.00018741994675621865
4,1.168468216,5.721899684,1684,0.36811752338643555,0.36909235314237776,-0.08495530390975264,-0.07995268269258804,-0.09103318864764157,-5.985738,-5.971914,-5.941418,false,,0.24014356325045091,0.24126618268300143,0.33230329808674375,0.9842189708689936,0.9997548340405025,9.597978273957908e-5,0.00031167680898815125
5,1.160358351,6.882258035,1684,0.3670994414364541,0.3694137228354848,-0.08444527072215316,-0.07943965730336991,-0.09052364689703579,-5.9844413,-5.970765,-5.940218,false,,0.23915010124302402,0.24207518980403614,0.33230332025030557,0.9608139132727704,0.9997280546091636,9.751561376789643e-5,0.0004871495782341606
6,1.125318923,8.007576958000001,1684,0.36540025957302896,0.3702426363949585,-0.08302419545462533,-0.0780162201782853,-0.08911223373628513,-5.9821243,-5.9686847,-5.9381003,false,,0.2372414085064464,0.2438820072457437,0.3323033240566252,0.9137987629921857,0.9997073814038067,9.932385680983692e-5,0.0007290862347170349
7,1.166009613,9.173586571000001,1684,0.36333924723469024,0.37213278053408966,-0.07977712476411547,-0.07475529048045243,-0.08592577871841556,-5.9789395,-5.965863,-5.935264,false,,0.2345221234975027,0.2471932527855239,0.3323032911065084,0.8396289104072328,0.9996897705004302,0.00010229142859966589,0.001050177984056268
8,1.161744419,10.335330990000001,1684,0.3616355989160194,0.3756293938754374,-0.07418625236812729,-0.06910546856867175,-0.08051586828378587,-5.975686,-5.9631085,-5.9324384,false,,0.23190954631878208,0.25195855401977146,0.3323032988641973,0.7522173367039313,0.9996721402533079,0.00010663083450411726,0.001452869749131152
9,1.122824671,11.458155661000001,1684,0.3606628008353599,0.38067253157560477,-0.0669935110098997,-0.061816896390106735,-0.07363616289990194,-5.973095,-5.961056,-5.930236,false,,0.23028653179681383,0.2573944711366142,0.3323033095660142,0.6722954980689296,0.9996519013876479,0.00011157862644620498,0.001923847894197267
10,1.170380069,12.628535730000001,1684,0.3602765824397974,0.3865839083381916,-0.05959308868933902,-0.054346733923977736,-0.06662387372712728,-5.971326,-5.959767,-5.9287643,false,,0.2297225334577815,0.2626217422791427,0.33230334928644545,0.6096846232761401,0.9996277091672818,0.00011604484905713031,0.0024383188453554424
11,1.162689729,13.791225459000001,1684,0.3602128677552206,0.39267481196965665,-0.05296804005352221,-0.04771543127621092,-0.06040307815849599,-5.970207,-5.959029,-5.9278545,false,,0.2298388982256825,0.26713882914051734,0.3323033062313027,0.5639258043905437,0.9995994345421273,0.00011950685925330985,0.00296979411910967
12,1.123894412,14.915119871000002,1684,0.36029089913859996,0.39844500670646116,-0.04749304945513205,-0.04228097557093047,-0.05530566674071488,-5.9695296,-5.95864,-5.927316,false,,0.23027079762623848,0.27079073277894955,0.3323033154128311,0.531321060108311,0.9995676307348426,0.0001220130525528854,0.003496859488110255
13,1.159307953,16.074427824,1684,0.3604148842184299,0.40342922893894123,-0.04317359429155204,-0.038017730743043154,-0.05131515563892147,-5.969128,-5.9584546,-5.927007,false,,0.23079140152255578,0.2736165360359748,0.33230330962194654,0.5082431573190027,0.9995331175859578,0.0001238126843452823,0.004005365756635621
14,1.165401522,17.239829346,1684,0.3605400300965669,0.40735921448821827,-0.03985787120219422,-0.03475717628721381,-0.048275663340240416,-5.9688864,-5.9583726,-5.9268284,false,,0.23128805771149727,0.27573785017542213,0.3323033095654321,0.4918892787781397,0.9994967620502151,0.00012514036901043263,0.004487739174051894
15,1.123724224,18.36355357,1684,0.3606486518444234,0.41035278114367524,-0.037353540483112097,-0.03230151161412359,-0.045999562584675635,-5.9687405,-5.95834,-5.926725,false,,0.23171686124953778,0.2772948312699058,0.33230331120376705,0.4802540805567089,0.9994593720904641,0.00012616115158688076,0.004941128031859164
