S train_x,D train_x,P(Df|e) train_x,P(D|e) train_x,P(Df) train_x,S valid_x,D valid_x,P(Df|e) valid_x,P(D|e) valid_x,P(Df) valid_x,S test_x,D test_x,P(Df|e) test_x,P(D|e) test_x,P(Df) test_x
0,0,,0.011220560409128666,,0,0,,0.44851189851760864,,0,0,,0.0825730711221695,
1,0,,0.7342502474784851,,0,0,,0.46145179867744446,,1,0,,0.010762372985482216,
1,0,,0.8982526659965515,,1,1,,0.7443210482597351,,0,1,,0.2669253647327423,
0,1,,0.3034049868583679,,0,1,,0.6579586863517761,,0,0,,0.11680872738361359,
0,1,,0.9075126051902771,,1,0,,0.025995643809437752,,0,0,,0.13779205083847046,
0,1,,0.36997541785240173,,0,0,,0.344297856092453,,0,0,,0.004244984593242407,
0,0,,0.07813344150781631,,0,1,,0.4502176344394684,,0,0,,0.06930320709943771,
0,0,,0.00793574471026659,,0,0,,0.15835389494895935,,0,0,,0.05591687932610512,
0,0,,0.012493099085986614,,0,0,,0.9075126051902771,,1,1,,0.46398255228996277,
0,0,,0.3102966248989105,,1,0,,0.025587651878595352,,0,0,,0.1616838574409485,
1,1,,0.33566179871559143,,1,0,,0.3385058045387268,,0,0,,0.3102966248989105,
0,1,,0.677221953868866,,1,0,,0.04086322337388992,,0,0,,0.677221953868866,
1,0,,0.0030453254003077745,,1,0,,0.041314125061035156,,0,1,,0.4284161329269409,
0,0,,0.07798592746257782,,0,0,,0.09486149996519089,,0,0,,0.011220560409128666,
0,0,,0.3908328413963318,,0,0,,0.14925338327884674,,0,0,,0.6396617889404297,
1,0,,0.12012815475463867,,0,0,,0.004370201379060745,,0,1,,0.677221953868866,
0,1,,0.677221953868866,,0,0,,0.0025460326578468084,,0,0,,0.23556450009346008,
0,0,,0.012493099085986614,,1,0,,0.3385058045387268,,0,0,,0.09122166782617569,
0,1,,0.4317447245121002,,0,1,,0.3735489845275879,,1,0,,0.36919277906417847,
0,0,,0.06327321380376816,,1,0,,0.12012815475463867,,0,1,,0.011220560409128666,
0,0,,0.16526980698108673,,0,0,,0.26669901609420776,,0,0,,0.15835389494895935,
0,0,,0.03356459364295006,,1,0,,0.004274208564311266,,0,0,,0.041076790541410446,
0,0,,0.021818913519382477,,1,0,,0.2477479726076126,,1,0,,0.008140004239976406,
0,0,,0.09210764616727829,,0,0,,0.3102966248989105,,0,0,,0.3735489845275879,
0,0,,0.02400096505880356,,0,0,,0.0022918961476534605,,1,0,,0.07034977525472641,
1,0,,0.402712345123291,,1,0,,0.2477479726076126,,0,0,,0.012493099085986614,
0,1,,0.26639142632484436,,0,0,,0.677221953868866,,1,0,,0.10100645571947098,
0,0,,0.6214320063591003,,1,0,,0.12012815475463867,,1,0,,0.021090717986226082,
0,0,,0.16526980698108673,,0,0,,0.011220560409128666,,0,0,,0.025985680520534515,
0,0,,0.6019976139068604,,0,0,,0.15835389494895935,,0,1,,0.5881558060646057,
0,0,,0.6396617889404297,,0,0,,0.004244984593242407,,0,0,,0.021612346172332764,
1,0,,0.028874119743704796,,0,0,,0.14925338327884674,,0,1,,0.0889625996351242,
0,0,,0.0022918961476534605,,0,0,,0.004184636287391186,,1,1,,0.47621747851371765,
0,1,,0.6973268389701843,,1,0,,0.007837196812033653,,0,0,,0.05803818255662918,
1,0,,0.2477479726076126,,1,0,,0.02881953865289688,,1,0,,0.08474703133106232,
0,0,,0.2980443835258484,,1,0,,0.009275153279304504,,1,0,,0.27128851413726807,
0,0,,0.13779205083847046,,1,0,,0.10113692283630371,,0,1,,0.601621687412262,
1,0,,0.634308397769928,,1,0,,0.02881953865289688,,0,1,,0.3341466188430786,
1,0,,0.003683902323246002,,1,1,,0.8936744928359985,,0,1,,0.2660122811794281,
1,1,,0.9492819905281067,,0,1,,0.677221953868866,,1,0,,0.0058061364106833935,
0,1,,0.13779205083847046,,0,1,,0.4721236824989319,,0,0,,0.00927014835178852,
0,0,,0.16079239547252655,,0,0,,0.6396617889404297,,0,0,,0.23014310002326965,
0,0,,0.06474290788173676,,1,0,,0.14892955124378204,,1,0,,0.10100645571947098,
0,0,,0.25080540776252747,,1,0,,0.007846185937523842,,0,0,,0.25980687141418457,
0,0,,0.4284704625606537,,1,0,,0.2477479726076126,,0,0,,0.04659542441368103,
0,0,,0.003551596775650978,,1,0,,0.2477479726076126,,1,0,,0.05073666200041771,
0,0,,0.15835389494895935,,1,0,,0.0058061364106833935,,0,0,,0.06930320709943771,
0,1,,0.6396617889404297,,1,0,,0.007837196812033653,,0,0,,0.07253506779670715,
0,0,,0.15835389494895935,,0,0,,0.012493099085986614,,0,0,,0.10308225452899933,
1,0,,0.041314125061035156,,0,1,,0.6871475577354431,,0,1,,0.1566445231437683,
0,1,,0.48545998334884644,,0,0,,0.011220560409128666,,0,0,,0.3102966248989105,
0,0,,0.02400096505880356,,0,0,,0.025985680520534515,,0,0,,0.012493099085986614,
0,0,,0.010049263015389442,,0,0,,0.23929202556610107,,1,0,,0.006829019635915756,
1,0,,0.21997235715389252,,1,0,,0.006829019635915756,,0,1,,0.6019976139068604,
0,1,,0.6019976139068604,,0,1,,0.25980687141418457,,0,1,,0.677221953868866,
0,0,,0.02400096505880356,,1,0,,0.006842246279120445,,0,0,,0.11621736735105515,
0,0,,0.029722094535827637,,0,0,,0.4502176344394684,,0,0,,0.18496689200401306,
0,0,,0.004244984593242407,,0,0,,0.00927014835178852,,0,0,,0.00927014835178852,
0,0,,0.2980443835258484,,1,1,,0.2477479726076126,,0,0,,0.24123425781726837,
0,0,,0.06812983006238937,,1,0,,0.10100645571947098,,0,0,,0.011220560409128666,
1,0,,0.006829019635915756,,0,0,,0.6576010584831238,,1,0,,0.025995643809437752,
0,0,,0.15835389494895935,,0,0,,0.0022918961476534605,,1,0,,0.0718780979514122,
0,0,,0.01374664343893528,,1,1,,0.8936744928359985,,0,0,,0.012640882283449173,
1,0,,0.46398255228996277,,0,1,,0.40587741136550903,,0,0,,0.0825730711221695,
1,1,,0.3528510630130768,,0,0,,0.004184636287391186,,0,0,,0.05091916397213936,
0,1,,0.3959510028362274,,0,0,,0.052701685577631,,1,0,,0.009275153279304504,
0,0,,0.07190312445163727,,0,0,,0.011220560409128666,,0,0,,0.09070542454719543,
1,1,,0.23864103853702545,,1,1,,0.8674942851066589,,0,1,,0.6214320063591003,
0,0,,0.677221953868866,,1,0,,0.4006229341030121,,0,0,,0.14925338327884674,
1,0,,0.04086322337388992,,1,0,,0.36328426003456116,,0,0,,0.16526980698108673,
1,0,,0.0058061364106833935,,1,0,,0.6339524984359741,,0,0,,0.025985680520534515,
1,0,,0.6679905652999878,,0,0,,0.004370201379060745,,0,0,,0.26117780804634094,
0,1,,0.677221953868866,,0,0,,0.05091916397213936,,1,0,,0.0756140947341919,
0,0,,0.025985680520534515,,0,0,,0.007147481665015221,,0,0,,0.13779205083847046,
0,1,,0.9217751026153564,,0,0,,0.015402927063405514,,0,0,,0.004197017755359411,
0,1,,0.4502176344394684,,1,0,,0.23864103853702545,,1,0,,0.028874119743704796,
1,0,,0.23864614963531494,,0,0,,0.15835389494895935,,1,0,,0.006842246279120445,
0,0,,0.004370201379060745,,0,0,,0.004197017755359411,,0,0,,0.011220560409128666,
0,1,,0.6396617889404297,,0,0,,0.26117780804634094,,0,0,,0.6019976139068604,
0,1,,0.8994109630584717,,0,1,,0.13779205083847046,,0,1,,0.9075126051902771,
1,0,,0.10113692283630371,,0,0,,0.06474290788173676,,0,0,,0.012493099085986614,
0,0,,0.012493099085986614,,0,0,,0.24358242750167847,,0,0,,0.16526980698108673,
1,0,,0.1121671199798584,,1,0,,0.008140004239976406,,0,1,,0.6396617889404297,
1,0,,0.028874119743704796,,1,0,,0.10113692283630371,,0,0,,0.004551720339804888,
0,0,,0.15835389494895935,,0,0,,0.012493099085986614,,1,0,,0.11676784604787827,
0,0,,0.13779205083847046,,1,0,,0.24330510199069977,,1,0,,0.1481010615825653,
0,1,,0.6396617889404297,,0,1,,0.901796281337738,,0,1,,0.3034049868583679,
0,1,,0.2808196544647217,,1,0,,0.017378976568579674,,0,0,,0.0025460326578468084,
1,0,,0.8929409980773926,,1,1,,0.9677584171295166,,0,0,,0.07190312445163727,
