iter,time,total_time,circuit_size,cross_entropy_D,cross_entropy_Df,train_discrimination,valid_discrimination,test_discrimination,train_mll,valid_mll,test_mll,struct?,stop?,P(D),P(Df),P(S),"P(D|Df,S)","P(D|Df,notS)","P(D|notDf,S)","P(D|notDf,notS)"
0,0.357477349,0.357477349,373,0.36795535199808055,0.36795535199808055,-0.08045891013359865,-0.07403011856454553,-0.08416170492749633,-6.003293399301882,-6.068320391239952,-6.055506760100881,true,,0.24081516587677726,0.0,0.33074881516587684,0.0,0.0,0.0,0.0
1,10.149382218,10.506859567,374,0.3681257418919203,0.3681257418919203,-0.08028433769105556,-0.07382974434322045,-0.0838754175533695,-6.0022771367858745,-6.067020920723437,-6.055466358100309,true,,0.24081516587677726,0.0,0.33074881516587684,0.0,0.0,0.0,0.0
2,0.036243743,10.54310331,375,0.36958256702934683,0.36958256702934683,-0.0782494619704148,-0.07213855365796931,-0.08163216959573935,-5.9956689390703755,-6.062698604044709,-6.049249440460915,true,,0.24081516587677726,0.0,0.33074881516587684,0.0,0.0,0.0,0.0
3,1.055004486,11.598107795999999,375,0.36958256702934683,0.36958256702934683,-0.0782494619704148,-0.07213855365796931,-0.08163216959573935,-5.995668939070376,-6.062698604044709,-6.049249440460915,true,,0.24081516587677726,0.0,0.33074881516587684,0.0,0.0,0.0,0.0
4,2.146422545,13.744530340999999,377,0.3695825669652777,0.3695825669652777,-0.07824946280746273,-0.07213855466136981,-0.08163217067034231,-5.9956689390703755,-6.062698604044709,-6.049249440460915,true,,0.24081516587677726,0.0,0.33074881516587684,0.0,0.0,0.0,0.0
5,0.330444693,14.074975034,385,0.36942489350487634,0.36942489350487634,-0.07859939486978565,-0.07239537903063328,-0.08189543547759451,-5.995138776140181,-6.061519287975243,-6.048789711199636,true,,0.24081516587677726,0.0,0.33074881516587684,0.0,0.0,0.0,0.0
6,0.253412883,14.328387916999999,393,0.3693680258141591,0.3693680258141591,-0.07891439289912641,-0.07278273913490763,-0.08214736806795567,-5.99503327249211,-6.061124139493627,-6.048882033998547,true,,0.24081516587677726,0.0,0.33074881516587684,0.0,0.0,0.0,0.0
7,0.662485738,14.990873654999998,395,0.3693680263461983,0.3693680263461983,-0.07891439126688296,-0.07278273831170193,-0.08214736624200428,-5.99503327249211,-6.061124139493627,-6.048882033998547,true,,0.24081516587677726,0.0,0.33074881516587684,0.0,0.0,0.0,0.0
8,0.133587403,15.124461057999998,397,0.36937014848059024,0.36937014848059024,-0.07890776091599983,-0.07277510859519101,-0.0821414003717496,-5.995033268542284,-6.061126004683714,-6.048881917214341,true,,0.24081516587677726,0.0,0.33074881516587684,0.0,0.0,0.0,0.0
9,0.034823419,15.159284476999998,398,0.369331771501716,0.369331771501716,-0.0788602461572874,-0.07249214329344444,-0.08217020197012082,-5.994997985468587,-6.061382971781372,-6.0487126612835205,true,,0.24081516587677726,0.0,0.33074881516587684,0.0,0.0,0.0,0.0
