S train_x,D train_x,P(Df|e) train_x,P(D|e) train_x,P(Df) train_x,S valid_x,D valid_x,P(Df|e) valid_x,P(D|e) valid_x,P(Df) valid_x,S test_x,D test_x,P(Df|e) test_x,P(D|e) test_x,P(Df) test_x
0,0,0.018344832584261894,0.0,0.2705096,0,0,0.007677714340388775,0.0,0.2705096,0,0,0.012234058231115341,0.0,0.2705096
0,0,0.00042811271850951016,0.0,0.2705096,0,0,0.014764882624149323,0.0,0.2705096,1,0,0.9755228161811829,0.0,0.2705096
0,0,0.004256026819348335,0.0,0.2705096,0,0,0.02297893911600113,0.0,0.2705096,0,0,0.05450088903307915,0.0,0.2705096
1,0,0.9951765537261963,0.0,0.2705096,0,0,0.006547767203301191,0.0,0.2705096,0,0,0.00044732444803230464,0.0,0.2705096
1,0,0.014681206084787846,0.0,0.2705096,0,0,0.006256002001464367,0.0,0.2705096,0,0,0.0030411940533667803,0.0,0.2705096
0,1,0.9903054237365723,0.9999998211860657,0.2705096,0,0,0.0047048344276845455,0.0,0.2705096,1,0,0.9445691704750061,0.0,0.2705096
1,1,0.986100435256958,1.0,0.2705096,0,0,0.004416332114487886,0.0,0.2705096,0,0,0.000875722267664969,0.0,0.2705096
0,1,0.9991257190704346,1.0,0.2705096,1,0,0.05111001059412956,0.0,0.2705096,0,1,0.997046172618866,0.9999998807907104,0.2705096
0,1,0.9936367869377136,0.9999998807907104,0.2705096,0,0,0.0029870658181607723,0.0,0.2705096,0,0,0.004256026819348335,0.0,0.2705096
0,1,0.9982585310935974,1.0,0.2705096,0,0,0.000922936771530658,0.0,0.2705096,0,0,0.010361909866333008,0.0,0.2705096
1,0,0.030369756743311882,0.0,0.2705096,1,0,0.012540871277451515,0.0,0.2705096,0,0,0.0048843612894415855,0.0,0.2705096
0,1,0.9938400983810425,0.9999996423721313,0.2705096,0,1,0.9971370100975037,1.0,0.2705096,1,0,0.18436920642852783,0.0,0.2705096
0,0,0.0019889771938323975,0.0,0.2705096,1,0,0.2767714858055115,0.0,0.2705096,0,0,0.046517737209796906,0.0,0.2705096
0,0,0.00022834823175799102,0.0,0.2705096,1,0,0.051505982875823975,0.0,0.2705096,0,0,0.050087932497262955,0.0,0.2705096
0,0,0.0004454113950487226,0.0,0.2705096,0,0,0.000922936771530658,0.0,0.2705096,1,0,0.013983690179884434,0.0,0.2705096
1,1,0.8222615122795105,1.0,0.2705096,1,0,0.04058285430073738,0.0,0.2705096,1,0,0.05982578545808792,0.0,0.2705096
0,1,0.9971370100975037,1.0,0.2705096,0,0,0.010760433971881866,0.0,0.2705096,0,0,0.006547767203301191,0.0,0.2705096
1,0,0.01503888051956892,0.0,0.2705096,0,0,0.02484874054789543,0.0,0.2705096,0,0,0.003389655612409115,0.0,0.2705096
0,0,0.003988796379417181,0.0,0.2705096,0,0,0.00046040964662097394,0.0,0.2705096,1,0,0.013983690179884434,0.0,0.2705096
1,0,0.08125527948141098,0.0,0.2705096,0,0,0.0009803215507417917,0.0,0.2705096,0,0,0.006547767203301191,0.0,0.2705096
0,1,0.9971370100975037,1.0,0.2705096,1,0,0.01219931524246931,0.0,0.2705096,0,0,6.651893636444584e-5,0.0,0.2705096
0,0,0.0004454113950487226,0.0,0.2705096,1,1,0.35274970531463623,1.0,0.2705096,0,0,0.0012860853457823396,0.0,0.2705096
0,1,0.9921004772186279,1.0,0.2705096,1,0,0.029027525335550308,0.0,0.2705096,0,0,0.0492711067199707,0.0,0.2705096
0,0,0.0026087963487952948,0.0,0.2705096,0,0,0.0035103934351354837,0.0,0.2705096,1,0,0.14514753222465515,0.0,0.2705096
0,0,0.0015296475030481815,0.0,0.2705096,0,0,0.0025462936609983444,0.0,0.2705096,1,0,0.5416946411132812,0.0,0.2705096
0,0,0.014998812228441238,0.0,0.2705096,1,1,0.9976457953453064,1.0,0.2705096,0,0,0.017025040462613106,0.0,0.2705096
0,0,0.00011918985546799377,0.0,0.2705096,1,0,0.05111001059412956,0.0,0.2705096,0,0,0.0004454113950487226,0.0,0.2705096
