iter,time,total_time,circuit_size,cross_entropy_D,cross_entropy_Df,train_discrimination,valid_discrimination,test_discrimination,train_mll,valid_mll,test_mll,struct?,stop?,P(D),P(Df),P(S),"P(D|Df,S)","P(D|Df,notS)","P(D|notDf,S)","P(D|notDf,notS)"
0,1.091e-5,1.091e-5,2209,0.43151316202034584,0.43151316202034584,-0.02037441619721464,-0.01588206876595774,-0.02944614541629692,-6.0293903,-6.011427,-6.016851,false,,0.2489004322438766,0.2489004322438766,0.33136801395313564,1.0,1.0,0.0,0.0
1,2.048015686,2.0480265959999997,2209,0.4315079204816977,0.4315131570066091,-0.02037442935250372,-0.015882079051846548,-0.029446149687559237,-6.029385,-6.0114164,-6.0168467,false,,0.24889671795235654,0.24890043955497898,0.33136801837909546,0.9997103128281758,0.9998966942171965,7.12758381233549e-5,3.907471388402389e-5
2,1.10295615,3.1509827459999995,2209,0.4315028375473855,0.43151680475058973,-0.02037436494674924,-0.01588130083547981,-0.02944744554402759,-6.0293765,-6.011403,-6.0168376,false,,0.24889140029281728,0.24890557149947934,0.3313680197197906,0.9993174310768267,0.9998021350201437,0.0001314261181271838,8.432018353857596e-5
3,1.094660077,4.245642822999999,2209,0.4314945340183053,0.4315215395702939,-0.020365779349947932,-0.01587136509472689,-0.029440090496666516,-6.029362,-6.011383,-6.0168223,false,,0.24888382510339488,0.24891743280787054,0.33136801796918147,0.9987851200327827,0.9997155582831817,0.00018222430868891987,0.0001365747506514498
4,1.092649104,5.338291926999998,2209,0.4314822257652111,0.43152769872313457,-0.020347225699784532,-0.015850771531625507,-0.029422794157448556,-6.029346,-6.0113587,-6.016803,false,,0.24887328576950257,0.24893860614748875,0.33136800405126304,0.9980650145255898,0.9996362474409184,0.00022518941190219845,0.00019673779194580957
5,1.092169978,6.430461904999999,2209,0.4314648572361433,0.4315357115646773,-0.02031668619699134,-0.015817404937926105,-0.029393825189808792,-6.02932,-6.0113196,-6.016774,false,,0.24885865030344445,0.24897257835000125,0.3313680173849378,0.9970930223620996,0.9995635268610015,0.00026162784430384077,0.0002657551276246647
6,1.093693988,7.524155892999999,2209,0.4314410917007533,0.4315461977475717,-0.020271184007488063,-0.01576815284249458,-0.02935050479840276,-6.029285,-6.0112724,-6.016735,false,,0.24883869057828947,0.24902443391323986,0.33136800687086754,0.995785053327661,0.9994967541466262,0.0002926723265382846,0.00034459602021138727
7,1.097950062,8.622105954999999,2209,0.4314091841986155,0.4315599433619807,-0.02020687384482564,-0.01569899349195375,-0.029289420678655392,-6.0292397,-6.0112095,-6.016685,false,,0.24881162185991515,0.24910081362408382,0.33136799178188614,0.9940322469540481,0.9994353109492968,0.0003193162450193998,0.00043421763141874117
8,1.100394625,9.722500579999998,2209,0.4313670302684484,0.4315780476387055,-0.020118674544650522,-0.015604605688887552,-0.02920604463138704,-6.029181,-6.0111284,-6.0166197,false,,0.2487755106180091,0.24921075419290728,0.3313680216087681,0.9916962740159223,0.9993785924636548,0.00034244671051088916,0.0005355178931587524
9,1.10000311,10.822503689999998,2209,0.43131215096011805,0.43160198279457695,-0.019999893426566856,-0.015477972814065377,-0.029094382453043688,-6.029104,-6.0110245,-6.0165334,false,,0.24872796386225968,0.2493657430652121,0.3313680177092402,0.9886057629923567,0.9993259941997175,0.0003628763701076876,0.0006492685119078779
