S train_x,D train_x,P(Df|e) train_x,P(D|e) train_x,P(Df) train_x,S valid_x,D valid_x,P(Df|e) valid_x,P(D|e) valid_x,P(Df) valid_x,S test_x,D test_x,P(Df|e) test_x,P(D|e) test_x,P(Df) test_x
0,0,,0.01260933093726635,,0,0,,0.3923099935054779,,0,0,,0.08965831249952316,
1,0,,0.5560101866722107,,0,0,,0.3866960406303406,,1,0,,0.11269879341125488,
1,0,,0.8327603340148926,,1,1,,0.47088509798049927,,0,1,,0.3246745765209198,
0,1,,0.3768191337585449,,0,1,,0.6249367594718933,,0,0,,0.1259784698486328,
0,1,,0.8426627516746521,,1,0,,0.15273775160312653,,0,0,,0.14494355022907257,
0,1,,0.35878509283065796,,0,0,,0.4157522916793823,,0,0,,0.005039258394390345,
0,0,,0.08164622634649277,,0,1,,0.44881072640419006,,0,0,,0.08090311288833618,
0,0,,0.008954782038927078,,0,0,,0.17394064366817474,,0,0,,0.06041539087891579,
0,0,,0.013899051584303379,,0,0,,0.8426627516746521,,1,1,,0.41888338327407837,
0,0,,0.29370012879371643,,1,0,,0.11827126145362854,,0,0,,0.17235033214092255,
1,1,,0.21003375947475433,,1,0,,0.20832423865795135,,0,0,,0.29370012879371643,
0,1,,0.6242530941963196,,1,0,,0.16458632051944733,,0,0,,0.6242530941963196,
1,0,,0.08660724759101868,,1,0,,0.17057451605796814,,0,1,,0.4190136790275574,
0,0,,0.0855943039059639,,0,0,,0.09002506732940674,,0,0,,0.01260933093726635,
0,0,,0.41258397698402405,,0,0,,0.15738072991371155,,0,0,,0.598256528377533,
1,0,,0.2101040780544281,,0,0,,0.005210829433053732,,0,1,,0.6242530941963196,
0,1,,0.6242530941963196,,0,0,,0.002869236748665571,,0,0,,0.2012833207845688,
0,0,,0.013899051584303379,,1,1,,0.20832423865795135,,0,0,,0.0777096226811409,
0,1,,0.4318728446960449,,0,1,,0.49271994829177856,,1,1,,0.3515693247318268,
0,0,,0.06996327638626099,,1,0,,0.2101040780544281,,0,1,,0.01260933093726635,
0,0,,0.16345587372779846,,0,0,,0.3155156672000885,,0,0,,0.17394064366817474,
0,0,,0.03868633508682251,,1,0,,0.07644341886043549,,0,0,,0.039861954748630524,
0,0,,0.02584303729236126,,1,0,,0.24759604036808014,,1,0,,0.11029809713363647,
0,0,,0.09112508594989777,,0,0,,0.29370012879371643,,0,0,,0.49271994829177856,
0,0,,0.026888620108366013,,0,0,,0.0026060983072966337,,1,0,,0.11580375581979752,
1,0,,0.3507036864757538,,1,0,,0.24759604036808014,,0,0,,0.013899051584303379,
0,1,,0.23439252376556396,,0,0,,0.6242530941963196,,1,1,,0.17956873774528503,
0,0,,0.5934813022613525,,1,0,,0.2101040780544281,,1,0,,0.12401431798934937,
0,0,,0.16345587372779846,,0,0,,0.01260933093726635,,0,0,,0.028631454333662987,
0,0,,0.554776668548584,,0,0,,0.17394064366817474,,0,0,,0.5669828057289124,
0,0,,0.598256528377533,,0,0,,0.005039258394390345,,0,0,,0.020926084369421005,
1,0,,0.1541329324245453,,0,0,,0.15738072991371155,,0,0,,0.10709108412265778,
0,0,,0.0026060983072966337,,0,0,,0.004944642540067434,,1,1,,0.4289330840110779,
0,1,,0.5720692873001099,,1,0,,0.08966461569070816,,0,0,,0.07097850739955902,
1,0,,0.24759604036808014,,1,0,,0.14973261952400208,,1,0,,0.12407322973012924,
0,0,,0.30162397027015686,,1,0,,0.0972343236207962,,1,1,,0.2924560308456421,
0,0,,0.14494355022907257,,1,1,,0.1468609720468521,,0,1,,0.5795238018035889,
1,0,,0.5440739989280701,,1,0,,0.14973261952400208,,0,1,,0.3357362747192383,
1,0,,0.10513627529144287,,1,1,,0.826949417591095,,0,0,,0.22262287139892578,
1,1,,0.9323360919952393,,0,1,,0.6242530941963196,,1,0,,0.1243571862578392,
0,1,,0.14494355022907257,,0,1,,0.4313768446445465,,0,0,,0.010890171863138676,
0,0,,0.17526525259017944,,0,0,,0.598256528377533,,0,0,,0.2605014741420746,
0,0,,0.06680060178041458,,1,0,,0.3208344280719757,,1,0,,0.17956873774528503,
0,0,,0.2607603371143341,,1,0,,0.08293815702199936,,0,0,,0.2611388564109802,
0,0,,0.4336675703525543,,1,0,,0.24759604036808014,,0,0,,0.051127925515174866,
0,0,,0.004537750966846943,,1,0,,0.24759604036808014,,1,0,,0.1259215623140335,
0,0,,0.17394064366817474,,1,0,,0.1243571862578392,,0,0,,0.08090311288833618,
0,1,,0.598256528377533,,1,0,,0.08966461569070816,,0,0,,0.0776454284787178,
0,0,,0.17394064366817474,,0,0,,0.013899051584303379,,0,0,,0.1404906064271927,
1,0,,0.17057451605796814,,0,1,,0.6192916035652161,,0,1,,0.16876181960105896,
0,1,,0.5433222055435181,,0,0,,0.01260933093726635,,0,0,,0.29370012879371643,
0,0,,0.026888620108366013,,0,0,,0.028631454333662987,,0,0,,0.013899051584303379,
0,0,,0.011608408764004707,,0,0,,0.2263217717409134,,1,0,,0.10197443515062332,
1,0,,0.33576807379722595,,1,0,,0.10197443515062332,,0,1,,0.554776668548584,
0,1,,0.554776668548584,,0,1,,0.2611388564109802,,0,0,,0.6242530941963196,
0,0,,0.026888620108366013,,1,0,,0.1008460596203804,,0,0,,0.1082361713051796,
0,0,,0.032197289168834686,,0,0,,0.44881072640419006,,0,0,,0.2346504032611847,
0,0,,0.005039258394390345,,0,0,,0.010890171863138676,,0,0,,0.010890171863138676,
0,0,,0.30162397027015686,,1,1,,0.24759604036808014,,0,0,,0.25137895345687866,
0,0,,0.0727650448679924,,1,0,,0.17956873774528503,,0,0,,0.01260933093726635,
1,0,,0.10197443515062332,,0,0,,0.6482895016670227,,1,1,,0.15273775160312653,
0,0,,0.17394064366817474,,0,0,,0.0026060983072966337,,1,0,,0.16543136537075043,
0,0,,0.015556856989860535,,1,1,,0.826949417591095,,0,0,,0.010727901011705399,
1,0,,0.41888338327407837,,0,1,,0.42940953373908997,,0,0,,0.08965831249952316,
1,1,,0.5781828165054321,,0,0,,0.004944642540067434,,0,0,,0.05604277923703194,
0,1,,0.3541409373283386,,0,0,,0.06303613632917404,,1,0,,0.0972343236207962,
0,0,,0.07932532578706741,,0,0,,0.01260933093726635,,0,0,,0.10807052254676819,
1,1,,0.23676416277885437,,1,1,,0.7816951274871826,,0,1,,0.5934813022613525,
0,0,,0.6242530941963196,,1,0,,0.5577002763748169,,0,0,,0.15738072991371155,
1,0,,0.16458632051944733,,1,0,,0.5465767979621887,,0,0,,0.16345587372779846,
1,0,,0.1243571862578392,,1,1,,0.5055939555168152,,0,0,,0.028631454333662987,
1,0,,0.5658974647521973,,0,0,,0.005210829433053732,,0,0,,0.2606503367424011,
0,1,,0.6242530941963196,,0,0,,0.05604277923703194,,1,0,,0.16996930539608002,
0,0,,0.028631454333662987,,0,0,,0.008138095028698444,,0,0,,0.14494355022907257,
0,1,,0.8596913814544678,,0,0,,0.01811346225440502,,0,0,,0.005021711811423302,
0,0,,0.44881072640419006,,1,0,,0.23676416277885437,,1,1,,0.1541329324245453,
1,0,,0.2265479415655136,,0,0,,0.17394064366817474,,1,0,,0.1008460596203804,
