iter,time,total_time,circuit_size,cross_entropy_D,cross_entropy_Df,train_discrimination,valid_discrimination,test_discrimination,train_mll,valid_mll,test_mll,struct?,stop?,P(D),P(Df),P(S),"P(D|Df,S)","P(D|Df,notS)","P(D|notDf,S)","P(D|notDf,notS)"
0,0.056191878,0.056191878,373,0.4339566140613755,0.4339566140613755,-0.025166178515633242,-0.030488501740181473,-0.02400993001618773,-6.073096671723324,-6.008898921953453,-6.092394798297492,true,,0.2709194312796209,0.0,0.3315071090047393,0.0,0.0,0.0,0.0
1,4.387599239,4.443791117,375,0.4339566140613755,0.4339566140613755,-0.025166178515633242,-0.030488501740181473,-0.02400993001618773,-6.073096671723324,-6.008898921953453,-6.092394798297492,true,,0.2709194312796209,0.0,0.3315071090047393,0.0,0.0,0.0,0.0
2,0.390593177,4.834384294,376,0.43403615439177007,0.43403615439177007,-0.024944721665495106,-0.030404761614041376,-0.023743740489418186,-6.072076132337807,-6.008722492697238,-6.091370531526153,true,,0.2709194312796209,0.0,0.3315071090047393,0.0,0.0,0.0,0.0
3,0.172336169,5.006720463000001,376,0.43403615439177007,0.43403615439177007,-0.024944721665495106,-0.030404761614041376,-0.023743740489418186,-6.072076132337807,-6.008722492697238,-6.0913705315261515,true,,0.2709194312796209,0.0,0.3315071090047393,0.0,0.0,0.0,0.0
4,0.030400458,5.0371209210000005,379,0.43405676972920576,0.43405676972920576,-0.02500134887053357,-0.03051080327659933,-0.02396386273922757,-6.071995968945816,-6.008740334650118,-6.091624604096061,true,,0.2709194312796209,0.0,0.3315071090047393,0.0,0.0,0.0,0.0
5,0.083620888,5.120741809,381,0.43405655502954865,0.43405655502954865,-0.0250035163668888,-0.030513028422345878,-0.023966077459378732,-6.071995968102481,-6.008740430972865,-6.091624105682236,true,,0.2709194312796209,0.0,0.3315071090047393,0.0,0.0,0.0,0.0
6,0.005070111,5.12581192,383,0.43405655502954865,0.43405655502954865,-0.0250035163668888,-0.030513028422345878,-0.023966077459378732,-6.071995968102481,-6.008740430972865,-6.091624105682236,true,,0.2709194312796209,0.0,0.3315071090047393,0.0,0.0,0.0,0.0
7,0.012265587,5.138077507,385,0.4352920998567187,0.4352920998567187,-0.02303817792039986,-0.028148814644659625,-0.022696310163376976,-6.066455104117418,-6.001111969130814,-6.083768749919579,true,,0.2709194312796209,0.0,0.3315071090047393,0.0,0.0,0.0,0.0
8,0.039495765,5.177573272,387,0.4352920998567187,0.4352920998567187,-0.02303817792039986,-0.028148814644659625,-0.022696310163376976,-6.066455104117418,-6.001111969130814,-6.083768749919579,true,,0.2709194312796209,0.0,0.3315071090047393,0.0,0.0,0.0,0.0
9,0.010303272,5.187876544,389,0.43529251498378513,0.43529251498378513,-0.023041022251817866,-0.02815153084435884,-0.022699381296979848,-6.06645510191463,-6.0011116341045865,-6.083768809574135,true,,0.2709194312796209,0.0,0.3315071090047393,0.0,0.0,0.0,0.0
