S train_x,D train_x,P(Df|e) train_x,P(D|e) train_x,P(Df) train_x,S valid_x,D valid_x,P(Df|e) valid_x,P(D|e) valid_x,P(Df) valid_x,S test_x,D test_x,P(Df|e) test_x,P(D|e) test_x,P(Df) test_x
0,0,,0.4949512779712677,,0,0,,0.015571878291666508,,0,0,,0.017845330759882927,
0,0,,0.513797402381897,,1,0,,0.11295940726995468,,1,0,,0.41365909576416016,
0,0,,0.11212514340877533,,1,0,,0.19762276113033295,,0,0,,0.18867400288581848,
1,0,,0.5430209636688232,,0,1,,0.6866406798362732,,0,0,,0.6875654458999634,
1,0,,0.7752041220664978,,0,0,,0.0749085545539856,,1,0,,0.31212085485458374,
0,1,,0.30679601430892944,,0,0,,0.04315238818526268,,0,0,,0.45118722319602966,
1,1,,0.6405261754989624,,0,0,,0.3970585763454437,,1,0,,0.16314271092414856,
0,1,,0.9159687161445618,,0,1,,0.49825936555862427,,0,0,,0.18810604512691498,
0,1,,0.4666050374507904,,0,0,,0.38851580023765564,,0,0,,0.16662125289440155,
0,1,,0.5916694402694702,,0,0,,0.18810604512691498,,0,1,,0.3315287232398987,
1,0,,0.1858861744403839,,1,0,,0.19938619434833527,,0,0,,0.18810604512691498,
0,0,,0.14866071939468384,,1,0,,0.48937973380088806,,0,0,,0.19695483148097992,
0,1,,0.25954189896583557,,0,1,,0.6866406798362732,,0,0,,0.4313056170940399,
0,0,,0.16252455115318298,,1,0,,0.3157176077365875,,1,0,,0.21452227234840393,
0,0,,0.00817581545561552,,1,0,,0.3354118764400482,,0,0,,0.056420620530843735,
0,0,,0.3507809340953827,,1,0,,0.26539525389671326,,0,0,,0.07797722518444061,
1,1,,0.3105553090572357,,0,0,,0.015571878291666508,,0,0,,0.044464994221925735,
0,1,,0.6866406798362732,,0,1,,0.33501899242401123,,1,0,,0.1276087760925293,
1,0,,0.0632920116186142,,0,0,,0.49825936555862427,,1,0,,0.1589009165763855,
0,0,,0.10512900352478027,,1,0,,0.39829912781715393,,1,0,,0.7914473414421082,
0,0,,0.4313056170940399,,0,0,,0.009449344128370285,,0,1,,0.42083677649497986,
0,0,,0.017845330759882927,,1,0,,0.09246593713760376,,0,1,,0.7683103680610657,
0,1,,0.3248027563095093,,1,0,,0.19938619434833527,,1,0,,0.19762276113033295,
0,0,,0.18867400288581848,,0,0,,0.015571878291666508,,0,1,,0.40307581424713135,
0,0,,0.18325908482074738,,0,0,,0.007027368526905775,,1,0,,0.16905520856380463,
0,0,,0.04519977420568466,,0,0,,0.0031102171633392572,,0,1,,0.14866071939468384,
0,0,,0.08611813932657242,,0,1,,0.26161617040634155,,1,0,,0.4239954948425293,
0,0,,0.005017513409256935,,1,0,,0.14282409846782684,,0,0,,0.3507809340953827,
0,0,,0.030362335965037346,,0,0,,0.33501899242401123,,0,1,,0.5842984914779663,
0,1,,0.26972854137420654,,1,1,,0.6405261754989624,,1,0,,0.31212085485458374,
0,0,,0.6985852122306824,,0,1,,0.18867400288581848,,0,1,,0.6866406798362732,
