iter,time,total_time,circuit_size,cross_entropy_D,cross_entropy_Df,train_discrimination,valid_discrimination,test_discrimination,train_mll,valid_mll,test_mll,struct?,stop?,P(D),P(Df),P(S),"P(D|Df,S)","P(D|Df,notS)","P(D|notDf,S)","P(D|notDf,notS)"
0,1.069e-5,1.069e-5,2635,0.4328047135633316,0.4328047135633316,-0.028285705796018468,-0.0356952880956411,-0.0134565632049366,-6.028994,-6.0174417,-6.0429773,false,,0.271526066350711,0.271526066350711,0.33112796208530804,1.0,1.0,0.0,0.0
1,2.19028263,2.19029332,2635,0.43279702455465896,0.43280471310765883,-0.028285731577770923,-0.03569531218759936,-0.013456592367740383,-6.0289855,-6.0174375,-6.0429773,false,,0.27152103920869475,0.2715260711795211,0.3311279608729867,0.9997175141367364,0.9999072872265281,7.178750901030298e-5,4.081632616340202e-5
2,1.232970989,3.423264309,2635,0.432786206191669,0.4328090740811233,-0.028284363583794325,-0.03569681624610538,-0.01345304925223223,-6.0289702,-6.017424,-6.0429616,false,,0.2715133172209238,0.27153153527067536,0.3311279708347115,0.9992996400968622,0.9998270996926827,0.0001260818900966206,9.387667133545376e-5
3,1.257254982,4.6805192909999995,2635,0.43276822203674986,0.4328158589910519,-0.028269252513877685,-0.03568548658146903,-0.013434980744510494,-6.0289454,-6.0173974,-6.042936,false,,0.2715014681796166,0.27154454662064476,0.3311279550833846,0.9986823291656122,0.9997577190245527,0.00016719172100642567,0.0001622961398328039
4,1.258409163,5.938928453999999,2635,0.4327407997561581,0.43282592470338044,-0.028237509847697517,-0.03565891873783816,-0.013399100977947886,-6.0289073,-6.0173554,-6.042898,false,,0.2714834944054497,0.2715692258344622,0.3311279686519193,0.9977724263805146,0.9996976388536891,0.00019839835776346902,0.000249676738772618
5,1.230524971,7.169453424999999,2635,0.432700708219007,0.43284054367182917,-0.02818430078196482,-0.03561302622100443,-0.013340026411217676,-6.0288534,-6.0172944,-6.042844,false,,0.27145650999139065,0.27161245906004716,0.3311279475420015,0.996435771056572,0.9996455325078918,0.00022221170893958352,0.00036004791161693575
6,1.255904827,8.425358251999999,2635,0.43264349027372373,0.43286156521604124,-0.02810247888692119,-0.03554163557087586,-0.013249780150061286,-6.028777,-6.0172043,-6.042767,false,,0.27141648877342844,0.271685061327202,0.3311279760194342,0.9944819353565655,0.9996002228845421,0.0002405684110825427,0.0004977490488417324
7,1.25885153,9.684209781999998,2635,0.43256322387774865,0.43289169546746536,-0.02798146122933093,-0.035435547256091715,-0.013116669401367409,-6.0286694,-6.0170765,-6.042659,false,,0.271358072294068,0.2718033080214646,0.3311279596356268,0.9916463858428243,0.9995606513768625,0.00025498778405869615,0.000667241476515259
8,1.232690224,10.916900005999999,2635,0.43245242585365723,0.4329348869869282,-0.027806346453413122,-0.03528168100516965,-0.012924215864205946,-6.0285206,-6.016896,-6.042509,false,,0.2712744008511974,0.27199055309275544,0.33112795240837356,0.9875731963185339,0.9995258463388345,0.00026669589849059633,0.000872832987095927
9,1.256665312,12.173565317999998,2635,0.4323023775960291,0.4329969209862924,-0.02755685161869803,-0.035062052461215076,-0.012650036971089629,-6.0283175,-6.016643,-6.042304,false,,0.27115745905505173,0.27227879596658183,0.33112794909327736,0.9818059555564961,0.9994948906339164,0.000276726694806089,0.00111828927243543
10,1.2545486,13.428113917999998,2635,0.4321043071867934,0.43308621157718136,-0.027205938087654036,-0.034752252929012684,-0.01226437570142963,-6.028048,-6.016307,-6.0420313,false,,0.27099923343827176,0.272709286356137,0.3311279559958896,0.9738011260410818,0.9994668856150545,0.00028600762246569906,0.0014063003367471817
11,1.234388776,14.662502693999997,2635,0.43185181978549275,0.4332147945612127,-0.02672008194771286,-0.03432132468308252,-0.011730449888490146,-6.027701,-6.015865,-6.0416765,false,,0.27079431169479756,0.2733309631666134,0.3311279505953425,0.9629846201333865,0.9994409170323252,0.0002954286842515031,0.0017377811709978954
12,1.257726338,15.920229031999996,2635,0.4315445472239774,0.43339913405051045,-0.02606182028230236,-0.03373364937407253,-0.011007293204622126,-6.0272713,-6.015316,-6.041237,false,,0.2705438651975624,0.27419476394172493,0.33112798263188786,0.9488711717036213,0.999416022267664,0.00030589758708175546,0.0021110518267887144
13,1.257496065,17.177725096999996,2635,0.431192110889296,0.4336603057410502,-0.025195856780864834,-0.03295418361100927,-0.010056525687842155,-6.0267677,-6.0146613,-6.040716,false,,0.27026005802631,0.2753425456598968,0.33112795201694895,0.9312443978760246,0.9993911715967928,0.00031837082860433744,0.002521010942965157
14,1.233168124,18.410893220999995,2635,0.4308158720208413,0.4340225036426156,-0.02409971924518567,-0.03195849222585029,-0.00885399965880418,-6.0262127,-6.013927,-6.0401363,false,,0.2699684102817176,0.2767918166174528,0.3311279656170228,0.9103468951314331,0.9993652709925256,0.0003338574494467721,0.002958606660039944
15,1.256739596,19.667632816999994,2635,0.4304458887073942,0.43450905693707226,-0.022777344282407908,-0.030746347849249234,-0.007404557584526794,-6.0256443,-6.013159,-6.0395365,false,,0.26970429450659034,0.2785208261870869,0.33112795894004365,0.8869784495629693,0.9993372035208762,0.0003533862248273201,0.0034109532045227993
16,1.256147887,20.923780703999995,2635,0.43011304982857157,0.4351365193553055,-0.021267633541817654,-0.029350943347980274,-0.005751046595234233,-6.025104,-6.0124063,-6.038962,false,,0.2695029573802834,0.28046247568155713,0.3311279703180753,0.8624054831184151,0.9993059046161259,0.00037794691901116544,0.0038624231931768944
17,1.231459402,22.155240105999994,2635,0.4298399403433104,0.4359086983833889,-0.019642714353737212,-0.02783824157924414,-0.003972422804039033,-6.024627,-6.011717,-6.0384517,false,,0.269387457320679,0.2825133815507963,0.3311279747022028,0.8380819551279024,0.9992704627389523,0.0004084222663993101,0.004296716006505427
18,1.257468345,23.412708450999993,2635,0.429635618350365,0.4368138261392427,-0.017993593023026222,-0.026293629442971034,-0.0021678073314910784,-6.0242333,-6.0111217,-6.0380316,false,,0.2693612353264449,0.2845559585201654,0.3311279831235077,0.8153072575907959,0.9992302122131663,0.0004455327484846106,0.004699317496805179
19,1.256562045,24.669270495999992,2635,0.42949638234244947,0.43782609351387397,-0.016409211096270693,-0.024801866533039674,-0.0004339553791392614,-6.0239286,-6.010637,-6.037705,false,,0.26941012294913036,0.2864845327689571,0.3311279636270333,0.7949820998237017,0.9991847880454062,0.0004898124966313903,0.0050596025222682025
