S train_x,D train_x,P(Df|e) train_x,P(D|e) train_x,P(Df) train_x,S valid_x,D valid_x,P(Df|e) valid_x,P(D|e) valid_x,P(Df) valid_x,S test_x,D test_x,P(Df|e) test_x,P(D|e) test_x,P(Df) test_x
0,0,8.222927135648206e-5,0.0,0.29292074,0,0,0.008336647413671017,0.0,0.29292074,0,0,0.000871245632879436,0.0,0.29292074
1,0,0.9812160134315491,0.0,0.29292074,0,0,0.006861438043415546,0.0,0.29292074,1,0,0.026613648980855942,0.0,0.29292074
1,0,0.9930536150932312,0.0,0.29292074,1,1,0.9747089147567749,1.0,0.29292074,0,1,0.9840043187141418,1.0,0.29292074
0,1,0.9888849258422852,1.0,0.29292074,0,1,0.9971076250076294,1.0,0.29292074,0,0,0.0012502651661634445,0.0,0.29292074
0,1,0.9994932413101196,1.0,0.29292074,1,0,0.06627264618873596,0.0,0.29292074,0,0,0.0015612047864124179,0.0,0.29292074
0,1,0.99031001329422,1.0,0.29292074,0,0,0.005402729846537113,0.0,0.29292074,0,0,2.869086165446788e-5,0.0,0.29292074
0,0,0.0008190545486286283,0.0,0.29292074,0,1,0.9927685856819153,1.0,0.29292074,0,0,0.0007915257592685521,0.0,0.29292074
0,0,5.16364598297514e-5,0.0,0.29292074,0,0,0.002053556963801384,0.0,0.29292074,0,0,0.0005653764819726348,0.0,0.29292074
0,0,9.155806037597358e-5,0.0,0.29292074,0,0,0.10621233284473419,0.0,0.29292074,1,1,0.9555760622024536,1.0,0.29292074
0,0,0.004077015910297632,0.0,0.29292074,1,0,0.04289817437529564,0.0,0.29292074,0,0,0.0019029645482078195,0.0,0.29292074
1,1,0.9035524725914001,1.0,0.29292074,1,0,0.22536158561706543,0.0,0.29292074,0,0,0.004077015910297632,0.0,0.29292074
0,1,0.9973458647727966,1.0,0.29292074,1,0,0.08693154156208038,0.0,0.29292074,0,0,0.022140298038721085,0.0,0.29292074
1,0,0.012704609893262386,0.0,0.29292074,1,0,0.08331245183944702,0.0,0.29292074,0,1,0.9911466240882874,1.0,0.29292074
0,0,0.0007954319007694721,0.0,0.29292074,0,0,0.000896984594874084,0.0,0.29292074,0,0,8.222927135648206e-5,0.0,0.29292074
0,0,0.006471489556133747,0.0,0.29292074,0,0,0.0017122949939221144,0.0,0.29292074,0,0,0.018707191571593285,0.0,0.29292074
1,0,0.11271470040082932,0.0,0.29292074,0,0,3.08405069517903e-5,0.0,0.29292074,0,1,0.9973458647727966,1.0,0.29292074
0,1,0.9973458647727966,1.0,0.29292074,0,0,1.556560346216429e-5,0.0,0.29292074,0,0,0.002646001288667321,0.0,0.29292074
0,0,9.155806037597358e-5,0.0,0.29292074,1,0,0.22536158561706543,0.0,0.29292074,0,0,0.001093944301828742,0.0,0.29292074
0,1,0.9924571514129639,1.0,0.29292074,0,1,0.9909992218017578,0.9999996423721313,0.29292074,1,0,0.2571856379508972,0.0,0.29292074
0,0,0.0006081596366129816,0.0,0.29292074,1,0,0.11271470040082932,0.0,0.29292074,0,1,0.5771341919898987,1.0,0.29292074
0,0,0.001879935385659337,0.0,0.29292074,0,0,0.004558501299470663,0.0,0.29292074,0,0,0.002053556963801384,0.0,0.29292074
0,0,0.00032269186340272427,0.0,0.29292074,1,0,0.021248016506433487,0.0,0.29292074,0,0,0.0003220573125872761,0.0,0.29292074
0,0,0.00016689719632267952,0.0,0.29292074,1,0,0.17680257558822632,0.0,0.29292074,1,0,0.03617921844124794,0.0,0.29292074
0,0,0.0007796222344040871,0.0,0.29292074,0,0,0.004077015910297632,0.0,0.29292074,0,0,0.006590618286281824,0.0,0.29292074
0,0,0.00018946934142149985,0.0,0.29292074,0,0,1.4085517250350676e-5,0.0,0.29292074,1,0,0.07442785799503326,0.0,0.29292074
1,0,0.21717295050621033,0.0,0.29292074,1,0,0.17680257558822632,0.0,0.29292074,0,0,9.155806037597358e-5,0.0,0.29292074
0,1,0.9744352102279663,0.9999993443489075,0.29292074,0,0,0.022140298038721085,0.0,0.29292074,1,0,0.09883187711238861,0.0,0.29292074
0,0,0.01541352178901434,0.0,0.29292074,1,0,0.11271470040082932,0.0,0.29292074,1,0,0.05479225143790245,0.0,0.29292074
0,0,0.001879935385659337,0.0,0.29292074,0,0,8.222927135648206e-5,0.0,0.29292074,0,0,0.0002052872587228194,0.0,0.29292074
0,0,0.014174003154039383,0.0,0.29292074,0,0,0.002053556963801384,0.0,0.29292074,0,1,0.9959092736244202,0.9999999403953552,0.29292074
0,0,0.018707191571593285,0.0,0.29292074,0,0,2.869086165446788e-5,0.0,0.29292074,0,0,0.00015683550736866891,0.0,0.29292074
1,0,0.059946849942207336,0.0,0.29292074,0,0,0.0017122949939221144,0.0,0.29292074,0,1,0.949209988117218,0.9999998807907104,0.29292074
0,0,1.4085517250350676e-5,0.0,0.29292074,0,0,2.834621955116745e-5,0.0,0.29292074,1,1,0.938154935836792,1.0,0.29292074
0,1,0.9970406293869019,0.9999999403953552,0.29292074,1,0,0.028162233531475067,0.0,0.29292074,0,0,0.0005078757531009614,0.0,0.29292074
1,0,0.17680257558822632,0.0,0.29292074,1,0,0.05869116261601448,0.0,0.29292074,1,0,0.07783498615026474,0.0,0.29292074
0,0,0.004266210366040468,0.0,0.29292074,1,0,0.021768055856227875,0.0,0.29292074,1,0,0.3007194697856903,0.0,0.29292074
0,0,0.0015612047864124179,0.0,0.29292074,1,0,0.08905988186597824,0.0,0.29292074,0,1,0.99564528465271,0.9999997019767761,0.29292074
1,0,0.8264669179916382,0.0,0.29292074,1,0,0.05869116261601448,0.0,0.29292074,0,1,0.9882975816726685,1.0,0.29292074
1,0,0.0174020454287529,0.0,0.29292074,1,1,0.9998571872711182,1.0,0.29292074,0,1,0.9765101671218872,0.9999999403953552,0.29292074
1,1,0.9999582767486572,1.0,0.29292074,0,1,0.9973458647727966,1.0,0.29292074,1,0,0.021765781566500664,0.0,0.29292074
0,1,0.962894856929779,0.9999995827674866,0.29292074,0,1,0.9935551881790161,0.9999999403953552,0.29292074,0,0,7.540394290117547e-5,0.0,0.29292074
0,0,0.0018112935358658433,0.0,0.29292074,0,0,0.018707191571593285,0.0,0.29292074,0,0,0.0034803859889507294,0.0,0.29292074
0,0,0.0006327044684439898,0.0,0.29292074,1,1,0.8900741338729858,1.0,0.29292074,1,0,0.09883187711238861,0.0,0.29292074
0,0,0.003325583878904581,0.0,0.29292074,1,0,0.02766450121998787,0.0,0.29292074,0,0,0.003001490607857704,0.0,0.29292074
0,0,0.008141130208969116,0.0,0.29292074,1,0,0.17680257558822632,0.0,0.29292074,0,0,0.00044877533218823373,0.0,0.29292074
0,0,2.3324704670812935e-5,0.0,0.29292074,1,0,0.17680257558822632,0.0,0.29292074,1,0,0.04549581930041313,0.0,0.29292074
0,0,0.002053556963801384,0.0,0.29292074,1,1,0.43397408723831177,1.0,0.29292074,0,0,0.0007915257592685521,0.0,0.29292074
0,1,0.9968492388725281,1.0,0.29292074,1,0,0.028162233531475067,0.0,0.29292074,0,0,0.0006447294726967812,0.0,0.29292074
0,0,0.002053556963801384,0.0,0.29292074,0,0,9.155806037597358e-5,0.0,0.29292074,0,0,0.0014640155714005232,0.0,0.29292074
1,0,0.08331245183944702,0.0,0.29292074,0,1,0.9974262714385986,0.9999996423721313,0.29292074,0,1,0.9699301719665527,1.0,0.29292074
0,1,0.994205892086029,1.0,0.29292074,0,0,8.222927135648206e-5,0.0,0.29292074,0,0,0.004077015910297632,0.0,0.29292074
0,0,0.00018946934142149985,0.0,0.29292074,0,0,0.0002052872587228194,0.0,0.29292074,0,0,9.155806037597358e-5,0.0,0.29292074
0,0,8.169992361217737e-5,0.0,0.29292074,0,0,0.0028721222188323736,0.0,0.29292074,1,0,0.02832694724202156,0.0,0.29292074
1,0,0.19486594200134277,0.0,0.29292074,1,0,0.02832694724202156,0.0,0.29292074,0,1,0.9958268404006958,1.0,0.29292074
0,1,0.9958268404006958,1.0,0.29292074,0,1,0.9803779721260071,0.9999998211860657,0.29292074,0,1,0.9973458647727966,1.0,0.29292074
0,0,0.00018946934142149985,0.0,0.29292074,1,0,0.025277985259890556,0.0,0.29292074,0,0,0.0009880041470751166,0.0,0.29292074
0,0,0.0002349228016100824,0.0,0.29292074,0,0,0.00820370577275753,0.0,0.29292074,0,0,0.002254017163068056,0.0,0.29292074
0,0,2.869086165446788e-5,0.0,0.29292074,0,0,7.540394290117547e-5,0.0,0.29292074,0,0,7.540394290117547e-5,0.0,0.29292074
0,0,0.004266210366040468,0.0,0.29292074,1,1,0.8809641599655151,0.9999998211860657,0.29292074,0,0,0.0031392090022563934,0.0,0.29292074
0,0,0.0006722193211317062,0.0,0.29292074,1,0,0.09883187711238861,0.0,0.29292074,0,0,8.222927135648206e-5,0.0,0.29292074
1,0,0.02832694724202156,0.0,0.29292074,0,0,0.021103212609887123,0.0,0.29292074,1,0,0.06627264618873596,0.0,0.29292074
0,0,0.002053556963801384,0.0,0.29292074,0,0,1.4085517250350676e-5,0.0,0.29292074,1,0,0.10799477249383926,0.0,0.29292074
0,0,0.00010639513493515551,0.0,0.29292074,1,1,0.9998571872711182,1.0,0.29292074,0,0,9.857110126176849e-5,0.0,0.29292074
1,0,0.38432538509368896,0.0,0.29292074,0,1,0.9912870526313782,0.9999995827674866,0.29292074,0,0,0.000871245632879436,0.0,0.29292074
1,1,0.9611365795135498,0.9999994039535522,0.29292074,0,0,2.834621955116745e-5,0.0,0.29292074,0,0,0.0004922594525851309,0.0,0.29292074
0,1,0.9905017614364624,1.0,0.29292074,0,0,0.0004843772330787033,0.0,0.29292074,1,0,0.021768055856227875,0.0,0.29292074
0,0,0.0006987202214077115,0.0,0.29292074,0,0,8.222927135648206e-5,0.0,0.29292074,0,0,0.0010661407141014934,0.0,0.29292074
1,1,0.8789767622947693,1.0,0.29292074,1,1,0.9996784329414368,1.0,0.29292074,0,1,0.9961657524108887,0.9999998807907104,0.29292074
0,0,0.022140298038721085,0.0,0.29292074,1,0,0.28157225251197815,0.0,0.29292074,0,0,0.0017122949939221144,0.0,0.29292074
1,0,0.08693154156208038,0.0,0.29292074,1,0,0.5672242045402527,0.0,0.29292074,0,0,0.001879935385659337,0.0,0.29292074
1,0,0.021765781566500664,0.0,0.29292074,1,0,0.5579957962036133,0.0,0.29292074,0,0,0.0002052872587228194,0.0,0.29292074
1,0,0.8327099084854126,0.0,0.29292074,0,0,3.08405069517903e-5,0.0,0.29292074,0,0,0.003642390249297023,0.0,0.29292074
0,1,0.9973458647727966,1.0,0.29292074,0,0,0.0004922594525851309,0.0,0.29292074,1,0,0.10931999981403351,0.0,0.29292074
0,0,0.0002052872587228194,0.0,0.29292074,0,0,4.672663635574281e-5,0.0,0.29292074,0,0,0.0015612047864124179,0.0,0.29292074
0,1,0.9994767904281616,0.9999995827674866,0.29292074,0,0,0.00011715067375916988,0.0,0.29292074,0,0,2.7370509997126646e-5,0.0,0.29292074
0,1,0.9927685856819153,1.0,0.29292074,1,0,0.17408010363578796,0.0,0.29292074,1,0,0.059946849942207336,0.0,0.29292074
1,0,0.15004102885723114,0.0,0.29292074,0,0,0.002053556963801384,0.0,0.29292074,1,0,0.025277985259890556,0.0,0.29292074
0,0,3.08405069517903e-5,0.0,0.29292074,0,0,2.7370509997126646e-5,0.0,0.29292074,0,0,8.222927135648206e-5,0.0,0.29292074
0,1,0.9968492388725281,1.0,0.29292074,0,0,0.003642390249297023,0.0,0.29292074,0,0,0.014174003154039383,0.0,0.29292074
