S train_x,D train_x,P(Df|e) train_x,P(D|e) train_x,P(Df) train_x,S valid_x,D valid_x,P(Df|e) valid_x,P(D|e) valid_x,P(Df) valid_x,S test_x,D test_x,P(Df|e) test_x,P(D|e) test_x,P(Df) test_x
0,1,,0.33302411437034607,,0,0,,0.34123870730400085,,0,0,,0.1756950169801712,
0,0,,0.3863154947757721,,0,0,,0.3120706081390381,,0,0,,0.25108689069747925,
0,0,,0.21597349643707275,,0,0,,0.19011342525482178,,0,1,,0.2731875777244568,
0,1,,0.2598874568939209,,0,1,,0.4546932280063629,,0,0,,0.27531513571739197,
1,0,,0.773655354976654,,0,0,,0.219227135181427,,0,0,,0.16976359486579895,
1,0,,0.919616162776947,,0,0,,0.3329260051250458,,1,0,,0.07487645000219345,
1,0,,0.022497376427054405,,0,0,,0.27531513571739197,,0,0,,0.19064994156360626,
0,1,,0.39465609192848206,,0,0,,0.18810902535915375,,0,0,,0.4704733192920685,
1,1,,0.7919288277626038,,0,0,,0.3019549548625946,,1,0,,0.009028329513967037,
0,1,,0.555152952671051,,1,0,,0.05292665213346481,,0,0,,0.42338985204696655,
0,1,,0.49745914340019226,,0,0,,0.21383528411388397,,0,1,,0.4577849507331848,
0,1,,0.5042034387588501,,1,0,,0.915168046951294,,0,0,,0.23954737186431885,
1,0,,0.07511808723211288,,0,0,,0.5190716981887817,,0,1,,0.12855152785778046,
0,1,,0.24112030863761902,,0,1,,0.5668551921844482,,1,0,,0.6790303587913513,
0,0,,0.1622249186038971,,0,0,,0.25108689069747925,,1,0,,0.013833586126565933,
0,0,,0.23954737186431885,,0,0,,0.33565109968185425,,0,1,,0.21383528411388397,
0,1,,0.3329260051250458,,1,0,,0.24804899096488953,,0,0,,0.16976359486579895,
1,1,,0.439683198928833,,0,0,,0.2229832410812378,,1,0,,0.013833586126565933,
0,1,,0.4704733192920685,,0,1,,0.27531513571739197,,0,0,,0.34029561281204224,
1,0,,0.005302113480865955,,1,0,,0.10121073573827744,,1,0,,0.0165888462215662,
0,1,,0.3807252049446106,,1,0,,0.0374177023768425,,1,0,,0.6403585076332092,
1,0,,0.11387739330530167,,0,1,,0.3120706081390381,,0,1,,0.3329260051250458,
0,1,,0.4704733192920685,,0,1,,0.3065870702266693,,1,0,,0.43092983961105347,
