iter,time,total_time,circuit_size,cross_entropy_D,cross_entropy_Df,train_discrimination,valid_discrimination,test_discrimination,train_mll,valid_mll,test_mll,struct?,stop?,P(D),P(Df),P(S),"P(D|Df,S)","P(D|Df,notS)","P(D|notDf,S)","P(D|notDf,notS)"
0,1.077e-5,1.077e-5,2235,0.5433466509487841,0.5433466509487841,-0.11384467807506954,-0.11608744751888797,-0.1256060940766026,-6.166477,-6.1577053,-6.1747475,false,,0.31919693637673463,0.31919693637673463,0.33136801395313564,1.0,1.0,0.0,0.0
1,2.089058453,2.0890692229999996,2235,0.543301353221559,0.5433466481416279,-0.11384468221468483,-0.11608745174478063,-0.125606101341687,-6.166432,-6.157663,-6.174694,false,,0.3191645262709591,0.3191969469973278,0.3313680304243305,0.9994802494546157,0.9999329578959684,6.427561417883385e-5,4.912557128786005e-5
2,1.089154673,3.1782238959999995,2235,0.5430999259876438,0.5433618344884348,-0.11386734402981666,-0.11611209627757102,-0.12563290533192312,-6.166216,-6.1574483,-6.174468,false,,0.3190335812804375,0.31924640601911275,0.3313680378528039,0.997484998584166,0.9998895621422261,8.244383277632161e-5,0.00012788213770540609
3,1.099286889,4.277510785,2235,0.5423957559049478,0.5434406561659825,-0.11385160494854044,-0.1160956376802707,-0.12563285236895425,-6.165435,-6.156683,-6.1736345,false,,0.318527139330104,0.3194805767257267,0.3313680090496416,0.989994760811241,0.9998614341734722,8.771437122716021e-5,0.00025404237211588217
4,1.127409599,5.4049203839999995,2235,0.5401958766670835,0.5437593713040547,-0.1137070956225838,-0.11595152984841953,-0.12555166213436028,-6.1629486,-6.1542854,-6.1709733,false,,0.3167693702865093,0.3204016125876536,0.3313680425504076,0.9639653266596261,0.9998430729803337,8.96839241670685e-5,0.00045557056361127183
5,1.090225975,6.495146359,2235,0.5352430512178429,0.5450845019926895,-0.11258170058023478,-0.11485791980809784,-0.12466305902949518,-6.157007,-6.1486335,-6.1645775,false,,0.31205441883471813,0.32336175244534,0.3313680129974135,0.8913537816658029,0.9998306422763986,9.178699197133543e-5,0.0007743535809852697
6,1.101997149,7.597143507999999,2235,0.5288863818860402,0.5496363817243051,-0.10762927213280146,-0.11005000238370152,-0.12033081987540747,-6.148143,-6.1402173,-6.154861,false,,0.3045851125790237,0.33016960182756205,0.3313679963795068,0.7611474566844044,0.9998208804330483,9.619320879959192e-5,0.00126374917244298
7,1.124958756,8.722102264,2235,0.5243285152385931,0.5597203199791014,-0.09721009219549492,-0.0998394832112523,-0.11085618998740501,-6.1398706,-6.1322355,-6.145386,false,,0.29888273727745157,0.3403414682325537,0.3313680241575103,0.6248742060717521,0.9998104609459224,0.00010328618329310002,0.0019676423578652872
8,1.08878605,9.810888314,2235,0.5220086176712655,0.5744192422579681,-0.08449160525599125,-0.08719824861599101,-0.0990584016896553,-6.13408,-6.126412,-6.1382923,false,,0.29705358860345454,0.3510548582440061,0.331368020127929,0.5251877672117438,0.9997969439464198,0.00011038749921389991,0.002896438420619852
9,1.101960935,10.912849248999999,2235,0.5209927959687269,0.590788433106451,-0.07265465495379841,-0.0752683309697239,-0.08794160747709279,-6.1304927,-6.122572,-6.133534,false,,0.2976394693142069,0.36037088507421366,0.33136803274751525,0.4604659604705948,0.9997797175164627,0.00011539751995150006,0.0040354619294801905
10,1.123302484,12.036151732999999,2235,0.5206052241406895,0.6063360389182066,-0.06287072322233184,-0.06531282637225111,-0.07868742208502949,-6.128361,-6.1201024,-6.130456,false,,0.29914783619813723,0.3677463213599579,0.33136804180431934,0.41874014664429965,0.9997592233524455,0.00011841826264962911,0.0053646367224710395
11,1.088859049,13.125010781999999,2235,0.520497483999985,0.6201390239059851,-0.05520996065510558,-0.05748764060840522,-0.07141897830278227,-6.127102,-6.1184998,-6.1284747,false,,0.30081774415805856,0.37327157992314997,0.33136799909991527,0.39129095857375906,0.9997361568656508,0.00012027557302294911,0.006868891169375136
12,1.099984742,14.224995523999999,2235,0.5204997875813496,0.6321652953203684,-0.049365902874726364,-0.05152572733130878,-0.06587194721372114,-6.1263413,-6.117428,-6.1271853,false,,0.3023434010732495,0.3772267738478811,0.3313680275198856,0.3728636876226066,0.999711193656302,0.00012158792952812559,0.00854209010466277
13,1.124990573,15.349986096999999,2235,0.5205315501274452,0.6424270102781854,-0.04496179515764592,-0.04705638330719064,-0.06169675392024676,-6.1258597,-6.1166773,-6.126329,false,,0.30363401797420025,0.3799120400531007,0.33136801932570836,0.36031842940277575,0.999684927487418,0.0001226633395373656,0.010387503241206965
14,1.090192274,16.440178371,2235,0.5205564604929706,0.650955240494728,-0.04165596696645668,-0.04373002395935793,-0.05856951769615548,-6.1255293,-6.11612,-6.125743,false,,0.30468991551743235,0.3815900478507155,0.33136801768021024,0.35172491053969335,0.9996578583599045,0.00012362737325518047,0.012416541231292398
15,1.09796928,17.538147651,2235,0.5205598303220045,0.657876344746622,-0.039169351218727444,-0.041256747322259923,-0.0562234592673741,-6.125277,-6.1156774,-6.1253257,false,,0.3055446755367742,0.3824712569486871,0.33136801106688585,0.34585738594915305,0.9996303892286957,0.00012452796020763246,0.01464683033592102
16,1.126609267,18.664756918,2235,0.5205370427496714,0.6634127794440889,-0.03728467438621297,-0.039409423502755614,-0.05445014785319169,-6.125064,-6.115303,-6.1250143,false,,0.3062397167132679,0.3827157970426758,0.33136803020851235,0.3419164251077773,0.9996028275378457,0.0001253859343943556,0.017100330271219124
17,1.088800231,19.753557149,2235,0.5204878402516739,0.6678182382698602,-0.03583650088310314,-0.03801474446794334,-0.053090691309464755,-6.124865,-6.114964,-6.1247663,false,,0.30681395715629417,0.3824410303171075,0.3313679918726947,0.33936966252966005,0.9995753892871805,0.00012621419503669026,0.019801698323665323
