S train_x,D train_x,P(Df|e) train_x,P(D|e) train_x,P(Df) train_x,S valid_x,D valid_x,P(Df|e) valid_x,P(D|e) valid_x,P(Df) valid_x,S test_x,D test_x,P(Df|e) test_x,P(D|e) test_x,P(Df) test_x
0,1,0.5558757781982422,1.0,0.15655334,0,1,0.06913688778877258,1.0,0.15655334,0,1,0.8061039447784424,1.0,0.15655334
0,0,0.03659350797533989,0.0,0.15655334,1,1,0.9998257160186768,1.0,0.15655334,1,0,0.017796503379940987,0.0,0.15655334
0,0,0.00016017195594031364,0.0,0.15655334,0,0,0.0013458580942824483,0.0,0.15655334,0,1,0.5946100354194641,0.9999998807907104,0.15655334
1,0,0.9519917964935303,0.0,0.15655334,0,1,0.2859248220920563,1.0,0.15655334,0,0,0.08565458655357361,0.0,0.15655334
1,0,0.9879644513130188,0.0,0.15655334,1,0,0.0005224221968092024,0.0,0.15655334,0,0,0.009347418323159218,0.0,0.15655334
1,0,0.0033016682136803865,0.0,0.15655334,0,1,0.3725574314594269,0.9999997019767761,0.15655334,0,1,0.0026569755282253027,0.9999996423721313,0.15655334
0,1,0.49371424317359924,0.9999997019767761,0.15655334,0,0,0.00042485870653763413,0.0,0.15655334,1,0,0.0014086606679484248,0.0,0.15655334
0,1,0.8254051208496094,1.0,0.15655334,1,0,0.043134965002536774,0.0,0.15655334,0,0,0.009347418323159218,0.0,0.15655334
0,1,0.4501529037952423,1.0,0.15655334,1,0,0.028936225920915604,0.0,0.15655334,1,0,0.010564874857664108,0.0,0.15655334
1,0,0.0045955730602145195,0.0,0.15655334,0,0,0.06614670902490616,0.0,0.15655334,1,0,0.017114076763391495,0.0,0.15655334
0,1,0.10190312564373016,1.0,0.15655334,0,1,0.14094337821006775,1.0,0.15655334,1,0,0.6717036962509155,0.0,0.15655334
0,0,0.053321998566389084,0.0,0.15655334,1,0,0.001394562772475183,0.0,0.15655334,0,1,0.15650871396064758,1.0,0.15655334
0,0,0.0005700548063032329,0.0,0.15655334,0,1,0.5544970631599426,1.0,0.15655334,1,0,0.032440848648548126,0.0,0.15655334
0,0,0.00026203758898191154,0.0,0.15655334,0,1,0.5414127707481384,0.9999998807907104,0.15655334,0,0,0.017564477398991585,0.0,0.15655334
1,1,0.9986993074417114,1.0,0.15655334,0,1,0.0006277950596995652,0.9999998807907104,0.15655334,0,0,0.0033300365321338177,0.0,0.15655334
0,1,0.6426414847373962,0.9999999403953552,0.15655334,0,0,0.0020101419650018215,0.0,0.15655334,1,0,0.014519307762384415,0.0,0.15655334
0,0,0.007910145446658134,0.0,0.15655334,1,0,0.001880536088719964,0.0,0.15655334,1,1,0.9990798830986023,0.9999993443489075,0.15655334
0,1,0.6426414847373962,0.9999999403953552,0.15655334,0,0,0.08565458655357361,0.0,0.15655334,1,0,0.01058813463896513,0.0,0.15655334
0,0,0.00026203758898191154,0.0,0.15655334,0,1,0.21362124383449554,1.0,0.15655334,1,0,0.006597026251256466,0.0,0.15655334
0,0,0.011297429911792278,0.0,0.15655334,0,0,0.00425324309617281,0.0,0.15655334,0,1,0.08420183509588242,0.9999998807907104,0.15655334
0,1,0.06777816265821457,1.0,0.15655334,0,0,0.0021261766087263823,0.0,0.15655334,0,1,0.6196118593215942,0.9999999403953552,0.15655334
0,0,0.016832606866955757,0.0,0.15655334,0,1,0.923795223236084,0.9999999403953552,0.15655334,0,1,0.6426414847373962,0.9999999403953552,0.15655334
0,0,0.011171999387443066,0.0,0.15655334,1,0,0.0011150449281558394,0.0,0.15655334,0,1,0.004536859691143036,0.9999999403953552,0.15655334
0,0,0.0008430088055320084,0.0,0.15655334,0,0,0.00026203758898191154,0.0,0.15655334,0,1,0.002777794608846307,0.9999997019767761,0.15655334
0,1,0.039160121232271194,1.0,0.15655334,0,0,0.012712536379694939,0.0,0.15655334,0,0,0.0009088788647204638,0.0,0.15655334
0,1,0.00019981057266704738,0.9999999403953552,0.15655334,0,1,0.6476976871490479,0.9999999403953552,0.15655334,1,0,0.014519307762384415,0.0,0.15655334
0,0,0.00015318795340135694,0.0,0.15655334,1,0,0.008194916881620884,0.0,0.15655334,0,1,0.6426414847373962,0.9999999403953552,0.15655334
1,0,0.06968800723552704,0.0,0.15655334,1,0,0.017114076763391495,0.0,0.15655334,0,0,0.00016017195594031364,0.0,0.15655334
0,1,0.33824247121810913,1.0,0.15655334,1,0,0.001880536088719964,0.0,0.15655334,0,0,0.0071818227879703045,0.0,0.15655334
0,1,0.6067630648612976,1.0,0.15655334,0,1,0.8670166730880737,1.0,0.15655334,0,0,0.04384032264351845,0.0,0.15655334
0,1,0.22940491139888763,0.9999997615814209,0.15655334,1,0,0.01058813463896513,0.0,0.15655334,1,1,0.9999797344207764,1.0,0.15655334
0,1,0.6553463339805603,0.9999998211860657,0.15655334,1,0,0.0015070753870531917,0.0,0.15655334,0,0,7.204363646451384e-5,0.0,0.15655334
1,0,0.006531352177262306,0.0,0.15655334,1,0,0.006597026251256466,0.0,0.15655334,0,1,0.09484684467315674,1.0,0.15655334
0,1,0.0016718769911676645,0.9999999403953552,0.15655334,0,0,0.00016017195594031364,0.0,0.15655334,0,1,0.22940491139888763,0.9999997615814209,0.15655334
0,0,0.0433342345058918,0.0,0.15655334,1,0,0.5899407863616943,0.0,0.15655334,0,1,0.14094337821006775,1.0,0.15655334
