S train_x,D train_x,P(Df|e) train_x,P(D|e) train_x,P(Df) train_x,S valid_x,D valid_x,P(Df|e) valid_x,P(D|e) valid_x,P(Df) valid_x,S test_x,D test_x,P(Df|e) test_x,P(D|e) test_x,P(Df) test_x
0,1,0.9987398982048035,1.0,0.8568656,1,1,0.9999956488609314,1.0,0.8568656,1,0,0.001335557783022523,0.0,0.8568656
0,1,0.9987398982048035,1.0,0.8568656,1,1,0.9734073877334595,1.0,0.8568656,1,1,0.9724953174591064,1.0,0.8568656
0,1,0.9987398982048035,1.0,0.8568656,0,1,0.9987398982048035,1.0,0.8568656,1,1,0.9998459219932556,1.0,0.8568656
0,1,0.9969246983528137,1.0,0.8568656,1,1,0.9997239112854004,1.0,0.8568656,0,1,0.9898755550384521,0.9999998807907104,0.8568656
0,1,0.9969246983528137,1.0,0.8568656,1,0,0.001335557783022523,0.0,0.8568656,1,1,0.999999463558197,0.9999999403953552,0.8568656
0,1,0.9969246983528137,1.0,0.8568656,1,1,0.9999991059303284,1.0,0.8568656,1,1,0.9997475147247314,0.9999999403953552,0.8568656
1,0,0.001335557783022523,0.0,0.8568656,0,1,0.989000678062439,1.0,0.8568656,0,1,0.9987398982048035,1.0,0.8568656
1,1,0.9724953174591064,1.0,0.8568656,1,1,0.9994869828224182,0.9999998807907104,0.8568656,1,1,0.9998459219932556,1.0,0.8568656
1,1,0.9999956488609314,1.0,0.8568656,1,1,0.9729830622673035,1.0,0.8568656,0,1,0.9870957732200623,1.0,0.8568656
1,1,0.9999956488609314,1.0,0.8568656,0,1,0.989000678062439,1.0,0.8568656,0,1,0.9987398982048035,1.0,0.8568656
1,1,0.9997475147247314,0.9999999403953552,0.8568656,0,1,0.989000678062439,1.0,0.8568656,1,0,0.0013825956266373396,0.0,0.8568656
1,1,0.9997475147247314,0.9999999403953552,0.8568656,0,1,0.9986801743507385,1.0,0.8568656,0,1,0.989000678062439,1.0,0.8568656
1,1,0.9997475147247314,0.9999999403953552,0.8568656,1,1,0.9998459219932556,1.0,0.8568656,1,1,0.9994869828224182,0.9999998807907104,0.8568656
1,1,0.9734073877334595,1.0,0.8568656,0,1,0.9876207113265991,1.0,0.8568656,1,1,0.9994869828224182,0.9999998807907104,0.8568656
1,0,0.0013825956266373396,0.0,0.8568656,1,1,0.9999991059303284,1.0,0.8568656,0,1,0.9986801743507385,1.0,0.8568656
1,0,0.001335557783022523,0.0,0.8568656,1,1,0.9999908804893494,1.0,0.8568656,1,1,0.9999991059303284,1.0,0.8568656
1,1,0.9724953174591064,1.0,0.8568656,1,1,0.9997239112854004,1.0,0.8568656,1,1,0.9998971819877625,1.0,0.8568656
1,1,0.9998459219932556,1.0,0.8568656,1,1,0.9994869828224182,0.9999998807907104,0.8568656,1,1,0.9994869828224182,0.9999998807907104,0.8568656
1,1,0.9998459219932556,1.0,0.8568656,0,1,0.989000678062439,1.0,0.8568656,0,1,0.989000678062439,1.0,0.8568656
0,1,0.9898755550384521,0.9999998807907104,0.8568656,1,1,0.9997239112854004,1.0,0.8568656,1,0,0.0013825956266373396,0.0,0.8568656
0,1,0.9898755550384521,0.9999998807907104,0.8568656,1,1,0.9997239112854004,1.0,0.8568656,1,1,0.9994869828224182,0.9999998807907104,0.8568656
1,0,0.001335557783022523,0.0,0.8568656,0,1,0.9987398982048035,1.0,0.8568656,1,1,0.9999991059303284,1.0,0.8568656
1,1,0.9724953174591064,1.0,0.8568656,1,1,0.9724953174591064,1.0,0.8568656,1,1,0.9999322295188904,0.9999997019767761,0.8568656
1,1,0.9724953174591064,1.0,0.8568656,1,1,0.9999991059303284,1.0,0.8568656,1,0,0.0013825956266373396,0.0,0.8568656
0,1,0.9898755550384521,0.9999998807907104,0.8568656,1,1,0.9999991059303284,1.0,0.8568656,1,1,0.9724953174591064,1.0,0.8568656
0,1,0.9898755550384521,0.9999998807907104,0.8568656,0,1,0.9898755550384521,0.9999998807907104,0.8568656,1,1,0.9997239112854004,1.0,0.8568656
0,1,0.9898755550384521,0.9999998807907104,0.8568656,1,1,0.9997475147247314,0.9999999403953552,0.8568656,0,1,0.9987398982048035,1.0,0.8568656
0,1,0.9970309734344482,0.9999999403953552,0.8568656,1,1,0.9997475147247314,0.9999999403953552,0.8568656,0,1,0.9987398982048035,1.0,0.8568656
0,1,0.9970309734344482,0.9999999403953552,0.8568656,1,0,0.0013825956266373396,0.0,0.8568656,1,1,0.9994869828224182,0.9999998807907104,0.8568656
0,1,0.9970309734344482,0.9999999403953552,0.8568656,1,1,0.9994869828224182,0.9999998807907104,0.8568656,1,1,0.9999991059303284,1.0,0.8568656
1,1,0.999999463558197,0.9999999403953552,0.8568656,1,1,0.9994869828224182,0.9999998807907104,0.8568656,1,1,0.9999991059303284,1.0,0.8568656
