S train_x,D train_x,P(Df|e) train_x,P(D|e) train_x,P(Df) train_x,S valid_x,D valid_x,P(Df|e) valid_x,P(D|e) valid_x,P(Df) valid_x,S test_x,D test_x,P(Df|e) test_x,P(D|e) test_x,P(Df) test_x
0,1,,0.9222314357757568,,1,1,,0.5044615864753723,,1,0,,0.5015023350715637,
0,1,,0.9222314357757568,,1,1,,0.9918992519378662,,0,1,,0.9116185903549194,
0,1,,0.9222314357757568,,0,1,,0.9116185903549194,,0,1,,0.9116185903549194,
0,1,,0.9367464184761047,,1,0,,0.5044615864753723,,1,1,,0.9918992519378662,
0,1,,0.9367464184761047,,1,1,,0.9988176226615906,,0,1,,0.9222314357757568,
0,1,,0.9367464184761047,,0,1,,0.9222314357757568,,1,1,,0.9918992519378662,
1,0,,0.5044615864753723,,0,1,,0.9222314357757568,,0,0,,0.5489473938941956,
1,0,,0.5044615864753723,,0,1,,0.8929133415222168,,1,0,,0.5086988210678101,
1,1,,0.5044615864753723,,0,1,,0.8929133415222168,,1,1,,0.9979137182235718,
1,1,,0.9985940456390381,,1,1,,0.986477792263031,,1,1,,0.9979137182235718,
1,1,,0.9985940456390381,,1,0,,0.5015023350715637,,1,1,,0.986477792263031,
1,1,,0.9985940456390381,,1,1,,0.5044615864753723,,0,1,,0.9124165773391724,
1,1,,0.986477792263031,,1,1,,0.9753507971763611,,1,1,,0.9857479929924011,
1,1,,0.986477792263031,,1,1,,0.9979137182235718,,1,1,,0.9857479929924011,
1,1,,0.986477792263031,,0,0,,0.9022743701934814,,0,1,,0.9228503704071045,
1,1,,0.5015023350715637,,1,1,,0.9753507971763611,,1,1,,0.9938638210296631,
1,1,,0.5015023350715637,,1,1,,0.9938638210296631,,1,1,,0.5015023350715637,
1,0,,0.5044615864753723,,1,1,,0.9918992519378662,,1,1,,0.5015023350715637,
1,1,,0.5044615864753723,,1,1,,0.9918992519378662,,1,1,,0.9753507971763611,
1,1,,0.9918992519378662,,1,1,,0.9979137182235718,,1,1,,0.9753507971763611,
1,1,,0.9918992519378662,,0,1,,0.9022743701934814,,0,1,,0.9124165773391724,
0,1,,0.9116185903549194,,1,1,,0.9979137182235718,,1,1,,0.9753507971763611,
0,1,,0.9116185903549194,,1,0,,0.5015023350715637,,0,1,,0.9367464184761047,
1,1,,0.5044615864753723,,0,1,,0.9367464184761047,,0,1,,0.46004679799079895,
1,1,,0.5044615864753723,,0,1,,0.46004679799079895,,1,1,,0.9979137182235718,
0,1,,0.9116185903549194,,1,1,,0.9857479929924011,,1,1,,0.997715413570404,
0,1,,0.9418348670005798,,1,1,,0.9958873391151428,,0,1,,0.9116185903549194,
0,1,,0.9418348670005798,,1,1,,0.997715413570404,,0,1,,0.9222314357757568,
0,0,,0.9418348670005798,,1,0,,0.5015023350715637,,1,1,,0.9821062684059143,
1,1,,0.9988176226615906,,1,1,,0.5015023350715637,,1,1,,0.9979137182235718,
1,1,,0.9988176226615906,,1,0,,0.5044615864753723,,1,1,,0.9979137182235718,
1,1,,0.986477792263031,,1,1,,0.9857479929924011,,1,1,,0.9992925524711609,
1,1,,0.986477792263031,,0,1,,0.9222314357757568,,1,0,,0.5015023350715637,
1,1,,0.986477792263031,,1,1,,0.9979487657546997,,0,1,,0.9066110253334045,
1,1,,0.9918992519378662,,1,1,,0.9821062684059143,,0,1,,0.9116185903549194,
1,1,,0.9918992519378662,,1,0,,0.5213542580604553,,0,0,,0.5069589018821716,
0,1,,0.9116185903549194,,1,1,,0.9979137182235718,,0,1,,0.9116185903549194,
0,1,,0.9116185903549194,,1,1,,0.5015023350715637,,1,1,,0.9946709871292114,
0,1,,0.9116185903549194,,0,1,,0.9066110253334045,,1,1,,0.986477792263031,
0,1,,0.9124165773391724,,0,1,,0.9367464184761047,,1,1,,0.9979137182235718,
0,0,,0.9124165773391724,,0,1,,0.9367464184761047,,0,1,,0.9124165773391724,
0,1,,0.9124165773391724,,1,1,,0.5194782018661499,,0,1,,0.5527362823486328,
1,1,,0.9857479929924011,,1,0,,0.48122042417526245,,1,1,,0.9979137182235718,
1,1,,0.9857479929924011,,1,1,,0.986477792263031,,0,1,,0.46004679799079895,
1,1,,0.9857479929924011,,1,1,,0.9958488941192627,,1,1,,0.9991798996925354,
1,1,,0.9918992519378662,,0,1,,0.9124165773391724,,0,1,,0.9116185903549194,
