iter,time,total_time,circuit_size,cross_entropy_D,cross_entropy_Df,train_discrimination,valid_discrimination,test_discrimination,train_mll,valid_mll,test_mll,struct?,stop?,P(D),P(Df),P(S),"P(D|Df,S)","P(D|Df,notS)","P(D|notDf,S)","P(D|notDf,notS)"
0,9.14e-6,9.14e-6,992,0.2725960018145823,0.2725960018145823,0.012622924698512894,0.01594549265351164,0.009870789313211947,-3.994154,-3.9970305,-3.9879036,false,,0.8575346967666911,0.8575346967666911,0.6785777485653615,1.0,1.0,0.0,0.0
1,1.546710048,1.546719188,992,0.27259507075532163,0.2725960032832805,0.012622911747247723,0.01594548104268212,0.00987077833047234,-3.994153,-3.9970293,-3.9878988,false,,0.8575335540943194,0.8575347006895935,0.6785777518228983,0.9999787052816133,0.9999521210390565,0.000148632577375252,0.0002199736140813339
2,0.60679143,2.153510618,992,0.2725918495769547,0.2725963442746636,0.012622093339149099,0.01594586434397338,0.009869707624006407,-3.9941492,-3.9970253,-3.9878957,false,,0.8575330789851969,0.8575375559572019,0.6785777496356141,0.9999608692601433,0.9998893694149108,0.00032089571614102265,0.00038796492776307906
3,0.631063645,2.7845742629999997,992,0.2725865071413245,0.2725973677192285,0.012614685305952444,0.01593976844999112,0.00986209514543257,-3.9941432,-3.997019,-3.9878912,false,,0.8575331135677371,0.8575437838587279,0.6785777457833525,0.999945905577549,0.9998071701065007,0.000520485382005271,0.000516375882127178
4,0.604216233,3.3887904959999995,992,0.27257872215786627,0.2725991019392251,0.01260035806166393,0.015926940959346325,0.009847646577941904,-3.9941332,-3.9970098,-3.9878845,false,,0.8575335503669714,0.8575543535086931,0.678577757187595,0.9999333296416725,0.9996995941732777,0.000751620167389062,0.0006147079564791782
5,0.625884453,4.014674949,992,0.27256808005819316,0.2726016661329004,0.01257800064909842,0.0159064031827153,0.009825265153523777,-3.99412,-3.996996,-3.9878757,false,,0.8575342844691608,0.8575707115522937,0.6785777586278341,0.9999227394265022,0.9995589891065647,0.0010190948453850423,0.0006902465210031875
6,0.605217318,4.619892267,992,0.2725539524463642,0.2726051773941487,0.01254655982307129,0.015877224275612223,0.009793939020261377,-3.9941032,-3.9969785,-3.9878645,false,,0.8575351435122421,0.8575948172346453,0.6785777608551063,0.9999137996101385,0.9993755317462454,0.0013283268195043198,0.0007485910657569005
7,0.604326794,5.224219061,992,0.2725356252261064,0.2726099110238515,0.012503665236346051,0.015837191107229365,0.009751363136016433,-3.99408,-3.996955,-3.9878492,false,,0.8575360755952782,0.8576294623494294,0.678577746205933,0.9999062291901256,0.999136703866972,0.0016853927204079177,0.0007940640770703527
8,0.632522947,5.856742008,992,0.27251207601951233,0.2726161099229548,0.012447307192958168,0.015784490532245843,0.009695597017427504,-3.9940503,-3.996925,-3.9878309,false,,0.8575368881119044,0.8576781676672416,0.6785777483376725,0.9998997907749371,0.9988267000896414,0.0020970344685287768,0.0008300258421184938
9,0.603553072,6.46029508,992,0.27248218755580855,0.2726242402238974,0.012373822755662345,0.01571569321359123,0.009623053377895707,-3.9940133,-3.9968865,-3.9878066,false,,0.8575374257470175,0.8577455321353291,0.6785777537975968,0.9998942820843496,0.9984258156759065,0.002570626489997909,0.0008591211730997758
10,0.625715948,7.086011028,992,0.27244456446903415,0.272634838658601,0.012279085223934172,0.015626964704385737,0.009529747456828441,-3.9939663,-3.996839,-3.9877765,false,,0.8575374791907683,0.8578373085230334,0.6785777466448455,0.9998895287304531,0.9979098854662075,0.0031140810080888003,0.0008834719479297136
11,0.605752823,7.691763850999999,992,0.2723976627670676,0.27264864167808295,0.01215824130404819,0.01551381440367161,0.009410974983774079,-3.9939075,-3.996779,-3.9877393,false,,0.8575368360051562,0.8579605804165931,0.6785777384224301,0.9998853780047321,0.9972499198307677,0.0037356650704532556,0.0009048262887291252
12,0.605210776,8.296974626999999,992,0.27233989188068425,0.2726666860921411,0.012004736576023856,0.015370100738750114,0.009260346480592596,-3.993834,-3.9967043,-3.9876938,false,,0.8575352081651683,0.8581237174235116,0.6785777493925803,0.9998816936326589,0.9964121645165296,0.00444367215890142,0.0009246807637783448
13,0.632384691,8.929359318,992,0.27226967792446327,0.2726902698099216,0.011812027661897151,0.01518976355688495,0.009071536483726494,-3.9937446,-3.9966137,-3.987639,false,,0.8575323334918331,0.8583363193597058,0.6785777457307156,0.9998783510253901,0.9953588995921494,0.005245958219180838,0.0009443750549170502
14,0.603348378,9.532707696,992,0.27218577679837785,0.27272114110168155,0.011572434394528264,0.014965648873951243,0.008837087334517046,-3.9936383,-3.9965053,-3.9875746,false,,0.8575279623127066,0.8586087542137613,0.6785777557512115,0.9998752338053627,0.9940503854615172,0.006149236098476053,0.0009651687599842673
15,0.624070974,10.15677867,992,0.27208759268170163,0.2727615622723571,0.01127789417163716,0.014690236306326154,0.008549181517967575,-3.993513,-3.9963763,-3.9874992,false,,0.8575219744580584,0.8589514269822474,0.6785777441671025,0.9998722301701173,0.9924483152801168,0.007158209937795442,0.0009882993430023687
16,0.605463567,10.762242236999999,992,0.2719755307377362,0.272814357991413,0.010921064248431533,0.01435670672951972,0.00820069027746717,-3.9933693,-3.9962301,-3.9874158,false,,0.8575142886754765,0.8593733704392288,0.6785777591139086,0.9998692306727899,0.9905210181320114,0.008274441708874543,0.0010150209446261446
17,0.604285391,11.366527627999998,992,0.2718513704606932,0.27288292126222696,0.010496334371004279,0.013959868037088485,0.007786165803178036,-3.9932086,-3.9960654,-3.987325,false,,0.857505204027994,0.8598808336546275,0.6785777599219034,0.9998661272981344,0.9882501657387126,0.009495229172803894,0.0010466281022910968
18,0.629072504,11.995600131999998,992,0.271718401955704,0.27297101236074683,0.010000917553648736,0.013497149051396207,0.007302875149457155,-3.993036,-3.9958875,-3.9872308,false,,0.8574951332636972,0.8604750887733704,0.6785777520783275,0.9998628132509805,0.985637948518316,0.01081249121084194,0.001084449971054686
19,0.605368135,12.600968266999999,992,0.27158134787422117,0.2730824565732995,0.009436262962315034,0.012969950730003177,0.0067522205461498785,-3.992855,-3.9957018,-3.9871373,false,,0.8574848680538806,0.8611510292729188,0.6785777616665198,0.999859185175731,0.9827130099768335,0.012212092576577025,0.0011298275540939636
20,0.626183374,13.227151640999999,992,0.27144576884947047,0.27322045104507825,0.00880932139132129,0.012384820533503982,0.006140908597514372,-3.992674,-3.9955156,-3.987051,false,,0.857475291416913,0.8618960989820224,0.6785777440199074,0.9998551458180466,0.9795327956445854,0.013673852004881498,0.0011840683984271272
21,0.605786182,13.832937822999998,992,0.2713173414911145,0.27338690694500334,0.008132157028178266,0.01175305094010104,0.005480626320395254,-3.9925015,-3.995336,-3.9869752,false,,0.8574672835622316,0.862690806414008,0.678577766648064,0.9998506089742187,0.9761805122748605,0.015172452446935504,0.0012483866642581502
22,0.604038618,14.436976440999999,992,0.27120086067908256,0.27358168308878206,0.007421399715979549,0.011090211664381178,0.00478746627504012,-3.992342,-3.9951704,-3.9869132,false,,0.8574615868101367,0.8635107316279798,0.6785777411416892,0.9998455043633583,0.9727563791266881,0.016679323718311635,0.0013238404079536868
23,0.631224264,15.068200704999999,992,0.27109959048070154,0.27380220435924396,0.006696565214470596,0.010414523954378252,0.004080397854311246,-3.9922009,-3.9950218,-3.9868686,false,,0.8574585785115824,0.8643295187180391,0.6785777594031723,0.9998397816092375,0.9693649878932044,0.018165236462499065,0.0014112761886115291
24,0.604607906,15.672808610999999,992,0.27101495246901336,0.27404342029787976,0.005977920821963245,0.009744930264534046,0.003379106319321923,-3.9920812,-3.9948962,-3.9868398,false,,0.8574582731099754,0.8651223336127003,0.6785777491692373,0.9998334136033722,0.9661021876420496,0.019603016300540822,0.00151129727917274
25,0.626805462,16.299614072999997,992,0.2709466879338356,0.2742984799691748,0.0052837672211722975,0.009098523810105341,0.002701416011113844,-3.991982,-3.9947908,-3.9868257,false,,0.8574603665847808,0.8658686631907275,0.6785777529707239,0.999826396813266,0.9630448483244729,0.020969875741513315,0.0016242517867326395
26,0.607057979,16.906672051999998,992,0.2708933312820965,0.27455960304851423,0.004629119859077546,0.008489265721758787,0.0020619708120550584,-3.9919043,-3.9947073,-3.9868238,false,,0.8574643099441139,0.8665538971828461,0.6785777564399481,0.9998187492999274,0.9602455435199122,0.022248899126463745,0.0017502423975361181
27,0.604439984,17.511112035999997,992,0.2708527192170012,0.27481909047669095,0.004024631803941636,0.007927070465671204,0.0014711798146728183,-3.991844,-3.9946415,-3.9868305,false,,0.8574695648688888,0.8671697280115664,0.6785777541996549,0.9998105079006963,0.9577323953362497,0.023429515274638407,0.0018891553432410463
28,0.63241287,18.143524905999996,992,0.27082248455831953,0.2750701226162787,0.0034767773693464843,0.007417938660370216,0.0009354464849380406,-3.9917972,-3.9945903,-3.9868438,false,,0.8574755173315507,0.8677132620629737,0.6785777606820159,0.9998017234725827,0.9555124243436964,0.024507063130315226,0.002040692016790362
29,0.60919815,18.752723055999997,992,0.2708004055068645,0.2753074286591443,0.002987547799497503,0.0069636453917470975,0.0004567636043542045,-3.9917629,-3.9945517,-3.98686,false,,0.8574817077274807,0.8681859172427682,0.6785777611405257,0.9997924560698609,0.9535768132114691,0.025481857397175695,0.002204409737014156
30,0.626801962,19.379525017999995,992,0.2707845246317063,0.27552724272085855,0.0025564054990059315,0.006563679620909313,3.466112679206823e-5,-3.991737,-3.9945223,-3.9868782,false,,0.8574877913588547,0.8685919933636623,0.6785777557141612,0.9997827714251639,0.9519062887730488,0.026357940173399864,0.002379750816947542
31,0.606183823,19.985708840999994,992,0.2707732456498097,0.2757273617092209,0.002180774105370653,0.006215573459092183,-0.0003333069884234874,-3.991719,-3.9945018,-3.9868972,false,,0.8574935739559024,0.8689374833127821,0.6785777380477606,0.9997727367575094,0.9504758109894138,0.027141906468530635,0.0025660760230168753
32,0.606936842,20.592645682999994,992,0.27076532866840264,0.2759070381129073,0.0018561161741285082,0.005915067474474234,-0.0006515206828514586,-3.9917057,-3.9944859,-3.9869149,false,,0.8574988631326521,0.8692290279971928,0.6785777496400207,0.9997624181614949,0.9492580020995626,0.0278417738777617,0.0027626908270850558
33,0.635659749,21.228305431999992,992,0.2707598394297319,0.2760664009888381,0.001577602001398004,0.005657611700231047,-0.0009246681284516001,-3.9916968,-3.9944744,-3.9869318,false,,0.8575036125452555,0.8694734024568502,0.6785777576920067,0.9997518791463044,0.9482256599947556,0.028466216362827885,0.0029688658351315184
34,0.605289661,21.833595092999992,992,0.27075607774318405,0.2762064071889106,0.0013400619028230976,0.005438365425569747,-0.00115776292735692,-3.9916897,-3.9944663,-3.986946,false,,0.8575078090807158,0.8696770435989944,0.6785777479638054,0.9997411791029261,0.9473531114405747,0.02902394621054364,0.0031838577169619226
35,0.639330529,22.47292562199999,992,0.2707535393453861,0.27632845722471083,0.001138433709882869,0.005252591719523525,-0.0013557426851590337,-3.9916852,-3.99446,-3.9869597,false,,0.8575114819299584,0.8698458530248006,0.6785777453057086,0.9997303724599084,0.9466169841648805,0.0295233414318993,0.003406920703763689
