iter,time,total_time,circuit_size,cross_entropy_D,cross_entropy_Df,train_discrimination,valid_discrimination,test_discrimination,train_mll,valid_mll,test_mll,struct?,stop?,P(D),P(Df),P(S),"P(D|Df,S)","P(D|Df,notS)","P(D|notDf,S)","P(D|notDf,notS)"
0,8.68e-6,8.68e-6,1538,0.19553769560649134,0.19553769560649134,-0.016348686003712642,-0.028157081202234036,-0.012221020719650033,-3.915562,-3.9164543,-3.9198563,false,,0.8840757407220143,0.8840757407220143,0.6783168166649812,1.0,1.0,0.0,0.0
1,1.773911085,1.773919765,1538,0.19553815297144536,0.19553769885636543,-0.016348665331135992,-0.028157039949761375,-0.012220996362716341,-3.9155622,-3.9164507,-3.9196994,false,,0.8840783219847699,0.884075746334672,0.6783168284592718,0.9999786269995629,0.999956814647987,0.000145391106539925,0.0004355400666109852
2,0.888392018,2.662311783,1538,0.19553662217257273,0.19553836685780543,-0.01634844105828137,-0.02816115872238345,-0.012219182926351824,-3.9155598,-3.9164462,-3.9195929,false,,0.8840820633612613,0.8840698814742,0.6783168154858658,0.9999564579373696,0.9999261636634852,0.0002749303159351454,0.0010101615800071555
3,0.906985959,3.569297742,1538,0.19553353836320594,0.19554019063582803,-0.016336433506773607,-0.028154066406665845,-0.012205318300009815,-3.9155555,-3.9164374,-3.9195068,false,,0.8840873336528094,0.8840578153559762,0.6783168209844409,0.9999334795883288,0.9999043355402394,0.00039037639309114726,0.001767263291088139
4,0.886737617,4.4560353589999995,1538,0.19552863421449027,0.19554320044263054,-0.016312651039609327,-0.028136184125884922,-0.012179239137317555,-3.9155476,-3.916424,-3.9194317,false,,0.8840945923439513,0.8840385258521551,0.6783168149277002,0.9999096858655243,0.9998887305586008,0.0004933195669976321,0.0027628744280130684
5,0.907358344,5.363393703,1538,0.19552160729053786,0.1955476031802589,-0.016275635969851376,-0.028106494518146397,-0.012139274912121856,-3.9155369,-3.916406,-3.9193628,false,,0.8841043793907357,0.8840102674389163,0.6783168205171226,0.9998850793122223,0.9998775150259677,0.0005851985189762373,0.0040687226858890715
6,0.886096478,6.249490181,1538,0.19551198829719635,0.19555368515524296,-0.016223547951335182,-0.028063663927650473,-0.012083347840397218,-3.9155219,-3.9163804,-3.9192965,false,,0.8841173854700068,0.8839705738090833,0.678316831592546,0.9998596732314934,0.9998693872869896,0.0006673187102146245,0.005775610149183667
7,0.907100767,7.156590948,1538,0.19549916389986824,0.1955618481958844,-0.01615301275594727,-0.028004958152920922,-0.012007757916432604,-3.9155025,-3.9163485,-3.91923,false,,0.884134442169465,0.8839161570493882,0.6783168108539807,0.9998334954150657,0.9998634162953814,0.0007408732379424477,0.007996737039643787
8,0.88578206,8.042373008,1538,0.19548241258603294,0.1955726537047223,-0.016060008238438783,-0.02792719998050286,-0.011908126109029915,-3.9154766,-3.9163058,-3.9191613,false,,0.8841564715829585,0.8838427707193651,0.6783168109599083,0.999806591978008,0.9998589299214212,0.0008069616596058916,0.010870384574017481
9,0.909150395,8.951523403,1538,0.19546091751504394,0.19558688645997174,-0.01593902646107137,-0.027825773847330204,-0.011778482663081458,-3.9154437,-3.9162521,-3.9190893,false,,0.8841845042834406,0.8837451900455195,0.678316817449081,0.9997790326562278,0.9998554358216355,0.0008666103526189062,0.014560813645715875
