iter,time,total_time,circuit_size,cross_entropy_D,cross_entropy_Df,train_discrimination,valid_discrimination,test_discrimination,train_mll,valid_mll,test_mll,struct?,stop?,P(D),P(Df),P(S),"P(D|Df,S)","P(D|Df,notS)","P(D|notDf,S)","P(D|notDf,notS)"
0,0.059199153,0.059199153,181,0.18950274316922794,0.18950274316922794,-0.00854159989814507,-0.010589966075768342,-0.007150729548815016,-3.9226327343292855,-3.8963944854291928,-3.9028730543154793,true,,0.9024824936168061,0.0,0.6803726268422783,0.0,0.0,0.0,0.0
1,3.899487915,3.9586870679999997,181,0.18950274316922794,0.18950274316922794,-0.00854159989814507,-0.010589966075768342,-0.007150729548815016,-3.9226327343292855,-3.8963944854291928,-3.9028730543154793,true,,0.9024824936168061,0.0,0.6803726268422783,0.0,0.0,0.0,0.0
2,0.681632178,4.640319246,195,0.18906988874434266,0.18906988874434266,-0.007090821351593668,-0.008784038162675367,-0.005395480613616277,-3.919534769541626,-3.891930363465427,-3.899954381372794,true,,0.9024824936168061,0.0,0.6803726268422783,0.0,0.0,0.0,0.0
3,0.412049984,5.05236923,197,0.18906988874434266,0.18906988874434266,-0.007090821351593668,-0.008784038162675367,-0.005395480613616277,-3.919534769541626,-3.891930363465427,-3.899954381372794,true,,0.9024824936168061,0.0,0.6803726268422783,0.0,0.0,0.0,0.0
4,0.211458562,5.263827792,199,0.1890698377128904,0.1890698377128904,-0.007090499298703978,-0.008783636027855146,-0.005395130954767291,-3.919534769031919,-3.8919297733546654,-3.8999541498757084,true,,0.9024824936168061,0.0,0.6803726268422783,0.0,0.0,0.0,0.0
5,0.004231235,5.268059027,201,0.1890698377128904,0.1890698377128904,-0.007090499298703978,-0.008783636027855146,-0.005395130954767291,-3.919534769031919,-3.8919297733546654,-3.8999541498757084,true,,0.9024824936168061,0.0,0.6803726268422783,0.0,0.0,0.0,0.0
6,0.004884637,5.272943664,203,0.18906984287304357,0.18906984287304357,-0.007090494328881869,-0.008783632077056902,-0.005395127115148779,-3.919534769031919,-3.8919297733546654,-3.8999541498757084,true,,0.9024824936168061,0.0,0.6803726268422783,0.0,0.0,0.0,0.0
7,0.005129062,5.2780727259999995,205,0.1890698367053557,0.1890698367053557,-0.007090545079093014,-0.00878367122221091,-0.005395171614879013,-3.9195347687517605,-3.891930243772179,-3.899953944006519,true,,0.9024824936168061,0.0,0.6803726268422783,0.0,0.0,0.0,0.0
8,0.096606743,5.374679468999999,212,0.1890613030659128,0.1890613030659128,-0.0070442713288294545,-0.008707762640983163,-0.005346022740459921,-3.919507600733492,-3.8918002655494104,-3.8998429170539874,true,,0.9024824936168061,0.0,0.6803726268422783,0.0,0.0,0.0,0.0
9,0.022426309,5.397105777999999,214,0.1890613030659128,0.1890613030659128,-0.0070442713288294545,-0.008707762640983163,-0.005346022740459921,-3.919507600733492,-3.8918002655494104,-3.8998429170539874,true,,0.9024824936168061,0.0,0.6803726268422783,0.0,0.0,0.0,0.0
