iter,time,total_time,circuit_size,cross_entropy_D,cross_entropy_Df,train_discrimination,valid_discrimination,test_discrimination,train_mll,valid_mll,test_mll,struct?,stop?,P(D),P(Df),P(S),"P(D|Df,S)","P(D|Df,notS)","P(D|notDf,S)","P(D|notDf,notS)"
0,1.016e-5,1.016e-5,1317,0.27723984804680485,0.27723984804680485,0.007743148290401458,0.010195296913489527,0.003581959827196224,-3.9977224,-3.9908774,-3.9926386,false,,0.8480041459160199,0.8480041459160199,0.6785777485653613,1.0,1.0,0.0,0.0
1,1.736298254,1.736308414,1317,0.27723966785256954,0.27723984830197074,0.007743130634124684,0.010195288133932334,0.003581942546795558,-3.997722,-3.9908774,-3.992635,false,,0.8480032501856544,0.8480041352365955,0.6785777661417071,0.999978314612231,0.999952331010885,0.00013203061534635942,0.00022451728150958832
2,0.818906049,2.555214463,1317,0.277238687890077,0.27724011484363625,0.007742249508976284,0.010194923292224267,0.0035805679533010837,-3.9977212,-3.9908764,-3.9926348,false,,0.8480026506016837,0.8480059816638468,0.6785777572946925,0.9999589911498504,0.999895758613317,0.0002759708724237824,0.00041380801287625425
3,0.790524234,3.345738697,1317,0.27723690678111285,0.2772406495563161,0.007737493817262409,0.010190761172432006,0.0035753643304339278,-3.9977188,-3.9908752,-3.992633,false,,0.8480022491834801,0.848009814223625,0.6785777537943778,0.9999417506207262,0.9998286419795123,0.0004328668779020472,0.0005734809284116014
4,0.814386386,4.160125083,1317,0.2772342991253647,0.27724145991613136,0.007728674494774435,0.010182634595101048,0.0035661307048694413,-3.997716,-3.9908733,-3.9926314,false,,0.8480020456017998,0.8480159513219236,0.6785777348320535,0.9999263482867115,0.9997490594959741,0.0006038334872619054,0.0007082911921665236
5,0.776264196,4.936389278999999,1317,0.2772307952926452,0.27724253684707556,0.00771559350981188,0.010170362763568419,0.0035526790440730815,-3.9977114,-3.9908707,-3.9926283,false,,0.8480019794267942,0.8480247508074773,0.6785777541396013,0.9999125687885907,0.9996547670610455,0.0007900556209584118,0.0008222697681799983
6,0.78732359,5.723712868999999,1317,0.27722635101817183,0.2772439221680667,0.007697795528975426,0.010153517136320733,0.003534565460129868,-3.9977057,-3.9908676,-3.992625,false,,0.8480020353428386,0.8480367246010754,0.6785777531910658,0.9999002222019685,0.9995431537796036,0.0009927863863433747,0.0009188343238844216
7,0.813668219,6.537381087999999,1317,0.277220851620072,0.2772456157552483,0.007675191519425084,0.010132049973739399,0.0035116920442239685,-3.9976995,-3.990864,-3.9926202,false,,0.8480021585243697,0.8480524649454895,0.6785777289103936,0.9998891404181839,0.9994111944927047,0.0012133428611164688,0.0010008864618322993
8,0.774895172,7.312276259999999,1317,0.27721419847906476,0.2772476601839313,0.007647078749006386,0.010105279934167877,0.0034833782813378233,-3.9976904,-3.9908593,-3.9926155,false,,0.8480023433959988,0.8480727446121581,0.6785777480208127,0.9998791741232081,0.9992554029560397,0.0014531007734949598,0.001070893424242327
9,0.78632381,8.09860007,1317,0.277206272536624,0.2772501067110726,0.007612938752103671,0.010072740776312372,0.003449090764492513,-3.9976804,-3.9908538,-3.9926083,false,,0.8480025452066109,0.8480984409130781,0.678577751942071,0.9998701900561218,0.9990717855918343,0.0017134813538077338,0.0011309595805060687
10,0.807234951,8.905835021,1317,0.27719694379893856,0.2772530213563309,0.00757178494788513,0.010033480006240825,0.003407889737378711,-3.997669,-3.990848,-3.9926012,false,,0.8480027117745127,0.8481305778222661,0.6785777491826819,0.9998620687764328,0.9988558033597983,0.0019959400116617066,0.0011828863495761937
11,0.77550113,9.681336151,1317,0.2771860225467553,0.2772564442784306,0.0075232298573275624,0.009987169201038593,0.0033593985330560017,-3.9976544,-3.990841,-3.9925923,false,,0.8480028243630646,0.8481703768406652,0.6785777223703382,0.9998547026810337,0.998602342224186,0.002301940926285713,0.0012282254898898918
12,0.786846985,10.468183136,1317,0.2771733862255261,0.2772605038927149,0.007465745765839582,0.009932326417921633,0.0033020996936909963,-3.997639,-3.990833,-3.9925818,false,,0.8480028499319678,0.8482192139962329,0.6785777468040094,0.9998479940632621,0.9983057041856975,0.002632930162141966,0.0012683228020560345
13,0.81048777,11.278670906,1317,0.27715884848721367,0.2772652893787263,0.007398449498202564,0.009868127136456906,0.003235125426027885,-3.99762,-3.9908233,-3.9925704,false,,0.8480027234723359,0.8482786008459287,0.6785777567647884,0.9998418537799941,0.9979596252834727,0.0029903012563067015,0.0013043564745629152
14,0.778096915,12.056767821000001,1317,0.277142222589881,0.2772709131204933,0.007320162077695702,0.009793480515035702,0.0031573514218241616,-3.9975991,-3.990813,-3.9925566,false,,0.8480024274961536,0.8483502543812218,0.6785777487215456,0.9998361996709536,0.9975573315074664,0.00337534369964118,0.001337370487653013
15,0.78794526,12.844713081000002,1317,0.2771233684034108,0.27727754529232035,0.0072295914643543124,0.009707139554231636,0.0030674877508878318,-3.997575,-3.9908018,-3.9925418,false,,0.84800192501729,0.8484360053670459,0.6785777501083872,0.9998309556765861,0.9970916474649087,0.003789194702566162,0.0013683044834469794
16,0.811594221,13.656307302000002,1317,0.27710215886458817,0.2772853721741095,0.007124969889667709,0.009607425214408605,0.0029638052025200423,-3.9975479,-3.9907885,-3.992525,false,,0.8480011470944928,0.8485377486168613,0.678577760655952,0.9998260500271914,0.9965551670173022,0.00423276189260109,0.001398013575137585
17,0.77689509,14.433202392000002,1317,0.2770784677546533,0.2772945744891121,0.007005406010128112,0.009493523927131653,0.0028454576720500224,-3.9975178,-3.9907749,-3.9925067,false,,0.8480001200289233,0.8486575084963712,0.6785777589951847,0.9998214152592362,0.9959405061536467,0.004706656928220601,0.0014272942090069224
18,0.787719561,15.220921953000001,1317,0.27705227888261474,0.2773054253240344,0.006869257822640029,0.009363871904673249,0.0027108129199364672,-3.9974847,-3.99076,-3.9924867,false,,0.8479987861519028,0.8487971782005466,0.6785777307177262,0.999816986896602,0.9952406382211325,0.005211100747007614,0.0014568967936445412
19,0.808178233,16.029100186,1317,0.2770236026846075,0.2773181773727348,0.006715091685418617,0.009217108940207663,0.0025584997476065796,-3.9974475,-3.9907432,-3.9924643,false,,0.8479971013235079,0.8489585118887872,0.6785777597070942,0.9998127029757671,0.9944493120548308,0.005745835700864109,0.0014875425194146527
20,0.779914844,16.80901503,1317,0.2769925864782636,0.2773331539701174,0.006541910412920626,0.009052307252691683,0.002387520933892051,-3.997408,-3.9907262,-3.9924407,false,,0.8479951562138298,0.8491431131862488,0.6785777569565665,0.9998085034799067,0.9935615746777435,0.006310043505452272,0.0015199333391164571
21,0.789886642,17.598901672,1317,0.2769594449101688,0.27735069595893524,0.006348877854329804,0.008868679985876815,0.0021970685175408677,-3.9973652,-3.9907086,-3.9924164,false,,0.8479929101222351,0.8493520285501528,0.6785777754951619,0.9998043304274656,0.9925743079821616,0.006902237749317358,0.0015547572098093087
22,0.813258485,18.412160157,1317,0.27692452092328873,0.2773711420093399,0.006135549942018814,0.008665806019725997,0.001986724980366894,-3.9973202,-3.9906907,-3.992391,false,,0.8479904386478121,0.8495858382494085,0.6785777675082744,0.9998001273956799,0.9914868167258262,0.007520222331056033,0.001592697086241804
23,0.777163045,19.189323201999997,1317,0.2768882810625815,0.2773948662839353,0.005902015129290117,0.008443781861862232,0.0017565686238010247,-3.9972732,-3.990673,-3.9923651,false,,0.8479878049806117,0.8498443867741465,0.6785777484026472,0.999795840011118,0.9903013409649307,0.008161035333031506,0.0016344282283797503
24,0.786546836,19.975870037999996,1317,0.27685127694347433,0.27742218932162527,0.00564890061304113,0.008203206622740544,0.0015072235711646176,-3.9972246,-3.9906561,-3.9923396,false,,0.8479850983391805,0.8501267021658179,0.6785777491278662,0.9997914162787619,0.9890234707942609,0.008820945660000945,0.0016806178884933287
25,0.809887647,20.785757684999997,1317,0.2768141263573298,0.2774533835218769,0.005377544299219106,0.007945375168426527,0.0012400043623359558,-3.9971764,-3.9906406,-3.9923146,false,,0.8479824260015365,0.8504309230830482,0.6785777328852985,0.99978680687278,0.9876623407338287,0.009495503113835105,0.0017319197275674119
26,0.776816948,21.562574632999997,1317,0.2767775191196267,0.27748866849952836,0.005090125907088461,0.007672365128671754,0.0009570372140900174,-3.9971282,-3.9906263,-3.9922915,false,,0.8479799226918429,0.8507543010842119,0.678577746113646,0.9997819663399637,0.9862305825344129,0.010179636816392305,0.0017889661413721502
27,0.788075005,22.350649637999997,1317,0.2767421017932645,0.2775281194404887,0.00478905910277172,0.007386461799900101,0.0006606963148894085,-3.9970818,-3.9906151,-3.9922702,false,,0.847977659395286,0.8510931972421294,0.6785777577315723,0.9997768534765775,0.984743927405354,0.01086779502990135,0.001852358535078501
28,0.80940116,23.160050797999997,1317,0.27670849002300063,0.2775716753169752,0.004477808546162421,0.0070909614807398436,0.0003543735321421826,-3.9970374,-3.9906063,-3.9922514,false,,0.8479757997442119,0.8514433787397919,0.678577757195623,0.9997714326105537,0.9832205928244165,0.011554159111610928,0.0019226603740017756
29,0.776145909,23.936196706999997,1317,0.27667720659932354,0.2776191181734577,0.004160132981134934,0.00678946614785414,4.1742339336181544e-5,-3.9969954,-3.9905996,-3.9922354,false,,0.8479743751159228,0.851800029800988,0.6785777455957371,0.9997656734670424,0.9816803238283999,0.012232853923490257,0.002000380238981147
30,0.787981063,24.724177769999997,1317,0.2766486320693485,0.27767004708972937,0.0038400252039882954,0.006485724942663307,-0.0002732603058128724,-3.9969575,-3.9905965,-3.9922228,false,,0.8479734562755025,0.8521581740923949,0.6785777569501802,0.9997595535032175,0.9801433837902547,0.012898203975525371,0.0020859682529314203
31,0.808182333,25.532360103,1317,0.2766230258432415,0.2777239242950888,0.0035214516466001156,0.006183516560467117,-0.0005867733515199092,-3.996923,-3.9905956,-3.992213,false,,0.8479730591497526,0.8525128718895261,0.6785777441715958,0.999753056318868,0.9786294338115159,0.013544947549496731,0.0021798022444882385
32,0.778706555,26.311066657999998,1317,0.2766004862167758,0.2777800630527792,0.0032084625580550696,0.005886693418495792,-0.0008948087289982753,-3.996893,-3.9905975,-3.9922063,false,,0.8479731957057953,0.8528595215160739,0.6785777367899353,0.999746174071508,0.9771565461038711,0.014168466569248136,0.00228218428971482
33,0.787305825,27.098372483,1317,0.2765809902406696,0.2778376950391329,0.0029043873189895653,0.005598396588463284,-0.001194113888104642,-3.996866,-3.9906018,-3.9922018,false,,0.8479738009140367,0.8531940046578119,0.6785777430917342,0.9997389052563918,0.975740404214454,0.014764902796112558,0.00239333636641218
34,0.810503625,27.908876107999998,1317,0.2765643958461789,0.2778959838595666,0.0026125972666914965,0.005321827270018065,-0.0014813709351314541,-3.9968436,-3.9906082,-3.9922004,false,,0.8479748224103243,0.8535129185165093,0.6785777661405535,0.999731255543819,0.974393777943492,0.015331278200395737,0.002513396313630619
35,0.778072547,28.686948655,1317,0.276550491561704,0.27795413462453217,0.002335352761799303,0.005059123798263454,-0.0017543550888857729,-3.9968245,-3.990616,-3.992201,false,,0.8479761763393459,0.8538136155629255,0.6785777416857688,0.9997232368854299,0.9731262497003825,0.015865509242772177,0.002642427257152276
36,0.79133874,29.478287395,1317,0.2765390144943838,0.27801139265438085,0.0020747124602240596,0.0048122263756447126,-0.002011047763659901,-3.9968088,-3.990625,-3.9922028,false,,0.8479778249887168,0.8540942800563414,0.6785777405888374,0.9997148671402041,0.9719442376160305,0.01636640472395047,0.002780409388489043
37,0.812584534,30.290871928999998,1317,0.27652964913452593,0.27806702998899135,0.0018318683972012861,0.004582254141308528,-0.0022502728127635763,-3.9967957,-3.9906347,-3.9922063,false,,0.8479796615989442,0.8543537814256987,0.6785777424334043,0.9997061685198807,0.9708511778854696,0.01683357196393452,0.0029272567375038428
38,0.7773866,31.068258528999998,1317,0.2765221184040046,0.2781204985254733,0.0016078037993194627,0.0043701689958839385,-0.0024710594644539174,-3.9967854,-3.990645,-3.992211,false,,0.8479816067415511,0.8545916843527519,0.6785777358462264,0.9996971665407138,0.9698478908458258,0.01726731459701376,0.003082814725191597
