iter,time,total_time,circuit_size,cross_entropy_D,cross_entropy_Df,train_discrimination,valid_discrimination,test_discrimination,train_mll,valid_mll,test_mll,struct?,stop?,P(D),P(Df),P(S),"P(D|Df,S)","P(D|Df,notS)","P(D|notDf,S)","P(D|notDf,notS)"
0,0.072392582,0.072392582,181,0.3721722615684823,0.3721722615684823,0.03229375496704601,0.023594529692932853,0.026319805702822108,-4.106188105352409,-4.129764549907284,-4.085890135754087,true,,0.795371236443613,0.0,0.6782491088808553,0.0,0.0,0.0,0.0
1,4.330105654,4.402498236,183,0.3721722615684823,0.3721722615684823,0.03229375496704601,0.023594529692932853,0.026319805702822108,-4.106188105352409,-4.129764549907284,-4.085890135754087,true,,0.795371236443613,0.0,0.6782491088808553,0.0,0.0,0.0,0.0
2,0.102893294,4.50539153,185,0.37217225979430785,0.37217225979430785,0.032293766356334186,0.023594541548274894,0.02631981725535748,-4.106188105352409,-4.129764549907284,-4.085890135754087,true,,0.795371236443613,0.0,0.6782491088808553,0.0,0.0,0.0,0.0
3,0.487579787,4.992971316999999,187,0.3721723301963289,0.3721723301963289,0.03229354643187954,0.023594310930570406,0.026319679688981856,-4.106188105355751,-4.129764725631401,-4.085889983017393,true,,0.795371236443613,0.0,0.6782491088808553,0.0,0.0,0.0,0.0
4,0.262385311,5.2553566279999995,188,0.37216560689676753,0.37216560689676753,0.03232338080823183,0.02362179618450133,0.026352703201599215,-4.1060682833361435,-4.129859714560339,-4.085736801117869,true,,0.795371236443613,0.0,0.6782491088808553,0.0,0.0,0.0,0.0
5,0.177344864,5.432701492,189,0.37130581186964623,0.37130581186964623,0.0331989972615202,0.024706659698000788,0.02729696607335441,-4.104407718090338,-4.127712027424467,-4.083558749936704,true,,0.795371236443613,0.0,0.6782491088808553,0.0,0.0,0.0,0.0
6,0.033602265,5.4663037569999995,191,0.37130581522233636,0.37130581522233636,0.03319898759734319,0.02470664988976734,0.027296956872457367,-4.104407718090338,-4.127712027424467,-4.083558749936704,true,,0.795371236443613,0.0,0.6782491088808553,0.0,0.0,0.0,0.0
7,0.004286964,5.470590721,193,0.37130581522233636,0.37130581522233636,0.03319898759734319,0.02470664988976734,0.027296956872457367,-4.104407718090338,-4.127712027424467,-4.083558749936704,true,,0.795371236443613,0.0,0.6782491088808553,0.0,0.0,0.0,0.0
8,0.006954236,5.477544957,195,0.3713057192230361,0.3713057192230361,0.0331992477836478,0.024706901296554284,0.02729713334369488,-4.104407718061239,-4.127711921843462,-4.083558917454318,true,,0.795371236443613,0.0,0.6782491088808553,0.0,0.0,0.0,0.0
9,0.069124127,5.546669084,198,0.371315682338432,0.371315682338432,0.03316490371129632,0.02466959929277779,0.027260573512360664,-4.103885353065737,-4.127400276976019,-4.08284981396356,true,,0.795371236443613,0.0,0.6782491088808553,0.0,0.0,0.0,0.0
