S train_x,D train_x,P(Df|e) train_x,P(D|e) train_x,P(Df) train_x,S valid_x,D valid_x,P(Df|e) valid_x,P(D|e) valid_x,P(Df) valid_x,S test_x,D test_x,P(Df|e) test_x,P(D|e) test_x,P(Df) test_x
0,0,0.6226998567581177,0.0,0.8329051,0,1,0.985331118106842,0.9999999403953552,0.8329051,0,0,0.6997494697570801,0.0,0.8329051
0,1,0.9794104099273682,0.9999998211860657,0.8329051,1,1,0.9982792139053345,1.0,0.8329051,1,1,0.7948803901672363,1.0,0.8329051
0,1,0.9794104099273682,0.9999998211860657,0.8329051,0,0,0.6739241480827332,0.0,0.8329051,1,1,0.9999662041664124,0.9999998807907104,0.8329051
0,1,0.985331118106842,0.9999999403953552,0.8329051,1,1,0.9982792139053345,1.0,0.8329051,1,1,0.7809469103813171,1.0,0.8329051
1,0,0.0008757176692597568,0.0,0.8329051,0,0,0.6584401726722717,0.0,0.8329051,1,0,0.0008757176692597568,0.0,0.8329051
1,0,0.0008757176692597568,0.0,0.8329051,0,0,0.3188653290271759,0.0,0.8329051,1,1,0.9997071027755737,1.0,0.8329051
1,1,0.9999662041664124,0.9999998807907104,0.8329051,1,1,0.7948803901672363,1.0,0.8329051,0,1,0.9823204874992371,1.0,0.8329051
1,1,0.9999662041664124,0.9999998807907104,0.8329051,1,0,0.0008757176692597568,0.0,0.8329051,0,1,0.9823204874992371,1.0,0.8329051
1,1,0.9982792139053345,1.0,0.8329051,1,1,0.999997079372406,1.0,0.8329051,0,0,0.5816241502761841,0.0,0.8329051
1,1,0.9982792139053345,1.0,0.8329051,1,1,0.999997079372406,1.0,0.8329051,1,1,0.9982792139053345,1.0,0.8329051
1,1,0.7809469103813171,1.0,0.8329051,1,1,0.8241732120513916,1.0,0.8329051,1,1,0.9982792139053345,1.0,0.8329051
1,0,0.0008056975202634931,0.0,0.8329051,1,1,0.997474730014801,0.9999999403953552,0.8329051,0,0,0.3188653290271759,0.0,0.8329051
1,1,0.7948803901672363,1.0,0.8329051,1,0,0.0007780921296216547,0.0,0.8329051,0,1,0.9823204874992371,1.0,0.8329051
1,0,0.0008757176692597568,0.0,0.8329051,1,1,0.997474730014801,0.9999999403953552,0.8329051,1,1,0.9997071027755737,1.0,0.8329051
1,1,0.7948803901672363,1.0,0.8329051,1,1,0.9982792139053345,1.0,0.8329051,1,1,0.9982792139053345,1.0,0.8329051
1,1,0.9997071027755737,1.0,0.8329051,1,1,0.997474730014801,0.9999999403953552,0.8329051,0,0,0.2551731765270233,0.0,0.8329051
1,1,0.9997071027755737,1.0,0.8329051,0,1,0.9786379933357239,1.0,0.8329051,1,1,0.9997071027755737,1.0,0.8329051
1,1,0.9997071027755737,1.0,0.8329051,1,1,0.9976317882537842,1.0,0.8329051,0,0,0.6138200759887695,0.0,0.8329051
0,1,0.9834901094436646,1.0,0.8329051,1,1,0.9976317882537842,1.0,0.8329051,1,1,0.9996854066848755,0.9999999403953552,0.8329051
0,1,0.9834901094436646,1.0,0.8329051,1,1,0.9996854066848755,0.9999999403953552,0.8329051,1,1,0.9970263838768005,1.0,0.8329051
1,1,0.7948803901672363,1.0,0.8329051,0,1,0.9823204874992371,1.0,0.8329051,0,1,0.9758749008178711,0.9999997615814209,0.8329051
1,1,0.7948803901672363,1.0,0.8329051,1,1,0.9999578595161438,0.9999999403953552,0.8329051,0,1,0.9758749008178711,0.9999997615814209,0.8329051
0,0,0.6739241480827332,0.0,0.8329051,1,0,0.0008056975202634931,0.0,0.8329051,1,1,0.999908983707428,1.0,0.8329051
0,1,0.9834901094436646,1.0,0.8329051,1,0,0.0008056975202634931,0.0,0.8329051,1,1,0.997474730014801,0.9999999403953552,0.8329051
0,1,0.9834901094436646,1.0,0.8329051,0,1,0.985331118106842,0.9999999403953552,0.8329051,1,1,0.999997079372406,1.0,0.8329051
0,1,0.9806113839149475,0.9999998807907104,0.8329051,0,0,0.6739241480827332,0.0,0.8329051,1,1,0.9970263838768005,1.0,0.8329051
0,0,0.6369951963424683,0.0,0.8329051,1,1,0.7948803901672363,1.0,0.8329051,1,1,0.7809469103813171,1.0,0.8329051
0,1,0.9806113839149475,0.9999998807907104,0.8329051,1,0,0.0008757176692597568,0.0,0.8329051,1,1,0.9970263838768005,1.0,0.8329051
1,1,0.999995768070221,0.9999999403953552,0.8329051,1,1,0.997474730014801,0.9999999403953552,0.8329051,0,1,0.9794104099273682,0.9999998211860657,0.8329051
1,1,0.999995768070221,0.9999999403953552,0.8329051,1,1,0.9996141195297241,1.0,0.8329051,1,0,0.001125351875089109,0.0,0.8329051
1,1,0.999995768070221,0.9999999403953552,0.8329051,1,1,0.7809469103813171,1.0,0.8329051,1,1,0.8328074216842651,1.0,0.8329051
1,1,0.9982792139053345,1.0,0.8329051,1,1,0.999997079372406,1.0,0.8329051,0,1,0.9794104099273682,0.9999998211860657,0.8329051
1,1,0.9982792139053345,1.0,0.8329051,0,0,0.6494708061218262,0.0,0.8329051,1,1,0.9970263838768005,1.0,0.8329051
1,1,0.9997071027755737,1.0,0.8329051,1,1,0.8130718469619751,0.9999999403953552,0.8329051,1,1,0.9982792139053345,1.0,0.8329051
1,1,0.9997071027755737,1.0,0.8329051,1,1,0.7840932011604309,0.9999998211860657,0.8329051,1,1,0.9982792139053345,1.0,0.8329051
0,1,0.9794104099273682,0.9999998211860657,0.8329051,1,1,0.9997071027755737,1.0,0.8329051,1,1,0.999997079372406,1.0,0.8329051
0,0,0.6226998567581177,0.0,0.8329051,1,1,0.999756395816803,1.0,0.8329051,0,0,0.6739241480827332,0.0,0.8329051
