S train_x,D train_x,P(Df|e) train_x,P(D|e) train_x,S valid_x,D valid_x,P(Df|e) valid_x,P(D|e) valid_x,S test_x,D test_x,P(Df|e) test_x,P(D|e) test_x
0,0,0.0002736595633905381,0.0,0,1,0.9999997615814209,1.0,0,1,0.9999711513519287,1.0
0,0,0.0001589298917679116,0.0,0,1,0.9999854564666748,0.9999993443489075,1,0,7.631366315763444e-5,0.0
0,1,0.9999997615814209,1.0,0,0,0.0021460754796862602,0.0,1,1,0.9989760518074036,0.999999463558197
0,0,0.002559695625677705,0.0,1,1,0.9744630455970764,0.9999998211860657,0,0,0.14724698662757874,0.0
0,0,0.011235905811190605,0.0,1,0,0.00012432127550709993,0.0,0,0,0.002309790113940835,0.0
0,1,0.9999701976776123,0.9999994039535522,1,1,0.7207936644554138,1.0,0,0,0.00642494997009635,0.0
1,0,5.667800451192306e-6,0.0,0,1,0.9999511241912842,0.9999998807907104,0,1,0.9999949932098389,1.0
1,0,1.538641663501039e-5,0.0,0,0,0.06563936918973923,0.0,0,1,0.9999969005584717,0.9999993443489075
0,1,0.9997622966766357,0.9999999403953552,0,0,0.8556404709815979,0.0,1,1,0.9152714610099792,0.999999463558197
1,0,3.654299405297934e-7,0.0,1,1,0.9989550709724426,0.9999996423721313,0,0,0.0018125169444829226,0.0
0,1,0.9999978542327881,0.9999998807907104,0,0,0.009439598768949509,0.0,0,0,0.11047016084194183,0.0
0,0,0.0009249276481568813,0.0,0,0,0.002761155366897583,0.0,0,0,0.0021434531081467867,0.0
1,0,5.489477189257741e-6,0.0,1,0,8.18300304672448e-6,0.0,1,1,0.9961248636245728,0.9999999403953552
0,0,0.0017099484102800488,0.0,0,1,0.9999635219573975,0.9999999403953552,0,0,0.0072886268608272076,0.0
0,0,0.009460985660552979,0.0,0,0,0.016788983717560768,0.0,0,0,0.004068692214787006,0.0
0,0,0.0036339624784886837,0.0,1,1,0.9803625345230103,0.9999997019767761,0,0,0.00016647990560159087,0.0
0,1,0.9999549388885498,0.9999998211860657,1,1,0.030792025849223137,0.9999996423721313,0,1,0.9999778270721436,1.0
1,1,0.9915309548377991,1.0,1,1,0.9999730587005615,0.9999996423721313,0,0,0.010692417621612549,0.0
0,1,0.9999988079071045,0.9999999403953552,0,1,0.9999978542327881,0.9999997615814209,0,1,0.9963186979293823,1.0
0,0,0.011896262876689434,0.0,0,0,0.0003144310030620545,0.0,1,1,0.9998939037322998,0.9999998807907104
1,1,0.9998958110809326,0.9999995231628418,0,1,0.9999959468841553,0.9999995827674866,0,1,0.999962568283081,0.9999995231628418
0,0,0.021443819627165794,0.0,1,1,0.9991809129714966,0.9999993443489075,1,0,0.0002652427356224507,0.0
1,1,0.9999291896820068,0.9999999403953552,0,1,0.9999997615814209,1.0,1,0,2.5962767935538977e-8,0.0
0,0,0.0011329554254189134,0.0,1,0,8.827661804389209e-5,0.0,0,0,0.0013794162077829242,0.0
