iter,time,total_time,circuit_size,cross_entropy_D,cross_entropy_Df,train_discrimination,valid_discrimination,test_discrimination,train_mll,valid_mll,test_mll,struct?,stop?,P(D),P(Df),P(S),"P(D|Df,S)","P(D|Df,notS)","P(D|notDf,S)","P(D|notDf,notS)"
0,0.055565671,0.055565671,629,0.3364856508924674,0.3364856508924674,0.06107178816065545,-0.013329128248379285,0.051307569882588444,-13.34079914966757,-13.430626863842683,-13.451260953293138,true,,0.48629798790272805,0.0,0.30446858412541666,0.0,0.0,0.0,0.0
1,3.800418735,3.855984406,629,0.3364856508924674,0.3364856508924674,0.06107178816065545,-0.013329128248379285,0.051307569882588444,-13.34079914966757,-13.430626863842683,-13.451260953293138,true,,0.48629798790272805,0.0,0.30446858412541666,0.0,0.0,0.0,0.0
2,0.848586479,4.704570885,653,0.3364071950122481,0.3364071950122481,0.06175665827615945,-0.011526770155433963,0.052177427429910606,-13.339677307551717,-13.434445719841133,-13.451349514346095,true,,0.48629798790272805,0.0,0.30446858412541666,0.0,0.0,0.0,0.0
3,0.085342866,4.789913751,673,0.33624741942325725,0.33624741942325725,0.061724639471954,-0.011766151613608167,0.05267440594756778,-13.339235958596884,-13.434174954935525,-13.454147869040526,true,,0.48629798790272805,0.0,0.30446858412541666,0.0,0.0,0.0,0.0
4,0.17848033,4.9683940810000005,721,0.33576399262567863,0.33576399262567863,0.06269510375527976,-0.010292259185582908,0.05431479883419982,-13.335075877368737,-13.437518296640096,-13.452245535310416,true,,0.48629798790272805,0.0,0.30446858412541666,0.0,0.0,0.0,0.0
5,0.10727879,5.075672871,723,0.3357639916863264,0.3357639916863264,0.06269509837304443,-0.01029227624578638,0.05431479714344528,-13.335075877368737,-13.437518296640096,-13.452245535310416,true,,0.48629798790272805,0.0,0.30446858412541666,0.0,0.0,0.0,0.0
6,0.233468768,5.309141639,725,0.335765241844567,0.335765241844567,0.06270007409978567,-0.010288073586607327,0.054320194810251965,-13.335075868015892,-13.437516804590963,-13.452251669542461,true,,0.48629798790272805,0.0,0.30446858412541666,0.0,0.0,0.0,0.0
7,0.021720099,5.330861738,729,0.33555061459578994,0.33555061459578994,0.06282601674600952,-0.009930155263066731,0.0545079001755267,-13.33497774028295,-13.436696653807104,-13.4524784907768,true,,0.48629798790272805,0.0,0.30446858412541666,0.0,0.0,0.0,0.0
8,0.010990303,5.341852041,757,0.3325717593508609,0.3325717593508609,0.0630814522782755,-0.010289885660525022,0.05339767173766541,-13.330337989225859,-13.432674430336345,-13.451239322027929,true,,0.48629798790272805,0.0,0.30446858412541666,0.0,0.0,0.0,0.0
9,0.019154272,5.361006313,759,0.3325717603180541,0.3325717603180541,0.06308145131112458,-0.010289887059818703,0.05339766745095681,-13.330337989225857,-13.432674430336345,-13.451239322027929,true,,0.48629798790272805,0.0,0.30446858412541666,0.0,0.0,0.0,0.0
10,0.049639786,5.410646099,761,0.33257308383348605,0.33257308383348605,0.06307652579150125,-0.010295689903401684,0.05339270134501389,-13.330337987712094,-13.432677358796397,-13.45124489684766,true,,0.48629798790272805,0.0,0.30446858412541666,0.0,0.0,0.0,0.0
11,0.148319182,5.558965281,762,0.3325631348693759,0.3325631348693759,0.06303221267817943,-0.0103276639718195,0.0534365779058516,-13.330242209961863,-13.432873746182688,-13.450929068085518,true,,0.48629798790272805,0.0,0.30446858412541666,0.0,0.0,0.0,0.0
12,0.02338036,5.582345641,762,0.3325631348693759,0.3325631348693759,0.06303221267817943,-0.0103276639718195,0.0534365779058516,-13.330242209961863,-13.432873746182688,-13.450929068085518,true,,0.48629798790272805,0.0,0.30446858412541666,0.0,0.0,0.0,0.0
