iter,time,total_time,circuit_size,cross_entropy_D,cross_entropy_Df,train_discrimination,valid_discrimination,test_discrimination,train_mll,valid_mll,test_mll,struct?,stop?,P(D),P(Df),P(S),"P(D|Df,S)","P(D|Df,notS)","P(D|notDf,S)","P(D|notDf,notS)"
0,1.0081e-5,1.0081e-5,1886,0.317500745306674,0.317500745306674,0.054115034159187114,0.06308579236851136,0.06933163599316233,-13.224749,-13.12822,-13.206015,false,,0.48321194914208127,0.48321194914208127,0.30508579187754603,1.0,1.0,0.0,0.0
1,1.211595723,1.2116058040000002,1886,0.3163012240964627,0.3175007636658945,0.05411504697101305,0.06308578716902191,0.06933167189787154,-13.223547,-13.127184,-13.205113,false,,0.48322194646272204,0.48321195962384267,0.3050857717068455,0.9996353026926081,0.9998035363254569,0.00045372066242982227,0.00016202204062962475
2,0.286449806,1.4980556100000002,1886,0.31018902340583215,0.3187196088294717,0.05295337354467505,0.061982006356651576,0.06806616020378803,-13.216289,-13.120622,-13.1987705,false,,0.4833439198903251,0.48256930781873075,0.30508576989137526,0.9994822857895975,0.9988869709294932,0.007159747184293022,0.00026097146186632316
3,0.285784353,1.7838399630000001,1886,0.3016712584740775,0.32401213084067415,0.047441974689657995,0.05659275122437246,0.06101147200475954,-13.204212,-13.110212,-13.188353,false,,0.4837314389340096,0.48002058285070004,0.3050858059489707,0.9994041775706966,0.9951308499215495,0.03344476025321651,0.0003229887450795015
4,0.300020782,2.083860745,1886,0.2948871649201375,0.33283717830032666,0.03807475093196716,0.047282074285727005,0.04967046790679608,-13.19331,-13.101038,-13.179614,false,,0.4838659727296646,0.47915034084991504,0.3050857949404021,0.9993482871898415,0.9840344455449852,0.06289055685175049,0.00036849385213317295
5,0.287325383,2.3711861279999997,1886,0.28927960025484195,0.3431760876461076,0.027835583815479403,0.03729670325032036,0.03816978344039107,-13.183653,-13.093298,-13.172504,false,,0.483647148173149,0.4832222464013402,0.30508575725686987,0.9993126403741799,0.9636733177068703,0.07977159480988537,0.0004114305940897994
6,0.285776602,2.6569627299999996,1886,0.2855829089075702,0.3550619090435202,0.018312757798599588,0.028228598204960598,0.028014807550109655,-13.176855,-13.088354,-13.167632,false,,0.48339799079593077,0.4900624783822354,0.3050857914365347,0.9992928996288292,0.9404115306748396,0.08724261715095791,0.00045553271762765226
7,0.301920935,2.9588836649999997,1886,0.28387822315347816,0.36676704556048695,0.011113090353228161,0.021491468791416668,0.020581233393012988,-13.173455,-13.086313,-13.165276,false,,0.4832636794060374,0.4963461730024492,0.30508583099993053,0.9992782523806399,0.9218012714206434,0.08997370442044231,0.0004965763734110553
8,0.285831793,3.2447154579999995,1886,0.283288029666994,0.3762302084275757,0.0065331248415295695,0.017255037311517507,0.015957271459803413,-13.172085,-13.085801,-13.164452,false,,0.4832133453144471,0.5007807339031665,0.30508577207865273,0.9992648931306695,0.9096355612870275,0.09066152040932143,0.0005290647692404882
9,0.285506182,3.5302216399999997,1886,0.2831267081326861,0.38308714883941913,0.0038746577809227745,0.01481745212517549,0.013327335073793023,-13.171574,-13.085775,-13.164239,false,,0.48319832014582625,0.5035545621079611,0.3050857974353338,0.999253183741491,0.9023911581514815,0.09061431499416144,0.0005512553216665224
10,0.301780902,3.8320025419999997,1886,0.283098765698936,0.38781925044758087,0.00239244000841754,0.01346729651134937,0.011888125104778102,-13.171382,-13.085848,-13.164223,false,,0.48319472095273663,0.5051949241537287,0.30508576744377464,0.9992438340914945,0.898248532218049,0.09038069210591877,0.0005649394429478813
11,0.285795921,4.117798463,1886,0.2831048611914652,0.39089761942259,0.0015807440039247167,0.012731284786825503,0.011112348670150873,-13.171307,-13.085915,-13.164249,false,,0.4831942613414635,0.5061383157579543,0.30508577692435057,0.9992369387116883,0.8959225807635166,0.0901542447082496,0.0005728891026643942
12,0.286413189,4.404211652,1886,0.2831160138771392,0.39266658699308254,0.0011402261149645598,0.01233274212418134,0.01069668514875044,-13.171275,-13.085963,-13.164277,false,,0.4831944993899288,0.5066726598836657,0.3050857988696589,0.9992321498969781,0.8946285219340198,0.08998423921659207,0.0005773520661360814
