S train_x,D train_x,P(Df|e) train_x,P(D|e) train_x,S valid_x,D valid_x,P(Df|e) valid_x,P(D|e) valid_x,S test_x,D test_x,P(Df|e) test_x,P(D|e) test_x
0,0,,0.0009886380285024643,1,0,,0.02313421666622162,0,0,,0.07496120780706406
0,0,,0.0006902338936924934,1,1,,0.9884342551231384,0,1,,0.9004300236701965
0,1,,0.8122288584709167,0,0,,0.010229300707578659,0,1,,0.8288800120353699
0,1,,0.9734168648719788,0,1,,0.4722086191177368,0,1,,0.5769532322883606
1,0,,0.05456702783703804,0,0,,0.0666416808962822,0,0,,0.00014579998969566077
0,0,,0.0406428687274456,1,1,,0.1455831527709961,0,1,,0.942261278629303
1,0,,0.03377510607242584,0,0,,0.2718937397003174,1,1,,0.9811828136444092
0,1,,0.5284608602523804,0,1,,0.5039950013160706,0,1,,0.18855059146881104
1,0,,0.00420296611264348,0,1,,0.984979510307312,0,0,,0.029932497069239616
0,1,,0.9153462052345276,1,0,,0.0010149521986022592,0,0,,0.02014189213514328
0,0,,0.009548105299472809,0,1,,0.9861449599266052,0,0,,0.0003539420722518116
1,0,,0.012915082275867462,0,0,,0.022416993975639343,1,1,,0.67854905128479
0,0,,0.02094023860991001,0,0,,0.21394206583499908,0,0,,0.033748406916856766
0,1,,0.995993435382843,1,0,,0.0006519736489281058,0,0,,0.0006952979019843042
0,0,,0.06180906668305397,0,1,,0.9187061786651611,0,1,,0.8727616667747498
1,1,,0.9473488330841064,0,0,,0.8380885124206543,0,0,,0.08802299946546555
0,1,,0.9873424172401428,0,0,,0.027656778693199158,0,1,,0.9330757856369019
0,0,,0.09135615825653076,0,0,,0.01221555657684803,1,1,,0.8467267155647278
1,1,,0.996546745300293,0,0,,0.4377193748950958,0,0,,0.07506959140300751
0,0,,0.045376647263765335,1,1,,0.9391297698020935,1,1,,0.9329506754875183
1,1,,0.99555504322052,0,1,,0.9544745683670044,1,0,,0.3448545038700104
0,1,,0.9110344648361206,0,0,,0.1223030835390091,0,1,,0.8500363230705261
0,0,,0.00875716470181942,0,1,,0.7640982866287231,0,1,,0.6284642219543457
0,0,,0.397306352853775,0,1,,0.9296818971633911,0,0,,0.3308784067630768
0,0,,0.014959548600018024,1,1,,0.9984121918678284,0,0,,0.037381988018751144
0,1,,0.7648244500160217,1,1,,0.6842532753944397,0,0,,0.2091047316789627
0,0,,0.007659368682652712,1,1,,0.9311516284942627,0,0,,0.019466139376163483
0,0,,0.009118019603192806,1,0,,0.3078153133392334,0,1,,0.09712309390306473
0,0,,0.012041171081364155,0,0,,0.9354591965675354,1,0,,0.7564024329185486
0,1,,0.8199657797813416,0,1,,0.9580302834510803,0,1,,0.939016580581665
0,1,,0.629002034664154,0,0,,0.0035930832382291555,0,0,,0.005152256228029728
1,0,,0.01028366107493639,0,1,,0.9707062244415283,0,1,,0.7043414115905762
1,1,,0.6104469299316406,0,0,,0.40818965435028076,0,0,,0.10606406629085541
0,0,,0.9719299077987671,0,1,,0.8823356628417969,0,1,,0.505370557308197
0,1,,0.9296845197677612,0,0,,0.0013720905408263206,0,1,,0.998142421245575
0,1,,0.7338806986808777,0,0,,0.5557523369789124,0,1,,0.995394229888916
0,0,,0.0016157946083694696,1,0,,0.061518747359514236,1,1,,0.9868434071540833
1,0,,0.018454110249876976,0,1,,0.9955024719238281,1,1,,0.9890943169593811
0,1,,0.9892882704734802,1,0,,0.062322139739990234,0,1,,0.8886683583259583
0,1,,0.972628116607666,0,1,,0.9393067955970764,0,0,,0.2056354433298111
0,1,,0.9910144209861755,1,0,,0.1422661989927292,0,0,,0.037705086171627045
1,0,,0.1718807816505432,1,0,,0.06084263697266579,0,0,,0.00621388852596283
0,0,,0.0025008786469697952,1,1,,0.9912832379341125,0,0,,0.5935257077217102
0,0,,0.005101903807371855,1,1,,0.9786428213119507,0,0,,0.0075950175523757935
0,0,,0.9498236179351807,0,1,,0.8511801362037659,0,0,,0.06076370179653168
0,1,,0.9940102100372314,1,0,,0.7030846476554871,0,0,,0.975622296333313
0,0,,0.006252175662666559,0,0,,0.00412755599245429,1,1,,0.9938228726387024
0,0,,0.5827434659004211,1,0,,0.0030163461342453957,1,0,,0.04028680920600891
0,0,,0.2055540680885315,0,0,,0.006376996636390686,0,1,,0.7290562391281128
1,1,,0.9754979610443115,0,0,,0.026372017338871956,0,1,,0.9511833190917969
0,0,,0.0110501479357481,0,1,,0.9082818031311035,0,1,,0.958662748336792
0,1,,0.9828213453292847,0,1,,0.9594465494155884,0,1,,0.9519265294075012
1,0,,0.040268562734127045,0,0,,0.0008641000022180378,0,1,,0.9785939455032349
1,1,,0.9868659973144531,1,0,,0.014583614654839039,0,1,,0.9924293160438538
0,1,,0.9569518566131592,0,0,,0.00011481303226901218,0,1,,0.9910030961036682
0,0,,0.038575977087020874,1,1,,0.9996450543403625,0,1,,0.5761257410049438
1,0,,0.00897260569036007,1,1,,0.9994000792503357,1,1,,0.7293110489845276
0,1,,0.3935282230377197,0,1,,0.9069194197654724,1,1,,0.9669018983840942
0,0,,0.013879341073334217,0,1,,0.9844996333122253,0,0,,0.968957245349884
0,1,,0.8866899609565735,0,1,,0.9952812790870667,0,0,,0.6056777238845825
0,0,,0.9461386203765869,0,1,,0.6690675020217896,0,1,,0.9669411778450012
0,0,,0.2243787795305252,0,1,,0.8721492886543274,1,0,,0.17422492802143097
0,1,,0.8006742000579834,0,1,,0.7901365160942078,0,1,,0.9041689038276672
1,0,,0.0005323481746017933,0,1,,0.8160839080810547,1,1,,0.966029942035675
0,1,,0.8771172761917114,1,1,,0.9438111782073975,0,0,,0.4274137020111084
1,0,,0.039415352046489716,0,0,,0.0083090141415596,0,1,,0.21417540311813354
0,1,,0.8270283937454224,1,0,,0.9053210616111755,1,0,,0.1057068258523941
0,1,,0.9768158197402954,0,0,,0.004266180098056793,0,1,,0.8680177927017212
0,0,,0.6082361936569214,0,1,,0.7821295857429504,1,1,,0.966725766658783
0,1,,0.8663448095321655,0,0,,0.005701080895960331,0,1,,0.8820100426673889
0,0,,0.043297335505485535,0,0,,0.025995861738920212,0,1,,0.9573434591293335
0,1,,0.5442219972610474,1,1,,0.45920148491859436,0,0,,0.9066115617752075
0,1,,0.9430119395256042,1,1,,0.9489448070526123,1,0,,0.0007638047100044787
1,1,,0.9997146725654602,0,1,,0.9851692914962769,0,0,,0.042777035385370255
1,1,,0.5004929304122925,1,1,,0.28980234265327454,0,1,,0.9810187220573425
0,0,,0.9254932403564453,0,1,,0.988537609577179,1,0,,0.8477940559387207
0,0,,0.025972764939069748,1,1,,0.9545677900314331,1,0,,0.023460103198885918
0,0,,0.10325219482183456,0,1,,0.9956372976303101,1,1,,0.0838819220662117
1,0,,0.17058663070201874,0,1,,0.9947707653045654,1,1,,0.9941423535346985
1,0,,0.007337943185120821,0,0,,0.009539968334138393,0,0,,0.022282373160123825
1,1,,0.958945631980896,1,1,,0.9660179615020752,0,0,,0.002943654078990221
1,1,,0.9190841913223267,1,1,,0.9951193332672119,0,0,,0.018780091777443886
0,0,,0.15104429423809052,0,1,,0.9969532489776611,1,0,,0.5453236103057861
1,1,,0.9732974767684937,0,1,,0.00900017935782671,0,1,,0.9918304085731506
0,0,,0.2136087417602539,0,0,,0.18972066044807434,0,0,,0.012557907961308956
1,0,,0.0038596694357693195,0,1,,0.6333346962928772,1,1,,0.5148107409477234
0,0,,0.0390692800283432,1,0,,0.002678923076018691,1,1,,0.9928746223449707
0,0,,0.12822876870632172,0,0,,0.004112672060728073,1,1,,0.9966427683830261
0,0,,0.0014849737053737044,0,0,,0.02692754752933979,0,1,,0.8305456042289734
1,0,,0.003510450478643179,1,1,,0.9448738694190979,0,1,,0.9234222769737244
1,0,,0.009547791443765163,0,1,,0.9764972925186157,0,0,,0.03389326110482216
0,1,,0.38259807229042053,1,1,,0.8263049721717834,0,0,,0.459701269865036
0,0,,0.019335035234689713,0,0,,0.0012789254542440176,1,0,,0.22284747660160065
0,0,,0.01022370345890522,1,1,,0.9945254325866699,1,1,,0.9780811071395874
0,1,,0.984716534614563,0,1,,0.9760298728942871,0,0,,0.009669855237007141
0,0,,0.5797910690307617,0,0,,0.20576883852481842,0,1,,0.9862324595451355
1,1,,0.9981608390808105,0,0,,0.12587061524391174,0,1,,0.9745500683784485
0,1,,0.9770086407661438,1,0,,0.0005362160154618323,1,1,,0.9983541369438171
0,1,,0.9714563488960266,0,0,,0.04645121842622757,0,0,,0.25289708375930786
0,1,,0.8728598952293396,1,1,,0.8157122731208801,0,0,,0.20055529475212097
0,0,,0.03678938001394272,0,0,,0.44158223271369934,1,1,,0.5662572979927063
0,1,,0.9628196954727173,0,1,,0.9948770403862,1,1,,0.999323844909668
0,1,,0.9918909668922424,1,0,,0.08780477941036224,1,1,,0.19380463659763336
0,0,,0.3638243079185486,1,0,,0.0017371627036482096,1,0,,0.23696982860565186
0,0,,0.0014388521667569876,0,1,,0.7432689666748047,0,0,,0.0012814892688766122
0,1,,0.7233681678771973,1,1,,0.973974347114563,0,1,,0.7818589210510254
0,0,,0.022359922528266907,0,1,,0.7501680254936218,1,1,,0.7843049764633179
0,0,,0.025781484320759773,1,1,,0.9225634932518005,0,0,,0.010230276733636856
0,1,,0.6751779317855835,0,0,,0.09484157711267471,1,1,,0.6549464464187622
0,0,,0.023612752556800842,0,1,,0.9509166479110718,1,0,,0.051739104092121124
0,0,,0.1243010088801384,0,0,,0.926855206489563,0,0,,0.005348467733711004
0,0,,0.02875649742782116,1,1,,0.9899134039878845,1,1,,0.9992609620094299
1,0,,0.003513119649142027,0,1,,0.9908263683319092,1,1,,0.9594807624816895
0,0,,0.0013627989683300257,0,1,,0.9161059856414795,0,0,,0.40482890605926514
1,0,,0.012088593095541,0,0,,0.04716818407177925,0,0,,0.03947831690311432
1,0,,0.1328333616256714,0,0,,0.0008356148609891534,0,1,,0.9739758968353271
1,1,,0.9466182589530945,1,1,,0.9724346399307251,1,1,,0.954677939414978
0,1,,0.9091406464576721,0,1,,0.9941296577453613,0,0,,0.03279159590601921
0,1,,0.8992972373962402,0,0,,0.003940401133149862,0,1,,0.9845540523529053
0,1,,0.9935041666030884,0,0,,0.428806334733963,0,1,,0.9598464965820312
0,0,,0.00314370752312243,0,1,,0.7690417170524597,0,1,,0.9819406867027283
1,1,,0.9764519929885864,0,1,,0.9671449661254883,0,1,,0.9549698829650879
0,1,,0.9792025685310364,1,1,,0.9829623103141785,0,0,,0.008203632198274136
0,0,,0.07487568259239197,0,0,,0.0024179271422326565,1,1,,0.0004057441547047347
0,1,,0.9316513538360596,1,1,,0.8296846151351929,1,1,,0.9537779092788696
1,1,,0.9998881816864014,0,1,,0.9786050915718079,0,0,,0.012342434376478195
1,1,,0.9908560514450073,0,1,,0.9221145510673523,0,0,,0.028531379997730255
0,0,,0.06757509708404541,1,0,,0.2847825586795807,0,1,,0.9029840230941772
0,0,,0.02794763818383217,1,0,,0.0016861872281879187,0,1,,0.326087087392807
0,1,,0.9891260266304016,0,1,,0.9621734619140625,0,1,,0.7402886748313904
1,0,,0.043278686702251434,0,1,,0.8571445345878601,0,0,,0.9713488817214966
0,0,,0.01647012121975422,0,0,,0.021413754671812057,0,1,,0.8532843589782715
0,0,,0.00673062214627862,0,1,,0.2006201446056366,1,0,,0.0009818451944738626
0,0,,0.0018383798887953162,0,1,,0.9908490777015686,0,1,,0.9868298768997192
0,1,,0.9240124821662903,0,0,,0.0013911178102716804,0,1,,0.35588404536247253
0,0,,0.674591600894928,0,1,,0.9779091477394104,1,1,,0.9816264510154724
0,0,,0.0012735470663756132,0,1,,0.5326833724975586,0,1,,0.9621753096580505
1,0,,0.0005922529380768538,1,1,,0.8661484718322754,0,1,,0.620962917804718
0,0,,0.002837368519976735,0,0,,0.0010294257663190365,1,1,,0.9944780468940735
0,0,,0.11016377061605453,0,1,,0.24801766872406006,0,1,,0.9893118739128113
0,0,,0.0009086548234336078,0,1,,0.6613514423370361,0,0,,0.15797771513462067
0,0,,0.001569130108691752,0,0,,0.04279923066496849,0,0,,0.9505730271339417
0,0,,0.5895777940750122,0,0,,0.011425548233091831,0,1,,0.9780574440956116
1,1,,0.9885812997817993,0,1,,0.9034060835838318,0,0,,0.11349707841873169
0,1,,0.9177166819572449,0,1,,0.9796434640884399,1,1,,0.9876710176467896
0,1,,0.36209601163864136,1,1,,0.9960184693336487,0,0,,0.009371638298034668
0,0,,0.9713850617408752,0,0,,0.06948286294937134,1,1,,0.992774248123169
1,1,,0.7889102101325989,0,0,,0.0019170019077137113,1,0,,0.07800549268722534
0,0,,0.02620837092399597,1,1,,0.8969917297363281,0,0,,0.05479699373245239
0,1,,0.9896883964538574,0,0,,0.002326610963791609,1,1,,0.9993733763694763
0,0,,0.0006953735137358308,0,0,,0.0005183771718293428,0,0,,0.007942994125187397
0,0,,0.009057638235390186,0,1,,0.9598364233970642,1,0,,0.03126819059252739
1,1,,0.861262321472168,0,1,,0.6536595225334167,0,1,,0.9545738101005554
1,1,,0.01631680689752102,0,1,,0.9888242483139038,0,0,,0.001460312632843852
0,0,,0.012991046532988548,0,1,,0.8759569525718689,0,1,,0.8840058445930481
