S train_x,D train_x,P(Df|e) train_x,P(D|e) train_x,S valid_x,D valid_x,P(Df|e) valid_x,P(D|e) valid_x,S test_x,D test_x,P(Df|e) test_x,P(D|e) test_x
0,0,,0.0019089464331045747,0,1,,0.9596401453018188,0,1,,0.6590046286582947
0,0,,0.0009236742043867707,0,1,,0.7014030814170837,1,0,,0.15725746750831604
0,1,,0.7619280219078064,0,0,,0.02270466648042202,1,1,,0.9833945631980896
0,0,,0.037994738668203354,1,1,,0.6456575989723206,0,0,,0.27753716707229614
0,0,,0.19958649575710297,1,0,,0.3048230707645416,0,0,,0.023322826251387596
0,1,,0.6773833632469177,1,1,,0.10023824870586395,0,0,,0.08073858916759491
1,0,,0.034310586750507355,0,1,,0.33129850029945374,0,1,,0.9365736842155457
1,0,,0.04275212809443474,0,0,,0.41603589057922363,0,1,,0.8419658541679382
0,1,,0.4948338270187378,0,1,,0.8835165500640869,1,1,,0.50648432970047
1,0,,0.023382440209388733,1,1,,0.9708176851272583,0,0,,0.0028290157206356525
0,1,,0.7500439286231995,0,0,,0.07116401940584183,0,0,,0.4510340988636017
0,0,,0.00832788273692131,0,0,,0.0646962895989418,0,0,,0.0020264931954443455
1,0,,0.03426722437143326,1,0,,0.080860935151577,1,1,,0.8841680288314819
0,0,,0.020752714946866035,0,1,,0.8469941020011902,0,0,,0.0069021680392324924
0,0,,0.0931226834654808,0,0,,0.043815840035676956,0,0,,0.039946362376213074
0,0,,0.029576875269412994,1,1,,0.4311014413833618,0,0,,0.0013569856528192759
0,1,,0.8074770569801331,1,0,,0.13629423081874847,0,1,,0.8873815536499023
1,1,,0.8301784992218018,1,1,,0.9986655116081238,0,0,,0.10545352101325989
0,1,,0.8320317268371582,0,1,,0.9465912580490112,0,1,,0.06694913655519485
0,0,,0.1608288288116455,0,0,,0.003075363114476204,1,1,,0.9967330694198608
1,1,,0.9956053495407104,0,1,,0.7717458009719849,0,1,,0.8387733697891235
0,0,,0.2822439968585968,1,1,,0.9791356921195984,1,0,,0.22075003385543823
1,1,,0.9975413680076599,0,1,,0.9392902255058289,1,0,,0.016335677355527878
0,0,,0.024489710107445717,1,0,,0.2637369632720947,0,0,,0.021320803090929985
0,1,,0.48792001605033875,0,0,,0.13124915957450867,1,1,,0.8514272570610046
0,1,,0.43379291892051697,0,0,,0.05116565525531769,0,0,,0.008775360882282257
0,0,,0.0049302829429507256,0,1,,0.8762490153312683,0,1,,0.7124974727630615
0,0,,0.023128442466259003,0,0,,0.009890388697385788,0,1,,0.7507094144821167
0,1,,0.6660482287406921,1,0,,0.20724181830883026,0,1,,0.8655837774276733
0,1,,0.36204612255096436,0,0,,0.1574573814868927,0,1,,0.8615245223045349
1,0,,0.020598556846380234,0,0,,0.008653312921524048,0,1,,0.6925046443939209
0,1,,0.9493468403816223,0,1,,0.7531051635742188,0,0,,0.006903366185724735
0,1,,0.47913941740989685,1,0,,0.05973842740058899,0,0,,0.0028016057331115007
0,1,,0.797074019908905,0,1,,0.9260357618331909,0,1,,0.14771917462348938
0,0,,0.0013789926888421178,0,1,,0.577564537525177,1,0,,0.2295568436384201
1,0,,0.08342956751585007,0,0,,0.005438139196485281,1,1,,0.9488271474838257
0,1,,0.8583474159240723,0,1,,0.9799410700798035,0,0,,0.028284775093197823
0,1,,0.7738063931465149,1,1,,0.9564868807792664,0,1,,0.9086279273033142
0,0,,0.2225210964679718,0,0,,0.0015826416201889515,0,0,,0.01691882126033306
0,1,,0.968103289604187,0,0,,0.002126486739143729,0,1,,0.4504168629646301
0,0,,0.0029639573767781258,0,1,,0.8707950115203857,1,0,,0.018840298056602478
0,0,,0.024199873208999634,0,1,,0.688696563243866,1,1,,0.9971418976783752
0,1,,0.7904858589172363,0,0,,0.3748837411403656,0,1,,0.6487128138542175
0,1,,0.8035439252853394,0,1,,0.3856148421764374,0,1,,0.263804167509079
