iter,time,total_time,circuit_size,cross_entropy_D,cross_entropy_Df,train_discrimination,valid_discrimination,test_discrimination,train_mll,valid_mll,test_mll,struct?,stop?,P(D),P(Df),P(S),"P(D|Df,S)","P(D|Df,notS)","P(D|notDf,S)","P(D|notDf,notS)"
0,9.58e-6,9.58e-6,1750,0.2267082392392256,0.2267082392392256,0.0247740394828867,0.04999910446812139,-0.0007723538075269376,-13.139227,-13.227336,-13.213324,false,,0.5218491544253796,0.5218491544253796,0.3039748179237131,1.0,1.0,0.0,0.0
1,1.16967752,1.1696871,1750,0.22615040708783235,0.22670835078366733,0.02477389948046549,0.049998985754388436,-0.0007724999975693425,-13.138669,-13.22655,-13.2132435,false,,0.5218540086830508,0.5218491013165708,0.3039748464057084,0.9996353027933212,0.9998250524490677,0.0004574565424268107,0.0001797267748396492
2,0.291407472,1.461094572,1750,0.22328713673088282,0.22737356597448483,0.024085180252700567,0.04938245063170865,-0.0014543621427024478,-13.13516,-13.222212,-13.211785,false,,0.5218976626370072,0.5213679962242606,0.30397482560800515,0.9992622800804757,0.9996196260070204,0.004747574549441287,0.00028180323217731704
3,0.281124451,1.7422190229999999,1750,0.2177330024834166,0.2305742768423977,0.020194338869076955,0.045796412873769454,-0.005229745678289044,-13.127218,-13.211517,-13.206708,false,,0.522053283046572,0.5186910326059134,0.30397476395162226,0.9988749068671299,0.9994149677683561,0.024858629367565978,0.00033997023827833433
4,0.281682043,2.0239010659999996,1750,0.21427925034708187,0.2367893981443092,0.012584210304013799,0.03877338817386722,-0.01180990590283404,-13.121277,-13.202692,-13.201973,false,,0.522130303596076,0.5140755749868027,0.30397479498958635,0.9984085419244134,0.999238797975758,0.05720002638314629,0.00037502349943489556
5,0.285761849,2.3096629149999996,1750,0.21321846278852627,0.24229941935010943,0.0061173277498841605,0.03304386116518421,-0.016941107685645662,-13.119273,-13.199218,-13.200265,false,,0.5220442045708903,0.5105601603893521,0.30397481358688516,0.9978576889007323,0.9991061136111049,0.08064558236356331,0.0003990474665925957
6,0.28836624,2.598029155,1750,0.2129650299514231,0.2456666621455538,0.002416373978397557,0.029841328139719958,-0.019821990484365837,-13.118756,-13.198086,-13.199879,false,,0.5219471562864648,0.5086522688661212,0.3039747580163199,0.9973474927335405,0.9990134927000466,0.09314511402552413,0.00041628595501654535
7,0.282112124,2.880141279,1750,0.21291532029252233,0.2474972784347531,0.0005603375371490138,0.02823106100814976,-0.02126544200393543,-13.1186285,-13.197708,-13.199837,false,,0.5218869692253211,0.507725743291171,0.3039748678076173,0.996957109107851,0.9989503606846514,0.09927244948869805,0.00042831192381220145
8,0.273894661,3.15403594,1750,0.21291248875301358,0.24843359853979627,-0.0003221962721816629,0.027461095992139195,-0.021945629677229628,-13.1186,-13.197579,-13.199862,false,,0.5218558405473055,0.5072970885615682,0.30397480338023103,0.9966834830695281,0.9989073924199904,0.10219930481636079,0.0004363888438199221
9,0.279850131,3.433886071,1750,0.2129186189962793,0.24889582103807814,-0.0007283709674649197,0.027106092860682662,-0.022252963049488872,-13.118593,-13.197533,-13.199883,false,,0.521841078088289,0.5071058955976916,0.30397483438209655,0.996497338468539,0.9988779757946075,0.10358334356480968,0.00044164376346498787
10,0.287768866,3.721654937,1750,0.21292493559886982,0.24911962270889682,-0.0009095909941111424,0.026948088539575088,-0.022386366671590996,-13.118592,-13.197519,-13.199902,false,,0.5218342568961144,0.5070242451556783,0.30397478468182604,0.9963712741009099,0.9988576936279081,0.10423416491277425,0.0004449806915732443
11,0.273483401,3.995138338,1750,0.21292984647132981,0.24922643168232583,-0.0009867735500643793,0.026881254611012206,-0.022440617016973363,-13.118593,-13.1975155,-13.199909,false,,0.5218314485831744,0.5069921953213574,0.30397477066178435,0.9962855054856075,0.9988436227452728,0.10453861807775515,0.0004470597023863196
12,0.273013941,4.268152279,1750,0.21293345708239653,0.24927715458807917,-0.001017562815727291,0.02685495644756497,-0.022460523393316167,-13.118594,-13.197516,-13.199915,false,,0.521830333096561,0.5069816091443923,0.30397485423805587,0.996226743855705,0.9988338130979111,0.10467998186532063,0.00044833644119210344
13,0.280845644,4.548997923,1750,0.2129360226203268,0.2493010372212862,-0.0010278190996301229,0.026846534448578985,-0.02246564411400631,-13.118595,-13.197517,-13.199918,false,,0.5218299466284493,0.5069798390795075,0.30397480033879043,0.9961862266354272,0.9988269512939045,0.10474487644811419,0.0004491112585610993
14,0.288997576,4.837995499,1750,0.21293776258934993,0.24931201957783852,-0.0010295553648846933,0.02684549280229198,-0.02246504514939357,-13.118595,-13.19752,-13.199921,false,,0.5218299539262802,0.506981388849679,0.30397481149112526,0.9961581465937778,0.9988221404722196,0.10477407193187675,0.00044957600226613095
15,0.273653325,5.1116488239999995,1750,0.2129390115569089,0.24931703144186204,-0.0010281600990217354,0.026847083189977194,-0.02246255873154407,-13.118596,-13.197523,-13.199921,false,,0.521829964333665,0.5069836826989889,0.3039747444052795,0.9961386086241787,0.9988187592670249,0.1047868004357778,0.0004498523778852937
16,0.27640734,5.388056164,1750,0.2129399354584113,0.24931927321727848,-0.0010261580768764489,0.0268490124385532,-0.02246008942441724,-13.118596,-13.197523,-13.199921,false,,0.5218301451077868,0.5069860328074555,0.3039748191270958,0.9961249822458716,0.9988163821536118,0.10479207249681993,0.00045001532207495086
17,0.282556054,5.670612218,1750,0.21294055200754702,0.24932018396886646,-0.0010236437733313064,0.02685147249978137,-0.02245738477892012,-13.118596,-13.197524,-13.199922,false,,0.5218301014173733,0.5069877855805565,0.30397480088581863,0.9961154566456022,0.9988147077609743,0.10479401186628055,0.000450110203494811
18,0.288412981,5.959025198999999,1750,0.2129409655893342,0.24932054863251957,-0.001022186991359364,0.02685281087621305,-0.022455858334739565,-13.118596,-13.197524,-13.199921,false,,0.5218301500255895,0.5069892257358494,0.30397490357237134,0.9961087913911754,0.9988135289797826,0.10479452461832951,0.0004501651209662193
19,0.273404962,6.232430160999999,1750,0.2129412717352492,0.24932072320478968,-0.001020988006840251,0.026853947086489915,-0.02245463270209963,-13.118596,-13.197526,-13.199923,false,,0.521830322241326,0.5069904463784416,0.30397482070366577,0.9961041204386231,0.9988126996318075,0.10479451939586751,0.00045019639920856354
20,0.272689995,6.505120155999999,1750,0.21294149532595966,0.24932069359955394,-0.0010196525215292462,0.02685522984801003,-0.02245331911705617,-13.118596,-13.197526,-13.199922,false,,0.5218302768832598,0.5069911678677473,0.303974773939914,0.9961008467030487,0.9988121144185185,0.10479428774549573,0.00045021359983548107
21,0.280682561,6.785802716999999,1750,0.21294172783879395,0.24932094191422133,-0.0010191257126707098,0.02685569053582837,-0.02245279149523921,-13.118596,-13.197526,-13.199922,false,,0.5218303228288532,0.5069917620599833,0.3039748941023439,0.9960985510228196,0.9988117011508165,0.10479403637373756,0.0004502233476661493
22,0.288938544,7.074741260999999,1750,0.2129417258833202,0.24932077440298617,-0.0010186249740772313,0.0268561915053942,-0.022452297705729096,-13.118596,-13.197526,-13.199922,false,,0.5218302323651973,0.506992069011834,0.3039748068871363,0.9960969413649926,0.9988114101299674,0.10479381319871227,0.0004502281637515726
23,0.272592423,7.347333683999999,1750,0.21294187608453036,0.2493209499033772,-0.001018162575157855,0.02685658942831648,-0.022451841289062524,-13.118596,-13.197526,-13.199922,false,,0.5218303389633341,0.5069924547485701,0.30397489382472553,0.9960958137738566,0.9988112056626215,0.10479364324976158,0.00045023134486159674
24,0.272972682,7.6203063659999986,1750,0.2129419282435884,0.2493208372584879,-0.001018041984076068,0.026856699530102168,-0.0224517147638153,-13.118596,-13.197526,-13.199922,false,,0.5218304389600799,0.5069927537425469,0.30397482684961996,0.996095021087077,0.9988110616913886,0.10479355715522573,0.00045023264563218233
25,0.280410705,7.900717070999999,1750,0.21294194753728046,0.249320864924279,-0.001017622780909666,0.026857130226930703,-0.022451331567336974,-13.118596,-13.197526,-13.199922,false,,0.5218302976615424,0.5069927512100083,0.30397476754147523,0.9960944593334166,0.9988109596455633,0.10479346712616756,0.0004502332053290233
26,0.289081717,8.189798788,1750,0.21294198544915402,0.24932090298011414,-0.0010177772518698003,0.026856933350922763,-0.022451440761963926,-13.118596,-13.197526,-13.199922,false,,0.5218303714992684,0.5069929237724798,0.30397480934032006,0.9960940701601861,0.9988108877194295,0.10479340336269505,0.0004502331905705178
27,0.273047223,8.462846011,1750,0.2129419931814446,0.24932076676198128,-0.0010175458607476484,0.026857158746019127,-0.022451269383618522,-13.118596,-13.197526,-13.199922,false,,0.5218304336842067,0.5069930535642166,0.3039748001332637,0.9960937954038545,0.9988108375182383,0.10479338526759195,0.00045023336866952446
28,0.272823068,8.735669079,1750,0.2129420524828258,0.24932082014846968,-0.001017387202398523,0.02685731064774355,-0.022451118013772087,-13.118596,-13.197526,-13.199923,false,,0.5218304560561606,0.5069931329022319,0.30397485978694216,0.996093604421594,0.9988108022537636,0.10479328285326828,0.00045023332325869035
29,0.280895596,9.016564675,1750,0.212942011782431,0.24932087673756456,-0.0010175275709579656,0.02685717998031223,-0.022451218855259303,-13.118596,-13.197526,-13.199922,false,,0.5218302560619837,0.5069929657912156,0.30397482077933086,0.9960934680519821,0.99881077636834,0.10479324034952937,0.0004502329672380625
30,0.287615763,9.304180438,1750,0.21294203814661256,0.2493208245730739,-0.0010171887437471216,0.02685753786430345,-0.02245091327451315,-13.118596,-13.197526,-13.199923,false,,0.5218304629672702,0.5069931997890782,0.3039748088788701,0.9960933743442532,0.9988107588975922,0.10479325389160432,0.00045023319809306373
