S train_x,D train_x,P(Df|e) train_x,P(D|e) train_x,S valid_x,D valid_x,P(Df|e) valid_x,P(D|e) valid_x,S test_x,D test_x,P(Df|e) test_x,P(D|e) test_x
0,0,2.4664959710207768e-6,0.0,0,1,1.0,1.0,0,1,0.9999837875366211,1.0
0,0,1.03662227957102e-6,0.0,0,1,0.9999904632568359,0.9999999403953552,1,0,0.00011002905375789851,0.0
0,1,1.0,1.0,0,0,1.775436794559937e-5,0.0,1,1,0.998975932598114,0.9999997019767761
0,0,2.5532566723995842e-5,0.0,1,1,0.9671415090560913,1.0,0,0,0.0016578288050368428,0.0
0,0,9.706307901069522e-5,0.0,1,0,0.00017498634406365454,0.0,0,0,1.6847532606334426e-5,0.0
0,1,0.999974250793457,1.0,1,1,0.719042181968689,0.9999992847442627,0,0,4.1899507777998224e-5,0.0
1,0,8.34883212519344e-6,0.0,0,1,0.9999723434448242,0.9999995231628418,0,1,0.9999961853027344,0.9999997019767761
1,0,3.4578457416500896e-5,0.0,0,0,0.0004639647086150944,0.0,0,1,0.9999980926513672,1.0
0,1,0.9997130036354065,1.0,0,1,0.9999914169311523,1.0,1,1,0.8840844631195068,0.9999999403953552
1,0,4.484165572193888e-7,0.0,1,1,0.9990702271461487,0.9999992251396179,0,0,1.4907465811120346e-5,0.0
0,1,0.9999980926513672,0.9999997019767761,0,0,8.721014455659315e-5,0.0,0,0,0.0010483162477612495,0.0
0,0,7.614700280100806e-6,0.0,0,0,2.564846545283217e-5,0.0,0,0,2.4320654119946994e-5,0.0
1,0,8.07581363915233e-6,0.0,1,0,1.1763963811972644e-5,0.0,1,1,0.9972026348114014,0.9999995827674866
0,0,1.3617108379548881e-5,0.0,0,1,0.9999685287475586,1.0,0,0,4.07894876843784e-5,0.0
0,0,9.40322715905495e-5,0.0,0,0,0.00012780158431269228,0.0,0,0,3.493254553177394e-5,0.0
0,0,3.133478094241582e-5,0.0,1,1,0.9642607569694519,0.9999997615814209,0,0,1.8279549749422586e-6,0.0
0,1,0.9999504089355469,0.9999995231628418,1,0,2.6514735509408638e-6,0.0,0,1,0.9999866485595703,0.9999997019767761
1,1,0.9901823997497559,0.9999999403953552,1,1,0.9999700784683228,0.9999999403953552,0,0,7.908372208476067e-5,0.0
0,1,0.9999990463256836,1.0,0,1,0.9999990463256836,1.0,0,1,0.9963550567626953,1.0
0,0,9.348781168228015e-5,0.0,0,0,3.5487812510837102e-6,0.0,1,1,0.9998403787612915,0.9999997019767761
1,1,0.9998823404312134,0.9999996423721313,0,1,0.9999971389770508,0.9999997019767761,0,1,0.9999608993530273,0.9999997019767761
0,0,0.00019294775847811252,0.0,1,1,0.9991036057472229,0.999999463558197,1,0,0.0008445920539088547,0.0
1,1,0.999942421913147,1.0,0,1,0.9999990463256836,0.9999995231628418,1,0,3.074205778830219e-8,0.0
0,0,1.0173602277063765e-5,0.0,1,0,0.00014775616000406444,0.0,0,0,1.2191975656605791e-5,0.0
0,1,0.9998245239257812,0.9999995231628418,0,0,0.00013377955474425107,0.0,1,1,0.9954267740249634,0.9999997615814209
0,1,0.9997625350952148,0.9999998807907104,0,0,5.1164017349947244e-5,0.0,0,0,1.6784859326435253e-5,0.0
0,0,9.939770279743243e-6,0.0,0,1,0.9999704360961914,0.9999998211860657,0,1,0.9999990463256836,1.0
0,0,7.682573595957365e-6,0.0,0,0,3.7904690088907955e-6,0.0,0,1,0.9999885559082031,0.9999998211860657
0,1,0.9998722076416016,1.0,1,0,3.960940011893399e-5,0.0,0,1,0.9999866485595703,0.9999999403953552
0,1,0.9996252655982971,1.0,0,0,0.00023653579410165548,0.0,0,1,0.9999828338623047,0.9999998211860657
1,0,4.3851364353031386e-6,0.0,0,0,6.500055405922467e-6,0.0,0,1,0.9999856948852539,0.9999995231628418
0,1,0.9999990463256836,0.9999995231628418,0,1,0.9998807907104492,0.9999996423721313,0,0,3.49237006957992e-6,0.0
0,1,0.9999475479125977,1.0,1,0,9.094363122130744e-6,0.0,0,0,1.1145898497488815e-5,0.0
0,1,0.9999933242797852,1.0,0,1,0.9999971389770508,0.9999997019767761,0,1,0.9993945956230164,0.9999997615814209
0,0,1.3536966889660107e-6,0.0,0,1,0.9993717074394226,1.0,1,0,0.00011611934314714745,0.0
1,0,5.768635219283169e-6,0.0,0,0,5.062142008682713e-6,0.0,1,1,0.9941962957382202,0.9999999403953552
0,1,1.0,1.0,0,1,1.0,1.0,0,0,1.5746547433082014e-5,0.0
0,1,0.999995231628418,0.9999995231628418,1,1,0.9977676868438721,0.9999993443489075,0,1,0.9999980926513672,1.0
0,0,0.0002453498891554773,0.0,0,0,8.856660542733152e-7,0.0,0,0,1.518352291896008e-5,0.0
0,1,0.9999990463256836,1.0,0,0,5.347732894733781e-6,0.0,0,1,0.9999713897705078,0.9999996423721313
0,0,1.1927945706702303e-6,0.0,0,1,0.9999771118164062,0.9999998211860657,1,0,5.636466227088022e-8,0.0
0,0,1.1157139852002729e-5,0.0,0,1,0.9999990463256836,0.9999998211860657,1,1,0.9998394250869751,0.9999999403953552
0,1,0.9999971389770508,0.9999999403953552,0,0,0.0012752905022352934,0.0,0,1,0.9999961853027344,1.0
0,1,0.9999141693115234,0.9999998807907104,0,1,0.9994470477104187,0.9999995827674866,0,1,0.9988162517547607,1.0
0,1,1.0,1.0,0,0,5.157026680535637e-5,0.0,1,0,0.00011640395678114146,0.0
0,0,1.055216125678271e-5,0.0,0,1,0.9999933242797852,1.0,0,1,0.9996958374977112,1.0
0,0,1.1426178758711103e-7,0.0,0,1,0.9999847412109375,1.0,0,0,3.756933074328117e-5,0.0
0,0,0.0008347025141119957,0.0,0,1,0.9999923706054688,0.9999999403953552,1,1,0.999614417552948,0.9999994039535522
0,0,0.0002485494769643992,0.0,0,1,0.9998664855957031,0.9999998807907104,1,0,1.307333332078997e-5,0.0
0,1,0.9999990463256836,0.9999997615814209,0,1,1.0,1.0,0,0,9.117105946643278e-6,0.0
1,1,0.9957780838012695,0.9999991655349731,0,1,0.999943733215332,1.0,0,0,0.0001268825144506991,0.0
0,0,7.999613444553688e-6,0.0,0,0,0.0004553415346890688,0.0,1,0,0.002029250143095851,0.0
0,1,1.0,1.0,0,1,1.0,1.0,0,0,8.494848589180037e-5,0.0
1,0,1.3119208233547397e-5,0.0,0,0,1.0539442882873118e-6,0.0,0,0,1.825521280807152e-6,0.0
1,1,0.9990559220314026,1.0,1,0,0.0010052004363387823,0.0,1,0,5.893807042411936e-7,0.0
