S train_x,D train_x,P(Df|e) train_x,P(D|e) train_x,S valid_x,D valid_x,P(Df|e) valid_x,P(D|e) valid_x,S test_x,D test_x,P(Df|e) test_x,P(D|e) test_x
0,0,,0.001573778921738267,0,0,,0.0024106400087475777,1,1,,0.8458610773086548
0,1,,0.7179874777793884,0,0,,0.14429128170013428,0,1,,0.9261149168014526
0,1,,0.9998717308044434,1,0,,0.009512019343674183,1,0,,0.005093947518616915
1,0,,0.022389598190784454,0,0,,0.2255912870168686,1,0,,0.14483997225761414
0,0,,0.02199026755988598,0,0,,0.018106717616319656,1,1,,0.07084240019321442
0,1,,0.9133616089820862,1,0,,0.013441924937069416,0,1,,0.748565137386322
1,0,,0.04820980131626129,0,0,,0.046711716800928116,0,1,,0.98749840259552
1,0,,0.06131144240498543,0,0,,0.17971697449684143,1,0,,0.45875129103660583
0,1,,0.8252785801887512,1,0,,0.010516252368688583,0,1,,0.9247452020645142
0,1,,0.9960258603096008,0,1,,0.9965531826019287,0,1,,0.9956934452056885
0,0,,0.01865335926413536,0,1,,0.6722642183303833,0,1,,0.9681565165519714
1,0,,0.026144931092858315,1,0,,0.025038575753569603,0,0,,0.0028721154667437077
0,0,,0.009469547308981419,0,0,,0.0011662108590826392,0,0,,0.011757493950426579
0,1,,0.9995885491371155,0,0,,0.5771987438201904,0,0,,0.0039200559258461
0,0,,0.09633272141218185,1,1,,0.9907997846603394,0,0,,0.0025448857340961695
1,1,,0.985350489616394,0,0,,0.008571086451411247,1,1,,0.9940328598022461
0,0,,0.042676184326410294,1,0,,0.11132814735174179,1,0,,0.017229825258255005
0,1,,0.9200916290283203,0,0,,0.280047744512558,0,0,,0.6071038842201233
0,1,,0.9987662434577942,1,1,,0.9324539303779602,1,0,,0.16839219629764557
0,0,,0.14017799496650696,1,0,,0.07863825559616089,0,0,,0.051101259887218475
1,1,,0.9944424629211426,0,0,,0.0004809899546671659,0,0,,0.0874764546751976
1,1,,0.9958897829055786,1,1,,0.9928987622261047,1,0,,0.1314917504787445
0,1,,0.9491437077522278,0,1,,0.9997096657752991,0,0,,0.0032450896687805653
0,0,,0.012569758109748363,1,0,,0.0005432527977973223,0,0,,0.003853617236018181
0,1,,0.9591420292854309,0,1,,0.8404569625854492,0,1,,0.9961597919464111
0,0,,0.42988693714141846,0,1,,0.9914200901985168,1,0,,0.943726122379303
0,0,,0.03397176414728165,1,0,,0.22596287727355957,0,0,,0.35171040892601013
0,0,,0.005667790304869413,0,1,,0.5220651626586914,0,1,,0.767214834690094
0,0,,0.004619937390089035,0,0,,0.6137367486953735,0,0,,0.0147586390376091
0,0,,0.02606957219541073,0,1,,0.41307535767555237,0,0,,0.048210181295871735
0,1,,0.811903715133667,0,0,,0.13748519122600555,0,1,,0.9622194766998291
0,1,,0.5103393197059631,0,0,,0.0005562770529650152,0,1,,0.996892511844635
1,1,,0.5698612332344055,0,0,,0.0745374783873558,1,0,,0.2277822643518448
0,1,,0.9983158111572266,0,0,,0.1559409648180008,0,0,,0.27294906973838806
0,1,,0.8497616648674011,1,0,,0.3423544466495514,1,0,,0.0057874396443367004
0,1,,0.9966729283332825,1,0,,0.010515419766306877,0,0,,0.7004022002220154
0,0,,0.0010685995221138,0,0,,0.30502888560295105,0,1,,0.9935800433158875
1,0,,0.012890815734863281,0,1,,0.9911837577819824,1,1,,0.9967249631881714
0,1,,0.998633861541748,0,1,,0.9951523542404175,0,0,,0.05888891965150833
0,1,,0.942281186580658,0,0,,0.33327579498291016,1,1,,0.9976436495780945
0,0,,0.1784117966890335,0,0,,0.10853602737188339,0,0,,0.002032558200880885
0,1,,0.9976609945297241,1,0,,0.20390093326568604,1,0,,0.5399908423423767
1,0,,0.10595819354057312,0,0,,0.053705357015132904,1,1,,0.5723803043365479
0,0,,0.001939081121236086,1,1,,0.9998629093170166,0,0,,0.0011847385903820395
0,0,,0.010093007236719131,1,1,,0.9767085909843445,0,0,,0.1573810577392578
0,1,,0.9949862957000732,1,0,,0.44235560297966003,1,1,,0.9872222542762756
0,1,,0.9454361200332642,0,0,,0.5079334378242493,0,0,,0.1265062689781189
0,1,,0.9965589046478271,0,1,,0.979069173336029,0,0,,0.0321597121655941
0,0,,0.01088997907936573,0,1,,0.9513803124427795,0,1,,0.9255577921867371
0,0,,4.294740210752934e-5,0,1,,0.5330727100372314,0,1,,0.5991222858428955
0,0,,0.6403281092643738,0,1,,0.9986329078674316,0,1,,0.9978893399238586
0,0,,0.1985805481672287,0,1,,0.9964847564697266,0,1,,0.9972044229507446
0,1,,0.9976105690002441,0,1,,0.9056257009506226,0,1,,0.9994332194328308
1,1,,0.978243887424469,1,0,,0.4258212149143219,1,0,,0.01569417491555214
0,1,,0.9992359280586243,0,1,,0.9734039902687073,0,0,,0.006181021220982075
1,1,,0.9916770458221436,1,0,,0.8610837459564209,0,1,,0.9984995722770691
0,1,,0.9961550235748291,1,1,,0.9995311498641968,0,0,,0.010984542779624462
1,1,,0.9624037146568298,1,1,,0.9925674200057983,1,0,,0.06457431614398956
0,0,,0.04728285223245621,1,1,,0.9967962503433228,0,1,,0.9870257377624512
0,1,,0.2686520516872406,0,1,,0.5697216987609863,1,0,,0.5062445998191833
0,0,,0.06416016817092896,0,0,,0.5974847078323364,1,0,,0.0085220318287611
0,1,,0.6207278966903687,1,0,,0.7163602113723755,0,0,,0.0013356691924855113
0,0,,0.006324866786599159,0,0,,0.03226132690906525,0,0,,0.009799687191843987
0,1,,0.9957579970359802,0,0,,0.30562785267829895,1,1,,0.9993910193443298
0,1,,0.9978727102279663,0,0,,0.015103559009730816,0,0,,0.0692346841096878
0,0,,0.1781560778617859,1,1,,0.9908121228218079,0,1,,0.9846875071525574
0,1,,0.7958743572235107,1,1,,0.9876187443733215,0,1,,0.995115339756012
1,0,,0.0013984956312924623,1,1,,0.18939487636089325,0,1,,0.4660068154335022
0,0,,0.2966891825199127,1,1,,0.932730495929718,1,1,,0.977029025554657
0,1,,0.9926329851150513,0,1,,0.47307321429252625,1,1,,0.9936432838439941
1,0,,0.07855363190174103,1,0,,0.6961036324501038,0,0,,0.17398959398269653
0,1,,0.9540396928787231,1,1,,0.936950147151947,0,1,,0.9998660087585449
0,1,,0.9993159770965576,0,1,,0.9781386852264404,0,1,,0.98780357837677
0,0,,0.6913905143737793,0,1,,0.8514221906661987,0,1,,0.9909654259681702
0,1,,0.9266034364700317,0,0,,0.014080763794481754,0,0,,0.028462892398238182
0,0,,0.01656210608780384,1,1,,0.9774223566055298,0,0,,0.10429569333791733
0,1,,0.7050080895423889,0,1,,0.003267585765570402,0,1,,0.9969913959503174
0,0,,0.000647235952783376,1,0,,0.618972659111023,1,1,,0.9954235553741455
0,1,,0.958339273929596,0,0,,0.0023584472946822643,1,1,,0.9998753070831299
1,1,,0.999924898147583,0,1,,0.995812177658081,1,1,,0.6978989839553833
0,1,,0.9995485544204712,0,0,,0.05672838166356087,1,1,,0.9498207569122314
1,1,,0.44387903809547424,1,0,,0.3049328327178955,0,0,,0.061759158968925476
1,0,,0.001762478961609304,0,0,,0.0006076648132875562,0,0,,0.013651280663907528
1,1,,0.7136327028274536,1,0,,0.12102340161800385,0,1,,0.9994999170303345
0,0,,0.01675191894173622,0,0,,0.001961126457899809,0,0,,0.6115119457244873
0,0,,0.06233615428209305,1,1,,0.9990155696868896,0,0,,0.038850512355566025
1,0,,0.009800906293094158,0,1,,0.9319189190864563,0,0,,0.006496015470474958
1,1,,0.9503046274185181,1,1,,0.9955878257751465,1,1,,0.9992938041687012
1,1,,0.9681858420372009,0,1,,0.9999785423278809,0,1,,0.17748063802719116
0,0,,0.043123066425323486,0,0,,0.10780566185712814,0,1,,0.9531821012496948
0,0,,0.2581823170185089,0,0,,0.014341471716761589,0,1,,0.9523053169250488
1,1,,0.9642089009284973,0,1,,0.9918655157089233,0,0,,0.019096767529845238
0,1,,0.9996333718299866,0,0,,0.16971391439437866,1,1,,0.9839109778404236
0,0,,0.08692865818738937,0,0,,0.0734352320432663,1,1,,0.9994339346885681
1,0,,0.005345731973648071,0,1,,0.9746877551078796,1,0,,0.7279987335205078
0,0,,0.08487942069768906,0,1,,0.9989529252052307,0,1,,0.9695443511009216
0,0,,0.0020060178358107805,0,0,,0.03292282670736313,0,0,,0.009360045194625854
0,0,,0.0015830998308956623,0,1,,0.9813650846481323,0,0,,0.006252646911889315
1,0,,0.0038358105812221766,0,1,,0.9998631477355957,0,1,,0.9984785914421082
0,0,,0.03788881003856659,1,1,,0.8972744941711426,0,1,,0.948458731174469
0,0,,0.20385333895683289,0,1,,0.9616048336029053,0,1,,0.8715881109237671
0,1,,0.9855650067329407,1,1,,0.9995816349983215,0,0,,0.1332503855228424
0,1,,0.7960436344146729,0,0,,0.00010932376608252525,0,1,,0.9981063604354858
0,0,,0.018665602430701256,1,0,,0.1325370818376541,0,0,,0.34748128056526184
0,0,,0.0165398046374321,0,1,,0.8521329760551453,0,1,,0.9935942888259888
1,0,,0.002802121452987194,0,0,,0.008373032324016094,0,0,,0.010158072225749493
0,1,,0.9991339445114136,0,0,,0.5509853959083557,1,0,,0.003615475492551923
1,1,,0.9990222454071045,0,0,,0.0013699998380616307,0,0,,0.004084727726876736
0,1,,0.9997773170471191,0,1,,0.9657672047615051,0,0,,0.00945199839770794
0,1,,0.9821421504020691,1,1,,0.9990593791007996,1,1,,0.9965871572494507
0,0,,0.06856120377779007,0,1,,0.6810142993927002,1,1,,0.4966011345386505
0,1,,0.9997220635414124,0,1,,0.9921455383300781,0,0,,0.010152067989110947
0,0,,0.2749086320400238,0,0,,0.03805353865027428,1,1,,0.8376010060310364
0,0,,0.0010981090599671006,0,1,,0.7206491827964783,1,0,,0.03544024005532265
0,0,,0.020659558475017548,0,1,,0.9997916221618652,0,1,,0.9803482890129089
0,0,,0.056186843663454056,0,1,,0.9999699592590332,0,0,,0.13235647976398468
0,1,,0.9980483055114746,0,0,,0.25546637177467346,0,1,,0.9999642372131348
0,0,,0.019103562459349632,0,0,,0.03531982749700546,0,1,,0.9986843466758728
0,0,,0.12303072214126587,0,0,,0.03606174513697624,0,1,,0.7499277591705322
0,1,,0.8832904696464539,0,1,,0.9980140328407288,0,1,,0.9983196258544922
0,0,,0.05517075955867767,1,1,,0.09532231837511063,0,0,,0.8243417739868164
1,0,,0.0039743767119944096,0,0,,0.006346588488668203,0,0,,0.7464578747749329
0,0,,0.0031581041403114796,0,0,,0.00869683362543583,0,0,,0.12556105852127075
1,0,,0.0936056524515152,0,1,,0.9998412132263184,0,1,,0.5145809054374695
1,0,,0.21084243059158325,0,0,,0.0007224943256005645,0,0,,0.02587350644171238
1,1,,0.8884945511817932,1,1,,0.9984440803527832,0,1,,0.9989901185035706
0,1,,0.9977561235427856,0,0,,0.02186805009841919,0,1,,0.3396400809288025
0,1,,0.9487889409065247,0,0,,0.0009149425895884633,0,1,,0.07472274452447891
0,1,,0.9674283266067505,0,1,,0.8766825199127197,0,1,,0.542145311832428
0,0,,0.03510333225131035,1,1,,0.9637207388877869,0,1,,0.893642783164978
1,1,,0.9866528511047363,1,0,,0.009521939791738987,1,0,,0.4876396656036377
0,1,,0.9998841285705566,0,1,,0.992890477180481,1,1,,0.9573725461959839
0,0,,0.03568531945347786,0,0,,0.6797950267791748,0,0,,0.006031743250787258
0,1,,0.9945147633552551,1,0,,0.007922405377030373,0,1,,0.8591128587722778
1,1,,0.9998753070831299,1,0,,0.0029428107663989067,0,0,,0.0013276252429932356
1,1,,0.9734557271003723,0,1,,0.9997572898864746,0,0,,0.08063667267560959
0,0,,0.03750482574105263,1,1,,0.9614313244819641,0,1,,0.045269839465618134
0,0,,0.05513899028301239,0,1,,0.9985824227333069,1,0,,0.021072151139378548
0,0,,0.097857765853405,0,0,,0.0008786380640231073,0,0,,0.12061014026403427
