iter,time,total_time,circuit_size,cross_entropy_D,cross_entropy_Df,train_discrimination,valid_discrimination,test_discrimination,train_mll,valid_mll,test_mll,struct?,stop?,P(D),P(Df),P(S),"P(D|Df,S)","P(D|Df,notS)","P(D|notDf,S)","P(D|notDf,notS)"
0,0.053253443,0.053253443,629,0.2455901023932259,0.2455901023932259,0.020896763627521575,0.03643175449014674,0.03337141060309501,-13.238967096461543,-13.35771272068345,-13.266384517105065,true,,0.5235773361313418,0.0,0.3023700777681768,0.0,0.0,0.0,0.0
1,3.806716319,3.859969762,629,0.2455901023932259,0.2455901023932259,0.020896763627521575,0.03643175449014674,0.03337141060309501,-13.238967096461543,-13.35771272068345,-13.266384517105065,true,,0.5235773361313418,0.0,0.3023700777681768,0.0,0.0,0.0,0.0
2,0.820539161,4.680508923,653,0.2456863082742575,0.2456863082742575,0.021914319917742953,0.03943112130010229,0.03369651165879173,-13.237805227964135,-13.363896031695756,-13.26498031668998,true,,0.5235773361313418,0.0,0.3023700777681768,0.0,0.0,0.0,0.0
3,0.083460053,4.763968975999999,673,0.24574845724508776,0.24574845724508776,0.021937047899724282,0.03924155463290235,0.033790768845767816,-13.237367728063916,-13.363969992915075,-13.267806303091461,true,,0.5235773361313418,0.0,0.3023700777681768,0.0,0.0,0.0,0.0
4,0.180888984,4.944857959999999,721,0.24493956162219788,0.24493956162219788,0.022928637968140264,0.039835513839638514,0.033772436555390306,-13.233727576283592,-13.360689693679905,-13.26046161288387,true,,0.5235773361313418,0.0,0.3023700777681768,0.0,0.0,0.0,0.0
5,0.11418447,5.059042429999999,723,0.24493956175695838,0.24493956175695838,0.0229286331491928,0.03983550209052783,0.03377242690669169,-13.233727576283592,-13.360689693679905,-13.26046161288387,true,,0.5235773361313418,0.0,0.3023700777681768,0.0,0.0,0.0,0.0
6,0.234994423,5.294036852999999,725,0.24493886633002018,0.24493886633002018,0.022933047980260746,0.0398404069518708,0.033776426555746086,-13.233727568280454,-13.360690558245864,-13.260457261348751,true,,0.5235773361313418,0.0,0.3023700777681768,0.0,0.0,0.0,0.0
7,0.167506092,5.461542944999999,726,0.24474499106098577,0.24474499106098577,0.022826253327787316,0.03979163387021534,0.03383096746239311,-13.2335422790553,-13.361610727888277,-13.260134714069414,true,,0.5235773361313418,0.0,0.3023700777681768,0.0,0.0,0.0,0.0
8,0.008518689,5.470061633999999,730,0.24443336041019106,0.24443336041019106,0.022464639840710676,0.03952387866593693,0.03370243776043813,-13.233310031391264,-13.361063749275614,-13.259171645294554,true,,0.5235773361313418,0.0,0.3023700777681768,0.0,0.0,0.0,0.0
9,0.011829005,5.481890638999999,758,0.2444186178280689,0.2444186178280689,0.02273134082554784,0.039436961061942,0.03384896539766724,-13.232967738487103,-13.361517720782151,-13.258962367721907,true,,0.5235773361313418,0.0,0.3023700777681768,0.0,0.0,0.0,0.0
10,0.012513802,5.494404440999999,760,0.24441861813586382,0.24441861813586382,0.02273134583571612,0.0394369667153851,0.03384897163822531,-13.232967738487103,-13.361517720782151,-13.258962367721907,true,,0.5235773361313418,0.0,0.3023700777681768,0.0,0.0,0.0,0.0
11,0.050047655,5.544452095999999,762,0.2444186539446348,0.2444186539446348,0.022727297685245063,0.03943300707854647,0.03384498951750625,-13.232967735644014,-13.361515731946898,-13.258962139728911,true,,0.5235773361313418,0.0,0.3023700777681768,0.0,0.0,0.0,0.0
12,0.017753173,5.562205268999999,763,0.244667010451482,0.244667010451482,0.022500111252825583,0.03922812299648365,0.03353952298083274,-13.232825308675137,-13.360945329244215,-13.258468135596367,true,,0.5235773361313418,0.0,0.3023700777681768,0.0,0.0,0.0,0.0
13,0.024271105,5.586476373999999,763,0.244667010451482,0.244667010451482,0.022500111252825583,0.03922812299648365,0.03353952298083274,-13.232825308675137,-13.360945329244215,-13.258468135596367,true,,0.5235773361313418,0.0,0.3023700777681768,0.0,0.0,0.0,0.0
14,0.082464471,5.668940844999999,766,0.24460002790615518,0.24460002790615518,0.022605475681037324,0.039373260120842746,0.03377912039853548,-13.232674884276516,-13.360158905515046,-13.258713442688487,true,,0.5235773361313418,0.0,0.3023700777681768,0.0,0.0,0.0,0.0
15,0.086663289,5.755604133999999,771,0.2447150901771997,0.2447150901771997,0.022420883793912272,0.03972444419856963,0.033747300808496083,-13.232094161870716,-13.36122508736653,-13.257927338503249,true,,0.5235773361313418,0.0,0.3023700777681768,0.0,0.0,0.0,0.0
16,0.033327087,5.788931220999999,772,0.24453848163439454,0.24453848163439454,0.022384769724153708,0.03970877536299838,0.03397392728584625,-13.231947755911014,-13.362705084987551,-13.258610256135787,true,,0.5235773361313418,0.0,0.3023700777681768,0.0,0.0,0.0,0.0
17,0.009299356,5.798230576999998,772,0.24453848163439454,0.24453848163439454,0.022384769724153708,0.03970877536299838,0.03397392728584625,-13.231947755911014,-13.362705084987551,-13.258610256135787,true,,0.5235773361313418,0.0,0.3023700777681768,0.0,0.0,0.0,0.0
18,0.015531402,5.813761978999998,775,0.24398463630840775,0.24398463630840775,0.022559029261581265,0.039550911383412435,0.03514597258504504,-13.228753093814026,-13.359532496369951,-13.252038851016714,true,,0.5235773361313418,0.0,0.3023700777681768,0.0,0.0,0.0,0.0
19,0.008718733,5.822480711999998,775,0.24398463630840775,0.24398463630840775,0.022559029261581265,0.039550911383412435,0.03514597258504504,-13.228753093814026,-13.359532496369951,-13.252038851016714,true,,0.5235773361313418,0.0,0.3023700777681768,0.0,0.0,0.0,0.0
20,0.039368547,5.861849258999998,789,0.2353367732771571,0.2353367732771571,0.022035772322983926,0.03704879807753819,0.03400099431220294,-13.185523742762838,-13.307461328528321,-13.215592275037176,true,,0.5235773361313418,0.0,0.3023700777681768,0.0,0.0,0.0,0.0
21,0.093797595,5.955646853999998,791,0.23533677171787273,0.23533677171787273,0.022035771260485504,0.03704879694950064,0.03400099167793735,-13.185523742762838,-13.307461328528321,-13.215592275037176,true,,0.5235773361313418,0.0,0.3023700777681768,0.0,0.0,0.0,0.0
22,0.00900442,5.964651273999998,798,0.23534553537307928,0.23534553537307928,0.02205249839318757,0.03707937306714704,0.03403020309986493,-13.185525042889887,-13.307497766828371,-13.215559799044126,true,,0.5235773361313418,0.0,0.3023700777681768,0.0,0.0,0.0,0.0
23,0.0099245,5.974575773999998,800,0.2353455352590539,0.2353455352590539,0.022052498499817497,0.03707937277745349,0.034030203524862856,-13.185525042889887,-13.307497766828371,-13.215559799044126,true,,0.5235773361313418,0.0,0.3023700777681768,0.0,0.0,0.0,0.0
24,0.008895107,5.983470880999998,800,0.2353455352590539,0.2353455352590539,0.022052498499817497,0.03707937277745349,0.034030203524862856,-13.185525042889887,-13.307497766828371,-13.215559799044126,true,,0.5235773361313418,0.0,0.3023700777681768,0.0,0.0,0.0,0.0
25,0.018369058,6.001839938999998,802,0.23537062413647214,0.23537062413647214,0.022106396522418748,0.03712017675943374,0.03410098219262481,-13.185502484523356,-13.307678228502294,-13.215694192089817,true,,0.5235773361313418,0.0,0.3023700777681768,0.0,0.0,0.0,0.0
26,0.009113112,6.010953050999998,803,0.23535844229379085,0.23535844229379085,0.022144345952401556,0.03715704902667505,0.03412060449893273,-13.18549152218883,-13.307832812536645,-13.215743430437282,true,,0.5235773361313418,0.0,0.3023700777681768,0.0,0.0,0.0,0.0
27,0.117477817,6.128430867999998,821,0.23554432407920642,0.23554432407920642,0.022447956097127242,0.037440161496332225,0.03442638024109568,-13.185141954012133,-13.308143694670516,-13.215035849800723,true,,0.5235773361313418,0.0,0.3023700777681768,0.0,0.0,0.0,0.0
28,0.109957041,6.238387908999998,824,0.23557821200352516,0.23557821200352516,0.022452527111262444,0.037480430817510235,0.034477029641338586,-13.185112278053579,-13.308315741855909,-13.215001216080147,true,,0.5235773361313418,0.0,0.3023700777681768,0.0,0.0,0.0,0.0
29,0.01461339,6.253001298999998,826,0.23557809916441708,0.23557809916441708,0.022454645455247557,0.03748384040054992,0.03447894759059078,-13.185112266222585,-13.308316760133202,-13.21499943052102,true,,0.5235773361313418,0.0,0.3023700777681768,0.0,0.0,0.0,0.0
30,0.036757816,6.289759114999998,831,0.2356045452724441,0.2356045452724441,0.022364153648806395,0.037323939384125815,0.034403616262474235,-13.185074232293536,-13.308290736369207,-13.214977031176245,true,,0.5235773361313418,0.0,0.3023700777681768,0.0,0.0,0.0,0.0
31,0.009508882,6.2992679969999985,831,0.2356045452724441,0.2356045452724441,0.022364153648806395,0.037323939384125815,0.034403616262474235,-13.185074232293536,-13.308290736369207,-13.214977031176245,true,,0.5235773361313418,0.0,0.3023700777681768,0.0,0.0,0.0,0.0
32,0.016460394,6.315728390999999,831,0.2356045452724441,0.2356045452724441,0.022364153648806395,0.037323939384125815,0.034403616262474235,-13.185074232293534,-13.308290736369207,-13.214977031176245,true,,0.5235773361313418,0.0,0.3023700777681768,0.0,0.0,0.0,0.0
33,0.009736257,6.325464647999999,831,0.2356045452724441,0.2356045452724441,0.022364153648806395,0.037323939384125815,0.034403616262474235,-13.185074232293534,-13.308290736369207,-13.214977031176245,true,,0.5235773361313418,0.0,0.3023700777681768,0.0,0.0,0.0,0.0
34,0.033869559,6.359334206999999,846,0.23561188837310015,0.23561188837310015,0.022502312776202515,0.03762089177016559,0.03460415295857677,-13.184913607185148,-13.30753383328201,-13.215228546572325,true,,0.5235773361313418,0.0,0.3023700777681768,0.0,0.0,0.0,0.0
35,0.009851439,6.369185645999999,858,0.23466789087085646,0.23466789087085646,0.022381475985455035,0.036095077171006795,0.03289713906885505,-13.183934743514916,-13.304490444103768,-13.21250360653326,true,,0.5235773361313418,0.0,0.3023700777681768,0.0,0.0,0.0,0.0
36,0.010026624,6.379212269999999,862,0.23451359033116356,0.23451359033116356,0.022488475001383512,0.035890134486292746,0.03334737738978344,-13.183833485198043,-13.303940519068703,-13.211088771521279,true,,0.5235773361313418,0.0,0.3023700777681768,0.0,0.0,0.0,0.0
37,0.009944542,6.3891568119999995,863,0.23454532063319225,0.23454532063319225,0.02250264481883868,0.03588536948989057,0.0333286666239716,-13.183827194506982,-13.303802438552031,-13.211234863681446,true,,0.5235773361313418,0.0,0.3023700777681768,0.0,0.0,0.0,0.0
38,0.028548785,6.417705596999999,878,0.23441934738908102,0.23441934738908102,0.02257360697826849,0.03589216149083402,0.033540276958518245,-13.183342676974885,-13.304811684246665,-13.210543389662446,true,,0.5235773361313418,0.0,0.3023700777681768,0.0,0.0,0.0,0.0
