S train_x,D train_x,P(Df|e) train_x,P(D|e) train_x,S valid_x,D valid_x,P(Df|e) valid_x,P(D|e) valid_x,S test_x,D test_x,P(Df|e) test_x,P(D|e) test_x
0,0,1.4622997923652292e-6,0.0,0,0,1.0857855841095443e-6,0.0,1,1,0.9595209360122681,0.9999992847442627
0,1,0.99981689453125,1.0,0,0,0.00013905036030337214,0.0,0,1,0.9999589920043945,0.9999997019767761
0,1,1.0,1.0,1,0,0.0024324541445821524,1.0,1,0,1.5278905038940138e-6,0.0
1,0,5.91096468269825e-5,0.0,0,0,0.00020622441661544144,0.0,1,0,5.28203372596181e-6,0.0
0,0,2.0296283764764667e-5,0.0,0,0,1.6497693650308065e-5,0.0,1,1,0.27982592582702637,1.0
0,1,0.9999723434448242,1.0,1,0,1.1891265785379801e-5,0.0,0,1,0.9999189376831055,1.0
1,0,7.303728580154711e-6,0.0,0,0,3.471110903774388e-5,0.0,0,1,0.999995231628418,0.9999997019767761
1,0,3.8132406189106405e-5,0.0,0,0,0.0007120264344848692,0.0,1,0,0.3398280441761017,0.9999997615814209
0,1,0.9998950958251953,1.0,1,0,0.026721971109509468,0.999999463558197,0,1,0.9999570846557617,1.0
0,1,0.9999980926513672,1.0,0,1,0.9999990463256836,1.0,0,1,0.9999980926513672,1.0
0,0,9.051964298123494e-6,0.0,0,1,0.9998178482055664,0.9999995827674866,0,1,0.9999837875366211,0.9999997019767761
1,0,8.433979019173421e-6,0.0,1,0,7.109543275873875e-6,0.0,0,0,2.968292164950981e-6,0.0
0,0,1.0360594387748279e-5,0.0,0,0,1.0532178293942707e-6,0.0,0,0,1.0928451956715435e-5,0.0
0,1,1.0,1.0,0,0,0.0020777478348463774,0.0,0,0,2.0010069420095533e-5,0.0
0,0,7.869528781156987e-5,0.0,1,1,0.9952986240386963,0.9999997019767761,0,0,1.445145016987226e-6,0.0
1,1,0.9968878626823425,0.9999996423721313,0,0,9.917206625686958e-6,0.0,1,1,0.9965533018112183,1.0
0,0,2.0395880710566416e-5,0.0,1,0,6.59322104183957e-5,0.0,1,0,9.740938367031049e-6,0.0
0,1,0.999964714050293,1.0,0,0,0.00035766183282248676,0.0,0,0,0.0008956502424553037,0.0
0,1,0.9999990463256836,0.9999995231628418,1,1,0.9778310656547546,0.9999995827674866,1,0,0.46941640973091125,1.0
0,0,0.00015098971198312938,0.0,1,0,8.004855772014707e-6,0.0,0,0,4.705460014520213e-5,0.0
1,1,0.9996744990348816,1.0,0,0,4.760753711252619e-7,0.0,0,0,0.00012034000974381343,0.0
1,1,0.9993332624435425,0.9999995827674866,1,1,0.9969012141227722,0.9999997019767761,1,0,1.2895173313154373e-5,0.0
0,1,0.9999542236328125,0.9999997019767761,0,1,1.0,1.0,0,0,1.6437597878393717e-6,0.0
0,0,7.583675142086577e-6,0.0,1,0,1.3177640312278527e-7,0.0,0,0,2.80679228126246e-6,0.0
0,1,0.9999809265136719,0.9999997615814209,0,1,0.9999361038208008,1.0,0,1,0.9999980926513672,1.0
0,0,0.0007226607413031161,0.0,0,1,0.9999971389770508,1.0,1,0,0.04095487669110298,0.0
0,0,2.1421492419904098e-5,0.0,1,0,0.3005213439464569,0.9999995231628418,0,0,0.0005319604533724487,0.0
0,0,7.077882401063107e-6,0.0,0,1,0.9998807907104492,1.0,0,1,0.9998836517333984,1.0
0,0,4.059744242113084e-6,0.0,0,0,0.0007256676908582449,0.0,0,0,4.933095260639675e-5,0.0
