S train_x,D train_x,P(Df|e) train_x,P(D|e) train_x,S valid_x,D valid_x,P(Df|e) valid_x,P(D|e) valid_x,S test_x,D test_x,P(Df|e) test_x,P(D|e) test_x
0,0,,0.002228070516139269,0,0,,0.001660272479057312,1,1,,0.9068918824195862
0,1,,0.7355933785438538,0,0,,0.17552421987056732,0,1,,0.925849199295044
0,1,,0.9999099969863892,1,1,,0.07294739782810211,1,0,,0.010981065221130848
1,0,,0.08452318608760834,0,0,,0.2393578439950943,1,0,,0.1566459834575653
0,0,,0.029813924804329872,0,0,,0.024645527824759483,1,1,,0.20159812271595
0,1,,0.9487700462341309,1,0,,0.13361839950084686,0,1,,0.8632612824440002
1,0,,0.06250646710395813,0,0,,0.050422895699739456,0,1,,0.9912973046302795
1,0,,0.2516331076622009,0,0,,0.5199792981147766,1,1,,0.34451520442962646
0,1,,0.8293735980987549,1,1,,0.1373405158519745,0,1,,0.9212173819541931
0,1,,0.9960477948188782,0,1,,0.997753381729126,0,1,,0.99607914686203
0,0,,0.013637006282806396,0,1,,0.7382393479347229,0,1,,0.9697016477584839
1,0,,0.07451970875263214,1,0,,0.06539642065763474,0,0,,0.004535996355116367
0,0,,0.015631983056664467,0,0,,0.0016122711822390556,0,0,,0.016430256888270378
0,1,,0.9997155070304871,0,0,,0.7600721120834351,0,0,,0.02961256541311741
0,0,,0.10716888308525085,1,1,,0.9802557229995728,0,0,,0.0022090538404881954
1,1,,0.9865298271179199,0,0,,0.014963301829993725,1,1,,0.987632155418396
0,0,,0.029682599008083344,1,0,,0.25081589818000793,1,0,,0.13390925526618958
0,1,,0.935576319694519,0,0,,0.3527332842350006,0,0,,0.5746656656265259
0,1,,0.9990092515945435,1,1,,0.9210678935050964,1,1,,0.3854764401912689
0,0,,0.18713489174842834,1,0,,0.3613109588623047,0,0,,0.0670148953795433
1,1,,0.9967518448829651,0,0,,0.0007299784338101745,0,0,,0.1548922061920166
1,1,,0.9952320456504822,1,1,,0.9856514930725098,1,0,,0.34128594398498535
0,1,,0.9182404279708862,0,1,,0.9997546076774597,0,0,,0.0025133017916232347
0,0,,0.011456961743533611,1,0,,0.00690205255523324,0,0,,0.004280439577996731
0,1,,0.9642626047134399,0,1,,0.8883245587348938,0,1,,0.9961104989051819
0,0,,0.5246590971946716,0,1,,0.9941611886024475,1,0,,0.9708563089370728
0,0,,0.031566303223371506,1,1,,0.3226155936717987,0,0,,0.4475201964378357
0,0,,0.010738613083958626,0,1,,0.810518205165863,0,1,,0.8146525025367737
0,0,,0.006143697537481785,0,0,,0.5249549150466919,0,0,,0.06992539018392563
0,0,,0.02722914144396782,0,1,,0.4096154272556305,0,0,,0.07314879447221756
0,1,,0.8052767515182495,0,0,,0.1727038025856018,0,1,,0.9595749378204346
0,1,,0.552156388759613,0,0,,0.0010513694724068046,0,1,,0.9970571398735046
1,1,,0.7564181089401245,0,0,,0.07106123864650726,1,0,,0.2733061909675598
0,1,,0.9988511204719543,0,0,,0.215354785323143,0,0,,0.30317023396492004
0,1,,0.927172839641571,1,1,,0.4814748764038086,1,0,,0.03908124193549156
0,1,,0.99550461769104,1,0,,0.03975650668144226,0,0,,0.750238299369812
0,0,,0.0012115032877773046,0,0,,0.3330899477005005,0,1,,0.994213342666626
1,0,,0.07893288135528564,0,1,,0.9943053126335144,1,1,,0.9950432181358337
0,1,,0.9991426467895508,0,1,,0.9952701330184937,0,0,,0.06010345369577408
0,1,,0.941615641117096,0,0,,0.30779412388801575,1,1,,0.9927162528038025
0,0,,0.19922779500484467,0,0,,0.10455112904310226,0,0,,0.003136442508548498
0,1,,0.9986253976821899,1,1,,0.638582170009613,1,1,,0.656879186630249
1,1,,0.1534050703048706,0,0,,0.21638743579387665,1,1,,0.7806951403617859
0,0,,0.0019229380413889885,1,1,,0.9995971322059631,0,0,,0.00151783914770931
0,0,,0.013389207422733307,1,1,,0.9551703929901123,0,0,,0.22546806931495667
0,1,,0.9966217279434204,1,1,,0.70722496509552,1,1,,0.9913123250007629
0,1,,0.8688520193099976,0,0,,0.4967022240161896,0,0,,0.15564560890197754
0,1,,0.9971199035644531,0,1,,0.9860004186630249,0,0,,0.028261195868253708
0,0,,0.013794860802590847,0,1,,0.9464565515518188,0,1,,0.9345365166664124
0,0,,0.00010238850518362597,0,1,,0.5668131709098816,0,1,,0.5905751585960388
0,0,,0.586287260055542,0,1,,0.9984501600265503,0,1,,0.9970780611038208
0,0,,0.16537432372570038,0,1,,0.9977115392684937,0,1,,0.9963632225990295
0,1,,0.9979332685470581,0,1,,0.9287462830543518,0,1,,0.9992808103561401
1,1,,0.9647960066795349,1,0,,0.540278434753418,1,0,,0.09273641556501389
0,1,,0.9994438290596008,0,1,,0.9828469157218933,0,0,,0.009993188083171844
1,1,,0.9801220297813416,1,1,,0.8956623077392578,0,1,,0.9985530376434326
0,1,,0.9955653548240662,1,1,,0.9986433386802673,0,0,,0.013116256333887577
1,1,,0.9887394905090332,1,1,,0.9882992506027222,1,0,,0.302182137966156
0,0,,0.08146411180496216,1,1,,0.9938548803329468,0,1,,0.9921740293502808
0,1,,0.2926248013973236,0,1,,0.6778795123100281,1,0,,0.5196148753166199
0,0,,0.08083601295948029,0,0,,0.701743483543396,1,0,,0.037609271705150604
