S train_x,D train_x,P(Df|e) train_x,P(D|e) train_x,S valid_x,D valid_x,P(Df|e) valid_x,P(D|e) valid_x,S test_x,D test_x,P(Df|e) test_x,P(D|e) test_x
0,0,,0.008355268277227879,1,0,,0.003242781851440668,1,0,,0.00979313813149929
0,0,,0.01209519524127245,1,1,,0.9554335474967957,0,0,,0.06590423732995987
0,1,,0.7107679843902588,0,1,,0.6669531464576721,0,0,,0.08954936265945435
0,1,,0.983391523361206,0,1,,0.9765905141830444,0,1,,0.9824953675270081
1,0,,0.02079385332763195,1,1,,0.7903271913528442,0,1,,0.9117542505264282
0,0,,0.06488317251205444,0,0,,0.014595810323953629,0,0,,0.011945369653403759
0,0,,0.4102412760257721,0,1,,0.7968708276748657,0,0,,0.1381893754005432
0,1,,0.8529801368713379,0,0,,0.12553592026233673,0,0,,0.07294857501983643
1,0,,0.016555095091462135,0,1,,0.6813943386077881,0,0,,0.04452436789870262
0,1,,0.8613114356994629,0,1,,0.927490234375,0,0,,0.07844652235507965
1,0,,0.00033480263664387167,1,1,,0.9396651983261108,1,1,,0.9959354996681213
0,1,,0.9563799500465393,0,0,,0.19173531234264374,0,1,,0.9643112421035767
0,1,,0.9961303472518921,0,1,,0.383975088596344,1,0,,0.01777125895023346
0,0,,0.09747179597616196,0,1,,0.8962100148200989,0,0,,0.7896988987922668
1,1,,0.9933904409408569,1,0,,0.0017318339087069035,0,1,,0.8704542517662048
0,0,,0.061331748962402344,1,0,,0.0006119584431871772,0,0,,0.490268349647522
0,1,,0.7376565337181091,1,1,,0.8334314227104187,1,1,,0.9898431897163391
1,1,,0.929856538772583,0,0,,0.1868962198495865,0,0,,0.17493781447410583
0,0,,0.22146205604076385,1,0,,0.003385860938578844,1,0,,0.00167633849196136
1,1,,0.9950231313705444,1,0,,0.0038383628707379103,0,0,,0.014227626845240593
0,0,,0.38513800501823425,0,1,,0.905103325843811,0,0,,0.12893325090408325
1,1,,0.9965957999229431,0,1,,0.9735506772994995,0,1,,0.9803351759910583
0,1,,0.7770043611526489,1,1,,0.9949472546577454,0,1,,0.9884886741638184
0,0,,0.03752840682864189,0,1,,0.921001136302948,0,0,,0.17661312222480774
0,1,,0.8993282318115234,0,0,,0.005955913569778204,0,1,,0.492593377828598
0,0,,0.4187536835670471,0,1,,0.7431854605674744,0,1,,0.8868643045425415
0,0,,0.15645264089107513,0,0,,0.10599146783351898,1,1,,0.9275104403495789
0,1,,0.8804117441177368,0,0,,0.10599682480096817,0,1,,0.753878116607666
0,0,,0.09227696061134338,0,1,,0.9778710007667542,0,1,,0.9151909351348877
0,0,,0.03640956059098244,1,1,,0.9631631374359131,1,0,,0.2997135519981384
0,0,,0.04153774306178093,1,1,,0.8456773161888123,0,1,,0.9624039530754089
0,1,,0.5966328978538513,1,0,,0.04329345375299454,1,1,,0.8043907880783081
0,1,,0.5044721364974976,0,0,,0.044252682477235794,1,0,,9.91231354419142e-5
1,0,,0.0026830355636775494,1,1,,0.9937135577201843,0,0,,0.22705033421516418
1,1,,0.6100311875343323,0,1,,0.32844945788383484,0,1,,0.6625446081161499
0,1,,0.9774588942527771,0,0,,0.019119855016469955,1,1,,0.9471461772918701
0,1,,0.8823837041854858,1,0,,0.0004996779607608914,0,1,,0.9517732262611389
1,0,,0.006804864387959242,1,1,,0.9284511804580688,0,1,,0.3388975262641907
0,1,,0.9405502080917358,0,0,,0.012369878590106964,0,0,,0.04180794954299927
0,1,,0.6531835198402405,0,0,,0.034042857587337494,1,1,,0.9387927651405334
0,1,,0.9833118319511414,1,0,,0.42467358708381653,0,0,,0.04325404390692711
1,0,,0.17310543358325958,0,1,,0.9671976566314697,0,1,,0.9857717752456665
0,0,,0.012923724949359894,0,1,,0.9763008952140808,1,0,,0.0016469971742480993
0,1,,0.9562796354293823,0,1,,0.5344094038009644,0,1,,0.7054977416992188
0,1,,0.4811544716358185,0,0,,0.05337836220860481,0,1,,0.7293685674667358
