S train_x,D train_x,P(Df|e) train_x,P(D|e) train_x,S valid_x,D valid_x,P(Df|e) valid_x,P(D|e) valid_x,S test_x,D test_x,P(Df|e) test_x,P(D|e) test_x
0,0,7.423002534778789e-5,0.0,0,1,0.9999697208404541,0.9999997615814209,1,1,0.9999947547912598,0.9999993443489075
0,0,0.0001320474548265338,0.0,1,0,1.9898327082046308e-5,0.0,0,1,0.9803321361541748,0.9999998211860657
0,1,0.928206741809845,1.0,0,0,0.0024777264334261417,0.0,1,0,4.905773948848946e-6,0.0
1,0,3.601094795158133e-5,0.0,0,1,0.04411588981747627,1.0,0,1,0.9998705387115479,1.0
0,0,0.001759868930093944,0.0,0,1,0.9789718389511108,0.9999998807907104,0,1,0.9998791217803955,1.0
0,0,0.016932768747210503,0.0,0,0,0.00023170960776042193,0.0,1,1,0.9999899864196777,0.9999997019767761
0,1,0.9902282953262329,1.0,0,1,0.9810448288917542,1.0,0,1,0.9956732392311096,1.0
1,0,7.102684776327806e-6,0.0,0,0,0.02580420672893524,0.0,1,0,1.4121947060630191e-6,0.0
0,1,0.9923932552337646,1.0,0,1,0.9995559453964233,1.0,1,1,0.9999041557312012,0.999999463558197
1,0,5.195163907956157e-7,0.0,1,1,0.9999890327453613,0.9999998211860657,1,0,2.1056362697891018e-7,0.0
0,0,0.9704710245132446,0.0,0,0,0.06752168387174606,0.0,0,0,0.010801570490002632,0.0
0,1,0.04370934143662453,1.0,1,0,2.6459503033038345e-7,0.0,0,0,0.9942290782928467,0.0
1,0,3.447471726758522e-6,0.0,0,0,3.01308864436578e-5,0.0,0,1,0.9995683431625366,1.0
0,0,0.005805001128464937,0.0,1,0,2.7741384656110313e-7,0.0,0,1,0.999915361404419,0.9999998807907104
0,1,0.9999830722808838,1.0,0,1,0.9949632883071899,0.9999997615814209,0,0,0.002951965667307377,0.0
0,0,0.003778286976739764,0.0,0,1,0.9917678833007812,1.0,0,0,0.002440609037876129,0.0
1,1,0.999992847442627,0.9999994039535522,0,0,0.0005561765283346176,0.0,0,0,7.768334762658924e-5,0.0
0,1,0.07649566978216171,1.0,0,0,0.0003090901009272784,0.0,1,0,7.092846499290317e-5,0.0
0,1,0.9940527677536011,0.9999998211860657,1,1,0.9999785423278809,1.0,0,1,0.9980223774909973,1.0
1,1,0.999721109867096,1.0,0,0,0.0035240957513451576,0.0,0,1,0.9998877048492432,1.0
0,1,0.9997594356536865,1.0,1,0,5.008518201066181e-6,0.0,1,0,3.605439857778947e-8,0.0
0,0,0.033024486154317856,0.0,0,1,0.8699511289596558,1.0,0,0,0.697454571723938,0.0
1,1,0.9999995231628418,1.0,0,1,0.9989631772041321,1.0,0,0,0.001807840308174491,0.0
0,0,0.04299350082874298,0.0,0,0,0.0008295284933410585,0.0,0,1,0.9998085498809814,1.0
0,1,0.0867529883980751,1.0,0,1,0.9989955425262451,1.0,1,1,0.9991644620895386,0.9999997615814209
0,0,0.6966906785964966,0.0,0,1,0.9963799715042114,0.9999999403953552,0,0,4.425803490448743e-5,0.0
