iter,time,total_time,circuit_size,cross_entropy_D,cross_entropy_Df,train_discrimination,valid_discrimination,test_discrimination,train_mll,valid_mll,test_mll,struct?,stop?,P(D),P(Df),P(S),"P(D|Df,S)","P(D|Df,notS)","P(D|notDf,S)","P(D|notDf,notS)"
0,9.36e-6,9.36e-6,3744,0.48912335609162433,0.48912335609162433,0.0032998154745982333,0.034054240426058646,-0.02428090110473663,-13.400617,-13.509731,-13.505375,false,,0.5062955190717195,0.5062955190717195,0.3039748179237131,1.0,1.0,0.0,0.0
1,1.480861691,1.480871051,3744,0.48911410989134724,0.48912333537550606,0.0033000156524459756,0.034054455481149604,-0.02428069072461203,-13.400608,-13.509756,-13.505389,false,,0.5062953995847261,0.506295485660849,0.30397478019740487,0.9995987158199018,0.9998249912361846,0.00041050909395630913,0.00017966221608193032
2,0.609618401,2.090489452,3744,0.489169817879754,0.48920830151377914,0.003292912929090397,0.03403398780537403,-0.0242754146965804,-13.400575,-13.509737,-13.505418,false,,0.5062953868539153,0.5062895242498869,0.30397482346241467,0.9993182738735195,0.999596408369475,0.0007381743636071503,0.0004138682607120447
3,0.585191431,2.675680883,3744,0.4892142932983426,0.4893033942402088,0.0032818341126648054,0.034013386525105216,-0.024281263473289016,-13.400523,-13.509697,-13.505408,false,,0.5062955056029049,0.5062822144977464,0.3039747902004112,0.9991256772401914,0.999297801068439,0.0009870717367417218,0.0007192228715306284
4,0.601983562,3.277664445,3744,0.4892512374343179,0.48941558299460935,0.0032705700206883126,0.0339960781491887,-0.024294189052700532,-13.400447,-13.509633,-13.505363,false,,0.5062954980345785,0.5062757858806819,0.30397474159908244,0.998994988759178,0.9989076323552403,0.0011681378975806737,0.0011174161755650087
5,0.598751629,3.876416074,3744,0.48928420845941617,0.4895538335495341,0.0032588070699378635,0.03398104991671891,-0.024314312476988176,-13.400343,-13.509541,-13.505279,false,,0.5062956968120091,0.5062716162644336,0.30397482735690434,0.9989070343781121,0.9983976701510938,0.0012954906115844233,0.0016367886382261236
6,0.584212438,4.460628512,3744,0.48931612900032245,0.48972916033490294,0.003247095633103325,0.03396831266084499,-0.024341417148947886,-13.400202,-13.509412,-13.505149,false,,0.5062960098954679,0.5062699809288274,0.3039747615298686,0.9988481687952633,0.9977308475514886,0.0013828951717372144,0.0023143922500265587
7,0.599766637,5.0603951490000005,3744,0.48935021851796945,0.4899563559732225,0.0032333700220298356,0.03395543820899605,-0.024378241283763646,-13.400013,-13.509236,-13.504967,false,,0.5062962937199038,0.5062709886195959,0.30397484151856746,0.9988089155985137,0.9968584303204603,0.0014418625823469965,0.0031987019709151126
8,0.597404569,5.657799718000001,3744,0.4893889520961128,0.4902543476854113,0.0032167036527250836,0.03394140978307669,-0.02442730022898426,-13.399763,-13.509001,-13.504722,false,,0.5062967375660563,0.5062753164296718,0.3039747915116151,0.9987828001323376,0.9957162241658245,0.001481180698860439,0.004353230708364159
9,0.584661361,6.242461079000001,3744,0.48943502118255067,0.4906492227792595,0.0031948709501106176,0.033923948074844,-0.02449310371639052,-13.399429,-13.508687,-13.50439,false,,0.5062974172545555,0.5062840295144391,0.30397474598674923,0.9987654434616298,0.9942194654241653,0.001507180013204749,0.005861305278524688
10,0.602053731,6.844514810000001,3744,0.48949088889107145,0.4911770544789911,0.0031644345928417694,0.03390041006098388,-0.024582188592639498,-13.398987,-13.508269,-13.50395,false,,0.5062984289764643,0.5062989843960082,0.30397484529558816,0.9987539024632607,0.9922559755171991,0.001524265994678794,0.007832417902143115
11,0.599409468,7.443924278000001,3744,0.4895586258433831,0.4918890214242251,0.003121797655659009,0.03386763959730876,-0.024702886117940526,-13.398401,-13.50771,-13.503362,false,,0.5062996673463293,0.5063229917545463,0.30397482364709283,0.9987462041580513,0.9896768558029448,0.0015354213687347833,0.010410733014935072
12,0.585339139,8.029263417000001,3744,0.4896396470916194,0.49285981254623307,0.003059339780428272,0.03381931161577256,-0.024869080636355068,-13.397615,-13.506955,-13.502569,false,,0.5063015400287963,0.5063610882520252,0.3039748954455703,0.9987410291937655,0.986284034151469,0.0015426360636991681,0.013786427833358228
13,0.604393026,8.633656443000001,3744,0.48973261356406506,0.4941999807528272,0.0029686412544154273,0.03374908659050102,-0.025097838161900532,-13.396557,-13.505933,-13.501501,false,,0.5063043423236755,0.506420697215265,0.30397477296463926,0.998737480105406,0.9818136472974677,0.001547212594169475,0.018210826090549716
14,0.596586165,9.230242608000001,3744,0.4898314561922104,0.49607876044972354,0.002834825699933874,0.03364501420620436,-0.025415973893780086,-13.39512,-13.504529,-13.500045,false,,0.5063086105855564,0.5065130401909494,0.30397473889013005,0.9987349394085604,0.9759146619657422,0.001549983440178715,0.024016071005702255
15,0.584679253,9.814921861000002,3744,0.4899189891118831,0.4987601751131318,0.002636445926217479,0.03349070996500014,-0.02586160757690742,-13.39315,-13.502584,-13.498041,false,,0.5063157294111009,0.5066547963443326,0.30397477573168047,0.9987329633188579,0.968123255670838,0.0015514507949021862,0.031640002354147406
16,0.60259865,10.417520511000003,3744,0.4899569114974309,0.5026658899877915,0.0023404834313185408,0.03326120180364256,-0.026490480551102313,-13.390423,-13.499852,-13.49526,false,,0.506327747426548,0.5068683023908339,0.30397488173336407,0.9987312034590461,0.9578377784590437,0.0015518875462849637,0.041653590962026435
