S train_x,D train_x,P(Df|e) train_x,P(D|e) train_x,S valid_x,D valid_x,P(Df|e) valid_x,P(D|e) valid_x,S test_x,D test_x,P(Df|e) test_x,P(D|e) test_x
0,1,,0.08647991716861725,0,1,,0.9138372540473938,0,1,,0.7257818579673767
0,0,,0.09955495595932007,0,1,,0.5808475613594055,1,0,,0.016108496114611626
0,0,,0.6712026596069336,0,0,,0.3283485770225525,1,1,,0.993109941482544
0,0,,0.3457309901714325,1,1,,0.5620459914207458,0,0,,0.5264332294464111
0,0,,0.7708370089530945,1,0,,0.20790566504001617,0,1,,0.19418865442276
0,1,,0.6508535146713257,1,1,,0.09713362902402878,0,0,,0.14523600041866302
1,0,,0.004065732937306166,0,1,,0.588604211807251,0,1,,0.7700045704841614
1,0,,0.006409570574760437,0,0,,0.752689778804779,0,0,,0.7555687427520752
0,1,,0.5077077150344849,0,0,,0.6432285308837891,1,1,,0.17234522104263306
1,0,,0.00023303927446249872,1,1,,0.971208930015564,0,0,,0.26413533091545105
0,0,,0.7282626628875732,0,0,,0.5500571131706238,0,0,,0.512843132019043
0,1,,0.42311233282089233,0,0,,0.28085970878601074,0,1,,0.5477099418640137
1,0,,0.008427536115050316,1,0,,0.00628039101138711,1,1,,0.9737473130226135
0,0,,0.2930430769920349,0,1,,0.8690954446792603,0,0,,0.29794949293136597
0,0,,0.1978253871202469,0,0,,0.47137802839279175,0,0,,0.368872731924057
0,1,,0.2115316540002823,1,1,,0.54472815990448,0,1,,0.3688797652721405
0,1,,0.8506526350975037,1,0,,0.002956822980195284,0,1,,0.5827318429946899
1,1,,0.8746037483215332,1,1,,0.9995454549789429,0,0,,0.36870285868644714
0,1,,0.8793182969093323,0,1,,0.8905713558197021,0,1,,0.30059435963630676
0,1,,0.3410077393054962,0,0,,0.14685413241386414,1,1,,0.99833744764328
1,1,,0.9974505305290222,0,1,,0.6673119068145752,0,1,,0.6451372504234314
0,0,,0.30718734860420227,1,1,,0.9973573088645935,1,0,,0.2930458188056946
1,1,,0.9991413354873657,0,1,,0.8711592555046082,1,0,,3.4319673432037234e-5
0,1,,0.3250695765018463,1,0,,0.04640984907746315,0,1,,0.3574169874191284
0,0,,0.7273887991905212,0,0,,0.485855370759964,1,1,,0.9307818412780762
0,1,,0.5402366518974304,0,0,,0.2586729824542999,0,0,,0.2514224648475647
0,1,,0.6024884581565857,0,0,,0.7334496974945068,0,0,,0.8388609290122986
0,0,,0.1728411763906479,0,0,,0.04303223267197609,0,1,,0.68904048204422
0,0,,0.7453942894935608,1,0,,0.02246152050793171,0,1,,0.8514106869697571
0,1,,0.584675133228302,0,1,,0.28599441051483154,0,1,,0.7670552730560303
1,0,,0.0004583927511703223,0,1,,0.15521851181983948,0,0,,0.40207093954086304
0,1,,0.9111039638519287,0,1,,0.7104995250701904,0,1,,0.0929979458451271
0,0,,0.3435184359550476,1,0,,0.009830712340772152,0,0,,0.322950154542923
0,0,,0.6419514417648315,0,0,,0.8674666881561279,0,1,,0.5739129781723022
0,1,,0.08887264877557755,0,0,,0.4312719404697418,1,0,,0.04325704276561737
1,0,,0.0033863307908177376,0,0,,0.12505902349948883,1,1,,0.9612790942192078
0,1,,0.7866793274879456,0,0,,0.5714242458343506,0,0,,0.18324163556098938
0,0,,0.8185368180274963,1,1,,0.9917479753494263,0,0,,0.9476150870323181
0,1,,0.37489572167396545,0,0,,0.17477770149707794,0,0,,0.16393232345581055
0,1,,0.8959714770317078,0,0,,0.15378780663013458,0,0,,0.3984515070915222
0,0,,0.08445502072572708,0,1,,0.7743811011314392,1,0,,3.079301313846372e-5
