S train_x,D train_x,P(Df|e) train_x,P(D|e) train_x,S valid_x,D valid_x,P(Df|e) valid_x,P(D|e) valid_x,S test_x,D test_x,P(Df|e) test_x,P(D|e) test_x
0,0,0.0003358240064699203,0.0,0,0,0.010478749871253967,1.0,0,1,0.8538467288017273,1.0
0,1,0.9892542362213135,1.0,1,0,6.119925728853559e-6,0.0,1,0,2.884577497752616e-6,0.0
0,1,0.9957577586174011,0.0,0,1,0.9423627257347107,1.0,1,1,0.999990701675415,0.9999999403953552
0,0,0.006216956302523613,0.0,1,1,0.9986459612846375,0.9999998807907104,0,0,0.011122024618089199,0.0
0,0,0.2179102748632431,0.0,0,1,0.9999020099639893,1.0,1,0,2.774045969999861e-5,0.0
0,1,0.9991632699966431,1.0,0,0,0.16351495683193207,0.9999993443489075,0,0,0.23791919648647308,0.0
1,0,1.027875259751454e-5,0.0,1,1,0.9759208559989929,1.0,0,1,0.9986298084259033,1.0
1,0,5.667265213560313e-6,0.0,0,1,0.9897893071174622,1.0,0,0,0.01940128579735756,0.0
1,0,1.817682004912058e-7,0.0,0,0,0.08214014768600464,0.0,0,0,0.04842161759734154,0.0
0,1,0.9827340841293335,0.0,1,0,1.0690891372178157e-7,0.0,0,0,0.029647285118699074,0.0
0,0,0.009860984981060028,0.9999998211860657,1,0,1.4551180527178076e-7,0.0,0,1,0.9965662360191345,1.0
0,0,0.005765591282397509,0.0,0,1,0.9993109703063965,1.0,1,0,8.703283356226166e-7,0.0
0,1,0.9999401569366455,1.0,0,1,0.9999115467071533,1.0,0,0,0.012814685702323914,1.0
0,0,0.017916474491357803,0.0,0,0,0.006228106562048197,0.0,0,1,0.9759441614151001,0.0
1,1,0.9999926090240479,1.0,0,1,0.9965025782585144,1.0,0,0,0.0018783691339194775,0.0
0,0,0.008486848324537277,1.0,1,1,0.9999821186065674,0.9999999403953552,1,1,0.9978244304656982,1.0
0,1,0.9806061387062073,0.9999999403953552,0,1,0.913810133934021,0.0,0,1,0.34316739439964294,1.0
1,1,0.9980737566947937,1.0,0,1,0.9996350407600403,0.9999998211860657,0,0,0.0012009014608338475,0.0
0,1,0.9995054006576538,1.0,0,0,0.3470880687236786,1.0,0,0,0.08814419060945511,0.0
0,0,0.3269399404525757,0.9999996423721313,0,0,0.007842235267162323,1.0,1,0,0.00011117357644252479,0.0
0,0,0.04911182448267937,0.0,0,0,0.4324452579021454,1.0,0,1,0.9982669949531555,1.0
1,1,0.9999926090240479,1.0,0,1,0.9149891138076782,1.0,0,1,0.9987021684646606,0.9999999403953552
0,1,0.9964389204978943,1.0,0,0,0.0006948408554308116,0.0,1,1,0.9999964237213135,0.9999999403953552
