S train_x,D train_x,P(Df|e) train_x,P(D|e) train_x,P(Df) train_x,S valid_x,D valid_x,P(Df|e) valid_x,P(D|e) valid_x,P(Df) valid_x,S test_x,D test_x,P(Df|e) test_x,P(D|e) test_x,P(Df) test_x
0,1,,0.5412028431892395,,0,1,,0.9342286586761475,,1,1,,0.9809730052947998,
0,0,,0.46161922812461853,,1,0,,0.01445141714066267,,0,0,,0.22996799647808075,
0,0,,0.17519986629486084,,0,0,,0.24985797703266144,,1,0,,0.1405869871377945,
1,1,,0.8854681849479675,,0,1,,0.9696096181869507,,1,0,,0.5530200600624084,
0,1,,0.6365893483161926,,1,0,,0.06370283663272858,,1,1,,0.8812055587768555,
0,1,,0.9723042249679565,,0,0,,0.40945354104042053,,1,0,,0.006046556401997805,
0,0,,0.06285344064235687,,1,1,,0.9548243284225464,,0,0,,0.30296024680137634,
0,0,,0.3254072964191437,,0,0,,0.5947874784469604,,0,0,,0.1478046029806137,
0,1,,0.9322137236595154,,0,1,,0.9136130809783936,,0,0,,0.5296328067779541,
1,0,,0.025886956602334976,,0,1,,0.9843022227287292,,1,1,,0.9872215986251831,
0,1,,0.9821661710739136,,0,1,,0.749584972858429,,0,1,,0.8358621001243591,
1,1,,0.9117481112480164,,0,0,,0.22844181954860687,,0,0,,0.2973272204399109,
0,1,,0.909777045249939,,0,0,,0.1552859991788864,,0,0,,0.05373033136129379,
0,1,,0.6695951819419861,,0,0,,0.5133504271507263,,0,1,,0.9980232119560242,
0,0,,0.5833333134651184,,1,0,,0.04085606336593628,,1,1,,0.8622894287109375,
1,0,,0.0410066619515419,,0,1,,0.8509218096733093,,1,0,,0.09289149194955826,
0,0,,0.1426885575056076,,0,0,,0.21754127740859985,,0,1,,0.4586440622806549,
0,0,,0.25233399868011475,,0,1,,0.9665113091468811,,0,0,,0.6220622658729553,
1,1,,0.5411664247512817,,0,0,,0.10335677117109299,,0,0,,0.07917054742574692,
0,0,,0.5312414169311523,,0,1,,0.7956494688987732,,0,1,,0.9932528734207153,
0,0,,0.38034534454345703,,0,1,,0.9821661710739136,,0,1,,0.8293605446815491,
0,0,,0.6009590029716492,,0,1,,0.9867308139801025,,0,0,,0.7303755283355713,
0,1,,0.3716523051261902,,1,0,,0.032425329089164734,,1,1,,0.6387356519699097,
0,0,,0.17185315489768982,,0,1,,0.7531046271324158,,0,1,,0.9002297520637512,
0,1,,0.8352628946304321,,0,0,,0.44557124376296997,,1,0,,0.06763899326324463,
0,1,,0.8769137859344482,,1,0,,0.3620193898677826,,0,0,,0.11314687132835388,
0,1,,0.41810548305511475,,0,1,,0.9685708284378052,,1,0,,0.14960555732250214,
0,0,,0.6163648962974548,,0,1,,0.706818163394928,,0,1,,0.7051443457603455,
0,0,,0.3967152237892151,,0,1,,0.9926127195358276,,1,0,,0.8126736879348755,
1,1,,0.7392269968986511,,0,0,,0.3132498860359192,,1,0,,0.04383173957467079,
0,1,,0.9667418003082275,,0,0,,0.4721643924713135,,0,0,,0.4321780502796173,
0,1,,0.8820216059684753,,0,0,,0.3371826708316803,,1,1,,0.9804249405860901,
0,0,,0.423289030790329,,0,1,,0.9888494610786438,,0,1,,0.9102578163146973,
0,0,,0.22392980754375458,,1,1,,0.9945792555809021,,1,1,,0.8741762042045593,
0,1,,0.6328750848770142,,0,1,,0.8815372586250305,,0,0,,0.4777246415615082,
1,0,,0.07265676558017731,,0,1,,0.9895098209381104,,0,1,,0.5074761509895325,
0,1,,0.972346842288971,,0,0,,0.2613998055458069,,1,0,,0.1871677041053772,
0,1,,0.979278028011322,,0,1,,0.6610498428344727,,0,1,,0.9877344369888306,
0,0,,0.17660631239414215,,1,0,,0.02508528344333172,,0,1,,0.9885845184326172,
1,0,,0.3752427399158478,,1,0,,0.016583174467086792,,0,1,,0.9203361868858337,
0,1,,0.9824453592300415,,0,1,,0.9725620150566101,,0,1,,0.7007440328598022,
0,0,,0.6599739789962769,,0,1,,0.8856865763664246,,1,0,,0.12099330872297287,
1,1,,0.841609537601471,,0,1,,0.9632152915000916,,0,0,,0.2389834225177765,
1,1,,0.7332728505134583,,0,0,,0.1067245602607727,,0,0,,0.6936972141265869,
0,0,,0.16518919169902802,,1,1,,0.9735246896743774,,0,1,,0.9280853867530823,
0,0,,0.14725279808044434,,0,1,,0.8689038157463074,,0,0,,0.1749567687511444,
