iter,time,total_time,circuit_size,cross_entropy_D,cross_entropy_Df,train_discrimination,valid_discrimination,test_discrimination,train_mll,valid_mll,test_mll,struct?,stop?,P(D),P(Df),P(S),"P(D|Df,S)","P(D|Df,notS)","P(D|notDf,S)","P(D|notDf,notS)"
0,0.117180533,0.117180533,949,0.6148802989319392,0.6148802989319392,-0.07726000789086473,-0.07883974984589004,-0.05309455381639194,-20.626739885889133,-20.75096433353443,-20.564863322036004,true,,0.5927046043698309,0.0,0.30632020738180477,0.0,0.0,0.0,0.0
1,10.475716028,10.592896561000002,965,0.6121737756245558,0.6121737756245558,-0.07829730324467998,-0.07922381328016248,-0.05348718039067568,-20.62253710882571,-20.75040325379838,-20.563052104558526,true,,0.5927046043698309,0.0,0.30632020738180477,0.0,0.0,0.0,0.0
2,0.596569805,11.189466366000001,967,0.6121737705002535,0.6121737705002535,-0.078297305632406,-0.07922380880015367,-0.05348718812741682,-20.62253710882571,-20.75040325379838,-20.563052104558526,true,,0.5927046043698309,0.0,0.30632020738180477,0.0,0.0,0.0,0.0
3,0.267688187,11.457154553,971,0.6121885277372645,0.6121885277372645,-0.07831801839149255,-0.07923137574022321,-0.05350429181707195,-20.622519464288924,-20.750218614701794,-20.563184385458737,true,,0.5927046043698309,0.0,0.30632020738180477,0.0,0.0,0.0,0.0
4,0.078397689,11.535552242000001,975,0.6120921996518912,0.6120921996518912,-0.07836325440379743,-0.0792753351438602,-0.053649986803317895,-20.622356712545173,-20.7490875532789,-20.562669991008182,true,,0.5927046043698309,0.0,0.30632020738180477,0.0,0.0,0.0,0.0
5,0.14031284,11.675865082000001,995,0.6118663332398969,0.6118663332398969,-0.07838563624310291,-0.07914921955553078,-0.05378039014536584,-20.621913838378962,-20.748920234937717,-20.562294235165787,true,,0.5927046043698309,0.0,0.30632020738180477,0.0,0.0,0.0,0.0
6,0.787165132,12.463030214000002,996,0.6115838351325942,0.6115838351325942,-0.07864645354432132,-0.07937607688336124,-0.053574372530976744,-20.621003144752912,-20.74699317688682,-20.564461253585424,true,,0.5927046043698309,0.0,0.30632020738180477,0.0,0.0,0.0,0.0
7,0.264328407,12.727358621000002,1052,0.6085100005677235,0.6085100005677235,-0.08203500410942954,-0.08272927282150566,-0.05530090639087215,-20.605998556948702,-20.733271667586394,-20.55523606593945,true,,0.5927046043698309,0.0,0.30632020738180477,0.0,0.0,0.0,0.0
8,0.758422273,13.485780894000003,1054,0.6085099903680188,0.6085099903680188,-0.08203500126656693,-0.08272927726528789,-0.055300902311783307,-20.605998556948702,-20.733271667586394,-20.55523606593945,true,,0.5927046043698309,0.0,0.30632020738180477,0.0,0.0,0.0,0.0
9,0.816563185,14.302344079000003,1056,0.6085138382777165,0.6085138382777165,-0.08203068470460995,-0.08272432993335621,-0.055296664921540395,-20.60599855690038,-20.73326827667932,-20.555236367355885,true,,0.5927046043698309,0.0,0.30632020738180477,0.0,0.0,0.0,0.0
10,0.138106248,14.440450327000002,1094,0.6062449863755286,0.6062449863755286,-0.08345810530688635,-0.0853731736000306,-0.055058330650544884,-20.600177510974348,-20.726535076486186,-20.55573218418285,true,,0.5927046043698309,0.0,0.30632020738180477,0.0,0.0,0.0,0.0
11,0.50293823,14.943388557000002,1096,0.6062449693970442,0.6062449693970442,-0.08345813305512784,-0.0853732039427314,-0.055058362539238015,-20.600177510974348,-20.726535076486186,-20.55573218418285,true,,0.5927046043698309,0.0,0.30632020738180477,0.0,0.0,0.0,0.0
12,0.508212168,15.451600725000002,1098,0.6062434252227132,0.6062434252227132,-0.08345977026535234,-0.08537524839653776,-0.05505984533875197,-20.60017750863019,-20.726538760088282,-20.555732780623945,true,,0.5927046043698309,0.0,0.30632020738180477,0.0,0.0,0.0,0.0
13,0.030252439,15.481853164000002,1101,0.6061022896680824,0.6061022896680824,-0.08344695132414326,-0.08510593124988752,-0.055297059734674026,-20.600042270054644,-20.726921221438122,-20.55589123516373,true,,0.5927046043698309,0.0,0.30632020738180477,0.0,0.0,0.0,0.0
14,0.041837227,15.523690391000002,1102,0.6061218644565927,0.6061218644565927,-0.08343922805415283,-0.08512601994423719,-0.05530158126935336,-20.59998894929833,-20.727158069169068,-20.555247488153586,true,,0.5927046043698309,0.0,0.30632020738180477,0.0,0.0,0.0,0.0
15,0.219698841,15.743389232000002,1104,0.606122221531517,0.606122221531517,-0.08343836908402191,-0.08512465594308127,-0.055300813659239445,-20.599988946720575,-20.72715974507787,-20.555247146281914,true,,0.5927046043698309,0.0,0.30632020738180477,0.0,0.0,0.0,0.0
16,0.030229781,15.773619013000001,1116,0.6061090115146699,0.6061090115146699,-0.08348438229388255,-0.08499147950774666,-0.05525328076564706,-20.599918820917768,-20.727996510208612,-20.55516053451222,true,,0.5927046043698309,0.0,0.30632020738180477,0.0,0.0,0.0,0.0
17,0.029957075,15.803576088000002,1119,0.6052311459910273,0.6052311459910273,-0.08365626565693329,-0.08464443927185905,-0.05538610023550916,-20.598860496101903,-20.72841111938256,-20.555986379576783,true,,0.5927046043698309,0.0,0.30632020738180477,0.0,0.0,0.0,0.0
18,0.23936079,16.042936878000003,1149,0.6012080066683643,0.6012080066683643,-0.0856009849215833,-0.08574157555917061,-0.05698335733564319,-20.592879634455475,-20.72048276093779,-20.552010228002953,true,,0.5927046043698309,0.0,0.30632020738180477,0.0,0.0,0.0,0.0
19,0.239693204,16.282630082000004,1152,0.6006428346415312,0.6006428346415312,-0.08600655520920208,-0.08627332166089774,-0.05738000219352701,-20.592201774611745,-20.718977871268514,-20.550799006171754,true,,0.5927046043698309,0.0,0.30632020738180477,0.0,0.0,0.0,0.0
20,0.031392849,16.314022931000004,1155,0.6006150430210419,0.6006150430210419,-0.085980516907469,-0.08643525514110573,-0.05721824431677913,-20.592105965299055,-20.71826332841076,-20.55157918463196,true,,0.5927046043698309,0.0,0.30632020738180477,0.0,0.0,0.0,0.0
21,0.032593,16.346615931000002,1175,0.5996195789075087,0.5996195789075087,-0.08634403208478802,-0.08793429167943134,-0.05865290556056635,-20.59082424895848,-20.721176971094756,-20.557401694516393,true,,0.5927046043698309,0.0,0.30632020738180477,0.0,0.0,0.0,0.0
22,0.040845454,16.387461385,1177,0.5996195796161149,0.5996195796161149,-0.08634403070645047,-0.08793428694583716,-0.0586529035626453,-20.590824248958484,-20.721176971094756,-20.557401694516393,true,,0.5927046043698309,0.0,0.30632020738180477,0.0,0.0,0.0,0.0
23,0.030798763,16.418260148,1181,0.5995923914919628,0.5995923914919628,-0.08635241924838233,-0.08805662620678723,-0.05861012022687828,-20.59073605840366,-20.721855800690083,-20.557101451362332,true,,0.5927046043698309,0.0,0.30632020738180477,0.0,0.0,0.0,0.0
24,0.25551696,16.673777108000003,1227,0.5990107246937095,0.5990107246937095,-0.08671854451216132,-0.0886276277588085,-0.05810932972585969,-20.58943968259206,-20.721586181227785,-20.55958740322179,true,,0.5927046043698309,0.0,0.30632020738180477,0.0,0.0,0.0,0.0
25,0.285443234,16.959220342000002,1248,0.5972535962559956,0.5972535962559956,-0.08806591994019186,-0.09071670281465727,-0.05845518607063971,-20.5844614656358,-20.713323895319498,-20.55829499996931,true,,0.5927046043698309,0.0,0.30632020738180477,0.0,0.0,0.0,0.0
26,0.036676967,16.995897309,1250,0.5972567539657829,0.5972567539657829,-0.08806120243582793,-0.09071172007586392,-0.058450266549696206,-20.58446146454792,-20.713322131614774,-20.558297658403255,true,,0.5927046043698309,0.0,0.30632020738180477,0.0,0.0,0.0,0.0
27,0.024674997,17.020572306000002,1330,0.5925161733924093,0.5925161733924093,-0.08723104821840888,-0.08937977861424762,-0.059937184660845855,-20.579172355935967,-20.704087918727446,-20.558452470115952,true,,0.5927046043698309,0.0,0.30632020738180477,0.0,0.0,0.0,0.0
28,0.520237662,17.540809968,1332,0.5925161433881276,0.5925161433881276,-0.08723111987903187,-0.08937984882117733,-0.05993724033988801,-20.579172355935967,-20.704087918727446,-20.558452470115952,true,,0.5927046043698309,0.0,0.30632020738180477,0.0,0.0,0.0,0.0
29,0.517516231,18.058326199,1334,0.5925186644190594,0.5925186644190594,-0.08723311388475241,-0.08938004496344742,-0.05993912663750889,-20.579172352989776,-20.704082561776087,-20.558449137125734,true,,0.5927046043698309,0.0,0.30632020738180477,0.0,0.0,0.0,0.0
30,0.0839078,18.142233999,1345,0.5925152748216609,0.5925152748216609,-0.08728474298100874,-0.0891794635028117,-0.060098089813571676,-20.578979756992148,-20.70418030007161,-20.55880498102188,true,,0.5927046043698309,0.0,0.30632020738180477,0.0,0.0,0.0,0.0
31,0.036087259,18.178321257999997,1347,0.5925152740847492,0.5925152740847492,-0.08728474808883069,-0.08917947445490193,-0.06009809630659535,-20.578979756992148,-20.70418030007161,-20.55880498102188,true,,0.5927046043698309,0.0,0.30632020738180477,0.0,0.0,0.0,0.0
32,0.032866997,18.211188254999996,1349,0.5925157508466704,0.5925157508466704,-0.08728450032951207,-0.08917815604025014,-0.060095971053193975,-20.578979761430436,-20.70418052017456,-20.558810492683257,true,,0.5927046043698309,0.0,0.30632020738180477,0.0,0.0,0.0,0.0
33,0.246617941,18.457806195999996,1351,0.5924870288485992,0.5924870288485992,-0.08731843874462464,-0.08907898524721514,-0.0600659013501762,-20.5789269705063,-20.704648811584985,-20.558960061892055,true,,0.5927046043698309,0.0,0.30632020738180477,0.0,0.0,0.0,0.0
34,0.032927841,18.490734036999996,1353,0.5924912522197994,0.5924912522197994,-0.08731583655708619,-0.08907669266311247,-0.06006317154615526,-20.578926967385623,-20.704649552752684,-20.558960875107537,true,,0.5927046043698309,0.0,0.30632020738180477,0.0,0.0,0.0,0.0
35,0.085606582,18.576340618999996,1379,0.5908445989489719,0.5908445989489719,-0.08747226976574929,-0.08821390078241298,-0.06100431449068067,-20.5767708975781,-20.70262496877283,-20.554196159470706,true,,0.5927046043698309,0.0,0.30632020738180477,0.0,0.0,0.0,0.0
36,0.087229806,18.663570424999996,1390,0.5904463698836938,0.5904463698836938,-0.08824743631594067,-0.0884552689884105,-0.06120051504421664,-20.572333177601845,-20.699006299020862,-20.553215640428466,true,,0.5927046043698309,0.0,0.30632020738180477,0.0,0.0,0.0,0.0
37,0.053567003,18.717137427999997,1392,0.5904458736933105,0.5904458736933105,-0.08824695728945342,-0.08845513537305505,-0.0612000878929877,-20.572333175968133,-20.699007094315036,-20.55321530164153,true,,0.5927046043698309,0.0,0.30632020738180477,0.0,0.0,0.0,0.0
38,0.076612339,18.793749766999998,1399,0.5898499319848425,0.5898499319848425,-0.08826442527361833,-0.08847006241505417,-0.06118655461182532,-20.57152519047816,-20.699804622316016,-20.552289196343718,true,,0.5927046043698309,0.0,0.30632020738180477,0.0,0.0,0.0,0.0
39,0.034214265,18.827964031999997,1414,0.589090927805071,0.589090927805071,-0.08844164796766307,-0.08827256407591488,-0.06143499254193718,-20.57043883243309,-20.701289033010173,-20.552591511555566,true,,0.5927046043698309,0.0,0.30632020738180477,0.0,0.0,0.0,0.0
40,0.269434074,19.097398105999996,1433,0.5888052349910017,0.5888052349910017,-0.0884476701692638,-0.08829461996807086,-0.061295595134877257,-20.570146886944528,-20.701712251625608,-20.55222962181489,true,,0.5927046043698309,0.0,0.30632020738180477,0.0,0.0,0.0,0.0
41,0.097663681,19.195061786999997,1439,0.5888031684451923,0.5888031684451923,-0.0884475717484069,-0.08829365272089784,-0.06129563261670867,-20.570146869385685,-20.70171303982468,-20.552234060230468,true,,0.5927046043698309,0.0,0.30632020738180477,0.0,0.0,0.0,0.0
42,0.034889353,19.229951139999997,1441,0.5887997605534733,0.5887997605534733,-0.08845033894893539,-0.0882960924781182,-0.06129760985875943,-20.57014686786773,-20.701714195901,-20.552236614346466,true,,0.5927046043698309,0.0,0.30632020738180477,0.0,0.0,0.0,0.0
43,0.058451594,19.288402733999998,1442,0.5883910548656237,0.5883910548656237,-0.08852859047353479,-0.08763042999453285,-0.06162693402274122,-20.569631514369036,-20.702585855086436,-20.551965781480114,true,,0.5927046043698309,0.0,0.30632020738180477,0.0,0.0,0.0,0.0
44,0.08018513,19.368587864,1444,0.5883969330195291,0.5883969330195291,-0.08852155495208369,-0.08762967982242631,-0.061619655031770026,-20.569631475496525,-20.702581610581966,-20.551962611940993,true,,0.5927046043698309,0.0,0.30632020738180477,0.0,0.0,0.0,0.0
45,0.256669958,19.625257822,1451,0.588298613837584,0.588298613837584,-0.08849434134562595,-0.08765606496077794,-0.06137056527471152,-20.56917661911616,-20.70366235863596,-20.55393559561106,true,,0.5927046043698309,0.0,0.30632020738180477,0.0,0.0,0.0,0.0
46,0.30378413,19.929041952,1459,0.5882638804514062,0.5882638804514062,-0.08846898333909403,-0.08766120313323988,-0.061289649391895296,-20.569156309853827,-20.703615118276215,-20.55398591663097,true,,0.5927046043698309,0.0,0.30632020738180477,0.0,0.0,0.0,0.0
