S train_x,D train_x,P(Df|e) train_x,P(D|e) train_x,P(Df) train_x,S valid_x,D valid_x,P(Df|e) valid_x,P(D|e) valid_x,P(Df) valid_x,S test_x,D test_x,P(Df|e) test_x,P(D|e) test_x,P(Df) test_x
0,1,,0.8167720437049866,,0,0,,0.22772186994552612,,0,1,,0.9795545339584351,
1,1,,0.9533563256263733,,0,1,,0.9327260255813599,,0,0,,0.1489948332309723,
0,0,,0.2946451008319855,,1,1,,0.023559296503663063,,0,1,,0.9871167540550232,
0,1,,0.13396094739437103,,0,1,,0.8588250875473022,,1,0,,0.9607400894165039,
1,1,,0.7666776776313782,,0,1,,0.18719211220741272,,0,0,,0.8913639783859253,
0,1,,0.7056839466094971,,0,1,,0.17963571846485138,,1,0,,0.3465858995914459,
0,1,,0.15131258964538574,,0,0,,0.0732349082827568,,0,1,,0.9817148447036743,
0,1,,0.8858370184898376,,0,1,,0.9191328287124634,,0,1,,0.716690182685852,
1,1,,0.8235847353935242,,0,1,,0.4666127860546112,,0,1,,0.9696762561798096,
0,0,,0.7177558541297913,,1,0,,0.11478671431541443,,0,0,,0.10784080624580383,
0,0,,0.34932491183280945,,0,1,,0.9798161387443542,,0,1,,0.9322653412818909,
1,0,,0.03206690028309822,,0,1,,0.9473167061805725,,1,0,,0.0491194948554039,
1,0,,0.019561877474188805,,0,1,,0.8815760016441345,,0,1,,0.9031535387039185,
1,1,,0.7069246768951416,,1,0,,0.021395739167928696,,0,1,,0.9875612258911133,
1,0,,0.09287665784358978,,0,1,,0.30393552780151367,,1,0,,0.9247457385063171,
0,1,,0.9566898345947266,,0,0,,0.603446900844574,,0,1,,0.6752615571022034,
0,0,,0.2514437735080719,,1,0,,0.008343798108398914,,0,1,,0.5915449857711792,
0,0,,0.5831942558288574,,0,1,,0.9834522008895874,,0,0,,0.9658976793289185,
0,1,,0.6699554920196533,,1,1,,0.9829307794570923,,1,1,,0.2767110764980316,
0,1,,0.7025681734085083,,0,1,,0.985607922077179,,0,1,,0.8644340634346008,
0,0,,0.2153487503528595,,1,1,,0.9238290190696716,,1,0,,0.9805788993835449,
0,1,,0.8270511031150818,,0,0,,0.05745204910635948,,0,1,,0.9738614559173584,
0,1,,0.7445493936538696,,0,0,,0.07243500649929047,,1,1,,0.9497300982475281,
0,0,,0.3768834173679352,,1,1,,0.9622641205787659,,0,1,,0.192632794380188,
0,1,,0.35997262597084045,,0,0,,0.07047367095947266,,0,1,,0.5255372524261475,
1,1,,0.44202789664268494,,0,1,,0.7294344305992126,,0,1,,0.7799596786499023,
0,1,,0.976241946220398,,1,0,,0.01651853136718273,,0,1,,0.9595717787742615,
0,1,,0.8548619151115417,,1,1,,0.9901111125946045,,0,1,,0.4294319748878479,
1,0,,0.05301438644528389,,0,1,,0.9867892265319824,,0,1,,0.11403845250606537,
0,0,,0.1816076636314392,,0,1,,0.9171014428138733,,0,0,,0.19625873863697052,
0,1,,0.578984797000885,,0,1,,0.7872968912124634,,0,1,,0.9745638370513916,
0,1,,0.9468091130256653,,0,1,,0.8938325643539429,,1,0,,0.583629310131073,
0,0,,0.9817279577255249,,1,0,,0.1612856686115265,,1,1,,0.3370110094547272,
0,0,,0.25856590270996094,,0,1,,0.23744863271713257,,0,1,,0.8024834990501404,
1,0,,0.4862242043018341,,0,0,,0.20120586454868317,,1,1,,0.9918311238288879,
1,1,,0.4781613051891327,,0,1,,0.6835159063339233,,0,0,,0.09039286524057388,
0,0,,0.2638513147830963,,1,0,,0.9540802836418152,,1,1,,0.9938061833381653,
0,0,,0.7275142073631287,,1,0,,0.061994995921850204,,1,1,,0.9951529502868652,
1,1,,0.8045125603675842,,0,0,,0.3744279444217682,,0,0,,0.9333773851394653,
1,1,,0.7339729070663452,,0,1,,0.6105508208274841,,0,1,,0.9828314781188965,
1,0,,0.5778506398200989,,0,1,,0.9258046746253967,,0,1,,0.8950881958007812,
0,0,,0.20245583355426788,,0,0,,0.3421706557273865,,0,1,,0.1588778793811798,
0,0,,0.21885016560554504,,0,1,,0.4036788046360016,,0,0,,0.14296235144138336,
0,0,,0.1452452540397644,,1,0,,0.23083724081516266,,0,1,,0.9849163889884949,
0,1,,0.9443581104278564,,0,1,,0.5862624049186707,,0,1,,0.9634321331977844,
0,1,,0.37798845767974854,,0,1,,0.9931524991989136,,0,0,,0.6167341470718384,
1,0,,0.3467525541782379,,0,0,,0.9758844971656799,,0,1,,0.9987944960594177,
1,0,,0.35324445366859436,,0,0,,0.2944355607032776,,0,1,,0.7320505976676941,
0,1,,0.9850553870201111,,0,0,,0.11645190417766571,,0,1,,0.16829858720302582,
0,0,,0.9586716890335083,,0,1,,0.5366154313087463,,1,0,,0.02279733307659626,
0,0,,0.16238147020339966,,1,0,,0.6397407054901123,,1,1,,0.6876952052116394,
0,1,,0.47283580899238586,,0,0,,0.5156025290489197,,1,0,,0.6653748154640198,
0,0,,0.6564487218856812,,0,1,,0.961444079875946,,0,1,,0.2873978018760681,
0,1,,0.989756166934967,,1,1,,0.9240686893463135,,0,1,,0.10192086547613144,
1,0,,0.2312360405921936,,0,0,,0.9601942300796509,,0,0,,0.42475128173828125,
0,0,,0.984745442867279,,0,1,,0.9237409830093384,,0,0,,0.9416565299034119,
0,1,,0.4458909332752228,,0,1,,0.9446661472320557,,0,0,,0.8890343904495239,
1,1,,0.4647962749004364,,0,1,,0.48088598251342773,,1,1,,0.7874064445495605,
0,1,,0.7627542018890381,,0,1,,0.9828652143478394,,1,0,,0.5239648222923279,
