S train_x,D train_x,P(Df|e) train_x,P(D|e) train_x,P(Df) train_x,S valid_x,D valid_x,P(Df|e) valid_x,P(D|e) valid_x,P(Df) valid_x,S test_x,D test_x,P(Df|e) test_x,P(D|e) test_x,P(Df) test_x
0,1,0.9334757924079895,0.9999998211860657,0.4941298,0,0,0.0004994423361495137,0.0,0.4941298,1,1,0.9391668438911438,0.9999992847442627,0.4941298
1,1,0.9972696900367737,0.9999983906745911,0.4941298,1,1,0.9884374141693115,0.0,0.4941298,0,1,0.9956433773040771,0.9999998807907104,0.4941298
0,0,0.00019563891692087054,0.0,0.4941298,0,1,0.13771657645702362,0.999998927116394,0.4941298,0,1,0.9946677088737488,0.9999999403953552,0.4941298
0,0,0.025892814621329308,1.0,0.4941298,1,0,0.6069247722625732,0.9999991059303284,0.4941298,0,0,0.03128844499588013,1.0,0.4941298
0,0,0.0019102504011243582,0.0,0.4941298,1,0,0.05975468084216118,0.0,0.4941298,1,0,0.0008339975029230118,0.0,0.4941298
0,1,0.9307414293289185,1.0,0.4941298,1,0,0.02579244039952755,0.0,0.4941298,0,0,7.478147745132446e-5,0.0,0.4941298
0,1,0.9981132745742798,0.999999463558197,0.4941298,0,0,0.001314037013798952,1.0,0.4941298,1,0,0.2836591303348541,0.0,0.4941298
0,0,0.0011839971411973238,1.0,0.4941298,0,0,0.0025705425068736076,0.0,0.4941298,0,0,0.00553933484479785,1.0,0.4941298
0,0,0.00027290507568977773,0.0,0.4941298,0,1,0.9986007213592529,1.0,0.4941298,0,0,0.07181420922279358,0.9999993443489075,0.4941298
1,0,0.14989784359931946,0.999998927116394,0.4941298,0,0,0.018626822158694267,0.0,0.4941298,1,0,5.423725087894127e-5,0.0,0.4941298
0,1,0.9997366070747375,0.9999995231628418,0.4941298,0,0,0.10615233331918716,0.9999991655349731,0.4941298,0,1,0.9845994710922241,0.9999995231628418,0.4941298
1,1,0.9877269268035889,0.9999997615814209,0.4941298,1,0,0.09394367784261703,0.0,0.4941298,0,0,0.00047501668450422585,0.0,0.4941298
0,1,0.9468584060668945,1.0,0.4941298,1,0,0.0008399873040616512,0.0,0.4941298,0,0,0.26371055841445923,0.9999989867210388,0.4941298
0,1,0.4844111204147339,0.0,0.4941298,0,1,0.9988141059875488,1.0,0.4941298,0,0,0.010951212607324123,0.0,0.4941298
0,0,0.004210680723190308,0.0,0.4941298,0,1,0.6102414727210999,0.9999998211860657,0.4941298,0,0,3.483350883470848e-5,0.0,0.4941298
1,0,0.0006689354195259511,0.0,0.4941298,0,0,0.13592922687530518,0.9999995231628418,0.4941298,0,0,0.03855141997337341,0.9999998211860657,0.4941298
0,0,0.010031319223344326,0.9999995827674866,0.4941298,1,0,0.07273541390895844,0.9999998807907104,0.4941298,0,1,0.9679508805274963,0.9999995827674866,0.4941298
1,1,0.9626606106758118,0.9999992251396179,0.4941298,0,0,0.017389917746186256,0.9999989867210388,0.4941298,0,1,0.9985378980636597,0.9999997019767761,0.4941298
1,0,0.001489105517975986,0.0,0.4941298,0,1,0.9532132148742676,1.0,0.4941298,0,1,0.9979076981544495,0.999998927116394,0.4941298
0,1,0.9981456398963928,1.0,0.4941298,0,1,0.17838376760482788,1.0,0.4941298,1,1,0.9998828172683716,0.9999993443489075,0.4941298
0,0,0.007159782107919455,0.0,0.4941298,0,1,0.965327262878418,0.999998927116394,0.4941298,0,0,0.002350481925532222,0.999999463558197,0.4941298
0,0,0.035836271941661835,0.0,0.4941298,1,0,0.18204601109027863,0.0,0.4941298,0,1,0.9114779829978943,0.0,0.4941298
0,0,0.45491892099380493,0.9999997615814209,0.4941298,0,0,0.0005005295388400555,1.0,0.4941298,1,1,0.9663085341453552,0.999999463558197,0.4941298
0,1,0.8279970288276672,1.0,0.4941298,1,0,0.012885420583188534,0.0,0.4941298,0,1,0.999765157699585,1.0,0.4941298
0,0,0.05732608586549759,0.0,0.4941298,1,0,0.004126447718590498,0.0,0.4941298,1,0,0.031666722148656845,0.0,0.4941298
0,1,0.9750403761863708,0.9999995827674866,0.4941298,0,0,0.05898414924740791,0.0,0.4941298,0,0,0.05156448110938072,0.0,0.4941298
0,1,0.9762424826622009,1.0,0.4941298,1,1,0.9989716410636902,0.9999993443489075,0.4941298,0,0,0.000481179216876626,0.0,0.4941298
0,1,0.8430822491645813,0.9999999403953552,0.4941298,1,0,0.002266439376398921,0.0,0.4941298,0,0,0.003679506480693817,0.0,0.4941298
0,0,0.03390387073159218,0.0,0.4941298,1,1,0.9999285936355591,0.9999993443489075,0.4941298,0,0,0.000903962820302695,0.0,0.4941298
0,0,0.009522929787635803,0.9999992847442627,0.4941298,1,1,0.9999724626541138,0.9999998211860657,0.4941298,1,0,0.3715786039829254,0.0,0.4941298
1,1,0.9497246742248535,0.9999986290931702,0.4941298,1,0,0.0004578435909934342,0.0,0.4941298,0,1,0.09589899331331253,0.9999993443489075,0.4941298
0,1,0.9987969398498535,1.0,0.4941298,0,0,0.0002699253091122955,0.0,0.4941298,1,0,0.016599543392658234,0.0,0.4941298
0,1,0.9639583826065063,1.0,0.4941298,0,0,0.001226336695253849,0.0,0.4941298,0,1,0.997525155544281,0.9999995231628418,0.4941298
0,0,0.1663690209388733,0.9999995231628418,0.4941298,0,0,0.0006650342838838696,0.0,0.4941298,0,1,0.997013509273529,1.0,0.4941298
1,0,0.003174266079440713,0.0,0.4941298,1,1,0.9988001585006714,0.9999990463256836,0.4941298,0,1,0.828148603439331,0.9999992847442627,0.4941298
0,0,0.00047154666390269995,0.0,0.4941298,0,1,0.9505062699317932,1.0,0.4941298,0,1,0.5910592079162598,0.999999463558197,0.4941298
0,1,0.8204010128974915,0.9999998211860657,0.4941298,0,0,7.692180952290073e-5,0.0,0.4941298,0,0,0.047196902334690094,0.999999463558197,0.4941298
1,0,0.006036683917045593,0.0,0.4941298,0,0,0.00012842065189033747,1.0,0.4941298,0,1,0.9439462423324585,0.9999997019767761,0.4941298
0,1,0.9876295328140259,0.9999988079071045,0.4941298,0,0,0.022540993988513947,0.0,0.4941298,0,1,0.7704147100448608,0.999998927116394,0.4941298
0,1,0.9918317198753357,0.0,0.4941298,1,1,0.4941770136356354,0.0,0.4941298,0,0,0.0005310333799570799,1.0,0.4941298
0,0,0.0039417860098183155,0.0,0.4941298,0,1,0.9947682619094849,1.0,0.4941298,0,0,0.00846189260482788,0.0,0.4941298
1,0,0.6560907363891602,0.9999998211860657,0.4941298,0,1,0.9987226724624634,0.999998927116394,0.4941298,0,1,0.9958047866821289,0.9999993443489075,0.4941298
0,1,0.9997451901435852,1.0,0.4941298,0,0,0.06185177341103554,0.0,0.4941298,0,1,0.9250585436820984,0.9999998807907104,0.4941298
0,0,0.006932368036359549,0.0,0.4941298,0,0,0.49211832880973816,0.9999996423721313,0.4941298,1,1,0.9912845492362976,0.9999987483024597,0.4941298
0,0,0.5714882016181946,0.0,0.4941298,0,0,0.010923800058662891,1.0,0.4941298,0,1,0.998587429523468,0.9999996423721313,0.4941298
1,1,0.9660598039627075,0.9999986886978149,0.4941298,1,1,0.7622174620628357,0.0,0.4941298,0,1,0.5135632753372192,1.0,0.4941298
1,1,0.8953630924224854,1.0,0.4941298,0,0,0.001922696945257485,0.9999999403953552,0.4941298,0,1,0.6906492710113525,0.9999990463256836,0.4941298
1,1,0.298312783241272,0.0,0.4941298,0,0,1.0022162314271554e-5,0.0,0.4941298,0,0,0.3233984112739563,0.0,0.4941298
