iter,time,total_time,circuit_size,cross_entropy_D,cross_entropy_Df,train_discrimination,valid_discrimination,test_discrimination,train_mll,valid_mll,test_mll,struct?,stop?,P(D),P(Df),P(S),"P(D|Df,S)","P(D|Df,notS)","P(D|notDf,S)","P(D|notDf,notS)"
0,1.035e-5,1.035e-5,1733,0.5976693414441987,0.5976693414441987,-0.08564315529697564,-0.09198243649320226,-0.08387491466584818,-20.558914,-20.667198,-20.589962,false,,0.5927046043698309,0.5927046043698309,0.30385137637328724,1.0,1.0,0.0,0.0
1,1.702923674,1.702934024,1733,0.5962513401824994,0.5976676691269227,-0.0856425798944056,-0.09198186997602398,-0.08387432264549888,-20.557499,-20.665785,-20.588152,false,,0.5926850224192579,0.5927047086632352,0.3038513124753063,0.9995404410126734,0.9998654105975768,0.0003636361923848694,0.0002596054604980253
2,0.512349903,2.2152839269999998,1733,0.5897067705492092,0.6003633202222364,-0.08608340546627735,-0.09230367257481087,-0.08439232313348322,-20.548342,-20.656963,-20.576174,false,,0.5923937095808006,0.5935293381915354,0.3038514967294211,0.9925588974860491,0.9993756830440145,0.0011781418714212463,0.0011265925094895992
3,0.500841631,2.716125558,1733,0.5763111344501991,0.6122938076716029,-0.0849359326386353,-0.09079161980037831,-0.08369762210749865,-20.525444,-20.631067,-20.54687,false,,0.5909084587061855,0.5987795293852278,0.30385124225023263,0.9537109577466072,0.9977601453109459,0.0030615614422029847,0.003978295823460792
4,0.523080931,3.239206489,1733,0.5646996261058488,0.637881550219868,-0.07719009856796955,-0.08271413065633526,-0.07699513161530613,-20.499401,-20.601156,-20.517056,false,,0.5891175747950023,0.6086515480341941,0.3038514393086227,0.8854705977350871,0.9932873616228829,0.008345793266410242,0.012842859402534762
5,0.673944528,3.9131510169999997,1733,0.5548107307284185,0.67314150002295,-0.06779699923900107,-0.07356015278748629,-0.06906982112987115,-20.47198,-20.572718,-20.489784,false,,0.5888108509155718,0.6144758033755,0.3038513562284375,0.8333114036001321,0.9835870274379264,0.020657155060247595,0.0374781189653739
6,0.505156782,4.418307799,1733,0.5412227236495142,Inf,-0.059370396641844625,-0.06534622959877923,-0.062428974667462556,-20.433458,-20.53797,-20.4539,false,,0.5900842132707537,0.6100895706362413,0.3038511235079675,0.8041179507557282,0.9675547843787485,0.036636911689189505,0.0948508754157231
7,0.487844101,4.9061519,1733,0.5244113603475904,Inf,-0.047887336198046526,-0.052781282401762275,-0.0525374383854571,-20.386566,-20.49839,-20.411766,false,,0.5924006905942791,0.5925801855827331,0.3038515844091121,0.7903283237348461,0.9462183462219428,0.0492948378986127,0.18918307812735058
8,0.487736798,5.3938886980000005,1733,0.5129103508108778,0.8664827848415771,-0.033958708380709246,-0.036085275318083365,-0.03929975586672363,-20.351627,-20.47075,-20.381233,false,,0.5938011493446783,0.5681952056283454,0.30385135719015277,0.7866081687960426,0.9238903790369128,0.05773482254362697,0.2826921273159837
9,0.514948406,5.908837104000001,1733,0.5084643274178433,Inf,-0.022420557009500852,-0.02146565291976854,-0.02776310082367628,-20.334959,-20.458933,-20.366894,false,,0.5939332083519633,0.5470105048789056,0.30385141088668616,0.7885523393201278,0.9083210343506335,0.06383622230368828,0.34308856477401417
10,0.468170712,6.377007816000001,1733,0.5071406964166469,Inf,-0.014627703226093525,-0.011359299382861732,-0.019673702111192237,-20.327934,-20.454336,-20.360838,false,,0.5936413699429245,0.5313538016556676,0.30385147792508105,0.7924628847111833,0.9018474153069801,0.0686015248319885,0.3749699656721727
11,0.642649159,7.019656975000001,1733,0.5066944777061364,Inf,-0.00963192131104118,-0.004865418219926809,-0.014245988997895753,-20.324715,-20.452305,-20.358047,false,,0.5933365335137943,0.5200533441237186,0.3038512485468884,0.7964178058835029,0.9007743698532071,0.07237738939929358,0.39154612989638804
12,0.470309154,7.489966129000001,1733,0.5065148428776741,Inf,-0.00645322388184788,-0.0007508260018327384,-0.010611827645891414,-20.323143,-20.451385,-20.356693,false,,0.5931061257469714,0.5119189255736046,0.3038514078899426,0.7997754796075004,0.9016732854428019,0.0753471695754891,0.4008457209820275
13,0.469079685,7.959045814,1733,0.5064451092664946,1.094195295319752,-0.004429661446920197,0.0018586861621879835,-0.008184815458767036,-20.32236,-20.450993,-20.356028,false,,0.5929465604000292,0.5060834647792198,0.30385136513123456,0.8024291862271032,0.902960632464534,0.07765153906072236,0.40652280696694326
14,0.506951684,8.465997498,1733,0.5064263522884613,Inf,-0.0031398776773442494,0.0035216921966695347,-0.0065710545738619786,-20.321968,-20.450846,-20.3557,false,,0.5928396017981874,0.5019147551226701,0.30385131811141464,0.8044518386240059,0.9041127939855103,0.0794133091329608,0.41019727734185185
15,0.472949149,8.938946647,1733,0.5064299063854996,Inf,-0.002314553644759354,0.0045902400441494295,-0.0054986715208210635,-20.321772,-20.45081,-20.35554,false,,0.5927688553115726,0.49894853475936796,0.3038513760877405,0.8059605466385538,0.9050168846391542,0.08074134850333563,0.4126562097479441
16,0.472441921,9.411388568,1733,0.5064414300299438,Inf,-0.0017862198517359928,0.005280411429560594,-0.0047877705989890496,-20.32167,-20.450811,-20.355455,false,,0.5927219995267781,0.49684455645999154,0.3038515351328245,0.8070702562681136,0.9056893909180677,0.08173000696221465,0.4143311291355011
17,0.469586701,9.880975269,1733,0.5064542571406774,1.1387628093666546,-0.001445839458850462,0.0057304544966730875,-0.00431466417214893,-20.32162,-20.450834,-20.355415,false,,0.5926912001957068,0.4953564689506006,0.3038513856216899,0.8078782315911132,0.9061772253118306,0.0824580928624905,0.41548302516216307
18,0.492255929,10.373231198000001,1733,0.5064658010276987,1.1431867473359505,-0.0012247291801763538,0.006026599783241882,-0.003998226717903175,-20.321592,-20.450857,-20.355392,false,,0.5926710292561754,0.49430637988375553,0.30385135414392367,0.8084620843479998,0.9065264414653552,0.08298953498164562,0.41627972570706145
19,0.520190104,10.893421302,1733,0.5064751234720148,1.1461203497771677,-0.0010817188070129657,0.006221408169721221,-0.0037870878838653366,-20.321577,-20.450874,-20.355381,false,,0.5926575192259316,0.4935663105441864,0.3038515122247808,0.8088816553612106,0.9067745813867867,0.08337447929187215,0.4168323168706623
20,0.497851484,11.391272786,1733,0.5064823255838363,1.148264801471691,-0.0009871388370870093,0.00635197510898905,-0.0036442219834990075,-20.321568,-20.450891,-20.355371,false,,0.5926485383376255,0.4930453543114718,0.3038512792043022,0.8091816218743477,0.9069501242818404,0.08365161042323296,0.41721658849005194
21,0.470561196,11.861833982,1733,0.50648765690378,1.1496940013930057,-0.0009253738714757875,0.00643877889732164,-0.003548397434317896,-20.321566,-20.450905,-20.35537,false,,0.5926426232546999,0.49267936698819526,0.30385144231415695,0.8093953703061088,0.9070740313314026,0.08385006321694877,0.4174841397429257
22,0.468730921,12.330564903,1733,0.5064915650588595,1.1507852948854662,-0.0008842240739555529,0.006497359238956946,-0.0034831180333027567,-20.321562,-20.450916,-20.355364,false,,0.5926385790035691,0.49242211665604596,0.3038514184278299,0.8095471457616304,0.9071612275231508,0.0839916082780348,0.41767067240439637
23,0.514612838,12.845177741,1733,0.5064944045425703,1.1513611081678063,-0.0008565752317281072,0.006537276442296791,-0.0034385809435047987,-20.321562,-20.450922,-20.355364,false,,0.5926359754600243,0.4922417476958248,0.3038513880784855,0.8096546734873037,0.9072225238935285,0.08409227501499475,0.4178008027077282
24,0.659339148,13.504516889000001,1733,0.5064964079519668,1.151764419495272,-0.0008380415344018677,0.00656431107008687,-0.0034080767197192663,-20.321558,-20.45093,-20.355362,false,,0.5926340339396985,0.49211487201242987,0.3038513647709699,0.8097306899180171,0.9072656146873581,0.0841635566248261,0.41789165877660367
25,0.520298062,14.024814951000002,1733,0.5064978780865633,1.1522507846232313,-0.00082524335498807,0.006583148720141652,-0.00338694562280889,-20.321558,-20.45093,-20.35536,false,,0.5926327675703102,0.4920259272623528,0.3038513338470561,0.8097843969913731,0.9072958614785811,0.08421402003261175,0.41795516936880395
26,0.469319651,14.494134602,1733,0.5064988742834415,1.152339035989079,-0.0008168593571949989,0.006595719889559204,-0.0033726869899015077,-20.321558,-20.450933,-20.35536,false,,0.5926319254911866,0.49196365762183236,0.3038513959812681,0.8098222996235985,0.9073170794196075,0.08424966290343651,0.41799949753627924
27,0.522928349,15.017062951000002,1733,0.5064995966386715,1.1525928649869874,-0.000811181274413042,0.006604228649927879,-0.0033628990629920863,-20.321558,-20.450937,-20.35536,false,,0.5926312517695698,0.49191979167405053,0.3038513643550458,0.8098488851648894,0.9073319634258894,0.08427476235912702,0.41803056095458874
28,0.528235244,15.545298195,1733,0.5065000889396255,1.152800624929438,-0.0008068684586629016,0.006610617510185268,-0.0033556625520693717,-20.321558,-20.450935,-20.35536,false,,0.5926309851534209,0.49188930107273976,0.3038511333818013,0.8098676859281769,0.9073424028010181,0.08429244552971658,0.418052262776575
29,0.666984406,16.212282601000002,1733,0.5065004552879594,1.1530063366367087,-0.0008037606238532335,0.006615212655235514,-0.003350570830975952,-20.32156,-20.450935,-20.35536,false,,0.5926306868606532,0.491867910997402,0.30385130886274736,0.8098808282349667,0.9073497336997456,0.08430489378760711,0.41806737350333906
30,0.486140013,16.698422614000002,1733,0.506500695756196,1.1528570128780578,-0.0008025167041795234,0.006617469243178742,-0.0033479257014822905,-20.321558,-20.450935,-20.355358,false,,0.5926304944512284,0.49185293411213116,0.30385148118857197,0.8098901509381079,0.9073548313230566,0.08431364755260094,0.41807799696146397
31,0.520020966,17.218443580000002,1733,0.5065008967779294,1.152944268331091,-0.0008008925029930336,0.006619804528374407,-0.003345248183983074,-20.32156,-20.450935,-20.355358,false,,0.5926302966959881,0.4918422050677942,0.3038512393237407,0.8098966254108546,0.9073584334532493,0.08431983863551658,0.4180853822602488
32,0.468871166,17.687314746000002,1733,0.5065010303694092,1.1529406662297388,-0.0007996972437255834,0.006621395431889332,-0.003343402977671106,-20.32156,-20.450937,-20.355358,false,,0.5926300818511953,0.4918346806107028,0.3038513078869124,0.8099011400364011,0.9073609420071772,0.08432407743460026,0.4180905659085394
33,0.471570894,18.15888564,1733,0.5065010886341212,1.1529409825746086,-0.0007996290218306168,0.006621878643034096,-0.003342810978708699,-20.321558,-20.450937,-20.355358,false,,0.5926300208383866,0.49182953328388695,0.30385146749827235,0.8099043736694768,0.9073626874170237,0.08432711261741002,0.41809427525605897
34,0.469628109,18.628513749,1733,0.5065011445462844,1.1531466005847135,-0.0007987076302708451,0.006623010333227708,-0.003341568371096948,-20.321558,-20.450937,-20.355358,false,,0.592630053222013,0.49182587596320176,0.3038512339424624,0.8099066798032745,0.9073639282303921,0.08432927086858255,0.418096906581911
35,0.4705412,19.099054949,1733,0.506501208228023,1.153024418676286,-0.0007982154667788288,0.006623745833535477,-0.0033407581128518937,-20.321558,-20.450937,-20.355358,false,,0.5926300790969514,0.4918235095399458,0.30385141099023405,0.8099082319528954,0.9073648181481954,0.08433076842724685,0.4180986711218566
36,0.62940287,19.728457819,1733,0.5065012155857389,1.1529612812520962,-0.000798518609612775,0.006623503411520404,-0.0033409770975460495,-20.321556,-20.450935,-20.355358,false,,0.5926300579704838,0.4918218269337552,0.30385156571271976,0.8099093392369964,0.9073654348272435,0.08433182166207305,0.4180998508474764
37,0.471427516,20.199885334999998,1733,0.5065012372261376,1.152948768748492,-0.000798794332464825,0.0066232468923160814,-0.0033411021445616806,-20.321558,-20.450937,-20.355358,false,,0.5926299529067531,0.4918203534383697,0.3038513202346716,0.8099101077905508,0.9073658420447079,0.0843325503961824,0.41810070300402036
38,0.468444213,20.668329548,1733,0.506501248929143,1.1530013196299056,-0.0007979020667015502,0.006624217626235829,-0.003340058718256378,-20.321558,-20.450937,-20.355358,false,,0.5926300870735874,0.4918196956136109,0.30385130218415757,0.8099106034452621,0.907366132723591,0.08433303259607337,0.41810141328325484
39,0.47908815,21.147417697999998,1733,0.5065012629074175,1.1529036920562599,-0.0007983747595037283,0.006623721234537472,-0.0033405680634338575,-20.321556,-20.450937,-20.355358,false,,0.5926300497749621,0.49181905560297645,0.30385146438852717,0.8099110608185623,0.907366384826076,0.08433338763242687,0.418101830481318
40,0.51613782,21.663555518,1733,0.5065012726475833,1.1528925894275968,-0.0007979601072797271,0.006624213241048171,-0.003340122025955461,-20.321556,-20.450937,-20.355356,false,,0.5926299998660034,0.491818553327374,0.30385122821636135,0.8099113027863698,0.9073664804321421,0.0843336412261627,0.41810203534076273
41,0.505287951,22.168843469,1733,0.5065012631427005,1.1528976287614299,-0.0007984786932838106,0.0066236935466944535,-0.0033406256932124734,-20.321558,-20.450937,-20.355358,false,,0.5926299520201668,0.4918182427482024,0.3038513983094354,0.8099115139437764,0.9073666086989312,0.08433379743234433,0.4181022157464792
42,0.495936811,22.66478028,1733,0.5065012622487919,1.1530681016830036,-0.0007978382315310117,0.00662438549108052,-0.0033399577556102455,-20.321558,-20.450937,-20.355358,false,,0.5926300055163163,0.4918181219618088,0.3038512845701973,0.8099115655915249,0.9073666667725759,0.0843339534879569,0.4181023424501005
43,0.470651499,23.135431778999997,1733,0.5065012766056385,1.1531656157868602,-0.0007975204129453406,0.006624756882489424,-0.003339585233986808,-20.321558,-20.450937,-20.355358,false,,0.5926299306875532,0.49181791873918845,0.30385146065699087,0.8099116649201257,0.9073666904214173,0.08433404931285957,0.41810245484764585
44,0.499877357,23.635309135999996,1733,0.5065012927510595,1.1529820483482027,-0.0007976279569236744,0.0066246487955771705,-0.0033397020773577313,-20.321558,-20.450937,-20.355358,false,,0.5926299245334562,0.4918177383945122,0.30385141855116593,0.8099117833086636,0.9073667463855332,0.08433417509177038,0.41810253850953577
