S train_x,D train_x,P(Df|e) train_x,P(D|e) train_x,P(Df) train_x,S valid_x,D valid_x,P(Df|e) valid_x,P(D|e) valid_x,P(Df) valid_x,S test_x,D test_x,P(Df|e) test_x,P(D|e) test_x,P(Df) test_x
0,1,0.9235838055610657,1.0,0.49883068,0,1,0.010942808352410793,0.9999990463256836,0.49883068,0,1,0.9990332126617432,0.999998927116394,0.49883068
1,1,0.9985997676849365,1.0,0.49883068,0,1,0.9295075535774231,1.0,0.49883068,0,0,0.014259024523198605,0.0,0.49883068
0,0,0.0004054722376167774,0.0,0.49883068,1,0,0.005418818909674883,0.0,0.49883068,0,0,0.11970078945159912,0.0,0.49883068
0,0,7.771706441417336e-5,0.0,0.49883068,0,0,3.836589530692436e-5,0.0,0.49883068,1,0,0.011262038722634315,0.0,0.49883068
1,1,0.9846248626708984,1.0,0.49883068,0,1,0.7277637124061584,0.999999463558197,0.49883068,0,0,0.05396335572004318,0.0,0.49883068
0,1,0.9986855387687683,0.9999998211860657,0.49883068,0,0,0.023658176884055138,0.0,0.49883068,0,0,0.027217309921979904,0.0,0.49883068
0,1,0.9978876709938049,1.0,0.49883068,1,0,0.030351465567946434,0.0,0.49883068,0,1,0.02457931824028492,0.9999988079071045,0.49883068
0,1,0.001136684906668961,0.9999999403953552,0.49883068,0,1,0.9986016750335693,1.0,0.49883068,0,0,0.0032035522162914276,0.0,0.49883068
0,0,0.0001636048109503463,0.0,0.49883068,0,0,0.004140331409871578,0.0,0.49883068,0,1,0.9987035989761353,0.9999996423721313,0.49883068
0,1,0.9947863221168518,0.9999999403953552,0.49883068,0,0,0.0016119014471769333,0.0,0.49883068,0,0,0.009394076652824879,0.0,0.49883068
1,1,0.06874821335077286,0.9999990463256836,0.49883068,0,0,5.2511724788928404e-5,0.0,0.49883068,0,1,0.999125599861145,1.0,0.49883068
0,1,0.9996889233589172,0.9999991059303284,0.49883068,0,1,0.9847224950790405,1.0,0.49883068,0,1,0.9991751909255981,1.0,0.49883068
1,1,0.9820047616958618,1.0,0.49883068,0,0,0.014779266901314259,0.0,0.49883068,0,1,0.9461552500724792,1.0,0.49883068
0,1,0.9687312245368958,1.0,0.49883068,0,0,0.00032000147621147335,0.0,0.49883068,0,0,0.005064052063971758,0.0,0.49883068
0,0,0.4416653513908386,0.0,0.49883068,0,1,0.42486777901649475,0.9999992847442627,0.49883068,1,1,0.9995735883712769,1.0,0.49883068
0,0,0.005412600468844175,0.0,0.49883068,0,0,0.00030865767621435225,0.0,0.49883068,1,1,0.9994286894798279,1.0,0.49883068
1,0,0.0007034881855361164,0.0,0.49883068,0,1,0.9764072895050049,1.0,0.49883068,0,0,6.38243873254396e-5,0.0,0.49883068
0,1,0.05137858912348747,0.9999991059303284,0.49883068,0,0,0.021195124834775925,0.0,0.49883068,0,0,0.0006513763801194727,0.0,0.49883068
1,0,0.001079124747775495,0.0,0.49883068,0,1,0.9999005794525146,0.9999996423721313,0.49883068,0,1,0.2914639711380005,1.0,0.49883068
0,1,0.005402286536991596,0.999999463558197,0.49883068,0,0,0.002126642968505621,0.0,0.49883068,1,0,0.11929827183485031,0.0,0.49883068
1,1,0.9746712446212769,1.0,0.49883068,1,0,0.0012226873077452183,0.0,0.49883068,0,1,0.0012756030773743987,0.9999998211860657,0.49883068
0,1,0.49079519510269165,0.9999992847442627,0.49883068,0,0,0.0008857273496687412,0.0,0.49883068,0,0,8.686331057106145e-6,0.0,0.49883068
0,1,0.887902021408081,0.9999998211860657,0.49883068,0,1,0.04226771369576454,1.0,0.49883068,0,1,0.49080175161361694,1.0,0.49883068
0,0,0.02444205991923809,0.0,0.49883068,1,1,0.9997909069061279,1.0,0.49883068,0,0,0.0014603676972910762,0.0,0.49883068
0,1,0.9692025184631348,1.0,0.49883068,0,1,0.9575182199478149,1.0,0.49883068,0,1,0.9513124823570251,1.0,0.49883068
0,1,0.9877963066101074,0.9999997615814209,0.49883068,1,0,0.014913033694028854,0.0,0.49883068,0,1,0.9998424053192139,1.0,0.49883068
0,0,0.029606614261865616,0.0,0.49883068,1,0,0.03757418319582939,0.0,0.49883068,0,1,0.003357934532687068,1.0,0.49883068
0,1,0.0038680119905620813,0.9999991655349731,0.49883068,1,1,0.9984912276268005,1.0,0.49883068,0,0,0.8836361169815063,0.0,0.49883068
1,1,0.9606151580810547,1.0,0.49883068,1,1,0.9672707915306091,1.0,0.49883068,0,1,0.9974386096000671,1.0,0.49883068
0,1,0.9993657469749451,1.0,0.49883068,1,0,0.0038248738273978233,0.0,0.49883068,0,1,0.9969440698623657,1.0,0.49883068
0,1,0.9848464727401733,1.0,0.49883068,1,0,0.008964232169091702,0.0,0.49883068,0,1,0.9955949187278748,1.0,0.49883068
0,1,0.008205044083297253,0.9999985694885254,0.49883068,0,1,5.8584973885444924e-5,0.9999988675117493,0.49883068,0,1,0.9604282975196838,1.0,0.49883068
