iter,time,total_time,circuit_size,cross_entropy_D,cross_entropy_Df,train_discrimination,valid_discrimination,test_discrimination,train_mll,valid_mll,test_mll,struct?,stop?,P(D),P(Df),P(S),"P(D|Df,S)","P(D|Df,notS)","P(D|notDf,S)","P(D|notDf,notS)"
0,0.053444117,0.053444117,213,0.5041043922636476,0.5041043922636476,0.03878863115846792,0.03291539891081269,0.04195329940045206,-4.967863362806373,-4.989496252009205,-4.975664073585485,true,,0.4105742354358979,0.0,0.5285761156925719,0.0,0.0,0.0,0.0
1,3.585829855,3.6392739720000002,213,0.5041043922636476,0.5041043922636476,0.03878863115846792,0.03291539891081269,0.04195329940045206,-4.967863362806373,-4.989496252009205,-4.975664073585485,true,,0.4105742354358979,0.0,0.5285761156925719,0.0,0.0,0.0,0.0
2,0.650804283,4.290078255,215,0.5041043922636476,0.5041043922636476,0.03878863115846792,0.03291539891081269,0.04195329940045206,-4.967863362806373,-4.989496252009205,-4.975664073585485,true,,0.4105742354358979,0.0,0.5285761156925719,0.0,0.0,0.0,0.0
3,0.007032723,4.297110978,215,0.5041043922636476,0.5041043922636476,0.03878863115846792,0.03291539891081269,0.04195329940045206,-4.967863362806373,-4.989496252009205,-4.975664073585485,true,,0.4105742354358979,0.0,0.5285761156925719,0.0,0.0,0.0,0.0
4,0.047821559,4.344932537,218,0.5012152034651107,0.5012152034651107,0.038565287144367855,0.03298494024796511,0.04261872787339177,-4.962303931811936,-4.985187960775208,-4.971668431564642,true,,0.4105742354358979,0.0,0.5285761156925719,0.0,0.0,0.0,0.0
5,0.007225886,4.352158423,218,0.5012152034651107,0.5012152034651107,0.038565287144367855,0.03298494024796511,0.04261872787339177,-4.962303931811936,-4.985187960775208,-4.971668431564642,true,,0.4105742354358979,0.0,0.5285761156925719,0.0,0.0,0.0,0.0
6,0.008171647,4.36033007,221,0.5013533586961457,0.5013533586961457,0.038287643523311765,0.03273882309248466,0.042488288505374394,-4.962152610241731,-4.985125678743602,-4.971381966216219,true,,0.4105742354358979,0.0,0.5285761156925719,0.0,0.0,0.0,0.0
7,0.217951003,4.578281072999999,235,0.5015950939026947,0.5015950939026947,0.039231601907282976,0.03381487787363846,0.043619585272946626,-4.9612155906613795,-4.984065119967712,-4.970228702633973,true,,0.4105742354358979,0.0,0.5285761156925719,0.0,0.0,0.0,0.0
8,0.237179342,4.8154604149999995,237,0.5015950861125744,0.5015950861125744,0.03923100640685312,0.033814300668155106,0.043618995494509705,-4.961215590543679,-4.984065158903298,-4.970228727780294,true,,0.4105742354358979,0.0,0.5285761156925719,0.0,0.0,0.0,0.0
9,0.12610367,4.9415640849999996,238,0.5016170659981228,0.5016170659981228,0.03934201222484146,0.03397921301112644,0.04378848391179918,-4.961133082954382,-4.983974827068647,-4.970054301698375,true,,0.4105742354358979,0.0,0.5285761156925719,0.0,0.0,0.0,0.0
10,0.009724046,4.951288130999999,260,0.5018005091347353,0.5018005091347353,0.03633166213444361,0.030501234792373932,0.04074900364783118,-4.958753977250757,-4.9812077272503865,-4.968087427945376,true,,0.4105742354358979,0.0,0.5285761156925719,0.0,0.0,0.0,0.0
11,0.024078048,4.975366178999999,262,0.5018006131103621,0.5018006131103621,0.03633107437454525,0.030500639401953633,0.04074840673958652,-4.958753977243977,-4.981207703983184,-4.968087409818616,true,,0.4105742354358979,0.0,0.5285761156925719,0.0,0.0,0.0,0.0
12,0.009625424,4.984991602999999,262,0.5018006131103621,0.5018006131103621,0.03633107437454525,0.030500639401953633,0.04074840673958652,-4.958753977243977,-4.981207703983183,-4.968087409818616,true,,0.4105742354358979,0.0,0.5285761156925719,0.0,0.0,0.0,0.0
13,0.008193338,4.993184940999999,264,0.5018006132503158,0.5018006132503158,0.036331063883501546,0.030500628060821156,0.04074839628660509,-4.958753977243977,-4.981207703983184,-4.968087409818616,true,,0.4105742354358979,0.0,0.5285761156925719,0.0,0.0,0.0,0.0
14,0.007002604,5.000187544999999,265,0.5017404842940874,0.5017404842940874,0.03646175709684635,0.030591202437885545,0.040896834820948524,-4.9586771349595455,-4.981075193641666,-4.968085621303315,true,,0.4105742354358979,0.0,0.5285761156925719,0.0,0.0,0.0,0.0
15,0.009579624,5.009767168999999,267,0.5017404842962879,0.5017404842962879,0.036461756947702595,0.030591202316277932,0.040896834681993066,-4.9586771349595455,-4.981075193641666,-4.968085621303315,true,,0.4105742354358979,0.0,0.5285761156925719,0.0,0.0,0.0,0.0
16,0.009349912,5.019117080999999,269,0.5017404912051251,0.5017404912051251,0.03646146742161144,0.03059093945666186,0.04089654187323688,-4.958677134888326,-4.981075129362693,-4.968085643666651,true,,0.4105742354358979,0.0,0.5285761156925719,0.0,0.0,0.0,0.0
17,0.020490176,5.039607256999999,271,0.5017404905127779,0.5017404905127779,0.03646147352726825,0.03059094577223831,0.040896548585265424,-4.958677134888326,-4.981075129362693,-4.968085643666651,true,,0.4105742354358979,0.0,0.5285761156925719,0.0,0.0,0.0,0.0
18,0.009701706,5.049308963,273,0.5017403036347232,0.5017403036347232,0.036463286063959766,0.030592700282406515,0.04089832515385944,-4.958677133795179,-4.981075471223941,-4.968086161617369,true,,0.4105742354358979,0.0,0.5285761156925719,0.0,0.0,0.0,0.0
19,0.015799609,5.065108572,274,0.5028245324181985,0.5028245324181985,0.03770241039493116,0.03194380285206694,0.04214269225616585,-4.958041064591782,-4.980297942501609,-4.967708901155372,true,,0.4105742354358979,0.0,0.5285761156925719,0.0,0.0,0.0,0.0
20,0.021916282,5.087024854,275,0.5029975295352834,0.5029975295352834,0.03790781519572567,0.032252806766216446,0.042345700737731085,-4.95794706735319,-4.979989154663569,-4.967604588391798,true,,0.4105742354358979,0.0,0.5285761156925719,0.0,0.0,0.0,0.0
21,0.025578566,5.11260342,278,0.5028640102915705,0.5028640102915705,0.03792098113125758,0.03229288922206669,0.042374726275645924,-4.9578458025980146,-4.979804606862374,-4.967517669764894,true,,0.4105742354358979,0.0,0.5285761156925719,0.0,0.0,0.0,0.0
22,0.086024241,5.198627661,296,0.5029582304397638,0.5029582304397638,0.03827245381815075,0.03274476384519015,0.04279474207369627,-4.957505129299505,-4.979394540165666,-4.966871720371357,true,,0.4105742354358979,0.0,0.5285761156925719,0.0,0.0,0.0,0.0
23,0.010177152,5.2088048129999995,298,0.502958171593893,0.502958171593893,0.03827305900315531,0.032745353576423386,0.042795340902816614,-4.957505129149383,-4.979394614969328,-4.966871836239249,true,,0.4105742354358979,0.0,0.5285761156925719,0.0,0.0,0.0,0.0
24,0.039672926,5.248477738999999,301,0.5027027613534845,0.5027027613534845,0.03824786070204739,0.03256191561937061,0.04253574890815087,-4.957173379698527,-4.979363001160349,-4.966997696166306,true,,0.4105742354358979,0.0,0.5285761156925719,0.0,0.0,0.0,0.0
25,0.009874368,5.258352106999999,303,0.5027026175226463,0.5027026175226463,0.03824715735361739,0.03256111194435202,0.042535013692711954,-4.957173379492868,-4.979363294113109,-4.966997799729135,true,,0.4105742354358979,0.0,0.5285761156925719,0.0,0.0,0.0,0.0
26,0.008076648,5.266428755,311,0.5026422241860242,0.5026422241860242,0.038321579204124434,0.03262562585233064,0.04269723908504236,-4.95713495934903,-4.979401786514555,-4.96695504607415,true,,0.4105742354358979,0.0,0.5285761156925719,0.0,0.0,0.0,0.0
27,0.054924809,5.321353564,337,0.5003373557464638,0.5003373557464638,0.03765350447039839,0.03128411337551151,0.04177306252444557,-4.952018236125439,-4.974320084899876,-4.961220661048084,true,,0.4105742354358979,0.0,0.5285761156925719,0.0,0.0,0.0,0.0
28,0.010670628,5.3320241919999996,339,0.5003371779456344,0.5003371779456344,0.03765447204788125,0.03128515232222062,0.04177402397818197,-4.95201823604853,-4.974320149108515,-4.961220710109168,true,,0.4105742354358979,0.0,0.5285761156925719,0.0,0.0,0.0,0.0
