iter,time,total_time,circuit_size,cross_entropy_D,cross_entropy_Df,train_discrimination,valid_discrimination,test_discrimination,train_mll,valid_mll,test_mll,struct?,stop?,P(D),P(Df),P(S),"P(D|Df,S)","P(D|Df,notS)","P(D|notDf,S)","P(D|notDf,notS)"
0,9.561e-6,9.561e-6,1720,0.4974529650380974,0.4974529650380974,0.03686145469590196,0.031219080552521983,0.03072440243061425,-4.9351525,-4.9189878,-4.9334598,false,,0.4105779544450754,0.4105779544450754,0.527575872294782,1.0,1.0,0.0,0.0
1,5.235634855,5.2356444159999995,1720,0.4974524495419649,0.4974529672591463,0.03686143567238487,0.031219064760066695,0.030724383033426284,-4.9351516,-4.918988,-4.9334593,false,,0.41057779219344454,0.41057794975959827,0.52757587329639,0.9999871712637137,0.9999808421779062,1.1200214727070225e-5,1.0250732718116322e-5
2,4.149413725,9.385058140999998,1720,0.4974512475367624,0.4974531459323828,0.036861386402747165,0.031218879437173497,0.030724173716639713,-4.9351506,-4.918987,-4.933458,false,,0.4105775606899219,0.4105780800217861,0.5275758750218292,0.9999769235030949,0.9999558827359226,2.5692595803991962e-5,1.8125208668569413e-5
3,4.150924599,13.535982739999998,1720,0.4974493537768209,0.49745359678575785,0.036859286595558594,0.031216628702228078,0.03072187641511237,-4.935148,-4.9189844,-4.933456,false,,0.41057722376942196,0.41057830905491266,0.5275758756303748,0.9999687368635837,0.9999233671157927,4.443934176743266e-5,2.417555626266108e-5
4,4.154458932,17.690441672,1720,0.4974466377786785,0.4974543574005984,0.03685494414554663,0.031212117176173226,0.03071729498179171,-4.9351444,-4.9189816,-4.9334526,false,,0.4105767434502132,0.41057862827085456,0.5275758879174661,0.9999621958859691,0.9998810126797224,6.867970009869717e-5,2.882555784888812e-5
5,4.139957337,21.830399008999997,1720,0.4974429150403632,0.49745548618931623,0.036848037000287215,0.031205007231377535,0.030710084575206575,-4.9351397,-4.9189773,-4.933448,false,,0.4105760937610464,0.41057907332082555,0.5275758676497511,0.9999569685066074,0.9998258512159844,0.00010000691934375042,3.24006665217176e-5
6,4.140823547,25.971222555999997,1720,0.4974379286661431,0.4974570659069435,0.0368380945735694,0.031194814992829056,0.030699761887092725,-4.9351335,-4.9189715,-4.9334426,false,,0.4105752051809553,0.41057967516793203,0.5275758758399001,0.9999527891895864,0.9997540259964146,0.000140464721194439,3.515091501656635e-5
7,4.148225381,30.119447936999997,1720,0.4974313512602051,0.4974592163665457,0.036824429553634574,0.031180835392767114,0.03068560562284084,-4.935125,-4.918963,-4.933434,false,,0.4105740533441336,0.4105805604166245,0.527575875690259,0.9999494455719443,0.9996605301054823,0.0001926668048690691,3.726856912367941e-5
8,4.136745744,34.256193681,1720,0.4974227441470978,0.4974621001433988,0.036806105604114014,0.031162115044747807,0.03066665509395816,-4.935114,-4.918953,-4.933424,false,,0.4105724981897478,0.4105818087750649,0.5275758740677562,0.9999467676167256,0.9995388713514913,0.0002599424032255359,3.8901638841796784e-5
9,4.141094197,38.397287878,1720,0.49741154698186407,0.4974659374059886,0.03678193207745584,0.031137431679360728,0.030641680792668158,-4.9350986,-4.9189386,-4.9334097,false,,0.4105704327197787,0.41058362994126985,0.5275758766879884,0.9999446189973579,0.9993806438902174,0.0003465101994251446,4.0164148978759596e-5
