iter,time,total_time,circuit_size,cross_entropy_D,cross_entropy_Df,train_discrimination,valid_discrimination,test_discrimination,train_mll,valid_mll,test_mll,struct?,stop?,P(D),P(Df),P(S),"P(D|Df,S)","P(D|Df,notS)","P(D|notDf,S)","P(D|notDf,notS)"
0,0.055483315,0.055483315,213,0.539831176259442,0.539831176259442,0.05739817326637964,0.05228840794735706,0.05808879271148343,-5.009620070543996,-5.015138033517182,-5.005761746828632,true,,0.4230645466590952,0.0,0.5282131364754874,0.0,0.0,0.0,0.0
1,3.791692104,3.847175419,213,0.539831176259442,0.539831176259442,0.05739817326637964,0.05228840794735706,0.05808879271148343,-5.009620070543996,-5.015138033517182,-5.005761746828632,true,,0.4230645466590952,0.0,0.5282131364754874,0.0,0.0,0.0,0.0
2,0.701936041,4.54911146,215,0.5398311853645409,0.5398311853645409,0.05739813009629696,0.05228836345965143,0.05808874880918963,-5.009620070543996,-5.015138033517182,-5.005761746828632,true,,0.4230645466590952,0.0,0.5282131364754874,0.0,0.0,0.0,0.0
3,0.010587581,4.559699041,215,0.5398311853645409,0.5398311853645409,0.05739813009629696,0.05228836345965143,0.05808874880918963,-5.009620070543996,-5.015138033517182,-5.005761746828632,true,,0.4230645466590952,0.0,0.5282131364754874,0.0,0.0,0.0,0.0
4,0.007722269,4.56742131,215,0.5398311853645409,0.5398311853645409,0.05739813009629696,0.05228836345965143,0.05808874880918963,-5.009620070543996,-5.015138033517182,-5.005761746828632,true,,0.4230645466590952,0.0,0.5282131364754874,0.0,0.0,0.0,0.0
5,0.241824137,4.809245447,225,0.5397576480589428,0.5397576480589428,0.05732055452492224,0.052196162078728014,0.057942026528454815,-5.009588984695654,-5.015067588965847,-5.005820820766183,true,,0.4230645466590952,0.0,0.5282131364754874,0.0,0.0,0.0,0.0
6,0.26481116,5.074056607,227,0.539757752408152,0.539757752408152,0.0573201073103099,0.05219572533976691,0.057941541583269474,-5.009588984621001,-5.015067570765268,-5.0058208032627585,true,,0.4230645466590952,0.0,0.5282131364754874,0.0,0.0,0.0,0.0
7,0.009186331,5.083242938000001,227,0.539757752408152,0.539757752408152,0.0573201073103099,0.05219572533976691,0.057941541583269474,-5.009588984621001,-5.015067570765268,-5.0058208032627585,true,,0.4230645466590952,0.0,0.5282131364754874,0.0,0.0,0.0,0.0
8,0.008308066,5.091551004,230,0.5379757138833994,0.5379757138833994,0.056854229000412204,0.0511310160577193,0.05770112157907631,-5.004855054328819,-5.00991262588377,-5.0016507589922385,true,,0.4230645466590952,0.0,0.5282131364754874,0.0,0.0,0.0,0.0
9,0.155886796,5.2474378,231,0.537991320108184,0.537991320108184,0.056884212686134694,0.05117871420410813,0.05775359410460068,-5.004850189586041,-5.009907085088275,-5.001624547912642,true,,0.4230645466590952,0.0,0.5282131364754874,0.0,0.0,0.0,0.0
10,0.01516253,5.26260033,232,0.5378470268061606,0.5378470268061606,0.0569805313567871,0.051309673460612604,0.057856871446104685,-5.004820618797884,-5.009845870723365,-5.001596984055479,true,,0.4230645466590952,0.0,0.5282131364754874,0.0,0.0,0.0,0.0
11,0.037046612,5.299646942,254,0.5389090397537084,0.5389090397537084,0.054219297792857335,0.04845325397064626,0.055330192302754766,-5.002584478853133,-5.008019364779995,-5.000100616545863,true,,0.4230645466590952,0.0,0.5282131364754874,0.0,0.0,0.0,0.0
12,0.02323915,5.322886092,256,0.5389091836353492,0.5389091836353492,0.054218663533749045,0.048452611078290575,0.055329572445934505,-5.00258447884547,-5.008019355006843,-5.00010063585586,true,,0.4230645466590952,0.0,0.5282131364754874,0.0,0.0,0.0,0.0
13,0.009032756,5.331918848,258,0.5389091836353492,0.5389091836353492,0.054218663533749045,0.048452611078290575,0.055329572445934505,-5.00258447884547,-5.008019355006843,-5.000100635855861,true,,0.4230645466590952,0.0,0.5282131364754874,0.0,0.0,0.0,0.0
14,0.031524915,5.363443763,260,0.5389089359337518,0.5389089359337518,0.05421981661646852,0.04845372590451469,0.055330726035506594,-5.002584478096055,-5.008019563344019,-5.000100669224329,true,,0.4230645466590952,0.0,0.5282131364754874,0.0,0.0,0.0,0.0
15,0.009183631,5.372627394,262,0.5389089359767723,0.5389089359767723,0.05421981613621579,0.04845372567268713,0.05533072549801482,-5.002584478096055,-5.008019563344019,-5.000100669224329,true,,0.4230645466590952,0.0,0.5282131364754874,0.0,0.0,0.0,0.0
16,0.009284694,5.381912088,264,0.5389088734196137,0.5389088734196137,0.05422009089135288,0.04845401760074136,0.05533100176443284,-5.002584477719391,-5.008019574432743,-5.000100675429628,true,,0.4230645466590952,0.0,0.5282131364754874,0.0,0.0,0.0,0.0
17,0.008337337,5.390249425,279,0.5397957921568189,0.5397957921568189,0.05590252249297539,0.05002382673916311,0.05740921735573945,-5.001415713437298,-5.006730886222649,-4.998637619230085,true,,0.4230645466590952,0.0,0.5282131364754874,0.0,0.0,0.0,0.0
18,0.0996191,5.489868525,281,0.5397957908772761,0.5397957908772761,0.055902528342995916,0.05002383231194063,0.057409223330741666,-5.001415713437298,-5.006730886222649,-4.998637619230085,true,,0.4230645466590952,0.0,0.5282131364754874,0.0,0.0,0.0,0.0
19,0.009741167,5.499609692,283,0.5397956782450103,0.5397956782450103,0.05590308425182966,0.05002437211599531,0.05740977459463176,-5.001415713292754,-5.00673094708433,-4.9986376343321215,true,,0.4230645466590952,0.0,0.5282131364754874,0.0,0.0,0.0,0.0
20,0.02779037,5.527400062,286,0.5396572467966098,0.5396572467966098,0.05589937676777451,0.0500204359518836,0.05733693314000626,-5.001270193485025,-5.006528363533693,-4.998530063962087,true,,0.4230645466590952,0.0,0.5282131364754874,0.0,0.0,0.0,0.0
21,0.009285114,5.536685176,288,0.5396572227204658,0.5396572227204658,0.05589882139421137,0.05001984847613966,0.05733634160616358,-5.001270193306063,-5.006528405027594,-4.998530075302489,true,,0.4230645466590952,0.0,0.5282131364754874,0.0,0.0,0.0,0.0
22,0.007315688,5.544000864,292,0.5391837846197767,0.5391837846197767,0.05592645806316493,0.04999214660156348,0.05744576464563972,-5.000528381686011,-5.006023220996511,-4.997812494766144,true,,0.4230645466590952,0.0,0.5282131364754874,0.0,0.0,0.0,0.0
23,0.007674998,5.551675862,294,0.5391836819659074,0.5391836819659074,0.05592539806312902,0.049991837264793226,0.05744551988675417,-5.000528335191658,-5.00602318802399,-4.997812368141717,true,,0.4230645466590952,0.0,0.5282131364754874,0.0,0.0,0.0,0.0
24,0.007308748,5.5589846099999995,295,0.5391845000316872,0.5391845000316872,0.05604566909465458,0.050097729813900094,0.057580474754805266,-5.0001740045821155,-5.005441299602369,-4.997508010017958,true,,0.4230645466590952,0.0,0.5282131364754874,0.0,0.0,0.0,0.0
25,0.007361689,5.566346298999999,295,0.5391845000316872,0.5391845000316872,0.05604566909465458,0.050097729813900094,0.057580474754805266,-5.0001740045821155,-5.005441299602369,-4.997508010017958,true,,0.4230645466590952,0.0,0.5282131364754874,0.0,0.0,0.0,0.0
26,0.007994427,5.574340725999999,297,0.5391844933573908,0.5391844933573908,0.056045687270870725,0.050097747328471,0.05758049313128877,-5.0001740045821155,-5.005441299602369,-4.997508010017958,true,,0.4230645466590952,0.0,0.5282131364754874,0.0,0.0,0.0,0.0
27,0.007058721,5.581399446999999,298,0.539140742294413,0.539140742294413,0.05617341525173525,0.0501873561637774,0.057648478696848415,-5.000125858725891,-5.005312257196308,-4.997362717413994,true,,0.4230645466590952,0.0,0.5282131364754874,0.0,0.0,0.0,0.0
28,0.008201362,5.589600808999999,302,0.5391959955092711,0.5391959955092711,0.05641822998164836,0.05048114456627251,0.05781415840485049,-4.999673019170215,-5.0048086770750855,-4.997034787028638,true,,0.4230645466590952,0.0,0.5282131364754874,0.0,0.0,0.0,0.0
29,0.009157299,5.598758107999999,305,0.5389557826411997,0.5389557826411997,0.05689364103122169,0.051025152253414585,0.058203889030542966,-4.997621325892638,-5.003230047372466,-4.995296714445875,true,,0.4230645466590952,0.0,0.5282131364754874,0.0,0.0,0.0,0.0
30,0.009385006,5.608143113999999,307,0.5389558962406229,0.5389558962406229,0.056893368662186916,0.05102485081026076,0.058203656270240656,-4.997621325716092,-5.003230081639421,-4.995296630838191,true,,0.4230645466590952,0.0,0.5282131364754874,0.0,0.0,0.0,0.0
31,0.128113881,5.736256994999999,338,0.5387895980033637,0.5387895980033637,0.056782828000231766,0.0508874218967626,0.05821625601384145,-4.9971629617150075,-5.002722548839826,-4.9948876740407355,true,,0.4230645466590952,0.0,0.5282131364754874,0.0,0.0,0.0,0.0
32,0.012374319,5.748631313999999,340,0.538789652283827,0.538789652283827,0.05678238770968613,0.050886970883627536,0.05821579902022145,-4.997162961671516,-5.002722557242648,-4.994887673470545,true,,0.4230645466590952,0.0,0.5282131364754874,0.0,0.0,0.0,0.0
33,0.011154945,5.759786258999999,366,0.5365483755608605,0.5365483755608605,0.05623100058599817,0.04979881538771869,0.05710421290602663,-4.992464782078333,-4.997598171901198,-4.990066275371593,true,,0.4230645466590952,0.0,0.5282131364754874,0.0,0.0,0.0,0.0
34,0.011123054,5.770909312999999,368,0.5365481374839427,0.5365481374839427,0.05623217443253842,0.04980007444737172,0.05710537241267721,-4.992464781992095,-4.997598269180507,-4.990066307348426,true,,0.4230645466590952,0.0,0.5282131364754874,0.0,0.0,0.0,0.0
35,0.00857466,5.779483972999999,369,0.5366374499664384,0.5366374499664384,0.05598251262281129,0.04945175673566232,0.05684777105634148,-4.992363324715056,-4.9973963935002885,-4.989959416604111,true,,0.4230645466590952,0.0,0.5282131364754874,0.0,0.0,0.0,0.0
36,0.008574331,5.788058303999999,371,0.5366161421810579,0.5366161421810579,0.05603397174894187,0.04951585038469952,0.05689922481993026,-4.99232931948752,-4.997422842067885,-4.989992071527199,true,,0.4230645466590952,0.0,0.5282131364754874,0.0,0.0,0.0,0.0
37,0.028034696,5.816092999999999,373,0.5366161421810579,0.5366161421810579,0.05603397174894187,0.04951585038469952,0.05689922481993026,-4.99232931948752,-4.997422842067885,-4.989992071527199,true,,0.4230645466590952,0.0,0.5282131364754874,0.0,0.0,0.0,0.0
38,0.010134865,5.826227864999999,375,0.5366161541269585,0.5366161541269585,0.05603393517472999,0.04951582566540497,0.056899197569204585,-4.992329319429212,-4.997422821675235,-4.989992061114871,true,,0.4230645466590952,0.0,0.5282131364754874,0.0,0.0,0.0,0.0
39,0.010153298,5.836381162999999,377,0.5366161542754129,0.5366161542754129,0.05603393485638314,0.04951582540052046,0.05689919729037518,-4.992329319429212,-4.997422821675235,-4.989992061114871,true,,0.4230645466590952,0.0,0.5282131364754874,0.0,0.0,0.0,0.0
40,0.010276532,5.846657694999998,379,0.5366163013771597,0.5366163013771597,0.05603360611217428,0.04951553617826476,0.05689897940178046,-4.9923293146311725,-4.997422757643225,-4.989991827455264,true,,0.4230645466590952,0.0,0.5282131364754874,0.0,0.0,0.0,0.0
41,0.009426218,5.856083912999998,383,0.5363517720487704,0.5363517720487704,0.05627400081117673,0.04942408066877352,0.05721082072597272,-4.991750718429752,-4.997543473773901,-4.989682168612482,true,,0.4230645466590952,0.0,0.5282131364754874,0.0,0.0,0.0,0.0
42,0.009127059,5.865210971999998,385,0.5363517720487704,0.5363517720487704,0.05627400081117673,0.04942408066877352,0.05721082072597272,-4.991750718429752,-4.997543473773901,-4.989682168612482,true,,0.4230645466590952,0.0,0.5282131364754874,0.0,0.0,0.0,0.0
43,0.027734747,5.892945718999998,388,0.5363533208964901,0.5363533208964901,0.05634085914350273,0.04949299740327073,0.05725508773889387,-4.99170547176233,-4.997517012706142,-4.989674513171757,true,,0.4230645466590952,0.0,0.5282131364754874,0.0,0.0,0.0,0.0
