iter,time,total_time,circuit_size,cross_entropy_D,cross_entropy_Df,train_discrimination,valid_discrimination,test_discrimination,train_mll,valid_mll,test_mll,struct?,stop?,P(D),P(Df),P(S),"P(D|Df,S)","P(D|Df,notS)","P(D|notDf,S)","P(D|notDf,notS)"
0,9.46e-6,9.46e-6,2149,0.5755532076836225,0.5755532076836225,0.08209706432687769,0.08532622437946502,0.07970639386690037,-5.0259647,-5.0261817,-5.0291066,false,,0.4459583945888989,0.4459583945888989,0.5280461104556151,1.0,1.0,0.0,0.0
1,6.548662775,6.548672235000001,2149,0.575548617217916,0.5755532006724446,0.08209707044646258,0.0853262325637707,0.07970640271264173,-5.0259604,-5.026177,-5.0291014,false,,0.4459573682719358,0.4459583840165855,0.5280461087919676,0.9999904581974108,0.9999726477020262,1.5979545431343985e-5,8.84626916782058e-6
2,5.226646625,11.77531886,2149,0.575532354010723,0.575554167841088,0.0820969900528139,0.08532623070459505,0.07970626924964075,-5.0259433,-5.026159,-5.0290837,false,,0.44595417424365447,0.44595993898595154,0.5280461103120302,0.9999858710914903,0.999904581870309,4.922871452571399e-5,1.2402582127841176e-5
3,5.47190697,17.24722583,2149,0.5754929106157978,0.5755578663355466,0.08209132378747303,0.08532065712769776,0.07970048166982896,-5.0259004,-5.026114,-5.0290403,false,,0.4459447181839719,0.44596603078245234,0.5280461080335008,0.9999836650490673,0.999735260557455,0.00011839798114144245,1.383399506815181e-5
4,5.247270313,22.494496143,2149,0.5753995915094207,0.5755671169206111,0.08207599889964207,0.0853054788053828,0.07968483388399145,-5.0257974,-5.026007,-5.0289383,false,,0.44591840464604066,0.44598632283503126,0.5280460927433503,0.999982602236908,0.9993144247564375,0.00026222940685188703,1.4412672345949643e-5
5,5.478101943,27.972598085999998,2149,0.5751791582311491,0.5755890347677406,0.08203981461929277,0.08526951362103852,0.07964778980482917,-5.0255556,-5.0257535,-5.028697,false,,0.44584776073524085,0.4460480811771346,0.5280461262745864,0.9999820861092199,0.9982707174640902,0.0005610246400260508,1.4652502542286215e-5
6,5.237678795,33.210276881,2149,0.5746595928897401,0.5756409877748131,0.08195543184738563,0.08518541695894227,0.0795611381362814,-5.0249844,-5.025155,-5.0281277,false,,0.4456626955949336,0.44622438742484116,0.5280461057007377,0.9999818263579936,0.9956958385478547,0.0011804158086956707,1.476617689171672e-5
7,5.463773863,38.674050744,2149,0.5734491241263985,0.5757653488589932,0.08175773218570676,0.08498791963821128,0.07935758165439277,-5.023653,-5.023758,-5.0268006,false,,0.4451935975039912,0.4467054203681675,0.5280461246337286,0.999981675572524,0.9894242984830105,0.0024583233881847843,1.4853809406719288e-5
8,5.234112846,43.90816359,2149,0.570725833851919,0.5760677654785263,0.08129256420080044,0.08452230614362427,0.07887778420190089,-5.0206475,-5.0206013,-5.0238075,false,,0.4440670603875596,0.44795844076910124,0.5280461285707057,0.9999815452461842,0.9746088899904514,0.005067382311751652,1.499033902716857e-5
9,5.469840404,49.378003994000004,2149,0.5651002210167265,0.5768226400532678,0.08019633202977594,0.0834235415282949,0.07774702977147524,-5.014386,-5.014014,-5.0175753,false,,0.441640765448345,0.4510148028155417,0.5280461142407726,0.9999813540282754,0.9419721914291944,0.010273353752870463,1.5284460748807046e-5
