iter,time,total_time,circuit_size,cross_entropy_D,cross_entropy_Df,train_discrimination,valid_discrimination,test_discrimination,train_mll,valid_mll,test_mll,struct?,stop?,P(D),P(Df),P(S),"P(D|Df,S)","P(D|Df,notS)","P(D|notDf,S)","P(D|notDf,notS)"
0,9.75e-6,9.75e-6,2208,0.5562297497075422,0.5562297497075422,0.07186188627462381,0.06362798772664324,0.07058252344604232,-5.00236,-4.997696,-4.993418,false,,0.49576944917660415,0.49576944917660415,0.5273234904410372,1.0,1.0,0.0,0.0
1,6.297195153,6.297204903,2208,0.556227610502377,0.5562297488807283,0.0718618909487393,0.06362799012665277,0.07058252959953953,-5.0023575,-4.997694,-4.9934154,false,,0.4957691774853036,0.4957694406144513,0.5273234744591053,0.9999904658387043,0.99998086710291,1.605961390833767e-5,1.0249471786007715e-5
2,5.144102783,11.441307686,2208,0.556221017292621,0.5562303049381782,0.07186182986903655,0.06362772061868255,0.07058242069277504,-5.0023503,-4.997687,-4.993408,false,,0.49576864331894227,0.4957699430085343,0.5273234777619794,0.9999848964714181,0.9999457528921265,4.357819111441699e-5,1.5834415292577994e-5
3,5.215108468,16.656416154,2208,0.5562082376319335,0.5562321330772161,0.07185774851789278,0.0636234349428389,0.0705782440487131,-5.0023355,-4.997672,-4.9933934,false,,0.4957674584443329,0.4957714459863375,0.5273234656863066,0.9999816424836424,0.999881320649905,9.072609466083227e-5,1.887940089534914e-5
4,5.150069427,21.806485580999997,2208,0.5561848648322991,0.5562358564121059,0.07184829258644215,0.06361370606377509,0.07056858618472839,-5.0023084,-4.997646,-4.9933653,false,,0.49576489127923196,0.4957752031766775,0.5273235004672511,0.9999797401017605,0.9997631348474333,0.00017148579072669745,2.054134665740504e-5
5,5.206370707,27.012856287999995,2208,0.5561428964305374,0.5562427926736099,0.07183014322088271,0.06359511103968918,0.07055005269404802,-5.0022597,-4.9975977,-4.9933157,false,,0.49575948207980275,0.49578387368394394,0.5273234984606987,0.9999786258020267,0.9995464951569241,0.00030976061321535416,2.1451238104096283e-5
6,5.143829418,32.156685706,2208,0.5560678866782073,0.5562552851683464,0.07179736276259413,0.06356154607000847,0.07051652963983357,-5.002172,-4.997512,-4.9932256,false,,0.4957483912319486,0.4958028947845332,0.5273235010042381,0.999977969448449,0.9991498655673382,0.0005463350681099048,2.1954321885543095e-5
7,5.202428406,37.359114112,2208,0.5559343308951759,0.556277669361569,0.07173889150382012,0.06350166282706254,0.07045664435977766,-5.0020165,-4.997359,-4.993066,false,,0.4957262573547041,0.49584317754238694,0.5273234751158704,0.9999775763877936,0.9984252987064967,0.0009505635924342559,2.2241329312098074e-5
8,5.157924569,42.517038681,2208,0.5556977577816659,0.5563178263323004,0.07163487574956612,0.06339506521730165,0.07034996601820531,-5.0017405,-4.9970875,-4.992782,false,,0.49568291503962,0.4959258355349725,0.5273234973205264,0.9999773297802542,0.9971068975300592,0.001639686640300599,2.2420793102548315e-5
9,5.230438988,47.747477669000006,2208,0.5552822448778871,0.5563899764991664,0.07145048336971288,0.0632059910344846,0.07016059377448575,-5.001255,-4.99661,-4.9922833,false,,0.49560003432159877,0.4960909210279696,0.5273235041550913,0.9999771559096683,0.99472505991614,0.002809839483182212,2.25600553060829e-5
