iter,time,total_time,circuit_size,cross_entropy_D,cross_entropy_Df,train_discrimination,valid_discrimination,test_discrimination,train_mll,valid_mll,test_mll,struct?,stop?,P(D),P(Df),P(S),"P(D|Df,S)","P(D|Df,notS)","P(D|notDf,S)","P(D|notDf,notS)"
0,0.103026368,0.103026368,213,0.5829769369511756,0.5829769369511756,0.008450423420860498,0.002651747180941355,0.010781559031974641,-5.047118153317345,-5.064902588515255,-5.054244250900997,true,,0.4523500053631483,0.0,0.5285761156925717,0.0,0.0,0.0,0.0
1,7.010255142,7.11328151,213,0.5829769369511756,0.5829769369511756,0.008450423420860498,0.002651747180941355,0.010781559031974641,-5.047118153317345,-5.064902588515255,-5.054244250900997,true,,0.4523500053631483,0.0,0.5285761156925717,0.0,0.0,0.0,0.0
2,0.791272773,7.904554283,216,0.580084476642982,0.580084476642982,0.008592949208826861,0.003097025489807226,0.011836193306289489,-5.0415587223229075,-5.0605942972812565,-5.050248608880154,true,,0.4523500053631483,0.0,0.5285761156925717,0.0,0.0,0.0,0.0
3,0.011830491,7.916384774000001,216,0.580084476642982,0.580084476642982,0.008592949208826861,0.003097025489807226,0.011836193306289489,-5.0415587223229075,-5.0605942972812565,-5.050248608880154,true,,0.4523500053631483,0.0,0.5285761156925717,0.0,0.0,0.0,0.0
4,0.558647066,8.475031840000002,218,0.5800844769865763,0.5800844769865763,0.0085929511011138,0.0030970269081169177,0.011836195802667704,-5.0415587223229075,-5.0605942972812565,-5.050248608880154,true,,0.4523500053631483,0.0,0.5285761156925717,0.0,0.0,0.0,0.0
5,0.011917815,8.486949655000002,218,0.5800844769865763,0.5800844769865763,0.0085929511011138,0.0030970269081169177,0.011836195802667704,-5.0415587223229075,-5.0605942972812565,-5.050248608880154,true,,0.4523500053631483,0.0,0.5285761156925717,0.0,0.0,0.0,0.0
6,0.013983249,8.500932904000003,221,0.5801911913246522,0.5801911913246522,0.008170014439283224,0.002704828672419557,0.011568079130391873,-5.041407400752702,-5.06053201524965,-5.049962143531731,true,,0.4523500053631483,0.0,0.5285761156925717,0.0,0.0,0.0,0.0
7,0.410265569,8.911198473000002,235,0.5805187498082126,0.5805187498082126,0.009128958958592115,0.00381832949973665,0.012714193356507641,-5.040470381172351,-5.059471456473761,-5.048808879949485,true,,0.4523500053631483,0.0,0.5285761156925717,0.0,0.0,0.0,0.0
8,0.446623475,9.357821948000002,237,0.5805186879565248,0.5805186879565248,0.009128256084215525,0.003817644674337539,0.012713500494096253,-5.04047038105465,-5.059471495409348,-5.048808905095806,true,,0.4523500053631483,0.0,0.5285761156925717,0.0,0.0,0.0,0.0
9,0.012414943,9.370236891000001,237,0.5805186879565248,0.5805186879565248,0.009128256084215525,0.003817644674337539,0.012713500494096253,-5.04047038105465,-5.059471495409348,-5.048808905095806,true,,0.4523500053631483,0.0,0.5285761156925717,0.0,0.0,0.0,0.0
10,0.013979419,9.384216310000001,239,0.5805186890018981,0.5805186890018981,0.009128230981497787,0.003817620235221586,0.012713475138347197,-5.04047038105465,-5.059471495409348,-5.048808905095806,true,,0.4523500053631483,0.0,0.5285761156925717,0.0,0.0,0.0,0.0
11,0.235438122,9.619654432,240,0.5805501979358859,0.5805501979358859,0.00922835060874666,0.003973534962479264,0.012875092206152183,-5.040387873465352,-5.059381163574697,-5.048634479013887,true,,0.4523500053631483,0.0,0.5285761156925717,0.0,0.0,0.0,0.0
12,0.018792596,9.638447028000002,262,0.5804828052112602,0.5804828052112602,0.006674796618979684,0.0009501609314265802,0.010284851589510646,-5.038008767761728,-5.056614063756435,-5.046667605260889,true,,0.4523500053631483,0.0,0.5285761156925717,0.0,0.0,0.0,0.0
13,0.043803874,9.682250902000002,264,0.5804828579079259,0.5804828579079259,0.006674221502765254,0.0009495768647914682,0.010284268628412085,-5.038008767754948,-5.056614040489232,-5.046667587134127,true,,0.4523500053631483,0.0,0.5285761156925717,0.0,0.0,0.0,0.0
14,0.012368691,9.694619593000002,265,0.5804333373498981,0.5804333373498981,0.006778961465243427,0.0010160165846186398,0.010404062568039496,-5.037931925470517,-5.056481530147715,-5.046665798618826,true,,0.4523500053631483,0.0,0.5285761156925717,0.0,0.0,0.0,0.0
15,0.01790509,9.712524683000002,267,0.5804333373380622,0.5804333373380622,0.00677896243811188,0.0010160180599458335,0.010404063592936108,-5.037931925470517,-5.056481530147715,-5.046665798618826,true,,0.4523500053631483,0.0,0.5285761156925717,0.0,0.0,0.0,0.0
16,0.018293799,9.730818482000002,269,0.5804332926336476,0.5804332926336476,0.006779680269018706,0.0010165992943222402,0.010404579266928393,-5.037931924413497,-5.056481609874608,-5.046666115326651,true,,0.4523500053631483,0.0,0.5285761156925717,0.0,0.0,0.0,0.0
17,0.161344318,9.892162800000001,272,0.5801719967571121,0.5801719967571121,0.006672388132137996,0.0007557871147757522,0.010066236945695584,-5.037600174962642,-5.05644999606563,-5.04679197525371,true,,0.4523500053631483,0.0,0.5285761156925717,0.0,0.0,0.0,0.0
18,0.018152,9.910314800000002,274,0.5801717838891928,0.5801717838891928,0.006671655088626494,0.0007549557932521322,0.010065477153716362,-5.037600174756983,-5.0564502890183896,-5.046792078816537,true,,0.4523500053631483,0.0,0.5285761156925717,0.0,0.0,0.0,0.0
19,0.013756977,9.924071777000002,282,0.5801179306538443,0.5801179306538443,0.006740472622367322,0.0008118642224126393,0.010226060411901994,-5.0375617546131455,-5.0564887814198345,-5.046749325161554,true,,0.4523500053631483,0.0,0.5285761156925717,0.0,0.0,0.0,0.0
20,0.01510038,9.939172157000002,297,0.5813637568192279,0.5813637568192279,0.008809212756624718,0.003071695133578134,0.012491222713626071,-5.035992676769716,-5.054434994592902,-5.045138876715905,true,,0.4523500053631483,0.0,0.5285761156925717,0.0,0.0,0.0,0.0
21,0.04916459,9.988336747000002,299,0.5813637575204635,0.5813637575204635,0.008809201236171349,0.0030716841755317748,0.012491211777111932,-5.035992676769716,-5.054434994592902,-5.045138876715905,true,,0.4523500053631483,0.0,0.5285761156925717,0.0,0.0,0.0,0.0
22,0.018994846,10.007331593000002,301,0.5813637377286879,0.5813637377286879,0.008809546466648832,0.0030719582817059776,0.012491453022991983,-5.035992676389172,-5.054435038254986,-5.045139043364143,true,,0.4523500053631483,0.0,0.5285761156925717,0.0,0.0,0.0,0.0
23,0.104375575,10.111707168000002,327,0.579925884603111,0.579925884603111,0.006778516569095117,0.000519994044886396,0.010180513600668906,-5.033046682094653,-5.051446254652369,-5.0415682534076565,true,,0.4523500053631483,0.0,0.5285761156925717,0.0,0.0,0.0,0.0
24,0.021221352,10.132928520000002,329,0.579925898004592,0.579925898004592,0.0067788507069180826,0.0005203461670049148,0.010180839954733567,-5.033046682079816,-5.051446241175856,-5.041568267344545,true,,0.4523500053631483,0.0,0.5285761156925717,0.0,0.0,0.0,0.0
25,0.01541566,10.148344180000002,330,0.579915761346243,0.579915761346243,0.006861849634684225,0.000619372027043541,0.010332628191474735,-5.032862881037063,-5.051204174484099,-5.04122201799437,true,,0.4523500053631483,0.0,0.5285761156925717,0.0,0.0,0.0,0.0
26,0.015357253,10.163701433000002,331,0.5799138325050585,0.5799138325050585,0.00678151609197053,0.0005228294758974905,0.010227467535493251,-5.032831467087561,-5.051169743041015,-5.041201830606052,true,,0.4523500053631483,0.0,0.5285761156925717,0.0,0.0,0.0,0.0
27,0.160021097,10.323722530000001,352,0.5799875658041003,0.5799875658041003,0.006981093180606246,0.0006602334423191358,0.010345201103926338,-5.0326100015570825,-5.051082098355884,-5.041093849719299,true,,0.4523500053631483,0.0,0.5285761156925717,0.0,0.0,0.0,0.0
