iter,time,total_time,circuit_size,cross_entropy_D,cross_entropy_Df,train_discrimination,valid_discrimination,test_discrimination,train_mll,valid_mll,test_mll,struct?,stop?,P(D),P(Df),P(S),"P(D|Df,S)","P(D|Df,notS)","P(D|notDf,S)","P(D|notDf,notS)"
0,1.221e-5,1.221e-5,2025,0.5772095079666185,0.5772095079666185,0.0048398241410050336,0.00936619203714728,0.004766952399851032,-5.01225,-5.0109396,-5.0139585,false,,0.45242572039699913,0.45242572039699913,0.5280461104556151,1.0,1.0,0.0,0.0
1,13.420058359,13.420070569,2025,0.5772094185577182,0.5772095078039517,0.004839835646507862,0.009366204371758502,0.004766963825468873,-5.01225,-5.01094,-5.0139585,false,,0.45242569292047263,0.45242571420151034,0.5280461072049971,0.999987159403106,0.9999847407458589,1.1172684496664803e-5,1.1895132116909918e-5
2,10.927769144,24.347839713,2025,0.5772093374559861,0.5772095640770266,0.004839829421270037,0.009366385646557063,0.004766960121701358,-5.01225,-5.01094,-5.0139585,false,,0.4524256662918644,0.4524256861699,0.5280461038826572,0.9999749633132657,0.999968558642182,2.316903765471225e-5,2.312315924522441e-5
3,11.106048946,35.453888659,2025,0.577209223201795,0.5772096354052914,0.004839474211387196,0.009366226636782549,0.004766611726367387,-5.01225,-5.010939,-5.0139585,false,,0.4524256610941696,0.4524256494227852,0.5280461252660255,0.9999633791859543,0.9999513981196874,3.6049223884414825e-5,3.3721637596400635e-5
4,10.916019327,46.369907986,2025,0.5772090670793782,0.577209716274011,0.004838944736506978,0.009365901198126636,0.004766086228662703,-5.01225,-5.010939,-5.013958,false,,0.4524256277373105,0.45242554651642464,0.5280461118049696,0.9999523760135735,0.9999332004311751,4.987762871043817e-5,4.372609832884118e-5
5,11.103003907,57.472911893,2025,0.5772088738257919,0.5772098125354505,0.00483809898996207,0.009365270699784156,0.004765248709890424,-5.01225,-5.010939,-5.013958,false,,0.45242560242896257,0.4524254053659619,0.528046110296507,0.9999419243170408,0.9999139034872856,6.472304579982144e-5,5.317020387545087e-5
6,10.931112487,68.40402438000001,2025,0.5772086432095223,0.5772099256355687,0.004836885018851544,0.00936428239618553,0.004764044094291764,-5.0122495,-5.010938,-5.0139575,false,,0.4524256004473635,0.45242523249571664,0.5280461257045002,0.9999319959252781,0.9998934416007793,8.06590999698727e-5,6.208575759146534e-5
7,11.100175111,79.50419949100001,2025,0.57720836918484,0.5772100516374583,0.004835479201188653,0.009363113303926307,0.004762646956492034,-5.012249,-5.010938,-5.0139575,false,,0.45242554730139095,0.45242494404310596,0.5280461255698666,0.9999225640873798,0.9998717455450971,9.776445995263934e-5,7.050286162920568e-5
8,10.911945677,90.41614516800001,2025,0.577208054033942,0.5772101959881657,0.004833738983055669,0.00936162461858453,0.004760921609707092,-5.0122485,-5.0109377,-5.013957,false,,0.452425525266621,0.4524246123507366,0.528046111501322,0.9999136033361951,0.999848742239288,0.00011612303366073383,7.845001737417386e-5
9,11.085994382,101.50213955000001,2025,0.5772076947553055,0.5772103583016309,0.0048316945381052245,0.009359846631961544,0.0047588899773768345,-5.012248,-5.010937,-5.013957,false,,0.45242551020430033,0.45242420269801364,0.5280461139937462,0.9999050893357498,0.9998243544022566,0.000135824444899673,8.595418872823036e-5
10,10.90178224,112.40392179000001,2025,0.5772072918663268,0.5772105413334483,0.004829304665171952,0.009357734073100754,0.004756521214922205,-5.0122476,-5.0109363,-5.0139565,false,,0.45242549597200665,0.45242369754392386,0.5280461096728122,0.9998969989173219,0.9997985007105361,0.00015696447128002542,9.304088566968435e-5
11,11.099337907,123.50325969700002,2025,0.5772068402712949,0.577210744845505,0.004826632631243333,0.009355357866729308,0.0047538703696065054,-5.012247,-5.0109353,-5.0139556,false,,0.45242545883888263,0.4524230610761454,0.5280461198307571,0.9998893100628332,0.999771095254679,0.00017964488407091838,9.973423560484842e-5
