iter,time,total_time,circuit_size,cross_entropy_D,cross_entropy_Df,train_discrimination,valid_discrimination,test_discrimination,train_mll,valid_mll,test_mll,struct?,stop?,P(D),P(Df),P(S),"P(D|Df,S)","P(D|Df,notS)","P(D|notDf,S)","P(D|notDf,notS)"
0,1.0826e-5,1.0826e-5,1652,0.5619624294482534,0.5619624294482534,-0.06651601240848837,-0.0474614248140699,-0.060193075631408854,-7.5887685,-7.612051,-7.553745,false,,0.592704604369831,0.592704604369831,0.3038513763732873,1.0,1.0,0.0,0.0
1,3.517307519,3.517318345,1652,0.5618569083613324,0.5619624221076732,-0.06651607968088802,-0.047461501253642124,-0.06019315114548007,-7.5886626,-7.61188,-7.5536227,false,,0.5926867626375676,0.5927045896529454,0.303851406240376,0.9995543671899206,0.9998641673233073,0.00037285607636081835,0.00025510207237501933
2,0.846921044,4.364239389,1652,0.5617155244761419,0.5620505143750959,-0.06657452376510575,-0.047493661705554024,-0.060225270003771425,-7.5884337,-7.611623,-7.553349,false,,0.5926501860509734,0.5927590436246348,0.3038513469793508,0.9985165620260139,0.9997339548281932,0.0007221998054511737,0.0006304861547065182
3,0.936806894,5.301046283,1652,0.5613876993973463,0.5622202227729962,-0.06653783795597734,-0.04740386161176591,-0.06013700462756466,-7.5879374,-7.611138,-7.552761,false,,0.5925661357037924,0.5929602015113511,0.3038513429053795,0.9961280477441548,0.9996089192564789,0.001051118846876838,0.0011821782838133202
4,0.963915538,6.264961821,1652,0.5606832039953848,0.5625712562125377,-0.06630649136795796,-0.04706155693359926,-0.05980266705304116,-7.5869,-7.6101837,-7.5515256,false,,0.5923749814743972,0.593515669422211,0.3038513854760998,0.9907871521337884,0.9994882722554072,0.001368274299696449,0.001990287612008255
5,0.866155817,7.131117638,1652,0.5593243689503828,0.5633186683477719,-0.065658367960988,-0.04619311665131842,-0.05896730683412155,-7.584889,-7.6084065,-7.5491133,false,,0.5919778994894151,0.5948300114271092,0.30385135922225326,0.9795682712772321,0.9993704139851736,0.0016950065100927005,0.003165114084008889
6,0.851284587,7.982402225,1652,0.5571445538203882,0.5648784108487703,-0.06414799611429245,-0.04430470095662897,-0.05719048716671338,-7.581554,-7.605595,-7.5450587,false,,0.5912892583292775,0.5974912273268778,0.30385139870178657,0.9586714467614451,0.9992519648385453,0.002079007977958814,0.004846581624235006
7,0.859706588,8.842108813000001,1652,0.5544894935320828,0.5678650680435714,-0.061131770404648345,-0.04077914367334401,-0.05394784708997047,-7.5771933,-7.6022077,-7.5396447,false,,0.5904048890930064,0.6018818016406424,0.3038513732294176,0.926630086662206,0.9991262695478674,0.0026129744206889204,0.00718447396339956
8,0.860006733,9.702115546000002,1652,0.5521550997978856,0.5727510825423981,-0.05629836102050856,-0.03542558918447514,-0.04910669600961759,-7.572878,-7.599265,-7.5341225,false,,0.5896678916363048,0.607488402618813,0.30385137721826794,0.8883249265786043,0.9989824091407856,0.0034429166196121505,0.010294321659570912
9,0.852212294,10.554327840000001,1652,0.5506258451588221,0.5793196568825817,-0.050318682106001766,-0.029012944358411286,-0.0433590163648957,-7.5695167,-7.5973296,-7.52966,false,,0.5893414576817462,0.6129660041255649,0.30385137817001995,0.8523183427664996,0.9988067062383585,0.004741960879586593,0.01422536025721009
10,0.890716532,11.445044372000002,1652,0.5497994539225335,0.5866799874968719,-0.04440155394038525,-0.022761299324828288,-0.03777902281808232,-7.56722,-7.5961795,-7.526508,false,,0.589370924037912,0.6171784480788151,0.30385138854004035,0.8238418004663561,0.998586029987934,0.006653973800710748,0.01899068061817279
11,0.85329089,12.298335262000002,1652,0.5493777046478336,0.5938997607923056,-0.03935389705852532,-0.017448268983401016,-0.03306081084647794,-7.565664,-7.595389,-7.524328,false,,0.5895720145592156,0.6197501602473864,0.3038513820855987,0.8033293404063239,0.9983090479126528,0.009241519828412845,0.024627176055178997
12,0.801696986,13.100032248000002,1652,0.5491410437833164,0.6004212021144888,-0.03536784273453575,-0.013238897618765955,-0.02936127944220157,-7.564518,-7.5946865,-7.5227213,false,,0.5898175158427562,0.620796804085981,0.30385140504306063,0.789125672546555,0.9979646710859109,0.012458247324668121,0.031222143650628607
13,0.81207172,13.912103968000002,1652,0.5489749557755315,0.6060414595620524,-0.0322909384366028,-0.0099657895877997,-0.026534058938646132,-7.5635657,-7.5939617,-7.5214095,false,,0.5900567946328159,0.6205701656328222,0.3038513794692076,0.7794373173025374,0.9975398238044664,0.01615477641850447,0.03890557389899592
14,0.854043109,14.766147077000003,1652,0.5488268451076804,0.6107665068307236,-0.029863439729984287,-0.00736329021994464,-0.024333494930632305,-7.5626826,-7.593187,-7.520231,false,,0.5902827223922119,0.6192981802523371,0.3038513668104248,0.7729056421044052,0.9970174383921584,0.020118632705910175,0.04783142546386469
15,0.852753013,15.618900090000002,1652,0.5486722208631811,0.6147006319697577,-0.02783220434330058,-0.005177391860675673,-0.022515895339106584,-7.561792,-7.5923653,-7.5190854,false,,0.5905043867639611,0.617145434655771,0.3038514013119388,0.768607689063602,0.9963743610617004,0.02413139513629059,0.058156910561042156
