S train_x,D train_x,P(Df|e) train_x,P(D|e) train_x,P(Df) train_x,S valid_x,D valid_x,P(Df|e) valid_x,P(D|e) valid_x,P(Df) valid_x,S test_x,D test_x,P(Df|e) test_x,P(D|e) test_x,P(Df) test_x
0,1,0.9985623955726624,1.0,0.5209286,0,1,0.9772748351097107,1.0,0.5209286,0,0,0.025235852226614952,1.0,0.5209286
0,0,0.00156020384747535,0.0,0.5209286,0,1,0.8177609443664551,0.0,0.5209286,0,0,0.04585156589746475,0.9999997615814209,0.5209286
0,0,0.1915246844291687,0.0,0.5209286,0,0,0.008232304826378822,0.0,0.5209286,0,1,0.885957658290863,0.9999995231628418,0.5209286
0,0,0.40351399779319763,0.9999999403953552,0.5209286,0,1,0.9950493574142456,1.0,0.5209286,0,0,0.07617747783660889,0.0,0.5209286
1,1,0.8897382616996765,0.0,0.5209286,0,1,0.9455041885375977,1.0,0.5209286,0,0,0.00583505118265748,0.0,0.5209286
0,0,0.021343395113945007,0.0,0.5209286,0,1,0.8476107716560364,0.9999998807907104,0.5209286,0,1,0.9749554991722107,0.9999998807907104,0.5209286
0,1,0.9967841506004333,1.0,0.5209286,1,0,0.0373966246843338,0.0,0.5209286,1,0,0.0014368090778589249,0.0,0.5209286
0,0,0.18468764424324036,0.0,0.5209286,1,0,0.7877075672149658,0.0,0.5209286,1,1,0.9908869862556458,1.0,0.5209286
0,1,0.41700276732444763,1.0,0.5209286,0,0,0.02632170170545578,0.0,0.5209286,0,0,0.5919980406761169,1.0,0.5209286
0,0,0.7028367519378662,0.9999997615814209,0.5209286,1,0,0.0014916269574314356,0.0,0.5209286,0,0,0.25395074486732483,0.9999999403953552,0.5209286
0,1,0.9817755222320557,0.9999998807907104,0.5209286,0,0,0.046284619718790054,0.0,0.5209286,0,0,0.007941282354295254,0.0,0.5209286
1,1,0.8955875635147095,0.0,0.5209286,0,1,0.8880597352981567,1.0,0.5209286,0,1,0.9616910815238953,1.0,0.5209286
0,1,0.9837183952331543,0.9999998211860657,0.5209286,1,0,0.34473589062690735,0.0,0.5209286,1,0,0.0012022507144138217,0.0,0.5209286
0,1,0.9525560140609741,0.9999997615814209,0.5209286,1,0,0.4102232754230499,0.9999998211860657,0.5209286,0,1,0.9950493574142456,1.0,0.5209286
1,0,0.4655779004096985,0.0,0.5209286,0,0,0.0016412740806117654,0.0,0.5209286,1,1,0.6292232275009155,0.0,0.5209286
0,1,0.5607635378837585,1.0,0.5209286,0,1,0.9030263423919678,0.9999997615814209,0.5209286,0,1,0.959848940372467,0.9999997615814209,0.5209286
1,1,0.9987371563911438,0.9999998211860657,0.5209286,0,1,0.9727938175201416,1.0,0.5209286,1,0,0.5136422514915466,1.0,0.5209286
0,0,0.01518909353762865,0.0,0.5209286,1,0,0.0008493564673699439,0.0,0.5209286,0,0,0.024257512763142586,1.0,0.5209286
0,0,0.0018261221703141928,0.0,0.5209286,0,1,0.8511697053909302,0.9999998807907104,0.5209286,0,0,0.8752076625823975,1.0,0.5209286
0,1,0.9964900016784668,1.0,0.5209286,0,1,0.9468333125114441,0.0,0.5209286,0,0,0.10568901151418686,0.0,0.5209286
1,1,0.9994394183158875,1.0,0.5209286,0,1,0.8844069242477417,1.0,0.5209286,1,0,0.020521992817521095,0.9999995231628418,0.5209286
0,1,0.9780197739601135,1.0,0.5209286,0,0,0.5571844577789307,0.9999999403953552,0.5209286,0,0,0.0015342195983976126,0.0,0.5209286
1,1,0.9982367753982544,1.0,0.5209286,0,1,0.9853070378303528,0.9999999403953552,0.5209286,1,1,0.9909857511520386,1.0,0.5209286
0,1,0.9711683988571167,1.0,0.5209286,1,0,0.006075686309486628,0.0,0.5209286,1,0,0.2267838418483734,0.0,0.5209286
0,1,0.8710982799530029,0.9999997019767761,0.5209286,0,0,0.006867500022053719,0.0,0.5209286,0,0,0.012039856053888798,0.0,0.5209286
0,0,0.3461676836013794,1.0,0.5209286,0,0,0.026920795440673828,0.9999997019767761,0.5209286,0,0,0.00885112676769495,0.0,0.5209286
0,0,0.049150045961141586,0.0,0.5209286,1,1,0.9533898234367371,0.9999995231628418,0.5209286,1,0,0.0264715738594532,0.0,0.5209286
0,1,0.9847659468650818,0.9999999403953552,0.5209286,1,0,0.11566945910453796,0.0,0.5209286,1,0,0.06188376620411873,0.0,0.5209286
1,0,0.8890902400016785,0.0,0.5209286,0,1,0.7920646071434021,0.9999995231628418,0.5209286,1,1,0.983857274055481,1.0,0.5209286
0,1,0.9970175623893738,1.0,0.5209286,0,1,0.9802505970001221,0.9999998807907104,0.5209286,0,0,0.006695736665278673,0.0,0.5209286
0,0,0.11238740384578705,1.0,0.5209286,0,1,0.9736676812171936,0.9999998807907104,0.5209286,0,1,0.9819361567497253,0.9999998211860657,0.5209286
1,1,0.9995051622390747,1.0,0.5209286,0,0,0.021070780232548714,0.0,0.5209286,0,1,0.9932276010513306,1.0,0.5209286
