S train_x,D train_x,P(Df|e) train_x,P(D|e) train_x,P(Df) train_x,S valid_x,D valid_x,P(Df|e) valid_x,P(D|e) valid_x,P(Df) valid_x,S test_x,D test_x,P(Df|e) test_x,P(D|e) test_x,P(Df) test_x
0,0,,0.3423096835613251,,0,1,,0.9085336923599243,,0,1,,0.9516367316246033,
0,0,,0.531850278377533,,0,1,,0.9162673950195312,,1,0,,0.8532446026802063,
0,1,,0.4221777319908142,,0,1,,0.8327471613883972,,1,1,,0.881995439529419,
1,0,,0.8528170585632324,,0,1,,0.6106011867523193,,0,1,,0.9264577627182007,
0,0,,0.31978723406791687,,1,0,,0.18784229457378387,,1,0,,0.39400404691696167,
0,0,,0.6209675073623657,,0,1,,0.42395317554473877,,0,1,,0.29423707723617554,
0,1,,0.30016544461250305,,1,0,,0.7495070099830627,,0,1,,0.6737045645713806,
0,1,,0.47296613454818726,,0,1,,0.8586223125457764,,0,0,,0.20134615898132324,
0,1,,0.6680130958557129,,0,1,,0.2831919193267822,,0,0,,0.8327630162239075,
0,1,,0.308305025100708,,1,0,,0.2859185039997101,,0,1,,0.5080216526985168,
0,1,,0.47726038098335266,,1,0,,0.16491073369979858,,0,1,,0.8705623149871826,
0,0,,0.4979434013366699,,0,1,,0.32268226146698,,0,0,,0.36593958735466003,
0,1,,0.8077765107154846,,1,1,,0.1314505934715271,,1,0,,0.21691778302192688,
1,0,,0.8445756435394287,,0,1,,0.8867849111557007,,1,0,,0.177237406373024,
0,1,,0.6723544001579285,,0,0,,0.7029558420181274,,0,1,,0.41696861386299133,
0,0,,0.20913918316364288,,0,1,,0.4564529359340668,,0,0,,0.5938587784767151,
1,1,,0.8601318597793579,,1,0,,0.25764796137809753,,1,0,,0.015318569727241993,
0,0,,0.2923705279827118,,0,1,,0.7618192434310913,,0,0,,0.3209298551082611,
0,1,,0.9022908210754395,,1,0,,0.8099830150604248,,0,0,,0.5175484418869019,
0,0,,0.18353620171546936,,0,0,,0.544424831867218,,0,0,,0.3190683126449585,
0,1,,0.8823884725570679,,1,0,,0.09376108646392822,,0,1,,0.42438966035842896,
1,1,,0.8828420042991638,,0,0,,0.23274236917495728,,0,1,,0.24834364652633667,
0,1,,0.7515803575515747,,0,0,,0.24706199765205383,,0,1,,0.4853594899177551,
0,1,,0.8519006371498108,,1,0,,0.1430646777153015,,0,1,,0.42438966035842896,
0,1,,0.5035327076911926,,0,1,,0.93232661485672,,1,0,,0.11712465435266495,
0,1,,0.3718090057373047,,0,0,,0.35175490379333496,,0,1,,0.9042238593101501,
0,0,,0.43121322989463806,,1,1,,0.9053886532783508,,0,0,,0.38610488176345825,
0,1,,0.9228084683418274,,0,1,,0.8594263792037964,,0,1,,0.6437966823577881,
1,0,,0.867241382598877,,0,1,,0.6383402347564697,,0,0,,0.34722673892974854,
0,1,,0.29423707723617554,,1,0,,0.22029350697994232,,0,1,,0.883297324180603,
1,1,,0.8993745446205139,,0,1,,0.8327630162239075,,0,1,,0.8339797854423523,
0,0,,0.18353620171546936,,0,1,,0.8782528638839722,,1,0,,0.09040378779172897,
0,1,,0.30016544461250305,,1,0,,0.897946298122406,,1,0,,0.15006330609321594,
0,1,,0.8644908666610718,,0,0,,0.47718462347984314,,0,1,,0.6479420065879822,
0,0,,0.6607378721237183,,0,0,,0.30016544461250305,,0,1,,0.787747859954834,
1,1,,0.5754072666168213,,0,1,,0.7729336619377136,,1,0,,0.21691778302192688,
1,0,,0.5034639835357666,,0,1,,0.7642846703529358,,0,1,,0.8316459655761719,
1,0,,0.14820799231529236,,0,1,,0.20331518352031708,,0,1,,0.3934110403060913,
0,1,,0.846493661403656,,0,0,,0.45044273138046265,,0,0,,0.5707778930664062,
0,0,,0.8890920281410217,,1,1,,0.7112857103347778,,1,0,,0.21651610732078552,
1,0,,0.03397343307733536,,0,1,,0.2568981945514679,,1,0,,0.0802319198846817,
