S train_x,D train_x,P(Df|e) train_x,P(D|e) train_x,P(Df) train_x,S valid_x,D valid_x,P(Df|e) valid_x,P(D|e) valid_x,P(Df) valid_x,S test_x,D test_x,P(Df|e) test_x,P(D|e) test_x,P(Df) test_x
0,0,0.001067421049810946,0.0,0.5224625,1,1,0.9997453093528748,0.9999998211860657,0.5224625,0,1,0.007629675325006247,1.0,0.5224625
0,0,0.43923482298851013,0.0,0.5224625,1,1,0.9995307922363281,1.0,0.5224625,1,0,0.009594067931175232,0.0,0.5224625
0,1,0.9999755620956421,1.0,0.5224625,0,1,0.001971810357645154,0.9999991655349731,0.5224625,0,1,0.9999183416366577,1.0,0.5224625
1,0,0.0033122901804745197,0.0,0.5224625,0,1,0.9992948770523071,1.0,0.5224625,0,0,0.056489601731300354,0.0,0.5224625
0,0,0.0023653400130569935,0.0,0.5224625,0,1,0.9991948008537292,1.0,0.5224625,0,1,0.2743366062641144,1.0,0.5224625
0,1,0.4904516041278839,1.0,0.5224625,0,1,0.9746541976928711,1.0,0.5224625,0,1,0.5003777146339417,1.0,0.5224625
0,0,0.7679232954978943,0.0,0.5224625,0,0,0.002142706187441945,0.0,0.5224625,1,0,0.0004074662283528596,0.0,0.5224625
1,1,0.1248423233628273,0.9999998807907104,0.5224625,0,1,0.9970635175704956,1.0,0.5224625,1,0,3.487386129563674e-5,0.0,0.5224625
0,1,0.9812666773796082,1.0,0.5224625,1,1,0.9975224733352661,1.0,0.5224625,0,0,0.012662244029343128,0.0,0.5224625
1,0,7.836455915821716e-5,0.0,0.5224625,1,1,0.9987418055534363,0.9999999403953552,0.5224625,0,1,0.969448983669281,1.0,0.5224625
0,1,0.9985565543174744,1.0,0.5224625,1,0,3.098188972217031e-5,0.0,0.5224625,0,0,0.001885892590507865,0.0,0.5224625
0,0,0.000831141893286258,0.0,0.5224625,0,1,0.9996866583824158,1.0,0.5224625,0,1,0.9997286200523376,1.0,0.5224625
1,0,0.0014592622173950076,0.0,0.5224625,0,1,0.9983137845993042,1.0,0.5224625,1,1,0.9985418319702148,0.9999993443489075,0.5224625
0,1,0.035682562738657,0.9999992847442627,0.5224625,0,1,0.9693657755851746,1.0,0.5224625,1,1,0.99998939037323,0.9999998807907104,0.5224625
0,0,0.012931060045957565,0.0,0.5224625,1,0,0.0012937351129949093,0.0,0.5224625,0,1,0.5530875325202942,0.9999998807907104,0.5224625
0,1,0.01075032539665699,0.9999991059303284,0.5224625,0,1,0.7817656993865967,1.0,0.5224625,0,0,0.0019798337016254663,0.0,0.5224625
0,1,0.9653545618057251,1.0,0.5224625,0,1,0.9993873238563538,1.0,0.5224625,0,1,0.9724074006080627,1.0,0.5224625
1,1,0.9865725040435791,0.9999995231628418,0.5224625,1,0,4.2007395677501336e-6,0.0,0.5224625,1,0,0.03001500852406025,0.0,0.5224625
0,1,0.9997333884239197,1.0,0.5224625,0,1,0.9338289499282837,1.0,0.5224625,0,1,0.9634149074554443,1.0,0.5224625
1,0,0.9880403876304626,0.0,0.5224625,0,1,0.9981871843338013,1.0,0.5224625,0,1,0.9996771216392517,1.0,0.5224625
0,1,0.964044451713562,1.0,0.5224625,0,1,0.03761701658368111,1.0,0.5224625,0,1,0.9963971972465515,1.0,0.5224625
0,1,0.052274640649557114,0.9999991655349731,0.5224625,0,0,0.038620591163635254,0.0,0.5224625,0,0,0.061021193861961365,0.0,0.5224625
0,1,0.9941259026527405,1.0,0.5224625,1,0,2.4787850634311326e-5,0.0,0.5224625,1,1,0.9985446929931641,1.0,0.5224625
0,1,0.7428282499313354,1.0,0.5224625,0,1,0.9853703379631042,1.0,0.5224625,0,0,0.005120465531945229,0.0,0.5224625
0,0,0.003341404488310218,0.0,0.5224625,0,0,0.007256358861923218,0.0,0.5224625,0,1,0.9997400641441345,1.0,0.5224625
0,1,0.9928041696548462,1.0,0.5224625,1,1,0.9979392290115356,0.9999998211860657,0.5224625,0,1,0.031709831207990646,1.0,0.5224625
0,1,0.008298165164887905,1.0,0.5224625,0,0,0.001888756174594164,0.0,0.5224625,1,0,0.0020838538184762,0.0,0.5224625
0,1,0.06254850327968597,1.0,0.5224625,0,0,0.852783203125,0.0,0.5224625,0,1,0.16363149881362915,1.0,0.5224625
0,0,0.0010386430658400059,0.0,0.5224625,0,1,0.06239955872297287,0.9999997615814209,0.5224625,0,1,0.9989423155784607,1.0,0.5224625
0,1,0.802730143070221,1.0,0.5224625,0,1,0.29128214716911316,1.0,0.5224625,0,1,0.8073996901512146,1.0,0.5224625
0,1,0.8474631309509277,1.0,0.5224625,0,1,0.9231942296028137,1.0,0.5224625,1,1,0.9380217790603638,0.9999997019767761,0.5224625
1,0,0.0005825534462928772,0.0,0.5224625,0,1,0.7288859486579895,1.0,0.5224625,0,1,0.9749246835708618,1.0,0.5224625
1,0,0.32649022340774536,0.0,0.5224625,1,0,1.1284437277936377e-5,0.0,0.5224625,1,0,0.9826493859291077,0.0,0.5224625
0,1,0.9998430013656616,1.0,0.5224625,0,1,0.012071605771780014,1.0,0.5224625,0,1,0.007694921921938658,1.0,0.5224625
0,1,0.9819987416267395,1.0,0.5224625,1,1,0.9928122162818909,0.9999996423721313,0.5224625,0,0,0.03504429757595062,0.0,0.5224625
0,1,0.9978511929512024,1.0,0.5224625,0,0,0.2781963348388672,0.0,0.5224625,1,0,0.0027122569736093283,0.0,0.5224625
1,0,0.0009581235353834927,0.0,0.5224625,0,0,0.0055538625456392765,0.0,0.5224625,1,0,0.0033236246090382338,0.0,0.5224625
0,1,0.9997609853744507,1.0,0.5224625,1,1,0.9939500093460083,0.9999999403953552,0.5224625,0,0,0.058593250811100006,0.0,0.5224625
0,1,0.9840396642684937,1.0,0.5224625,0,1,0.9982699751853943,1.0,0.5224625,1,1,0.9982162117958069,0.9999995827674866,0.5224625
0,1,0.14676815271377563,1.0,0.5224625,0,1,0.999900221824646,1.0,0.5224625,0,1,0.9998849630355835,1.0,0.5224625
1,0,0.0360538549721241,0.0,0.5224625,1,0,0.8334190845489502,0.0,0.5224625,0,1,0.31412139534950256,0.9999999403953552,0.5224625
0,0,0.00046477268915623426,0.0,0.5224625,1,0,0.681487500667572,0.0,0.5224625,1,0,0.007509257178753614,0.0,0.5224625
0,0,0.0038948541041463614,0.0,0.5224625,0,0,0.030584082007408142,0.0,0.5224625,1,1,0.9997166991233826,0.9999998807907104,0.5224625
0,1,0.9997133612632751,0.9999998807907104,0.5224625,0,1,0.9364151358604431,1.0,0.5224625,0,1,0.9917396306991577,0.9999996423721313,0.5224625
0,0,0.002592790871858597,0.0,0.5224625,0,1,0.9989785552024841,1.0,0.5224625,0,0,0.9981091022491455,0.0,0.5224625
0,0,1.805424653866794e-5,0.0,0.5224625,0,0,0.10805104672908783,0.0,0.5224625,0,0,0.9999374151229858,0.0,0.5224625
0,0,0.058127570897340775,0.0,0.5224625,0,0,0.7095447778701782,0.0,0.5224625,0,1,0.01314112264662981,1.0,0.5224625
0,1,0.9995131492614746,1.0,0.5224625,0,1,0.999755322933197,1.0,0.5224625,1,0,0.8751282691955566,0.0,0.5224625
1,1,0.9987913370132446,1.0,0.5224625,1,0,0.0022998396307229996,0.0,0.5224625,1,1,0.9966286420822144,0.999999463558197,0.5224625
0,0,0.003139153588563204,0.0,0.5224625,1,1,0.9974691867828369,0.9999995231628418,0.5224625,0,1,0.999415934085846,1.0,0.5224625
