S train_x,D train_x,P(Df|e) train_x,P(D|e) train_x,P(Df) train_x,S valid_x,D valid_x,P(Df|e) valid_x,P(D|e) valid_x,P(Df) valid_x,S test_x,D test_x,P(Df|e) test_x,P(D|e) test_x,P(Df) test_x
0,0,,0.0841306820511818,,1,0,,0.08450554311275482,,0,1,,0.8992058038711548,
0,0,,0.08899879455566406,,0,1,,0.6997253894805908,,0,0,,0.2837604880332947,
0,1,,0.36435672640800476,,0,1,,0.8218300938606262,,0,0,,0.182387575507164,
0,1,,0.9300963282585144,,0,0,,0.15605317056179047,,0,0,,0.3425227701663971,
1,0,,0.056181807070970535,,0,1,,0.9737533330917358,,1,1,,0.5526082515716553,
0,0,,0.21128475666046143,,0,1,,0.8577565550804138,,0,0,,0.16323146224021912,
0,0,,0.5699180364608765,,0,0,,0.30632707476615906,,0,1,,0.9610275030136108,
0,1,,0.7557188868522644,,0,0,,0.38408759236335754,,0,1,,0.8468526601791382,
1,0,,0.08969739824533463,,1,0,,0.007434058468788862,,1,0,,0.0041448092088103294,
0,1,,0.8321307897567749,,0,0,,0.20283490419387817,,0,1,,0.9264260530471802,
1,0,,0.019785718992352486,,0,1,,0.9703835844993591,,0,1,,0.805311381816864,
0,0,,0.21510356664657593,,1,0,,0.03992806002497673,,0,0,,0.3358045816421509,
1,0,,0.0492631196975708,,1,1,,0.7360851764678955,,0,1,,0.6646173596382141,
0,0,,0.36303940415382385,,0,1,,0.8091706037521362,,0,0,,0.20421083271503448,
0,1,,0.9985578656196594,,0,1,,0.9262229204177856,,0,0,,0.5064423084259033,
1,1,,0.9449248909950256,,1,0,,0.18894389271736145,,0,1,,0.831611156463623,
1,1,,0.8453055620193481,,0,1,,0.3728993833065033,,0,0,,0.3193244934082031,
0,1,,0.9196619987487793,,0,0,,0.40873438119888306,,1,0,,0.07547834515571594,
0,0,,0.27568319439888,,0,1,,0.953770637512207,,1,0,,0.21729521453380585,
1,1,,0.9636243581771851,,0,1,,0.824495255947113,,0,1,,0.3097839951515198,
0,0,,0.5201484560966492,,0,0,,0.5344655513763428,,1,1,,0.9727069735527039,
1,1,,0.9349356889724731,,0,0,,0.49432623386383057,,1,0,,0.12196541577577591,
0,1,,0.7539034485816956,,0,0,,0.166612908244133,,0,1,,0.9279903173446655,
0,0,,0.32833021879196167,,0,1,,0.9619628190994263,,1,1,,0.8929236531257629,
0,1,,0.8850884437561035,,1,1,,0.9178724884986877,,0,0,,0.2063997983932495,
0,0,,0.5575287938117981,,0,0,,0.6219511032104492,,0,0,,0.5014197826385498,
0,0,,0.2219359278678894,,0,0,,0.35787826776504517,,1,1,,0.9163550138473511,
0,1,,0.7431097626686096,,0,0,,0.5446837544441223,,1,1,,0.9581947326660156,
0,0,,0.1548101156949997,,0,1,,0.9325699806213379,,0,0,,0.11778129637241364,
0,0,,0.19400528073310852,,0,1,,0.8379026055335999,,0,1,,0.5931779146194458,
0,1,,0.5786610841751099,,1,1,,0.8810281157493591,,0,0,,0.5543450713157654,
0,1,,0.46420252323150635,,0,0,,0.6552681922912598,,1,1,,0.8407230377197266,
1,0,,0.030633676797151566,,0,1,,0.9078898429870605,,0,0,,0.7018439173698425,
0,1,,0.9386641979217529,,1,0,,0.34703150391578674,,1,0,,0.5617641806602478,
0,1,,0.9306517839431763,,0,0,,0.38801702857017517,,0,0,,0.13140305876731873,
0,0,,0.04528345167636871,,0,0,,0.9349145889282227,,0,1,,0.9762396812438965,
1,0,,0.04626288264989853,,0,0,,0.8581991791725159,,0,0,,0.12803365290164948,
0,1,,0.8537372350692749,,1,1,,0.9634488821029663,,0,1,,0.9248741865158081,
0,1,,0.6840842366218567,,0,1,,0.681736409664154,,0,0,,0.4775896370410919,
0,0,,0.3148854374885559,,0,0,,0.26388415694236755,,0,0,,0.5299347043037415,
0,1,,0.9635171890258789,,0,1,,0.9747902750968933,,1,1,,0.9776872396469116,
1,0,,0.40761664509773254,,0,0,,0.09932131320238113,,1,1,,0.7956238389015198,
0,0,,0.23814108967781067,,1,1,,0.9687964916229248,,1,0,,0.1811658889055252,
0,1,,0.960748016834259,,0,0,,0.42264145612716675,,0,0,,0.11148586869239807,
0,1,,0.6843328475952148,,0,1,,0.8700486421585083,,0,1,,0.8814200758934021,
0,0,,0.2518857419490814,,1,0,,0.08836826682090759,,0,0,,0.4752352237701416,
0,0,,0.03989487886428833,,0,0,,0.11235340684652328,,0,0,,0.16616274416446686,
0,0,,0.348509818315506,,0,1,,0.676616907119751,,0,1,,0.8838636875152588,
0,0,,0.8172110915184021,,1,1,,0.870739758014679,,0,0,,0.23021236062049866,
0,1,,0.9405719637870789,,1,1,,0.8614214062690735,,0,1,,0.9533786773681641,
1,1,,0.9010098576545715,,0,0,,0.6523277163505554,,0,0,,0.5299943685531616,
0,1,,0.9209583401679993,,0,0,,0.09221760183572769,,0,1,,0.9578150510787964,
1,0,,0.308647096157074,,0,1,,0.8689001798629761,,0,1,,0.91148841381073,
1,1,,0.9218771457672119,,0,1,,0.6907507181167603,,0,0,,0.20819643139839172,
0,1,,0.9751807451248169,,0,1,,0.884837806224823,,0,1,,0.8876082301139832,
1,1,,0.916415274143219,,0,1,,0.7454364895820618,,0,0,,0.6265302896499634,
0,0,,0.4301691949367523,,0,1,,0.6660818457603455,,1,0,,0.078038290143013,
1,1,,0.40053436160087585,,0,1,,0.8311021327972412,,1,1,,0.9746105074882507,
0,1,,0.606953501701355,,0,0,,0.23669247329235077,,1,0,,0.014531878754496574,
1,0,,0.029390862211585045,,0,0,,0.06502776592969894,,1,1,,0.9534174799919128,
0,0,,0.4271591603755951,,1,1,,0.6842321157455444,,0,0,,0.2798926830291748,
0,1,,0.9085143208503723,,0,1,,0.7512959241867065,,1,1,,0.9359232187271118,
0,0,,0.22062711417675018,,0,1,,0.9530196189880371,,1,1,,0.6631027460098267,
0,1,,0.9100492000579834,,1,0,,0.013294149190187454,,0,1,,0.8962982296943665,
0,0,,0.40805783867836,,1,1,,0.9690764546394348,,0,0,,0.3091241121292114,
1,0,,0.0035792116541415453,,1,1,,0.8344056010246277,,1,1,,0.6195249557495117,
0,0,,0.6692731976509094,,1,0,,0.03216781094670296,,0,1,,0.9464476108551025,
0,1,,0.9100561141967773,,0,1,,0.9346293210983276,,0,0,,0.4532659649848938,
1,0,,0.19870081543922424,,1,0,,0.5313824415206909,,1,1,,0.8975304961204529,
0,1,,0.9764519929885864,,0,0,,0.35662856698036194,,0,1,,0.563481867313385,
0,0,,0.7758471965789795,,0,1,,0.8986896872520447,,0,1,,0.7197942137718201,
0,1,,0.9251008629798889,,0,0,,0.16515038907527924,,0,0,,0.49921682476997375,
0,0,,0.26205891370773315,,1,1,,0.7811143398284912,,1,1,,0.990750789642334,
0,0,,0.11753208935260773,,1,0,,0.005632077343761921,,0,0,,0.15573160350322723,
0,1,,0.7099078297615051,,1,1,,0.9440296292304993,,0,1,,0.6000762581825256,
0,0,,0.11156968027353287,,1,1,,0.9549161791801453,,1,0,,0.004948548506945372,
0,1,,0.8173997402191162,,0,0,,0.1746809482574463,,1,0,,0.016935408115386963,
0,1,,0.8963708877563477,,0,1,,0.9381120204925537,,0,1,,0.7927097678184509,
1,1,,0.9780229330062866,,0,1,,0.7281865477561951,,0,1,,0.9470200538635254,
0,1,,0.9666824340820312,,0,1,,0.9858585596084595,,0,1,,0.9666944146156311,
1,1,,0.5051769018173218,,0,1,,0.8683120608329773,,1,0,,0.017170699313282967,
1,0,,0.002623403910547495,,0,1,,0.9306100606918335,,0,1,,0.6096295714378357,
1,1,,0.6893665194511414,,1,0,,0.0777462050318718,,0,0,,0.16461104154586792,
0,1,,0.9438984990119934,,0,1,,0.8755789399147034,,1,1,,0.9393632411956787,
0,0,,0.41345223784446716,,0,1,,0.7977568507194519,,0,0,,0.4011499583721161,
1,0,,0.5226578712463379,,0,0,,0.3173520863056183,,1,0,,0.726590096950531,
1,0,,0.015217866748571396,,0,0,,0.4048765301704407,,0,1,,0.9631194472312927,
1,1,,0.8664703965187073,,1,0,,0.010691199451684952,,1,1,,0.918208658695221,
1,1,,0.7833359241485596,,0,0,,0.4121299088001251,,0,1,,0.9744547009468079,
0,0,,0.2655528783798218,,1,0,,0.03150326758623123,,1,1,,0.8980493545532227,
1,1,,0.9601019620895386,,0,1,,0.8537168502807617,,1,0,,0.27560579776763916,
0,1,,0.9629586935043335,,0,1,,0.9177992939949036,,0,0,,0.05299794301390648,
0,0,,0.5290863513946533,,1,1,,0.8410485982894897,,0,1,,0.5946210622787476,
0,0,,0.44456979632377625,,1,1,,0.9418165683746338,,0,0,,0.1448117196559906,
0,0,,0.4920085072517395,,0,1,,0.7485010623931885,,1,1,,0.9217743277549744,
0,0,,0.24559250473976135,,1,0,,0.009259214624762535,,0,0,,0.13863305747509003,
0,0,,0.08486074209213257,,1,0,,0.0764002576470375,,0,0,,0.4597071409225464,
1,0,,0.0025143350940197706,,1,0,,0.0037475633434951305,,0,1,,0.9747902750968933,
1,0,,0.010427017696201801,,1,0,,0.17639461159706116,,0,0,,0.8015202283859253,
0,0,,0.29862919449806213,,0,0,,0.585620105266571,,0,0,,0.5682843923568726,
0,0,,0.47533541917800903,,0,1,,0.7273064851760864,,0,1,,0.9599228501319885,
0,1,,0.8249301910400391,,0,1,,0.7383992671966553,,0,1,,0.8986819982528687,
0,1,,0.6984379887580872,,0,1,,0.37857308983802795,,0,1,,0.5392469763755798,
0,0,,0.1747889220714569,,0,1,,0.7493631839752197,,1,1,,0.8856082558631897,
0,0,,0.5943177342414856,,1,1,,0.9833876490592957,,0,0,,0.0685729905962944,
0,1,,0.9761475324630737,,0,0,,0.2084062099456787,,0,1,,0.28290340304374695,
0,1,,0.7381817102432251,,0,1,,0.9498556852340698,,0,0,,0.18675997853279114,
1,1,,0.9872835874557495,,0,1,,0.6592691540718079,,0,1,,0.9500341415405273,
0,1,,0.9280638098716736,,1,1,,0.978857159614563,,0,1,,0.8899314999580383,
0,1,,0.9502044916152954,,1,0,,0.25021880865097046,,0,0,,0.28073662519454956,
0,0,,0.36076873540878296,,0,0,,0.17058874666690826,,1,0,,0.09119894355535507,
0,1,,0.9115092754364014,,0,0,,0.12266217917203903,,1,0,,0.27124834060668945,
0,1,,0.9874864220619202,,0,0,,0.23466022312641144,,0,0,,0.11298315972089767,
0,0,,0.4577983319759369,,1,0,,0.30737167596817017,,0,0,,0.2500287890434265,
0,0,,0.4042322039604187,,1,1,,0.9712655544281006,,0,1,,0.8258929252624512,
0,0,,0.20610082149505615,,1,1,,0.9756306409835815,,0,0,,0.21429213881492615,
0,0,,0.2744583785533905,,0,0,,0.5003764629364014,,1,0,,0.04484846442937851,
0,1,,0.857992947101593,,0,0,,0.4079146683216095,,1,0,,0.17891594767570496,
0,1,,0.9737198948860168,,0,1,,0.892407238483429,,1,0,,0.01992873288691044,
0,0,,0.1747339367866516,,0,0,,0.3776542842388153,,0,0,,0.12207110971212387,
0,1,,0.739179253578186,,0,1,,0.40907207131385803,,1,0,,0.008670498616993427,
0,0,,0.35362690687179565,,0,0,,0.28461992740631104,,1,0,,0.17885521054267883,
1,0,,0.0053999456577003,,0,1,,0.8233700394630432,,1,0,,0.1463114470243454,
1,0,,0.2315170019865036,,0,0,,0.11668463796377182,,0,1,,0.9736892580986023,
1,0,,0.15803317725658417,,1,0,,0.022318655624985695,,0,0,,0.21466849744319916,
1,1,,0.8791413903236389,,0,0,,0.32609590888023376,,0,0,,0.3172746002674103,
0,1,,0.9754644632339478,,1,1,,0.8341836333274841,,1,0,,0.010523028671741486,
0,1,,0.8513533473014832,,0,0,,0.1374325156211853,,0,0,,0.5261849761009216,
0,0,,0.2956140339374542,,0,1,,0.8277072906494141,,1,0,,0.00589341763406992,
0,0,,0.1216743066906929,,0,0,,0.21610800921916962,,0,0,,0.5869155526161194,
1,1,,0.9279820322990417,,1,0,,0.32516756653785706,,0,0,,0.1444471776485443,
0,1,,0.9584912061691284,,0,0,,0.3656432628631592,,0,1,,0.7690771818161011,
0,0,,0.25821638107299805,,0,0,,0.12387914955615997,,0,0,,0.5003764629364014,
1,1,,0.9914162158966064,,1,0,,0.005082255695015192,,0,1,,0.5090411305427551,
1,1,,0.9121994376182556,,1,0,,0.030627543106675148,,1,1,,0.9556832909584045,
0,0,,0.34548455476760864,,0,1,,0.6563194990158081,,0,1,,0.9492959976196289,
0,0,,0.26229944825172424,,0,0,,0.2326349914073944,,0,1,,0.9337562322616577,
0,0,,0.3043875992298126,,0,1,,0.9193822741508484,,1,1,,0.08515622466802597,
0,1,,0.7585168480873108,,0,1,,0.8075339794158936,,1,1,,0.9180099368095398,
0,1,,0.9955493807792664,,0,0,,0.21860162913799286,,1,1,,0.7462975978851318,
1,0,,0.08097729086875916,,0,0,,0.1561097353696823,,0,1,,0.8127149939537048,
0,0,,0.4079045355319977,,1,0,,0.02445049397647381,,0,0,,0.204073965549469,
0,0,,0.304101824760437,,0,0,,0.21535028517246246,,0,1,,0.615729570388794,
