S train_x,D train_x,P(Df|e) train_x,P(D|e) train_x,P(Df) train_x,S valid_x,D valid_x,P(Df|e) valid_x,P(D|e) valid_x,P(Df) valid_x,S test_x,D test_x,P(Df|e) test_x,P(D|e) test_x,P(Df) test_x
0,1,,0.3500593602657318,,0,0,,0.14023521542549133,,0,1,,0.6650445461273193,
0,0,,0.43703538179397583,,1,0,,0.07988140732049942,,1,0,,0.047978393733501434,
0,1,,0.9089327454566956,,0,1,,0.785862147808075,,1,0,,0.848761796951294,
0,0,,0.0715102031826973,,1,0,,0.6522395610809326,,0,0,,0.3408370912075043,
0,1,,0.20259706676006317,,0,1,,0.942301869392395,,1,0,,0.47372761368751526,
0,0,,0.7853189706802368,,0,1,,0.3899295926094055,,0,0,,0.35628819465637207,
1,0,,0.3039485216140747,,1,1,,0.39427298307418823,,0,1,,0.8870876431465149,
1,1,,0.11784851551055908,,0,1,,0.9483339786529541,,0,1,,0.4324701428413391,
1,0,,0.038918282836675644,,0,1,,0.7769176959991455,,0,0,,0.5781430006027222,
0,1,,0.9467751383781433,,1,0,,0.13475392758846283,,0,1,,0.35979390144348145,
0,0,,0.3794897198677063,,1,0,,0.039054807275533676,,0,1,,0.8758401870727539,
0,1,,0.2792434096336365,,0,1,,0.8684021830558777,,1,0,,0.029356783255934715,
0,1,,0.9895743727684021,,0,1,,0.9699022769927979,,0,1,,0.25760558247566223,
0,0,,0.2556228041648865,,0,0,,0.2819366753101349,,0,1,,0.852484941482544,
1,1,,0.951226532459259,,0,1,,0.8843609690666199,,0,1,,0.3493089973926544,
0,1,,0.2867799401283264,,1,1,,0.958020806312561,,1,0,,0.703546941280365,
0,1,,0.8813501596450806,,0,1,,0.4534063935279846,,0,1,,0.652496874332428,
1,1,,0.7769543528556824,,0,1,,0.9714519381523132,,0,0,,0.27667924761772156,
0,1,,0.9597638249397278,,0,1,,0.5528371334075928,,0,1,,0.18267180025577545,
0,0,,0.31770721077919006,,0,0,,0.24891315400600433,,1,0,,0.2981213629245758,
0,1,,0.4476947486400604,,0,0,,0.6674304008483887,,0,1,,0.8270742893218994,
1,1,,0.9782221913337708,,0,1,,0.4883010983467102,,0,1,,0.8163214325904846,
