iter,time,total_time,circuit_size,cross_entropy_D,cross_entropy_Df,train_discrimination,valid_discrimination,test_discrimination,train_mll,valid_mll,test_mll,struct?,stop?,P(D),P(Df),P(S),"P(D|Df,S)","P(D|Df,notS)","P(D|notDf,S)","P(D|notDf,notS)"
0,1.002e-5,1.002e-5,3152,0.5580098736997693,0.5580098736997693,-0.07514320895877147,-0.0744716959650985,-0.057238959317647,-13.524697,-13.503216,-13.588743,false,,0.5875200592519443,0.5875200592519443,0.30508579187754603,1.0,1.0,0.0,0.0
1,1.426556739,1.426566759,3152,0.5574199424772726,0.5580098807220204,-0.0751432207502859,-0.07447170509208678,-0.05723899129315002,-13.524108,-13.502246,-13.587717,false,,0.5875024432718292,0.5875200592519441,0.3050857918775459,0.999553172615087,0.9998627128213655,0.00036927622017207445,0.0002513826042032463
2,0.551213215,1.977779974,3152,0.555918386174787,0.5589654748667631,-0.07544860819915655,-0.0747418044052256,-0.057510495148664575,-13.521654,-13.498819,-13.584253,false,,0.587368628971629,0.5875757791644538,0.30508578986661156,0.9970086409701256,0.9996729331718038,0.0018307712132229264,0.0008104472162381377
3,0.503535538,2.481315512,3152,0.5509584023440438,0.5625755993848451,-0.07606634940559143,-0.07518553408742934,-0.05786047697412555,-13.513383,-13.488653,-13.574669,false,,0.5867451207337173,0.5883355307001529,0.3050857894342629,0.98466660385961,0.9994102591134566,0.00650363382672258,0.002048875649530556
4,0.504285218,2.9856007300000003,3152,0.5414311841239771,0.5736430444465433,-0.07585854453416396,-0.07409542410173098,-0.057164622584024105,-13.495739,-13.469543,-13.555567,false,,0.585021787509638,0.5916968692370835,0.3050857925671931,0.94547049934284,0.9990423578361791,0.01777178634524679,0.004752545941435579
5,0.505122053,3.4907227830000003,3152,0.532165773334796,0.5967723767143386,-0.07256181874595824,-0.06813917475143338,-0.054572286724058894,-13.47538,-13.450001,-13.533784,false,,0.5828391227887714,0.5974882152182734,0.30508579301531114,0.8814145956463691,0.9985031393012254,0.03810391987091701,0.010402100437486196
6,0.504944733,3.995667516,3152,0.5272607860200649,0.6254903354361849,-0.06744800441914978,-0.05921171437584871,-0.05159424890923814,-13.462259,-13.439034,-13.521331,false,,0.5817141998860018,0.6007960839757706,0.3050857907412303,0.8279935975662304,0.9976544508317029,0.06162776265461186,0.021338096385435736
7,0.509210372,4.504877888,3152,0.5248246805874375,0.6475197506194874,-0.06213192653001465,-0.05131439136228666,-0.04786221899291776,-13.454302,-13.432499,-13.514559,false,,0.5818640560710988,0.5992356386506543,0.3050857944905797,0.7998359939095906,0.9962543931477955,0.07704723466627454,0.040795502359875536
8,0.517813504,5.0226913920000005,3152,0.5223518159760259,0.6628268212586811,-0.056071139313993656,-0.04423207465172063,-0.04283723585615895,-13.445693,-13.424515,-13.506428,false,,0.5828947798835072,0.5929134541473067,0.3050857899115648,0.788325157437439,0.9938558128401179,0.0840529754939651,0.07198395732409876
9,0.510746644,5.533438036000001,3152,0.5191178684266269,0.6780586942561402,-0.04850879074365144,-0.03625699662579662,-0.03616245508510829,-13.434471,-13.413747,-13.49525,false,,0.5843739556760466,0.5822863926376289,0.3050857892401364,0.7845347827244874,0.9895972667190267,0.08708425819212012,0.11532453849472328
10,0.505739754,6.039177790000001,3152,0.5152348110381413,0.6981673392083609,-0.03982268874693928,-0.02734523870624106,-0.028397533075256387,-13.42119,-13.400777,-13.481663,false,,0.5858312138743486,0.5688881356003573,0.3050857913997309,0.7842169620987699,0.9820875032732511,0.08880409789074808,0.16621476698836415
11,0.506258302,6.545436092000001,3152,0.5111451889972004,0.7250425694251104,-0.03155721664091815,-0.01891371272942044,-0.0211047585092079,-13.407553,-13.387106,-13.467215,false,,0.5869080429665602,0.5555062865281092,0.3050857933192941,0.7855527981772453,0.9700576460818584,0.0902236942836217,0.21713306179576672
12,0.506648794,7.052084886000001,3152,0.5076784785854757,0.7578215650578399,-0.02514328727285109,-0.012330846105068738,-0.015580773157149008,-13.395689,-13.374891,-13.453934,false,,0.5875410498416788,0.5445507086751755,0.30508579371233446,0.7875511890444559,0.9541605489114634,0.09157928254523705,0.26195031115777817
13,0.508112291,7.560197177000001,3152,0.5055621599317809,0.7933874061021096,-0.020784865658195817,-0.007806511016893336,-0.011826030082591754,-13.38711,-13.36586,-13.443539,false,,0.5878606087548286,0.5366235066128282,0.30508578925703145,0.7895712390572059,0.9377502123370658,0.09281900044412582,0.2974449130466014
14,0.508900074,8.069097251,3152,0.5047257428665209,0.8281331890643594,-0.017824192175828535,-0.004704417106870307,-0.009121878408267503,-13.381802,-13.36014,-13.43647,false,,0.5879999149037167,0.5310196097835306,0.30508579611031916,0.7912893384533183,0.9243978331315634,0.09386305957069736,0.32298484768231417
15,0.504113588,8.573210839,3152,0.5046102081365506,0.8595919739256997,-0.015637018845837458,-0.002398453777632259,-0.0069870427148786,-13.378773,-13.35677,-13.43204,false,,0.5880414017842538,0.5269246138342247,0.3050857946827603,0.7926387646098157,0.915308241147552,0.094694636633257,0.34006663831792583
