S train_x,D train_x,P(Df|e) train_x,P(D|e) train_x,P(Df) train_x,S valid_x,D valid_x,P(Df|e) valid_x,P(D|e) valid_x,P(Df) valid_x,S test_x,D test_x,P(Df|e) test_x,P(D|e) test_x,P(Df) test_x
0,0,0.0006004635943099856,0.0,0.53413504,0,1,0.9998579025268555,0.9999999403953552,0.53413504,0,0,0.42798295617103577,0.0,0.53413504
0,1,0.0064772190526127815,1.0,0.53413504,0,1,0.9689310193061829,1.0,0.53413504,1,0,0.009050121530890465,0.0,0.53413504
0,1,0.9999876022338867,0.9999995827674866,0.53413504,0,0,0.009664918296039104,0.0,0.53413504,1,1,0.9986388683319092,0.9999999403953552,0.53413504
0,0,0.00796685740351677,0.0,0.53413504,1,0,0.2783110737800598,0.0,0.53413504,0,1,0.8031104207038879,1.0,0.53413504
0,1,0.26900675892829895,1.0,0.53413504,1,0,0.06494924426078796,0.0,0.53413504,0,0,0.027611911296844482,0.0,0.53413504
0,0,0.7896721959114075,0.0,0.53413504,1,1,0.49440357089042664,1.0,0.53413504,0,0,0.0098020751029253,0.0,0.53413504
1,0,0.005322387907654047,0.0,0.53413504,0,1,0.9761263728141785,1.0,0.53413504,0,1,0.995703399181366,0.9999998211860657,0.53413504
1,1,0.08698424696922302,0.9999997019767761,0.53413504,0,0,0.699283242225647,0.0,0.53413504,0,1,0.9989514946937561,1.0,0.53413504
0,1,0.9928947687149048,1.0,0.53413504,0,1,0.9925179481506348,0.9999996423721313,0.53413504,1,1,0.8269237875938416,0.9999996423721313,0.53413504
1,0,8.340997010236606e-5,0.0,0.53413504,1,1,0.9983331561088562,0.9999998211860657,0.53413504,0,0,0.0012579818721860647,0.0,0.53413504
0,1,0.9993002414703369,1.0,0.53413504,0,0,0.32130712270736694,0.0,0.53413504,0,0,0.10582657903432846,0.0,0.53413504
0,0,0.002909294329583645,0.0,0.53413504,0,0,0.01326011959463358,0.0,0.53413504,0,0,0.0125627052038908,0.0,0.53413504
1,0,0.0010478714248165488,0.0,0.53413504,1,0,0.003634163411334157,0.0,0.53413504,1,1,0.9972674250602722,1.0,0.53413504
0,1,0.01788199320435524,1.0,0.53413504,0,0,0.6761958599090576,0.0,0.53413504,0,0,0.012277461588382721,0.0,0.53413504
0,0,0.02389158308506012,0.0,0.53413504,0,1,0.2753755450248718,1.0,0.53413504,0,0,0.012476918287575245,0.0,0.53413504
0,1,0.2028479129076004,0.9999997615814209,0.53413504,1,0,0.2885599434375763,0.0,0.53413504,0,0,0.00378509983420372,0.0,0.53413504
0,1,0.9815330505371094,1.0,0.53413504,1,0,0.001223523635417223,0.0,0.53413504,0,0,0.869265079498291,0.0,0.53413504
1,1,0.9933727979660034,0.9999996423721313,0.53413504,1,1,0.9999892711639404,1.0,0.53413504,0,0,0.014949259348213673,0.0,0.53413504
0,1,0.9995709657669067,1.0,0.53413504,0,1,0.9993574023246765,0.9999996423721313,0.53413504,0,1,0.3365994989871979,1.0,0.53413504
0,0,0.01793721131980419,0.0,0.53413504,0,1,0.009772645309567451,1.0,0.53413504,1,1,0.9999558925628662,0.9999998807907104,0.53413504
1,0,0.9911717176437378,0.0,0.53413504,0,1,0.9956455230712891,1.0,0.53413504,0,1,0.9974940419197083,0.9999998211860657,0.53413504
0,1,0.38126009702682495,0.9999997019767761,0.53413504,1,1,0.9999053478240967,0.9999993443489075,0.53413504,1,0,0.19179148972034454,0.0,0.53413504
1,1,0.9999377727508545,0.9999997615814209,0.53413504,0,1,0.9995375871658325,0.9999997615814209,0.53413504,1,0,1.4109273251960985e-5,0.0,0.53413504
0,1,0.054967593401670456,1.0,0.53413504,1,0,0.015808187425136566,0.0,0.53413504,0,0,0.013814272359013557,0.0,0.53413504
0,1,0.9910953640937805,0.9999996423721313,0.53413504,0,0,0.05762428045272827,0.0,0.53413504,1,1,0.9919442534446716,0.9999997615814209,0.53413504
0,1,0.9973865151405334,1.0,0.53413504,0,1,0.18475326895713806,1.0,0.53413504,0,0,0.0019330185605213046,0.0,0.53413504
0,1,0.1783822774887085,0.9999996423721313,0.53413504,0,1,0.9886560440063477,0.9999998807907104,0.53413504,0,1,0.9986943006515503,1.0,0.53413504
0,1,0.024553459137678146,0.9999997615814209,0.53413504,0,0,0.00104484090115875,0.0,0.53413504,0,1,0.9990048408508301,1.0,0.53413504
0,1,0.9032558798789978,0.9999995231628418,0.53413504,1,0,0.006551552098244429,0.0,0.53413504,0,1,0.9909989833831787,0.9999997019767761,0.53413504
0,1,0.7842034101486206,0.9999997615814209,0.53413504,0,0,0.039200447499752045,0.0,0.53413504,0,1,0.9913099408149719,0.9999998211860657,0.53413504
