S train_x,D train_x,P(Df|e) train_x,P(D|e) train_x,P(Df) train_x,S valid_x,D valid_x,P(Df|e) valid_x,P(D|e) valid_x,P(Df) valid_x,S test_x,D test_x,P(Df|e) test_x,P(D|e) test_x,P(Df) test_x
0,0,0.009490236639976501,1.0,0.51360166,0,0,0.0004554205806925893,0.0,0.51360166,0,1,0.7750353217124939,1.0,0.51360166
0,1,0.6369711756706238,0.0,0.51360166,1,0,0.006629990413784981,0.0,0.51360166,1,0,0.0009963416960090399,0.0,0.51360166
0,0,0.9999970197677612,0.9999998211860657,0.51360166,0,0,0.9177170991897583,0.9999995231628418,0.51360166,1,1,0.9740678668022156,0.0,0.51360166
0,0,0.0015197314787656069,0.0,0.51360166,1,1,0.2873315215110779,0.0,0.51360166,0,0,0.006576303392648697,0.0,0.51360166
0,0,0.1135171577334404,0.9999998807907104,0.51360166,0,0,0.9997671842575073,0.999999463558197,0.51360166,1,0,0.08863209933042526,0.0,0.51360166
0,1,0.812760055065155,0.0,0.51360166,0,0,0.20758403837680817,1.0,0.51360166,0,0,0.031110642477869987,0.0,0.51360166
1,0,0.006154810078442097,0.0,0.51360166,1,1,0.7503855228424072,1.0,0.51360166,0,1,0.9994649887084961,1.0,0.51360166
1,0,0.1104297935962677,0.9999996423721313,0.51360166,0,1,0.998674213886261,0.9999995231628418,0.51360166,0,0,0.0008490268955938518,0.9999998807907104,0.51360166
1,0,6.302332621999085e-5,0.0,0.51360166,0,0,0.3569613993167877,0.9999997019767761,0.51360166,0,0,0.0946994498372078,0.0,0.51360166
0,0,0.9988380074501038,1.0,0.51360166,1,1,0.0012473884271457791,0.0,0.51360166,0,0,0.28184592723846436,1.0,0.51360166
0,0,0.010694477707147598,0.0,0.51360166,1,0,0.0004858185420744121,0.0,0.51360166,0,1,0.9989866614341736,1.0,0.51360166
0,0,0.009884475730359554,1.0,0.51360166,0,0,0.9988027811050415,0.9999999403953552,0.51360166,1,0,0.0005078827380202711,0.0,0.51360166
0,1,0.9999798536300659,1.0,0.51360166,0,1,0.9999703168869019,0.9999996423721313,0.51360166,0,0,0.09764107316732407,1.0,0.51360166
0,0,0.016662955284118652,0.0,0.51360166,0,0,0.005572253838181496,0.0,0.51360166,0,1,0.9979106783866882,1.0,0.51360166
1,1,0.9997667074203491,1.0,0.51360166,0,0,0.9999397993087769,0.9999997615814209,0.51360166,0,0,0.04690292477607727,1.0,0.51360166
0,0,0.015022246167063713,1.0,0.51360166,1,1,0.9992862939834595,1.0,0.51360166,1,1,0.17624376714229584,0.0,0.51360166
0,1,0.9716940522193909,0.9999999403953552,0.51360166,0,1,0.8702811002731323,0.9999993443489075,0.51360166,0,1,0.9130074977874756,0.9999998807907104,0.51360166
1,1,0.9773264527320862,1.0,0.51360166,0,1,0.9987513422966003,1.0,0.51360166,0,0,0.000442939082859084,0.0,0.51360166
