S train_x,D train_x,P(Df|e) train_x,P(D|e) train_x,P(Df) train_x,S valid_x,D valid_x,P(Df|e) valid_x,P(D|e) valid_x,P(Df) valid_x,S test_x,D test_x,P(Df|e) test_x,P(D|e) test_x,P(Df) test_x
0,0,,0.09265939146280289,,0,0,,0.9124577045440674,,1,1,,0.9425569772720337,
0,0,,0.12187492847442627,,1,0,,0.06642493605613708,,0,1,,0.6278015971183777,
0,1,,0.6386520266532898,,0,0,,0.16735747456550598,,1,0,,0.0646660327911377,
1,0,,0.09863712638616562,,0,0,,0.4808928668498993,,0,1,,0.8520514965057373,
0,0,,0.16121141612529755,,0,1,,0.7996004819869995,,0,0,,0.9806556701660156,
0,0,,0.4705560505390167,,0,0,,0.058862630277872086,,1,1,,0.8811768889427185,
0,1,,0.8152545690536499,,0,1,,0.366519033908844,,0,1,,0.8665727376937866,
1,0,,0.10406052321195602,,0,0,,0.5329338312149048,,1,0,,0.028336599469184875,
0,1,,0.811392605304718,,0,1,,0.6797838807106018,,1,1,,0.8295442461967468,
1,0,,0.013337783515453339,,1,1,,0.9009324908256531,,1,0,,0.005173817742615938,
0,0,,0.9504287838935852,,0,0,,0.46428731083869934,,0,0,,0.1623404324054718,
0,0,,0.22437874972820282,,1,1,,0.010129031725227833,,0,1,,0.9534955620765686,
1,0,,0.06532236933708191,,0,0,,0.24021345376968384,,0,0,,0.9236097931861877,
0,0,,0.35352692008018494,,1,0,,0.009992148727178574,,0,1,,0.9427042603492737,
0,1,,0.9892429113388062,,0,0,,0.802542507648468,,0,0,,0.15233872830867767,
0,0,,0.1423741728067398,,0,0,,0.7710118889808655,,0,0,,0.40565046668052673,
1,1,,0.9477822780609131,,0,0,,0.1331501305103302,,0,0,,0.13570909202098846,
0,0,,0.10710163414478302,,0,0,,0.17438408732414246,,1,0,,0.19904999434947968,
0,1,,0.7708832025527954,,1,1,,0.9484350681304932,,0,1,,0.8753597736358643,
1,1,,0.8077285289764404,,0,0,,0.36863601207733154,,0,1,,0.9828006029129028,
0,1,,0.9150859713554382,,1,1,,0.08750215172767639,,1,0,,0.001567854080349207,
0,0,,0.30425745248794556,,0,1,,0.7045367956161499,,0,0,,0.7268346548080444,
1,1,,0.9830257296562195,,0,1,,0.934934675693512,,0,0,,0.38232776522636414,
0,0,,0.4738212525844574,,0,0,,0.04823523387312889,,0,1,,0.9441996812820435,
0,0,,0.29637378454208374,,0,1,,0.9266880750656128,,1,1,,0.5357049107551575,
0,1,,0.8724403381347656,,0,1,,0.9021223187446594,,0,0,,0.0680600255727768,
0,0,,0.6185253858566284,,0,0,,0.378737211227417,,0,0,,0.35429510474205017,
0,0,,0.6667978167533875,,1,1,,0.9485427141189575,,0,0,,0.9218480587005615,
0,0,,0.47088509798049927,,0,1,,0.49661678075790405,,0,0,,0.27793458104133606,
0,0,,0.05774223804473877,,1,1,,0.7912110090255737,,0,0,,0.37171685695648193,
0,1,,0.5731597542762756,,0,0,,0.45108503103256226,,1,1,,0.8792637586593628,
0,1,,0.6586743593215942,,0,1,,0.8466697931289673,,0,0,,0.32061755657196045,
1,0,,0.014326161704957485,,1,0,,0.09985704720020294,,0,1,,0.9343481659889221,
1,1,,0.3786715269088745,,0,0,,0.17469236254692078,,0,0,,0.4480183720588684,
0,0,,0.9260466694831848,,0,1,,0.7126784920692444,,0,0,,0.37123754620552063,
0,1,,0.8572041392326355,,1,0,,0.1625347137451172,,0,0,,0.28715643286705017,
0,0,,0.10751938074827194,,0,0,,0.19656236469745636,,1,0,,0.31579533219337463,
0,0,,0.8066092133522034,,0,1,,0.9442014694213867,,0,0,,0.13282671570777893,
0,0,,0.5108431577682495,,1,1,,0.7890385985374451,,0,1,,0.858938992023468,
1,0,,0.28158169984817505,,0,1,,0.7807113528251648,,1,0,,0.5034900903701782,
0,0,,0.15471425652503967,,1,0,,0.001008724793791771,,0,0,,0.39356568455696106,
0,0,,0.9679697751998901,,0,1,,0.8775078654289246,,0,1,,0.5647528767585754,
0,1,,0.9495708346366882,,0,0,,0.7855262160301208,,1,1,,0.9260573983192444,
0,0,,0.16903981566429138,,0,1,,0.695263683795929,,1,0,,0.028790879994630814,
0,0,,0.06958457082509995,,1,1,,0.07368581742048264,,1,1,,0.03247781842947006,
0,0,,0.48580896854400635,,0,0,,0.9202204346656799,,0,1,,0.825685441493988,
0,0,,0.8323343992233276,,1,1,,0.8183197975158691,,0,1,,0.9190750122070312,
0,1,,0.9594528675079346,,1,0,,0.03973042964935303,,0,0,,0.10550494492053986,
0,0,,0.2275623083114624,,1,1,,0.9791549444198608,,0,0,,0.1177409216761589,
0,1,,0.924118161201477,,0,0,,0.338823139667511,,1,1,,0.9748150110244751,
1,0,,0.31415194272994995,,0,1,,0.9237753748893738,,0,1,,0.9451276063919067,
1,1,,0.9354565143585205,,0,1,,0.8820738792419434,,0,1,,0.9612149596214294,
0,1,,0.9778269529342651,,0,1,,0.9459102749824524,,0,1,,0.6893848180770874,
1,1,,0.9103448390960693,,0,0,,0.26846298575401306,,0,0,,0.8791311979293823,
0,0,,0.2775692939758301,,1,1,,0.8068562746047974,,0,0,,0.13754351437091827,
1,1,,0.4411188066005707,,0,0,,0.9914482235908508,,0,0,,0.6168359518051147,
0,0,,0.42355960607528687,,0,1,,0.9546346664428711,,1,1,,0.8089388608932495,
1,1,,0.016812866553664207,,0,0,,0.0707165077328682,,0,1,,0.6963379979133606,
0,0,,0.20621240139007568,,0,1,,0.5156723856925964,,0,0,,0.10029633343219757,
0,0,,0.18572138249874115,,0,1,,0.6344009637832642,,0,1,,0.42835545539855957,
0,1,,0.8950148820877075,,0,0,,0.353731632232666,,0,0,,0.46970149874687195,
0,0,,0.9751189351081848,,0,1,,0.7350040674209595,,0,0,,0.9499992728233337,
0,0,,0.5498682260513306,,0,0,,0.44700944423675537,,1,1,,0.02035263180732727,
0,1,,0.7264209389686584,,0,1,,0.9052636623382568,,1,1,,0.6991121172904968,
1,0,,0.004149504005908966,,0,0,,0.9337940812110901,,1,0,,0.2889930307865143,
0,1,,0.9516323208808899,,0,1,,0.9709209203720093,,0,0,,0.8515332341194153,
1,0,,0.1939961463212967,,0,0,,0.30887848138809204,,0,1,,0.5166056156158447,
0,1,,0.943286120891571,,0,1,,0.9534755349159241,,1,1,,0.012215451337397099,
0,0,,0.7431739568710327,,0,0,,0.16130183637142181,,0,1,,0.6330387592315674,
0,0,,0.9166415929794312,,0,1,,0.8390272855758667,,0,0,,0.03617171570658684,
0,0,,0.1550866663455963,,0,0,,0.4512575566768646,,1,0,,0.9413442611694336,
0,0,,0.04968766123056412,,1,1,,0.9503291845321655,,0,0,,0.10874290764331818,
0,1,,0.6391651034355164,,1,1,,0.9471912980079651,,1,1,,0.970131516456604,
0,0,,0.23184971511363983,,0,0,,0.27717065811157227,,0,0,,0.9138493537902832,
0,1,,0.7846869230270386,,1,0,,0.05003713443875313,,1,1,,0.9963696599006653,
0,1,,0.8947648406028748,,0,0,,0.8117579221725464,,1,0,,0.0571412593126297,
1,1,,0.9801153540611267,,1,1,,0.9276245832443237,,1,1,,0.9468914866447449,
0,1,,0.9690005779266357,,0,1,,0.9387693405151367,,0,1,,0.9477333426475525,
1,1,,0.5194810032844543,,1,0,,0.6055454611778259,,0,0,,0.12747181951999664,
1,0,,0.003995557781308889,,1,1,,0.09193886071443558,,0,0,,0.18077582120895386,
1,1,,0.5661112666130066,,0,1,,0.41358059644699097,,0,0,,0.18289801478385925,
0,0,,0.9436298608779907,,1,1,,0.606245756149292,,1,1,,0.8517038822174072,
0,0,,0.24122078716754913,,0,1,,0.8975783586502075,,0,0,,0.22546929121017456,
0,0,,0.3870592415332794,,0,0,,0.5421270728111267,,1,1,,0.12699098885059357,
1,0,,0.4926454722881317,,1,1,,0.8555226922035217,,1,1,,0.4341403543949127,
1,1,,0.695855438709259,,0,1,,0.9588454961776733,,0,0,,0.9709274172782898,
0,0,,0.30845195055007935,,1,1,,0.9844667315483093,,0,1,,0.9166843891143799,
0,0,,0.6147570610046387,,0,1,,0.9808970093727112,,1,0,,0.8683332800865173,
0,1,,0.9373862743377686,,1,1,,0.9709312319755554,,1,1,,0.9717065691947937,
0,0,,0.37627145648002625,,0,0,,0.37579667568206787,,0,1,,0.6564982533454895,
0,0,,0.6804856657981873,,0,0,,0.03738686442375183,,1,0,,0.010969049297273159,
0,0,,0.1292894333600998,,0,1,,0.9387926459312439,,0,0,,0.9237269163131714,
1,0,,0.01451510563492775,,0,1,,0.9615110754966736,,1,1,,0.6898525357246399,
0,0,,0.3372367322444916,,0,0,,0.7687952518463135,,1,0,,0.08259262144565582,
0,0,,0.4068569242954254,,0,0,,0.2837936580181122,,0,0,,0.19926173985004425,
0,1,,0.8662984371185303,,0,1,,0.9547138810157776,,1,1,,0.9637852311134338,
0,1,,0.6368359923362732,,0,0,,0.19517560303211212,,0,0,,0.9566643238067627,
0,0,,0.38617250323295593,,0,0,,0.0964784249663353,,0,0,,0.18192002177238464,
0,1,,0.9317951798439026,,0,0,,0.1232139840722084,,0,1,,0.9365275502204895,
1,1,,0.9845240116119385,,0,0,,0.20053423941135406,,0,1,,0.8107429146766663,
0,0,,0.9282740354537964,,0,0,,0.23111723363399506,,0,0,,0.6221993565559387,
0,0,,0.2518616020679474,,0,1,,0.8601882457733154,,0,1,,0.9339917898178101,
0,1,,0.8556572198867798,,1,0,,0.13559100031852722,,0,0,,0.2418111264705658,
0,0,,0.3802507221698761,,0,1,,0.9151906967163086,,1,1,,0.7270357608795166,
0,0,,0.3528805375099182,,0,1,,0.965320348739624,,0,0,,0.5290195345878601,
0,0,,0.8349213004112244,,0,1,,0.8146367073059082,,1,1,,0.010498350486159325,
0,0,,0.28797560930252075,,0,1,,0.6274675726890564,,1,0,,0.04629563167691231,
0,0,,0.1294415444135666,,0,1,,0.6513825058937073,,1,0,,0.07461429387331009,
0,1,,0.9455450177192688,,1,0,,0.01662052422761917,,0,0,,0.1128956526517868,
0,1,,0.8064345717430115,,0,0,,0.816888153553009,,1,1,,0.8464511036872864,
0,0,,0.4787869453430176,,0,0,,0.502311646938324,,0,1,,0.6794112324714661,
1,0,,0.01039082556962967,,1,1,,0.04407355561852455,,0,0,,0.18158289790153503,
1,0,,0.19633738696575165,,1,1,,0.8558588624000549,,1,1,,0.024569328874349594,
