S train_x,D train_x,P(Df|e) train_x,P(D|e) train_x,P(Df) train_x,S valid_x,D valid_x,P(Df|e) valid_x,P(D|e) valid_x,P(Df) valid_x,S test_x,D test_x,P(Df|e) test_x,P(D|e) test_x,P(Df) test_x
0,0,,0.19396746158599854,,0,0,,0.06593089550733566,,1,0,,0.02041030116379261,
0,1,,0.8398767709732056,,0,0,,0.18372230231761932,,0,0,,0.3004645109176636,
0,1,,0.9150590300559998,,0,0,,0.06533707678318024,,0,1,,0.7879903316497803,
1,0,,0.04102493077516556,,1,0,,0.206729918718338,,0,1,,0.9872035384178162,
0,0,,0.21837380528450012,,0,1,,0.8553643822669983,,0,1,,0.9392629265785217,
0,0,,0.5751436352729797,,1,0,,0.025909878313541412,,0,1,,0.9292936325073242,
0,1,,0.9057914018630981,,0,0,,0.14453820884227753,,0,1,,0.9204434752464294,
1,0,,0.06884917616844177,,0,0,,0.3228054344654083,,0,1,,0.5350232720375061,
1,0,,0.07226845622062683,,1,0,,0.017340244725346565,,1,0,,0.035034604370594025,
0,1,,0.5803636312484741,,0,0,,0.11875417828559875,,0,1,,0.665326714515686,
0,1,,0.9738644361495972,,1,0,,0.008556402288377285,,0,0,,0.4472738802433014,
1,0,,0.03209031745791435,,1,1,,0.9016322493553162,,0,0,,0.21333573758602142,
0,0,,0.46088340878486633,,0,1,,0.9862832427024841,,0,1,,0.8970196843147278,
0,1,,0.9947290420532227,,0,0,,0.5175440907478333,,1,0,,0.1700173318386078,
0,0,,0.13569319248199463,,0,1,,0.9435102939605713,,0,1,,0.9421597123146057,
1,1,,0.931536853313446,,0,1,,0.8828928470611572,,1,0,,0.07936244457960129,
0,0,,0.45514747500419617,,0,1,,0.9596259593963623,,0,0,,0.33744364976882935,
0,1,,0.717181921005249,,1,0,,0.04183986037969589,,1,1,,0.018009159713983536,
1,1,,0.7892569303512573,,1,1,,0.7639002203941345,,0,1,,0.7305421829223633,
0,1,,0.9811487793922424,,0,0,,0.040941208600997925,,1,1,,0.8774060010910034,
0,0,,0.2770303785800934,,0,0,,0.4555400311946869,,0,1,,0.7637733817100525,
1,1,,0.9784550070762634,,0,0,,0.07490167766809464,,0,1,,0.8938549160957336,
0,0,,0.392038494348526,,0,0,,0.20025333762168884,,1,0,,0.0647827610373497,
1,1,,0.9659827351570129,,0,1,,0.6098735928535461,,1,0,,0.24973703920841217,
0,1,,0.9166460633277893,,1,1,,0.8502423763275146,,0,1,,0.8797318339347839,
0,1,,0.791034460067749,,0,1,,0.9323170781135559,,1,1,,0.5918278694152832,
0,0,,0.6265575885772705,,1,1,,0.9537686109542847,,0,1,,0.7719934582710266,
0,0,,0.17003871500492096,,0,0,,0.10006219893693924,,0,1,,0.9627765417098999,
0,1,,0.7006960511207581,,1,0,,0.06003390997648239,,1,0,,0.20651434361934662,
0,0,,0.6145091652870178,,1,1,,0.9771252274513245,,0,0,,0.21494744718074799,
0,0,,0.27955299615859985,,0,0,,0.3533412516117096,,0,1,,0.9455703496932983,
0,1,,0.6239386796951294,,0,0,,0.2101324498653412,,0,1,,0.7574561238288879,
1,0,,0.014264457859098911,,0,1,,0.9207656979560852,,1,0,,0.0835980772972107,
1,1,,0.5022351741790771,,1,0,,0.36517098546028137,,1,0,,0.21020624041557312,
0,1,,0.8931706547737122,,0,1,,0.9720967411994934,,0,1,,0.8203874230384827,
0,1,,0.9504696726799011,,1,1,,0.8120825886726379,,0,1,,0.9186755418777466,
0,0,,0.13879969716072083,,0,0,,0.23308305442333221,,0,0,,0.3218233585357666,
1,0,,0.22584034502506256,,1,1,,0.8948964476585388,,1,1,,0.8650214672088623,
0,1,,0.9529538750648499,,1,1,,0.8065993785858154,,0,0,,0.5797717571258545,
0,0,,0.34083932638168335,,0,1,,0.7993977665901184,,1,0,,0.13954296708106995,
0,1,,0.9720754623413086,,0,1,,0.895491361618042,,1,1,,0.9712591767311096,
1,0,,0.23901154100894928,,0,1,,0.9165420532226562,,1,1,,0.8289235830307007,
0,0,,0.12083613872528076,,0,1,,0.7328288555145264,,0,1,,0.7088927626609802,
0,0,,0.39236313104629517,,1,1,,0.9130228757858276,,1,1,,0.8367006182670593,
0,1,,0.6048101782798767,,0,0,,0.20606988668441772,,1,1,,0.01867867261171341,
0,1,,0.9782132506370544,,0,1,,0.9418785572052002,,1,1,,0.8937015533447266,
0,0,,0.2745850086212158,,0,1,,0.8188452124595642,,0,0,,0.1547960340976715,
0,0,,0.29335567355155945,,0,0,,0.2809866964817047,,0,0,,0.0904754176735878,
0,0,,0.6617715954780579,,1,0,,0.6657888889312744,,0,1,,0.9561281204223633,
0,0,,0.5516194105148315,,0,1,,0.9134782552719116,,1,0,,0.08221281319856644,
0,1,,0.9570924043655396,,1,1,,0.3721965253353119,,0,0,,0.13729426264762878,
1,1,,0.8884269595146179,,1,0,,0.886504054069519,,0,0,,0.30582109093666077,
0,0,,0.1496991664171219,,1,1,,0.960945725440979,,0,0,,0.2287481725215912,
0,1,,0.9523587822914124,,0,1,,0.8044536709785461,,0,0,,0.2799171209335327,
1,1,,0.9133991003036499,,1,1,,0.8808677792549133,,0,0,,0.06179804354906082,
0,1,,0.9203276038169861,,1,1,,0.9651374220848083,,0,0,,0.3259798288345337,
1,1,,0.9193259477615356,,0,0,,0.4422886073589325,,0,1,,0.7808260917663574,
0,0,,0.23278093338012695,,0,1,,0.8952898383140564,,0,0,,0.5065909028053284,
1,1,,0.34243157505989075,,0,1,,0.7847827672958374,,1,0,,0.015547445975244045,
0,1,,0.3890184164047241,,0,1,,0.9233077764511108,,0,1,,0.9028324484825134,
