S train_x,D train_x,P(Df|e) train_x,P(D|e) train_x,P(Df) train_x,S valid_x,D valid_x,P(Df|e) valid_x,P(D|e) valid_x,P(Df) valid_x,S test_x,D test_x,P(Df|e) test_x,P(D|e) test_x,P(Df) test_x
0,0,0.005030523985624313,1.0,0.524047,0,0,0.18681909143924713,0.0,0.524047,0,0,0.0005051578627899289,0.0,0.524047
0,1,0.3993002772331238,0.0,0.524047,0,0,0.4031887948513031,0.9999991059303284,0.524047,0,1,0.9999300241470337,0.9999999403953552,0.524047
1,0,0.016483832150697708,0.0,0.524047,0,0,0.004556230269372463,0.0,0.524047,0,0,0.00699094170704484,0.0,0.524047
0,0,0.5181586146354675,1.0,0.524047,0,1,0.7496625781059265,0.9999995231628418,0.524047,0,1,0.9853790402412415,0.9999992251396179,0.524047
0,1,0.6907960772514343,0.0,0.524047,0,0,0.0028050236869603395,1.0,0.524047,0,0,0.023565150797367096,0.9999999403953552,0.524047
1,0,0.0024811101611703634,0.0,0.524047,1,0,0.09173431247472763,0.0,0.524047,0,1,0.6987923383712769,0.9999998807907104,0.524047
1,0,0.1436142921447754,0.9999992847442627,0.524047,0,0,0.06789711862802505,0.0,0.524047,0,1,0.9973719120025635,0.9999997615814209,0.524047
0,1,0.9713853001594543,0.9999995827674866,0.524047,1,1,0.9985677599906921,1.0,0.524047,0,1,0.999459981918335,0.9999997615814209,0.524047
1,0,0.00014579776325263083,0.0,0.524047,1,0,1.9095363313681446e-5,0.0,0.524047,0,0,0.038251254707574844,0.9999998807907104,0.524047
0,1,0.9989444613456726,0.9999997615814209,0.524047,0,0,0.0007674551452510059,0.0,0.524047,0,0,0.0644686222076416,0.0,0.524047
0,0,0.002771833911538124,0.0,0.524047,1,0,0.48510056734085083,1.0,0.524047,0,0,0.45889148116111755,1.0,0.524047
1,0,0.0013571007875725627,0.0,0.524047,0,1,0.8845676779747009,1.0,0.524047,0,1,0.9907529354095459,0.9999996423721313,0.524047
0,0,0.06509296596050262,1.0,0.524047,0,1,0.9373571276664734,1.0,0.524047,1,1,0.9999352693557739,1.0,0.524047
0,1,0.9999281167984009,0.999999463558197,0.524047,0,0,0.018925724551081657,0.0,0.524047,0,1,0.9997355341911316,0.9999998211860657,0.524047
0,0,0.014561650343239307,0.0,0.524047,0,1,0.9545294046401978,0.9999998211860657,0.524047,1,0,1.727972448861692e-5,0.0,0.524047
1,1,0.9993280172348022,1.0,0.524047,1,0,0.001442884560674429,0.0,0.524047,1,1,0.9913979768753052,0.9999998211860657,0.524047
0,0,0.04689355567097664,1.0,0.524047,1,1,0.9827770590782166,0.9999984502792358,0.524047,0,1,0.9998890161514282,0.999999463558197,0.524047
0,1,0.9439974427223206,0.9999992251396179,0.524047,0,1,0.9379651546478271,0.9999992847442627,0.524047,0,0,0.002124614780768752,1.0,0.524047
1,1,0.9886806607246399,1.0,0.524047,1,1,0.9961926937103271,1.0,0.524047,1,1,0.9997855424880981,1.0,0.524047
0,1,0.9991683959960938,1.0,0.524047,0,1,0.9771113991737366,0.9999998211860657,0.524047,0,0,0.01449369266629219,0.0,0.524047
0,0,0.01774108223617077,0.0,0.524047,0,1,0.9997907876968384,0.9999995231628418,0.524047,1,1,0.9981517195701599,1.0,0.524047
1,1,0.9931572079658508,0.0,0.524047,1,0,0.04227566346526146,0.0,0.524047,0,0,0.002418672200292349,1.0,0.524047
0,0,0.281207412481308,1.0,0.524047,1,0,0.7600920796394348,0.0,0.524047,0,0,0.40311306715011597,1.0,0.524047
1,1,0.9997731447219849,0.9999998211860657,0.524047,1,0,0.0016906684031710029,0.0,0.524047,0,0,0.008632940240204334,0.9999998807907104,0.524047
0,1,0.9688780307769775,0.9999992251396179,0.524047,0,0,0.007974287495017052,0.0,0.524047,0,0,0.18111427128314972,0.0,0.524047
0,0,0.04680808261036873,0.9999999403953552,0.524047,0,1,0.986444354057312,0.9999994039535522,0.524047,1,1,0.9974617958068848,1.0,0.524047
0,0,0.8467532396316528,0.9999999403953552,0.524047,0,1,0.9346514940261841,1.0,0.524047,0,1,0.9973966479301453,0.9999995231628418,0.524047
0,0,0.005313110072165728,0.0,0.524047,1,0,0.18750280141830444,0.0,0.524047,0,1,0.9958920478820801,1.0,0.524047
0,1,0.9791085124015808,0.9999998211860657,0.524047,0,1,0.9975669384002686,0.9999995231628418,0.524047,0,1,0.9936237931251526,0.9999994039535522,0.524047
0,0,0.736496090888977,0.9999994039535522,0.524047,0,0,0.0014055707724764943,0.0,0.524047,1,1,0.9930776357650757,0.9999998807907104,0.524047
0,0,0.002706893952563405,0.0,0.524047,1,0,0.00986053328961134,0.0,0.524047,0,1,0.956051766872406,0.9999992251396179,0.524047
0,1,0.7747994065284729,0.9999998211860657,0.524047,0,0,0.011680947616696358,0.0,0.524047,1,1,0.9999114274978638,1.0,0.524047
1,0,0.0006274293991737068,0.0,0.524047,0,0,0.0033589673694223166,0.0,0.524047,0,1,0.9965608716011047,0.0,0.524047
1,1,0.37414807081222534,0.0,0.524047,0,0,0.16308486461639404,1.0,0.524047,0,0,0.00035991481854580343,0.0,0.524047
0,1,0.9998708963394165,0.9999998211860657,0.524047,1,0,0.2563531696796417,0.0,0.524047,0,1,0.9146439433097839,0.9999995827674866,0.524047
0,1,0.9806036353111267,0.9999992847442627,0.524047,0,0,0.0011156251421198249,0.0,0.524047,1,1,0.9984487295150757,0.9999997019767761,0.524047
0,0,0.0032818892505019903,1.0,0.524047,1,0,0.0006614189478568733,0.0,0.524047,0,1,0.9968127608299255,0.9999998807907104,0.524047
1,0,0.002876170678064227,0.0,0.524047,0,0,0.596053421497345,0.9999999403953552,0.524047,0,0,0.0009912890382111073,0.0,0.524047
0,1,0.9992722272872925,0.9999999403953552,0.524047,1,0,0.22043728828430176,0.0,0.524047,0,0,0.0005274400464259088,0.0,0.524047
0,1,0.980569064617157,0.9999991655349731,0.524047,0,1,0.9343066215515137,0.9999992251396179,0.524047,1,0,0.00034805931500159204,0.0,0.524047
0,0,0.2757933437824249,1.0,0.524047,0,0,0.023038942366838455,0.0,0.524047,0,1,0.37109822034835815,0.9999994039535522,0.524047
0,1,0.9996172785758972,0.9999995827674866,0.524047,1,1,0.9989725947380066,0.9999997019767761,0.524047,0,0,0.008258761838078499,0.0,0.524047
1,0,0.01819070428609848,0.0,0.524047,1,1,0.9550370573997498,0.0,0.524047,0,1,0.14525292813777924,0.9999999403953552,0.524047
0,0,0.00032866906258277595,0.0,0.524047,0,1,0.9997783899307251,0.9999992847442627,0.524047,0,0,0.009500592015683651,0.0,0.524047
0,0,0.0030698939226567745,0.0,0.524047,1,1,0.9956845641136169,1.0,0.524047,1,1,0.9788233041763306,1.0,0.524047
0,1,0.9993199110031128,0.9999995231628418,0.524047,0,1,0.794144332408905,0.0,0.524047,0,1,0.7135635614395142,0.9999998807907104,0.524047
0,1,0.9740940928459167,0.9999993443489075,0.524047,0,1,0.9966635704040527,0.9999992251396179,0.524047,1,0,0.014916590414941311,0.0,0.524047
0,1,0.9998232126235962,0.9999997615814209,0.524047,0,0,0.8124661445617676,1.0,0.524047,1,1,0.9773914813995361,0.9999998211860657,0.524047
0,0,0.0014277774607762694,0.0,0.524047,0,0,0.008746456354856491,0.0,0.524047,0,1,0.9999567270278931,0.9999998807907104,0.524047
