iter,time,total_time,circuit_size,cross_entropy_D,cross_entropy_Df,train_discrimination,valid_discrimination,test_discrimination,train_mll,valid_mll,test_mll,struct?,stop?,P(D),P(Df),P(S),"P(D|Df,S)","P(D|Df,notS)","P(D|notDf,S)","P(D|notDf,notS)"
0,9.63e-6,9.63e-6,1829,0.575852139619586,0.575852139619586,-0.06722834010442469,-0.12303656898870097,-0.062146949688977715,-13.576618,-13.646151,-13.668047,false,,0.5873966177015184,0.5873966177015184,0.3044685841254167,1.0,1.0,0.0,0.0
1,1.220061029,1.2200706590000001,1829,0.5751801773280723,0.5758517436413509,-0.0672284666098224,-0.12303671477640926,-0.06214708399035562,-13.575947,-13.645686,-13.667628,false,,0.5873798115359977,0.5873966375822985,0.30446864233916093,0.9995583040076772,0.9998621830071682,0.00037425148271335543,0.00024900402903260465
2,0.294780767,1.5148514260000001,1829,0.5732945224061018,0.5770145645636487,-0.06760664388613513,-0.12371760605114995,-0.06256338203571632,-13.572908,-13.64335,-13.665419,false,,0.5872381592922923,0.587549859350281,0.3044685843716234,0.9966656282014406,0.9995922109526308,0.001879517251610983,0.0007508849489913915
3,0.281852546,1.796703972,1829,0.5669113169946554,0.5817439016957414,-0.06842075759590271,-0.1256986843252052,-0.06342409333508314,-13.56224,-13.633835,-13.65624,false,,0.5865286981664893,0.5889296363617473,0.3044685328971831,0.9812351244091599,0.9990673687661564,0.006729085182243074,0.0017614718815238861
4,0.28289466,2.079598632,1829,0.5557267985472428,0.5958213501594526,-0.06783601506522041,-0.12765975597745083,-0.06261498071209037,-13.541213,-13.612428,-13.636915,false,,0.5846653726320837,0.5942673125068829,0.3044685869690763,0.9329786634813898,0.9980535100361916,0.018322968299457187,0.0037763014979847005
5,0.276585491,2.3561841230000002,1829,0.5467182695591384,0.6208577528302296,-0.06341611606488173,-0.12580440282905114,-0.05770701990448335,-13.5214,-13.590636,-13.619159,false,,0.582734043916271,0.6025359455322392,0.3044686649208027,0.8637367179740099,0.9960830968043088,0.03903815404584878,0.007644598641650258
6,0.281763784,2.637947907,1829,0.5426469453332649,0.6455724700231057,-0.05884230322858652,-0.12260103342728501,-0.05306184569415873,-13.510619,-13.57902,-13.609842,false,,0.581867022284332,0.6081834067766547,0.3044685619108747,0.8138192820476844,0.9923027318804041,0.06205209077052974,0.01472430022533886
7,0.275526768,2.913474675,1829,0.5404710991275149,0.6633776965496413,-0.05615054745225545,-0.1205231186410139,-0.05054913109087478,-13.502898,-13.571636,-13.602208,false,,0.58185952788895,0.6106954951994604,0.3044685680246616,0.7890071022395848,0.9856244733440478,0.07639091406204768,0.027502580439932072
8,0.275895188,3.1893698629999996,1829,0.537590044160296,0.678957461874369,-0.05431593767378495,-0.11919828216802175,-0.04892595463513838,-13.492727,-13.562371,-13.590485,false,,0.5825052595934904,0.6108349946932787,0.3044686412988164,0.778505432497385,0.9752395576058366,0.08247906564793912,0.050283713944325514
9,0.283201311,3.4725711739999996,1829,0.5327802953350351,0.6985596279972125,-0.051749160333497635,-0.11729981667590172,-0.04669706821888975,-13.478002,-13.548782,-13.572421,false,,0.5837618936433814,0.6076615150488641,0.30446857258927507,0.7743620328662681,0.9611518183603096,0.084702089119689,0.08849025381744433
10,0.282771802,3.7553429759999997,1829,0.5262274575062272,0.7261794491090086,-0.04695931615713622,-0.11334370150309625,-0.04257760146213618,-13.45977,-13.531745,-13.549434,false,,0.5854345846632062,0.5996466111880616,0.3044685592595904,0.7731148535270731,0.9443428619853868,0.08565666927730826,0.1435876034638277
11,0.283339593,4.038682569,1829,0.5200138505176708,0.7611885917834911,-0.0397606178791956,-0.10697190998334488,-0.03653759054417971,-13.442838,-13.515963,-13.527606,false,,0.5869253880341857,0.5873419286682726,0.3044686269936774,0.7736208426256386,0.9268816615673876,0.08648348352021333,0.20580764554363226
12,0.282540082,4.321222650999999,1829,0.5160085080886327,0.7978558328454833,-0.03182360822832575,-0.09967163971136317,-0.030074583944833644,-13.431419,-13.505487,-13.5124035,false,,0.5877655360999484,0.5740497334270018,0.30446860604782766,0.7753964971093267,0.9117679702274285,0.08759215288060287,0.2593675916315938
13,0.276931914,4.598154565,1829,0.5140897496316986,0.8300195200357284,-0.02494638059345544,-0.09325149385972487,-0.024613470268274762,-13.425329,-13.499866,-13.50393,false,,0.5880564199484593,0.5626105922973537,0.3044685588771844,0.7778517820695785,0.9012757166912725,0.08895205272446513,0.2967787779993258
14,0.282232428,4.880386993,1829,0.5132978115868584,0.8552125454441476,-0.019681659933386553,-0.08834305371848616,-0.02049406334883863,-13.422357,-13.496848,-13.499626,false,,0.5880862894069765,0.5537358395906808,0.3044685916300255,0.7803877030468404,0.8953908012278988,0.09036006659640423,0.3202020396606571
15,0.276620101,5.157007094,1829,0.5129701267174711,0.8739881660223016,-0.015802796433488808,-0.08475475631297374,-0.017471290094685066,-13.420872,-13.494968,-13.497442,false,,0.5880304336234262,0.5470596564184885,0.3044685803828008,0.782650548400753,0.8926328470344189,0.09165296420056424,0.33452375171675586
16,0.276302766,5.43330986,1829,0.5128205266646071,0.8877941026783102,-0.012937710788154422,-0.08212854846188128,-0.0152291132158473,-13.420085,-13.493624,-13.496304,false,,0.5879583415396478,0.542047741120572,0.3044686426683244,0.7845220973873892,0.8915547742024007,0.09275670247045492,0.34353910906613194
17,0.283780629,5.717090488999999,1829,0.5127433111130559,0.8980834672810578,-0.010784312205041391,-0.08017277892028818,-0.013523965439788177,-13.419643,-13.492592,-13.495708,false,,0.5878914373854136,0.5382586477278107,0.30446856958434876,0.7860109216529919,0.8912619288365483,0.09365929098390595,0.349499317473002
18,0.282766945,5.999857433999999,1829,0.5126988620236933,0.9057579017672739,-0.009133183103956055,-0.07868666145421793,-0.012190675232389037,-13.419382,-13.491772,-13.495405,false,,0.5878346249470247,0.5353669448325218,0.30446857527690085,0.7871727917134854,0.8913022632729806,0.09437923692358742,0.35363381847526365
19,0.28305248,6.282909913999999,1829,0.5126709848701692,0.9116682578781651,-0.00784556130982994,-0.07753793243104368,-0.01112218527357911,-13.419221,-13.491112,-13.495272,false,,0.5877874545363806,0.5331378669501012,0.30446866156173624,0.7880723012249657,0.8914678820507469,0.09494572311871821,0.3566169737058584
20,0.282691375,6.565601288999999,1829,0.5126524233138278,0.9163585324368824,-0.00682531207490078,-0.07663496823144728,-0.010245566383559446,-13.419114,-13.490571,-13.495238,false,,0.5877486868889064,0.5314026807972758,0.3044685453094035,0.7887675768337553,0.8916674911907556,0.0953886714020845,0.3588366003320161
21,0.276649051,6.842250339999999,1829,0.5126396303562976,0.9201156958694736,-0.006006855685246948,-0.07591519062522706,-0.009512953648329825,-13.419041,-13.490124,-13.495262,false,,0.5877167974931906,0.5300391276113706,0.3044685066660642,0.7893063851983501,0.8918622764023598,0.09573455715667878,0.36052852996633067
